year, CNRM-ESM2-1, NorESM2-MM, NorESM2-LM, TaiESM1, GFDL-ESM4
1.850000000000000000e+03, 2.627493056041919030e-10, 1.554310609328978276e-10, 1.456001095635294503e-11, 1.388389638124497259e-10, 2.740982478166879217e-10
1.851000000000000000e+03, 3.011412363047032710e-10, 2.121632361169533877e-10, 9.786666628435164126e-11, 1.667113043153080552e-10, 2.622367492292128023e-10
1.852000000000000000e+03, 3.323229655920663834e-10, 1.643747161890501696e-10, 4.138072039664864466e-11, 1.586928638738087596e-10, 3.295558817392392071e-10
1.853000000000000000e+03, 3.029703420200468696e-10, 2.806201704255360777e-10, 1.147243240828648542e-10, 1.637680010614383972e-10, 3.115760144728516042e-10
1.854000000000000000e+03, 3.447155021235039343e-10, 3.074814133857126805e-10, 1.578456483452940853e-11, 1.673525419533206499e-10, 4.145806603588381595e-10
1.855000000000000000e+03, 4.224370653555981173e-10, 2.277894127555629976e-10, 1.105478376404314391e-10, 1.859258512240628461e-10, 4.770541978508291724e-10
1.856000000000000000e+03, 4.528808609774799467e-10, 2.237327587676903403e-10, 5.104809560925712044e-11, 1.561654150528736545e-10, 2.558166754924769978e-10
1.857000000000000000e+03, 3.697843514645010752e-10, 2.923322111291436024e-10, 4.437877667373532985e-11, 1.716379190478620746e-10, 2.717629136510830320e-10
1.858000000000000000e+03, 5.105437374533330849e-10, 8.755479641766622602e-11, 7.247247325866362552e-11, 1.645264218506237332e-10, 1.694034012689719641e-10
1.859000000000000000e+03, 3.902318895314323217e-10, 1.840826979795339676e-10, 7.025799561527507060e-11, 1.804142620042382071e-10, 2.771946414839273205e-10
1.860000000000000000e+03, 4.806709199100040101e-10, 1.354877067179027602e-10, 3.207108240613407099e-11, 1.646917844299784840e-10, 2.295953047449627799e-10
1.861000000000000000e+03, 4.412368362381142035e-10, 1.411355728959572099e-10, 1.323181750713281993e-10, 1.691943625284162720e-10, 2.962577264226021407e-10
1.862000000000000000e+03, 2.874930563540848593e-10, 5.852097151471249656e-11, 2.410604341415595388e-11, 1.502646855820161858e-10, 3.326690596686676876e-10
1.863000000000000000e+03, 3.246766241240994514e-10, 1.894591269746727679e-10, 2.551478870958078009e-11, 1.362512848135183669e-10, 2.151335255707728437e-10
1.864000000000000000e+03, 4.499359653612422488e-10, 1.223399114512938396e-10, 1.649227475543798135e-11, 1.885117340129487205e-10, 2.102552261527125368e-10
1.865000000000000000e+03, 3.026893621969560956e-10, 1.565613296666398854e-10, 5.690454823049990096e-11, 1.643808283464852969e-10, 3.555256685644504911e-10
1.866000000000000000e+03, 4.666122771753503936e-10, 2.329205098671435805e-10, 1.003115426997403582e-10, 1.500578742384408576e-10, 1.999629755693138471e-10
1.867000000000000000e+03, 3.083754880892469514e-10, 1.116105616970984192e-10, 8.930424848810745430e-11, 1.662136602507755773e-10, 2.914475246925805986e-10
1.868000000000000000e+03, 2.999520812082790002e-10, 2.657936672427446788e-10, 2.739223460062743197e-11, 1.768961538222144271e-10, 2.371475262289965094e-10
1.869000000000000000e+03, 3.757705570293352012e-10, 2.794099503159298522e-10, 3.523913709133717208e-11, 1.531373222804168311e-10, 2.272576373578461897e-10
1.870000000000000000e+03, 2.298856287032748022e-10, 1.641039405525877270e-10, 1.380407509296004898e-10, 1.656451095395565545e-10, 2.994040563257937537e-10
1.871000000000000000e+03, 3.260207740242172859e-10, 1.681849754310897424e-10, 6.620042619516193237e-11, 1.670305407347201655e-10, 4.099817849872581668e-10
1.872000000000000000e+03, 3.460391660351062930e-10, 3.334565000350920780e-10, 3.277473454265279584e-11, 1.833784580202265752e-10, 4.506616768340736467e-10
1.873000000000000000e+03, 2.576333601809816322e-10, 2.944011525068172629e-10, 7.224971876876427889e-11, 1.713666286199382557e-10, 3.939118547597600005e-10
1.874000000000000000e+03, 3.055307771350541469e-10, 3.022253871033120207e-10, 6.243651560795557564e-11, 1.534237855910197779e-10, 2.229609787560584674e-10
1.875000000000000000e+03, 5.029776419626292985e-10, 3.376702103251573969e-10, 4.199309574240022040e-11, 1.458917469791757088e-10, 3.825520414028344981e-10
1.876000000000000000e+03, 4.431746298265122341e-10, 1.553069885322837942e-10, 1.555087496543597410e-10, 1.489531101044680893e-10, 4.086847522737849770e-10
1.877000000000000000e+03, 5.033314009215964445e-10, 2.102411613040909614e-10, 3.646151456788961953e-10, 1.705025330547725278e-10, 2.374257741384789569e-10
1.878000000000000000e+03, 3.448548551856900224e-10, 1.639812682135359454e-10, 1.482507139209194045e-10, 1.852033001533918133e-10, 2.150795926640149642e-10
1.879000000000000000e+03, 5.414899522967961589e-10, 1.347353627880296011e-10, 5.653855021801206722e-11, 1.579379419484178835e-10, 1.640634917617380688e-10
1.880000000000000000e+03, 3.028998767493745712e-10, 1.081964414413370515e-10, 1.094183393963425431e-10, 1.545551448723762575e-10, 2.200010338749041628e-10
1.881000000000000000e+03, 3.535023327437614602e-10, 2.356833110825292693e-10, 1.069317835075900394e-10, 1.702642771170195827e-10, 2.749961224272340859e-10
1.882000000000000000e+03, 4.129586035123040658e-10, 1.307744251941601176e-10, 2.311247815817859158e-10, 1.845941881142232963e-10, 2.285093565137756151e-10
1.883000000000000000e+03, 3.518167148114972515e-10, 1.821447962083576263e-10, 1.234917696689842704e-10, 1.373704659257788516e-10, 2.197248487669861353e-10
1.884000000000000000e+03, 3.953045577312969200e-10, 2.427080356311094596e-10, 7.713573846674468678e-11, 1.450076654412180238e-10, 2.265539171857260761e-10
1.885000000000000000e+03, 4.400895118403251437e-10, 1.569465060790914922e-10, 5.596706212833562969e-11, 1.477592779336182377e-10, 2.198000859108291973e-10
1.886000000000000000e+03, 3.486098252972296150e-10, 2.783440286365070712e-10, 7.155850387253354724e-11, 1.603646375837349580e-10, 1.963409943092892248e-10
1.887000000000000000e+03, 2.945663087921268292e-10, 2.876985571090415460e-10, 4.038474718792639499e-11, 1.347135831826643298e-10, 2.486160011428670442e-10
1.888000000000000000e+03, 3.278042512361332847e-10, 3.590554639469338474e-10, 4.768440495632645371e-11, 1.566850348370274933e-10, 3.351488823286323319e-10
1.889000000000000000e+03, 3.700081182304890273e-10, 3.487236761745217075e-10, 2.609317360760338970e-11, 1.535876616219798210e-10, 2.579870649884901545e-10
1.890000000000000000e+03, 3.582716617601705463e-10, 3.083615988718757792e-10, 1.018954954497742192e-10, 1.772653316075817618e-10, 2.673461038307242467e-10
1.891000000000000000e+03, 3.297027322420490316e-10, 2.563733281348857294e-10, 1.022147405803891163e-10, 1.600990066456263618e-10, 1.995613395768292668e-10
1.892000000000000000e+03, 2.855642876943255255e-10, 1.704259777880770166e-10, 4.668861082895578225e-11, 1.477766519013512014e-10, 2.253011813828156106e-10
1.893000000000000000e+03, 3.226044949078669363e-10, 3.121052334468513452e-10, 1.826066351813234245e-10, 1.538585381869540323e-10, 2.402740768086183065e-10
1.894000000000000000e+03, 2.751673881504792068e-10, 1.369889938192656480e-10, 5.762970761591309852e-11, 1.619598878633195858e-10, 3.210025501464466035e-10
1.895000000000000000e+03, 2.545490753669299575e-10, 1.295835519578204727e-10, 2.001780735992002649e-11, 1.390873323346727707e-10, 2.025004060349040366e-10
1.896000000000000000e+03, 3.816505905329724371e-10, 1.227358314957923989e-10, 8.544590840749064032e-11, 1.768269229532589826e-10, 2.044435210265263936e-10
1.897000000000000000e+03, 3.333392113989929461e-10, 1.141658838287721209e-10, 3.840254048960791746e-11, 1.336225431563247805e-10, 1.624802516280729790e-10
1.898000000000000000e+03, 2.722056719318171746e-10, 1.851670773102678009e-10, 8.885798677307669771e-11, 1.666085286740151817e-10, 1.977236091165553828e-10
1.899000000000000000e+03, 3.044338276928092788e-10, 2.248415981048718200e-10, 5.881940817168241307e-11, 1.480232397715579754e-10, 1.295975176875568727e-10
