year, CMCC-ESM2, CanESM5, MIROC-ES2L, UKESM1-0-LL, CNRM-ESM2-1, MPI-ESM1-2-LR, GFDL-ESM4, CESM2-WACCM
1.850000000000000000e+03, -2.314537705588187211e-10, -1.799389786108080965e-10, -8.510706061364171423e-11, 2.208922307600911279e-10, 6.394359045680066301e-11, 2.732716858378049077e-10, -3.810245963777496916e-10, -3.901827011702893645e-10
1.851000000000000000e+03, 1.864523164432643629e-11, -1.162935319340428183e-10, -4.728979817940139215e-11, -8.024884816369293121e-11, 2.754536797530258096e-10, 2.366895462664222239e-11, -3.649553744500596954e-10, -1.595546037978176739e-10
1.852000000000000000e+03, 3.788981322546859371e-11, 1.227443946023600025e-10, -8.247093876939800702e-12, 1.659901156802338915e-11, 3.529524511032660868e-11, -2.786923421567269485e-11, -2.762138248593229439e-10, 4.143706636702687036e-10
1.853000000000000000e+03, 5.735865851690846802e-10, -2.201661092685805271e-10, -6.048764940071506806e-11, -5.396428346029296008e-11, -1.563918977840384571e-10, -2.751090453895005112e-10, -3.350927276572785487e-10, -5.486002053489660258e-10
1.854000000000000000e+03, 1.961685379072739861e-10, -1.229772429143242701e-11, -3.914834777370891011e-10, 1.230711728986242272e-10, -5.496395324381945765e-11, -1.162981084173397302e-10, -6.352826888134865372e-10, -6.883834397396338133e-10
1.855000000000000000e+03, 3.942537934243152919e-10, 1.954026849280726496e-10, -1.078722459535578175e-10, -4.480844377078750225e-10, 1.146230628628165462e-10, 3.827980843514704814e-11, -4.628078928510308925e-10, -5.039348047172292768e-10
1.856000000000000000e+03, 6.926349870842377795e-10, -9.510533832940512913e-11, -2.219348103268887507e-11, -2.990649248112634586e-10, -2.877755536763591612e-11, -3.443112155897038909e-10, -2.020869112342962240e-10, -1.478650398837974173e-10
1.857000000000000000e+03, -3.582984550922611918e-11, -5.041046067540733875e-10, -1.189591708406585640e-09, -1.333070504298171014e-10, 3.344675549295973141e-10, 1.020299490166986812e-10, -4.360477652467807844e-10, 3.391473067290431248e-10
1.858000000000000000e+03, 9.913401131220479330e-10, 6.133564356197396179e-11, -7.673385510451674286e-10, 3.828333739238317168e-10, -2.111537258069480986e-10, -3.583026254217736585e-10, 1.359397567919173788e-11, 2.887999291365672912e-10
1.859000000000000000e+03, 6.980049081009701468e-10, -3.498117739111409061e-10, -7.513064454263447570e-10, -2.005734906504971055e-10, -4.124484954714887342e-10, 1.162544726796874680e-10, -5.326075500790769455e-10, -3.272023623049821365e-10
1.860000000000000000e+03, 7.781232438945165152e-10, 9.610084717134164995e-11, 1.377884841623269837e-10, -2.119923643186178525e-10, -3.299881369658121792e-10, -6.613832271789397974e-11, -1.999901130130105749e-10, -3.834541064714491569e-11
1.861000000000000000e+03, -7.238711496128393116e-10, -1.196270065365916967e-10, 3.197613974443508669e-10, 1.056583711682473572e-10, -4.997755700683977234e-10, 1.445772252739935748e-10, -2.272231084125255980e-10, -3.449819860605451004e-10
1.862000000000000000e+03, -1.774125011312917617e-10, 2.274648636718590525e-10, 2.019578362206551695e-10, 3.620292515062549590e-10, 7.371946012224796633e-11, -4.984858127512818428e-11, -1.733348068804904186e-10, -4.194581839826332947e-10
1.863000000000000000e+03, -4.060850705276562389e-10, -5.293658612990554908e-11, -2.320351601146197600e-10, 6.806444722470557505e-11, -5.159661125109485282e-11, 3.500857363439929810e-10, -1.622181591763167660e-10, -4.395161790838606521e-10
1.864000000000000000e+03, 8.413370993035518898e-10, -3.904901242977018962e-10, 3.967223878442583889e-12, -1.713007579188337591e-10, -3.490120264939696550e-10, -6.520825444242201009e-10, -1.331089459080311049e-10, -1.494739697351351970e-10
1.865000000000000000e+03, 4.475906552608161208e-10, -1.591190859479546146e-10, 1.412884478320813727e-10, -2.889549459823606514e-10, 1.342094613392788429e-10, -3.938564809655509795e-10, -3.999032031912780761e-10, 7.812745822423763813e-11
1.866000000000000000e+03, 1.048097196520711942e-09, -1.834444157126550894e-10, 1.138372317026432001e-11, 2.137104733256557205e-10, 1.336447506219177586e-11, -1.797942606702818314e-10, 1.850196668909268849e-11, -1.628646944950035183e-10
1.867000000000000000e+03, 2.706230616005648366e-10, -2.461607334881938124e-10, 2.735975569020874282e-10, -2.349584767748474814e-11, 2.386411470612603749e-11, 1.143311077728517197e-10, 2.075625256826445932e-11, -6.031796047279012926e-10
1.868000000000000000e+03, -2.783038292870472515e-10, 2.267544053457036149e-10, 1.755415878074014192e-10, -2.955296241893704147e-11, -5.063145259354669450e-11, -2.633366787132732414e-10, -3.623873327071228555e-10, 1.960090045651259660e-11
1.869000000000000000e+03, -1.482344449062122866e-10, 4.847049302999579398e-11, -3.898820351489315369e-11, 1.054752455183729019e-10, -1.650379231390222383e-11, -1.706653690607860128e-10, -2.455419141550209033e-10, -2.283024152713679034e-10
1.870000000000000000e+03, 5.046245037912580000e-10, 2.263135802343158563e-10, -2.335303117865039014e-10, 1.318483850646352280e-10, 5.142708852487773985e-10, 5.592077820421420600e-10, -2.961749599154310611e-10, 3.351985243965945276e-10
1.871000000000000000e+03, -1.186302144132330829e-10, -2.433530089438217350e-10, -2.394159319679447766e-10, -1.731112053495958932e-10, 1.282595248489643508e-10, 1.179361389475639444e-10, -7.788672640406196007e-11, 5.844966573358752663e-11
1.872000000000000000e+03, -2.894804628581998210e-10, -5.025040573866837293e-11, 3.016304482368152144e-10, 2.643905887279510515e-10, 7.149509625445993493e-11, 1.778308405452220532e-10, -7.799074093296986262e-10, -2.568058072871704121e-10
1.873000000000000000e+03, 3.827440969322271225e-10, 5.040637544883461833e-10, 1.968077768254328694e-11, -1.972568686376160199e-10, 3.462042294775865132e-10, -3.292188027283191343e-10, -4.301494306935124676e-10, -2.192981779599198453e-10
1.874000000000000000e+03, 2.108176231241275045e-10, 5.310202284232360799e-11, -8.069045204849394407e-10, -2.153941488602832003e-10, 4.759307576332315442e-10, -1.342058991905692676e-10, -6.970402149012741641e-10, -1.945040970386807299e-10
1.875000000000000000e+03, 5.090992772343085191e-10, 2.978326616870250411e-10, -2.421093769394700251e-10, 8.790229998593650582e-11, -4.335248161030432402e-10, 2.083609262608427043e-11, -4.587660551369386777e-10, -5.978136501284586177e-10
1.876000000000000000e+03, 2.755127825965013725e-10, 4.563619057089501068e-10, -4.494627061496425720e-10, -1.722553564703538594e-10, -2.148228903349172249e-10, -1.375004261320663808e-10, -4.574041653788045558e-10, -2.100550731335503670e-10
1.877000000000000000e+03, 2.682874578022743956e-10, 2.257833279066917035e-10, -5.950467876355908900e-11, 5.446345503901785362e-11, -4.028785841966622738e-11, -2.902006515239987922e-10, 1.948774329789833905e-11, -3.034587995032737869e-10
1.878000000000000000e+03, 6.068097025460362869e-10, -3.793651017874260927e-10, 3.208533143000939620e-10, -8.749932261537450705e-11, 5.102480979578557646e-10, 2.165880331081905136e-10, -2.919336668984743048e-10, -5.933145529333708624e-11
1.879000000000000000e+03, -4.880079040690622740e-11, 1.068865354390516511e-10, 1.594136661069323828e-10, 3.328829297904718582e-10, -1.376686453643346099e-10, 2.213992010190155673e-10, -3.602853484157776629e-11, -3.180004007186010713e-10
1.880000000000000000e+03, 2.349455496651200943e-10, 3.748901782549486291e-11, -1.831224238896319148e-10, -2.084791852516108697e-10, -3.226354286097238323e-10, 3.552373682742450486e-10, -3.322919420416898966e-10, -4.864458757810843585e-10
1.881000000000000000e+03, 4.038475676522149084e-10, 2.127644577849043725e-10, 1.004781337334357424e-09, -6.333484818085952967e-10, 3.591238271319796802e-10, 1.133846539775136494e-10, -3.177975118851858726e-10, -5.196356475576772229e-11
1.882000000000000000e+03, 4.614849939485765785e-10, 1.010117873561078190e-10, -1.529220886416708235e-10, -3.572193072631393384e-11, -1.549113398869472185e-10, -3.308222256570362164e-10, -4.171687717785065269e-10, -3.552602359382378650e-10
1.883000000000000000e+03, -3.569149323651994024e-10, 1.861323496030449492e-11, -3.716761351361694913e-10, -1.204800360077739486e-10, -6.378130190741266632e-11, -3.957741637474736176e-10, -2.038203930428088854e-10, -2.306815025752982995e-10
1.884000000000000000e+03, -1.687554887188903923e-10, -8.820340256633514116e-11, 1.675498848809332289e-10, -2.621972145288439054e-10, 3.782614527802368323e-12, 4.174327891649019197e-10, 6.844719902962151750e-11, -8.718754726439544605e-11
1.885000000000000000e+03, -5.181243072175981722e-11, -2.069422411201906673e-10, 5.802364139713588605e-11, 2.670316033035810062e-10, -2.312163633056187875e-10, -4.597103627026377635e-10, -3.820908447046152109e-10, 2.264029400779351533e-10
1.886000000000000000e+03, 8.194046482485016289e-10, -8.603974001649173199e-11, -7.694397647042391109e-11, 1.491322678097613550e-10, 2.462703115859212231e-11, -3.852431633129202053e-10, -4.834688527221816354e-10, -1.775773363704190352e-10
1.887000000000000000e+03, 4.185699542069257907e-10, -4.360633578460388412e-11, -6.898226459770114533e-10, -1.489023485079226643e-10, 4.473800412628002194e-10, 3.879379035240882248e-11, -2.761343920703331087e-10, -8.089096231708782701e-11
1.888000000000000000e+03, 4.270679338130143116e-11, 2.526943766164991335e-10, 9.383437879488167293e-11, -8.563034165935537493e-11, 3.849889203071420134e-10, 3.813681879673217757e-10, -6.763211384786074470e-10, -3.465583573237654112e-10
1.889000000000000000e+03, 6.290402965018739969e-10, -5.423483188699950981e-11, -2.568464006950518349e-10, 1.182676163200781933e-11, 2.546626389659006240e-10, -2.985916502460506205e-10, -3.407685172483479960e-10, 3.553703287111501835e-11
1.890000000000000000e+03, 4.615304260405285753e-10, -8.517794127384535763e-11, -3.281320187920062534e-10, -2.453549860167987011e-10, 9.714378773193055367e-11, 1.994748218681325166e-11, -6.663276442448680260e-10, -4.912723839534563370e-10
1.891000000000000000e+03, -2.019924202347008340e-10, -4.778399322494029816e-10, -1.934508222480744491e-10, -1.902878065594038012e-10, 1.054212934151631090e-11, 6.613250573386919860e-11, -7.312029706568128016e-11, -2.092764674714204766e-10
1.892000000000000000e+03, 4.302782099766985032e-10, 1.173548742101685991e-10, 1.661104279512575265e-10, 1.066329052122198434e-10, 2.509095506334030347e-10, -3.823630928380145716e-10, -9.917847328669292037e-11, -5.645081952966574402e-10
1.893000000000000000e+03, 5.844654168638986873e-12, -2.071275961957854323e-11, -1.023935350493099164e-11, -4.080027897886587217e-10, -7.495081243784178189e-11, 3.520687814026514562e-10, -6.531476933887296715e-11, -4.832922139815604810e-10
1.894000000000000000e+03, -4.992774921220123910e-11, 5.919830994154775378e-11, -4.992217779790617207e-10, 1.719375877872936937e-12, 8.238516214037371658e-10, 3.159176302268812907e-10, -5.058008494849043060e-10, -3.074411184505021677e-10
1.895000000000000000e+03, -3.533988655805080642e-10, -2.356594905296540278e-10, 1.934319783937744862e-10, -2.730791143179065455e-10, 2.438563660044065537e-10, -3.748676083850216940e-10, -3.146278046745994736e-10, 3.885929030095571297e-11
1.896000000000000000e+03, 6.102956265223957284e-10, 5.036560839890191873e-11, -6.297225602999859435e-10, -2.136367883351523414e-10, 1.679505139952043155e-10, -3.113344740825051497e-10, -4.276682190371508342e-11, 2.387102291463422011e-10
1.897000000000000000e+03, 2.349386110647969070e-10, 6.612300353232228162e-11, -1.302215033286787290e-10, -3.158234337696831968e-10, 6.022428326263837201e-10, -2.044722057581552782e-10, 1.115889083472806930e-11, -2.802954795780762423e-10
