year, NorESM2-LM, EC-Earth3-Veg, TaiESM1, IPSL-CM6A-LR, CESM2-WACCM, NorESM2-MM, UKESM1-0-LL, MPI-ESM1-2-LR
1.900000000000000000e+03, 1.189214157091830501e-10, 2.172846159431108089e-10, 5.295707491331694734e-11, 2.852344463517130617e-10, 3.640223052870140623e-11, 1.016821600490382501e-10, 1.296380858999180456e-10, 2.674975366866714030e-10
1.901000000000000000e+03, 1.095736548030882328e-10, 2.090143754473230767e-10, 4.856386873335714266e-11, 3.142829255583108548e-10, 3.372976880898911236e-11, 9.364130230047006292e-11, 1.466085971349998659e-10, 2.751648385102847964e-10
1.902000000000000000e+03, 9.834042857164352648e-11, 2.162159917911587031e-10, 5.709490098704165223e-11, 3.161749405468430935e-10, 3.001543949612170321e-11, 9.880337045919475505e-11, 1.562016916117985633e-10, 2.838448356458082917e-10
1.903000000000000000e+03, 9.902850917947415774e-11, 2.345682511236565764e-10, 5.722418411632953299e-11, 3.825489991480230760e-10, 3.365473495811513573e-11, 9.955192947362542411e-11, 1.503603117360842361e-10, 2.867092898889433788e-10
1.904000000000000000e+03, 9.985024093332931999e-11, 2.389800106953139391e-10, 5.736800331173061561e-11, 3.482842088562011692e-10, 4.207011291016895174e-11, 1.004469677231736106e-10, 1.256796498128978370e-10, 2.995770871636651220e-10
1.905000000000000000e+03, 1.016139252228635591e-10, 2.295805987353154781e-10, 5.816782379957200048e-11, 3.568521441392560218e-10, 4.280874122309946682e-11, 1.025121379465577960e-10, 1.522991892271515224e-10, 3.071763412705554177e-10
1.906000000000000000e+03, 1.028883731366767884e-10, 2.593315933158422244e-10, 5.858378814043215419e-11, 3.959689018944579867e-10, 4.178877136042329183e-11, 1.037846128445210864e-10, 1.741558741010849402e-10, 3.149441803979049548e-10
1.907000000000000000e+03, 1.038946176010390997e-10, 2.343008351423991992e-10, 5.885062347010985150e-11, 3.872146049477421819e-10, 3.714192948431945334e-11, 1.047625472573260517e-10, 1.509432658616883796e-10, 3.195323599005136947e-10
1.908000000000000000e+03, 1.051843888074281005e-10, 2.378860483583713848e-10, 5.912534581811891501e-11, 3.352870765487256446e-10, 3.760955973798083245e-11, 1.060085099246054827e-10, 1.934850292930119446e-10, 3.338245642898330378e-10
1.909000000000000000e+03, 1.060845762384138498e-10, 2.932823872148501432e-10, 5.937364471514325820e-11, 3.155596746629074539e-10, 5.017130894089943726e-11, 1.069688723410246995e-10, 1.589345583702095898e-10, 3.389673656301904102e-10
1.910000000000000000e+03, 1.068150166135532233e-10, 2.806845964329896019e-10, 5.968839417906767749e-11, 3.242346169205545212e-10, 5.483845790763600773e-11, 1.080621878115065371e-10, 1.508860170201100047e-10, 3.398916721437700757e-10
1.911000000000000000e+03, 1.189352856364824884e-10, 2.938003834917309350e-10, 6.639722035221330700e-11, 3.633731098392791753e-10, 5.394770462507354867e-11, 1.203726315935239779e-10, 1.398610349955983962e-10, 3.295826896451429837e-10
1.912000000000000000e+03, 1.159845548546911939e-10, 2.807163872922719678e-10, 6.453132495876424976e-11, 3.488509683922368252e-10, 5.253872333249698913e-11, 1.174299495914026194e-10, 1.519715767197647976e-10, 3.150481767935478050e-10
