year, MIROC-ES2L, NorESM2-LM, EC-Earth3-Veg, CESM2-WACCM, INM-CM4-8, CanESM5, ACCESS-ESM1-5, IPSL-CM6A-LR, UKESM1-0-LL, MPI-ESM1-2-LR, NorESM2-MM, CMCC-CM2-SR5, INM-CM5-0, TaiESM1, GFDL-ESM4, CNRM-ESM2-1
2.025000000000000000e+03, 1.035673059068104038e+02, 5.777748868632808410e+01, 6.293307390958842262e+01, 7.587551866659180178e+01, 1.274113954304151406e+02, 1.342732195910810162e+02, 1.097601165781109103e+02, 7.266981634484976382e+01, 1.006055617725462525e+02, 6.538106065872901240e+01, 5.849408421024547522e+01, 6.571716053377133449e+01, 1.306130589847519445e+02, 8.821578786060152311e+01, 4.392417202751354921e+01, 4.867983652326847022e+01
2.026000000000000000e+03, 1.038332011500159382e+02, 5.714158034574202105e+01, 6.169882139470784921e+01, 7.599006494037843140e+01, 1.284109519847871752e+02, 1.342694230652779765e+02, 1.094543001086835545e+02, 7.258847703359384695e+01, 1.001347222992137915e+02, 6.544536551216681630e+01, 5.814598675763119218e+01, 6.521456287311953304e+01, 1.308010264051382308e+02, 8.826388098435235463e+01, 4.407837903465937757e+01, 4.842272439801712380e+01
2.027000000000000000e+03, 1.039002777421450645e+02, 5.680630314319190433e+01, 6.207211224576536068e+01, 7.654105617092875491e+01, 1.292897691363838533e+02, 1.343660342652463839e+02, 1.088449325454524654e+02, 7.264876029759902565e+01, 9.972579637978535061e+01, 6.568058692210918537e+01, 5.782304103529154560e+01, 6.606177479084325910e+01, 1.316371534385239386e+02, 8.787086703330098203e+01, 4.413692113419286045e+01, 4.775709714114377391e+01
2.028000000000000000e+03, 1.039787248578751360e+02, 5.676287481028248294e+01, 6.164231008940094370e+01, 7.719498991868591986e+01, 1.297201421831359198e+02, 1.347008141572796944e+02, 1.083124766129487426e+02, 7.227066575516913360e+01, 9.932109188449538806e+01, 6.611103509900178210e+01, 5.801970929425986157e+01, 6.555220027048696352e+01, 1.326456150602123500e+02, 8.734090261510800701e+01, 4.384140586468848255e+01, 4.803253055650540659e+01
2.029000000000000000e+03, 1.039635457129547831e+02, 5.675449825907281109e+01, 6.179249761826006448e+01, 7.748099326661507291e+01, 1.296204480532909429e+02, 1.350585812494012146e+02, 1.078171125330356830e+02, 7.187839243229710462e+01, 9.897885866355720452e+01, 6.604455100256160449e+01, 5.823220272970474554e+01, 6.548000943684695585e+01, 1.337167807774658286e+02, 8.699012118949094940e+01, 4.374703533095471641e+01, 4.756099904818104562e+01
2.030000000000000000e+03, 1.043386527828958208e+02, 5.611649324324631039e+01, 6.167071923488259699e+01, 7.781001138499917147e+01, 1.301034631201949310e+02, 1.354297944429751510e+02, 1.079965705816648693e+02, 7.160781132371275248e+01, 9.875361136012008956e+01, 6.645298143981575834e+01, 5.802207449065910083e+01, 6.543617803473125605e+01, 1.341828556503154175e+02, 8.808001529457754941e+01, 4.340330685812196521e+01, 4.685224018718719918e+01
2.031000000000000000e+03, 1.047234295465795242e+02, 5.622929661636223386e+01, 6.171607659724575967e+01, 7.826986134315095001e+01, 1.309541456996062720e+02, 1.355613450441099701e+02, 1.080811041073692138e+02, 7.119115144125628092e+01, 9.844864295474496885e+01, 6.684066572965186026e+01, 5.767300655598817372e+01, 6.495795536201336517e+01, 1.349664072025626638e+02, 8.737402460241993651e+01, 4.353583614839146065e+01, 4.671002678715538536e+01
2.032000000000000000e+03, 1.050255041901336170e+02, 5.628414361127331489e+01, 6.175110310328566499e+01, 7.834619288231294831e+01, 1.310292989232697209e+02, 1.359077481208443885e+02, 1.076975419576743320e+02, 7.089924476105194628e+01, 9.816625189903703586e+01, 6.702508320456516344e+01, 5.744257648120262871e+01, 6.489388876367343073e+01, 1.360951325224970390e+02, 8.615519394821625099e+01, 4.329175017418835125e+01, 4.703069624079166999e+01
2.033000000000000000e+03, 1.047995853305682772e+02, 5.610180429555314419e+01, 6.178526077286338847e+01, 7.850956796359028544e+01, 1.319147121347288021e+02, 1.364879138905494926e+02, 1.078236123774229327e+02, 7.073406022564124385e+01, 9.800363279198889188e+01, 6.688074610845855261e+01, 5.730611590141189282e+01, 6.491982056587133343e+01, 1.367713876391823931e+02, 8.708949287951847396e+01, 4.302340025603224660e+01, 4.600609808784572863e+01
2.034000000000000000e+03, 1.051437279222657537e+02, 5.579764544774601376e+01, 6.121228184033893172e+01, 7.879667775776840699e+01, 1.326687831065254102e+02, 1.372766885721786423e+02, 1.076563111340767307e+02, 7.084655015197240857e+01, 9.767134659845802958e+01, 6.685079958937762967e+01, 5.731650552263407405e+01, 6.515976891290802087e+01, 1.368994975879596439e+02, 8.722307640892888969e+01, 4.281259790716947577e+01, 4.618159190768526656e+01
