year, ACCESS-ESM1-5, EC-Earth3-Veg, CESM2-WACCM, MPI-ESM1-2-LR, NorESM2-LM, GFDL-ESM4, IPSL-CM6A-LR, CanESM5, NorESM2-MM, MIROC-ES2L, TaiESM1, CNRM-ESM2-1, CMCC-CM2-SR5
2.015000000000000000e+03, 6.056271698407357462e+00, 6.040175528831153606e+00, 3.530983833430646701e+00, 3.110858057437705781e+01, 2.946633939592012474e+00, 1.433038122701131378e+01, 2.382247801139165944e+01, 2.035332750575936345e+01, 3.270186825632359628e+00, 3.683958964633504962e+01, 1.991433745762683394e+00, 2.622163018776999621e+01, 4.773836364141901711e+00
2.016000000000000000e+03, 6.129263109745912708e+00, 6.030677066992472746e+00, 3.437130982618354036e+00, 3.111012457036167689e+01, 3.038186109263827372e+00, 1.454231985504670988e+01, 2.403590483853987436e+01, 2.038417030792257734e+01, 3.177812294444803953e+00, 3.687516709791412950e+01, 1.652563374965054566e+00, 2.614196950372407358e+01, 5.422799733227969377e+00
2.017000000000000000e+03, 6.111725350430233128e+00, 6.312014627685171853e+00, 3.453463865635141072e+00, 3.112168412030160169e+01, 3.019767572731977268e+00, 1.441506050321335586e+01, 2.392828425475241616e+01, 2.044764520155183618e+01, 3.349850095911653725e+00, 3.700256942630479529e+01, 2.528031805500592810e+00, 2.617469227263000064e+01, 5.127132435253704656e+00
2.018000000000000000e+03, 6.133350481509497243e+00, 6.171059241027430531e+00, 3.546016541369692465e+00, 3.103842299107406077e+01, 2.964133687979760623e+00, 1.414848665720075971e+01, 2.395305110869970378e+01, 2.070398546433303721e+01, 3.342054427882871437e+00, 3.696122739391591949e+01, 2.478250616466935785e+00, 2.626162090700071516e+01, 5.253872036406034951e+00
2.019000000000000000e+03, 6.165980525582114957e+00, 6.134154634564486841e+00, 3.394340140426147290e+00, 3.096038712446089036e+01, 3.028758807866001934e+00, 1.408947475919859116e+01, 2.412473360623337015e+01, 2.062893160141600646e+01, 3.291240624891274003e+00, 3.680781312201497713e+01, 2.129516485484161947e+00, 2.626625144153933888e+01, 5.280949291652403232e+00
2.020000000000000000e+03, 6.248498198743634546e+00, 6.120722836420658730e+00, 3.641773974618570442e+00, 3.115985369814011108e+01, 3.074062180430062519e+00, 1.412865422943816895e+01, 2.428024905124065924e+01, 2.067955591969077389e+01, 3.380185877868552513e+00, 3.655906764649525797e+01, 1.965764966439990991e+00, 2.622266383650134713e+01, 5.162895652141817671e+00
2.021000000000000000e+03, 6.334184731697704684e+00, 5.915386265501076046e+00, 3.577682337887682973e+00, 3.125652677863325479e+01, 3.078938041612820253e+00, 1.406343176604954692e+01, 2.435618449361301785e+01, 2.092335407926007207e+01, 3.385241314654765077e+00, 3.627146030925579367e+01, 2.470914751072739168e+00, 2.616720718064602735e+01, 5.300379667058445321e+00
2.022000000000000000e+03, 6.458343270772612499e+00, 6.185705600962168482e+00, 3.436157187474138119e+00, 3.159535982375867746e+01, 2.959918330621590155e+00, 1.397922024602519642e+01, 2.448354768911698898e+01, 2.125451933572328400e+01, 3.462362880457491965e+00, 3.643831609545465255e+01, 2.228018535176008452e+00, 2.642141368863950390e+01, 5.130888301209765245e+00
2.023000000000000000e+03, 6.456009896523862146e+00, 6.403124083304040148e+00, 3.390645105303241813e+00, 3.168018620764069482e+01, 3.070686793226546918e+00, 1.402500832756754079e+01, 2.457518804701037496e+01, 2.106082796835197968e+01, 3.393555103391062033e+00, 3.647426090510332131e+01, 2.153531382944254169e+00, 2.635317259078374974e+01, 5.180052807501970946e+00
2.024000000000000000e+03, 6.267378527302805757e+00, 6.279410410020772382e+00, 3.528874843441547338e+00, 3.186656190421510360e+01, 3.069913144626998047e+00, 1.429679802300622704e+01, 2.459866070717963993e+01, 2.124341578916067874e+01, 3.381881603488852139e+00, 3.639785375889538699e+01, 2.242997919693938247e+00, 2.627367691297620311e+01, 5.542912959227181524e+00
2.025000000000000000e+03, 6.273905284166662710e+00, 6.139046014342446789e+00, 3.670872051747001930e+00, 3.172405252279049392e+01, 3.079653051206589165e+00, 1.436703469859071269e+01, 2.443892060063836169e+01, 2.168792347926510544e+01, 3.429686975460509490e+00, 3.641191583487984929e+01, 1.907130226367355741e+00, 2.636370118222111358e+01, 5.580054057159874681e+00
2.026000000000000000e+03, 6.275223233636107345e+00, 6.262426347498864843e+00, 3.630009005504413189e+00, 3.173621946437072339e+01, 3.152774355305807852e+00, 1.413109176662042721e+01, 2.436991096341058594e+01, 2.233656282134271009e+01, 3.310062562676363562e+00, 3.651878543748879480e+01, 2.236989922952901111e+00, 2.641007146984362919e+01, 5.733392826469720482e+00
