year, CNRM-ESM2-1, UKESM1-0-LL, NorESM2-MM, TaiESM1, INM-CM4-8, GFDL-ESM4, INM-CM5-0, EC-Earth3-Veg, MPI-ESM1-2-LR, MIROC-ES2L, ACCESS-ESM1-5, CMCC-ESM2, CanESM5, CESM2-WACCM, NorESM2-LM, IPSL-CM6A-LR
2.025000000000000000e+03, 8.589146080577524378e-01, 1.985676557724606495e+00, 9.062555912300503946e-01, 1.832405839349188659e+00, 1.446312075760142868e+00, 1.296222212947011121e+00, 1.515550179864892488e+00, 2.343166339936963105e+00, 1.356655116244908532e+00, 1.300199873296142394e+00, 1.149060365220623270e+00, 1.040107796523818573e+00, 1.754961086375991242e+00, 1.131023665403434686e+00, 8.836494254646004576e-01, 1.344833568685138259e+00
2.026000000000000000e+03, 8.597293244898737141e-01, 1.977740802127428310e+00, 9.466178239706330988e-01, 1.918405420966945663e+00, 1.517132700644585608e+00, 1.420182115627511399e+00, 1.467000655572287870e+00, 2.131658521030542985e+00, 1.345320688890680128e+00, 1.294988959390026118e+00, 1.114527791162419623e+00, 1.047937622277565373e+00, 1.703840059714669009e+00, 1.117539168064137334e+00, 8.686840167511756805e-01, 1.388975004158176985e+00
2.027000000000000000e+03, 8.205478622668289646e-01, 1.959916600862950053e+00, 9.311100357602830613e-01, 1.890581361719962272e+00, 1.487583649182448786e+00, 1.426051615164424247e+00, 1.525813105975601491e+00, 2.173609287169827819e+00, 1.401148981176788766e+00, 1.305085307310973386e+00, 1.091751195696957222e+00, 1.145412309742352308e+00, 1.739942590379208509e+00, 1.152114131846746270e+00, 8.542388228335636713e-01, 1.415385274603254029e+00
2.028000000000000000e+03, 8.828071045811847206e-01, 1.994961663314481992e+00, 9.641596566768647625e-01, 1.848140024876110399e+00, 1.447656591775001944e+00, 1.355575299195924899e+00, 1.533562523746730299e+00, 2.177679969658059544e+00, 1.415450725914533692e+00, 1.288995798171613583e+00, 1.091471667066003848e+00, 1.199646207882649529e+00, 1.716771903996844095e+00, 1.174204318163733163e+00, 8.659303630384161954e-01, 1.378276128853153981e+00
2.029000000000000000e+03, 8.469594347525669642e-01, 1.998302236844204050e+00, 9.905195441018165292e-01, 1.802304485466806216e+00, 1.445398076726574610e+00, 1.350739455074797535e+00, 1.525034671309038359e+00, 2.234832639509913843e+00, 1.396452508983062613e+00, 1.306700770260321054e+00, 1.089852923595931999e+00, 1.058553046031331935e+00, 1.782786277436191558e+00, 1.195998997582622625e+00, 9.122976555004777000e-01, 1.382346383534904355e+00
2.030000000000000000e+03, 7.919216460136040414e-01, 1.981276053459897879e+00, 9.947709288023803831e-01, 1.924753370463594626e+00, 1.448824309446473890e+00, 1.290884780808372323e+00, 1.523095841858268074e+00, 2.220756320088087321e+00, 1.433528971566431665e+00, 1.320625037143646985e+00, 1.143171087044288825e+00, 1.073483382675506359e+00, 1.772135298471057885e+00, 1.181143413514690987e+00, 8.909901032264961884e-01, 1.380799668288999360e+00
2.031000000000000000e+03, 8.122504932311271908e-01, 1.961886889524999011e+00, 9.834685185254335993e-01, 1.905850858541072501e+00, 1.469151054594205252e+00, 1.388157199174481438e+00, 1.539721802337769896e+00, 2.234093929390423838e+00, 1.440233489243278209e+00, 1.328844926437504181e+00, 1.138682405453301794e+00, 1.124560531174829681e+00, 1.730134179315563570e+00, 1.188760429841116073e+00, 9.079296304307897802e-01, 1.345860736388434731e+00
2.032000000000000000e+03, 8.753746894897190822e-01, 1.984431042789001287e+00, 9.754338932221020553e-01, 1.797057716370841662e+00, 1.455302292489456528e+00, 1.309774190134447069e+00, 1.562452602994336637e+00, 2.274092953342895296e+00, 1.431348945399322892e+00, 1.312669918702607186e+00, 1.116499499919839211e+00, 1.212838842319912791e+00, 1.811288330330164120e+00, 1.184362888530720026e+00, 9.346930958632717612e-01, 1.323127585972482922e+00
2.033000000000000000e+03, 7.540195500099954318e-01, 2.001829346661356812e+00, 9.963010052750409518e-01, 1.895116396753419252e+00, 1.482610478918315877e+00, 1.321220686769995822e+00, 1.512265267787093137e+00, 2.315802717475074157e+00, 1.360065253082349157e+00, 1.304226600557139681e+00, 1.162439156531522411e+00, 1.180127609774466846e+00, 1.840770450892740939e+00, 1.181934564370926699e+00, 9.303015602785162930e-01, 1.351307958847888901e+00
2.034000000000000000e+03, 8.330342154416671141e-01, 1.988536743780809912e+00, 9.951399930568647356e-01, 1.976722039618986848e+00, 1.470423666763995163e+00, 1.314925748378638737e+00, 1.498398481161098639e+00, 2.118735381386035677e+00, 1.388833012335801476e+00, 1.313747864658276976e+00, 1.156000112282062009e+00, 1.084076647851843322e+00, 1.870729800040957569e+00, 1.193456805949772326e+00, 9.193495172309598118e-01, 1.400968968288616168e+00
