year, NorESM2-MM, TaiESM1, CESM2-WACCM, NorESM2-LM, CNRM-ESM2-1, MIROC-ES2L, UKESM1-0-LL, EC-Earth3-Veg, CanESM5, MPI-ESM1-2-LR, ACCESS-ESM1-5, IPSL-CM6A-LR, CMCC-CM2-SR5
2.025000000000000000e+03, 9.234062446697750204e+01, 8.664985248254363626e+01, 1.050096377909490286e+02, 9.444170863688736972e+01, 1.355170858683379720e+02, 1.065083198696475648e+02, 2.366297749532098180e+02, 1.560547570329223674e+02, 2.373892923618891473e+02, 8.902095964931422145e+01, 1.200240453854708278e+02, 1.197803193732421789e+02, 1.874045307360659365e+02
2.026000000000000000e+03, 9.234552479022057980e+01, 8.653787399723610463e+01, 1.051130624168376784e+02, 9.451910198710542943e+01, 1.355191461812220268e+02, 1.065064841948764496e+02, 2.364383401079725786e+02, 1.560095150436277436e+02, 2.374867911914793126e+02, 8.904446199550160657e+01, 1.200677347295774524e+02, 1.197888047807963545e+02, 1.875604707543630241e+02
2.027000000000000000e+03, 9.237588348232533519e+01, 8.658091495561239981e+01, 1.051420233804111604e+02, 9.456083959601181732e+01, 1.355940235039944355e+02, 1.064724218427120093e+02, 2.362702119272035759e+02, 1.560280322035163749e+02, 2.376527584635602466e+02, 8.910635180747530626e+01, 1.200524526294812944e+02, 1.198744607204271801e+02, 1.875912371807073100e+02
2.028000000000000000e+03, 9.236974538769636922e+01, 8.662300078097604228e+01, 1.051238500930409145e+02, 9.455920596356020269e+01, 1.355003969354686433e+02, 1.064607374787683511e+02, 2.359468023030462120e+02, 1.559686291104883935e+02, 2.376665691192700081e+02, 8.941986436859073706e+01, 1.199601105953096436e+02, 1.198989435148748157e+02, 1.876637671307418884e+02
2.029000000000000000e+03, 9.234855890330686634e+01, 8.669191583269078194e+01, 1.051887199930753951e+02, 9.457880909718352314e+01, 1.355853564736993917e+02, 1.062794806578346538e+02, 2.360525579786163632e+02, 1.558909638334021395e+02, 2.376983830476926869e+02, 8.941192476501991848e+01, 1.198178848336812621e+02, 1.198860270846558365e+02, 1.877980118332823452e+02
2.030000000000000000e+03, 9.240306775409837314e+01, 8.645138427442397244e+01, 1.052900826869054782e+02, 9.465811398892391537e+01, 1.356422786223465380e+02, 1.063087388975326206e+02, 2.364809390667495848e+02, 1.558387037848522141e+02, 2.377520919253805687e+02, 8.960181891279607669e+01, 1.197978445506327887e+02, 1.199112077562268581e+02, 1.878992839565585768e+02
2.031000000000000000e+03, 9.246139838905881447e+01, 8.642139988320894872e+01, 1.053739370843283467e+02, 9.469968295916743273e+01, 1.356457889832145156e+02, 1.065176056855903539e+02, 2.364150223525427066e+02, 1.558086321198973963e+02, 2.377594452242732359e+02, 8.986076565794152771e+01, 1.199017602742660813e+02, 1.199647069026797794e+02, 1.880444198198765662e+02
2.032000000000000000e+03, 9.250837397269471296e+01, 8.671825778572106458e+01, 1.054693547067117265e+02, 9.474947313081480615e+01, 1.355762576782552458e+02, 1.067136424422361074e+02, 2.362028995706925230e+02, 1.558014005085439635e+02, 2.378451597577753773e+02, 9.005535015518107400e+01, 1.199205825159064460e+02, 1.200318370709341167e+02, 1.881956417610238361e+02
2.033000000000000000e+03, 9.255384857993617231e+01, 8.656371711121006740e+01, 1.055456908951389323e+02, 9.482885374324634142e+01, 1.356872350440922901e+02, 1.065191032418472332e+02, 2.363404840007600285e+02, 1.558150848869520360e+02, 2.379271528379353811e+02, 9.017278571085918770e+01, 1.199742554140373585e+02, 1.200346626766955751e+02, 1.882836212128807460e+02
2.034000000000000000e+03, 9.259424041398624183e+01, 8.643000960480964068e+01, 1.056414702037818074e+02, 9.489269310473652297e+01, 1.355864056887500624e+02, 1.064504519387962773e+02, 2.362753869812894152e+02, 1.558545901007424561e+02, 2.380372822200475866e+02, 9.007976513685818531e+01, 1.200705751297325605e+02, 1.200880400282811991e+02, 1.883462303696255447e+02
2.035000000000000000e+03, 9.264615511795722114e+01, 8.670560362340789595e+01, 1.057408111934402655e+02, 9.489630208826901026e+01, 1.354616996168226422e+02, 1.067052417096165868e+02, 2.361808485406058082e+02, 1.558915098563271329e+02, 2.380804785275389008e+02, 9.012400670855909368e+01, 1.201323810669689749e+02, 1.201208046215369052e+02, 1.884297971878409328e+02
2.036000000000000000e+03, 9.271874059163340576e+01, 8.659678545361271063e+01, 1.058347416507045438e+02, 9.491963452484814923e+01, 1.354803694148124578e+02, 1.068416643820341818e+02, 2.362523731717114117e+02, 1.558029438578146539e+02, 2.380584397129298964e+02, 9.026082532322008944e+01, 1.201990953206040444e+02, 1.201923886673059769e+02, 1.885018935516367264e+02
2.037000000000000000e+03, 9.279264807824029049e+01, 8.643982480633187038e+01, 1.058801734707055857e+02, 9.495888835021126795e+01, 1.356252019505998874e+02, 1.068090319713493415e+02, 2.361396756170655067e+02, 1.557168931962468434e+02, 2.379845229030668747e+02, 9.031686614347916020e+01, 1.202378010925407210e+02, 1.202238379541927458e+02, 1.886388193880596589e+02
2.038000000000000000e+03, 9.280370799535971571e+01, 8.648330008171545558e+01, 1.059393634726117455e+02, 9.506887124286302537e+01, 1.356846214411541496e+02, 1.067468257012312165e+02, 2.361262725105867446e+02, 1.556493500072921563e+02, 2.379786518657612362e+02, 9.055110706488243011e+01, 1.201886638207359965e+02, 1.202491160202683744e+02, 1.887187697252423675e+02
