year, NorESM2-MM, MPI-ESM1-2-LR, TaiESM1, TaiESM1, NorESM2-LM, NorESM2-MM, CESM2-WACCM, CNRM-ESM2-1, GFDL-ESM4, GFDL-ESM4, CNRM-ESM2-1, EC-Earth3-Veg
2.026000000000000000e+03, 1.123353782216591275e-09, 7.331462740578454679e-10, 4.652714854042447524e-10, 4.652714854042447524e-10, 1.072448827196198431e-09, 1.123353782216591275e-09, 8.794366982588565659e-10, 8.490345816924876809e-10, 1.061819680208993986e-09, 9.745619752890322110e-10, 8.490345816924876809e-10, 1.069924896914337011e-09
2.027000000000000000e+03, 1.074397414634655515e-09, 8.211971135999902867e-10, 4.338007305018241488e-10, 4.338007305018241488e-10, 1.044660837869262160e-09, 1.074397414634655515e-09, 6.350008766339374627e-10, 5.653876220583971765e-10, 1.169332200097474355e-09, 1.081917062599183316e-09, 5.653876220583971765e-10, 1.138803605603634295e-09
2.028000000000000000e+03, 9.175241142263589425e-10, 8.969973609727222455e-10, 4.364072897013692597e-10, 4.364072897013692597e-10, 8.705305411723021997e-10, 9.175241142263589425e-10, 7.823061739706536344e-10, 7.979337299762524967e-10, 1.163583321159553706e-09, 1.073526036508522801e-09, 7.979337299762524967e-10, 1.269181221833834821e-09
2.029000000000000000e+03, 9.590265241327814415e-10, 7.610074673383323889e-10, 4.001672402301395173e-10, 4.001672402301395173e-10, 9.945364686843309292e-10, 9.590265241327814415e-10, 5.466242163216928400e-10, 7.915977017542417612e-10, 9.516478748900417041e-10, 8.623406221932713723e-10, 7.915977017542417612e-10, 9.855935975868947593e-10
2.030000000000000000e+03, 1.097565080626344436e-09, 8.018672207923863622e-10, 3.274512803397497604e-10, 3.274512803397497604e-10, 1.203569616421892508e-09, 1.097565080626344436e-09, 6.813352566174856205e-10, 6.815324384017272402e-10, 1.256672715678706202e-09, 1.166364006207811543e-09, 6.815324384017272402e-10, 1.163565668717615579e-09
2.031000000000000000e+03, 1.303856123162508110e-09, 7.763221044842731873e-10, 5.048287279369611268e-10, 5.048287279369611268e-10, 8.316731986411485007e-10, 1.303856123162508110e-09, 7.333158556083121886e-10, 6.315990313057033474e-10, 1.168075682292193114e-09, 1.078398148694444242e-09, 6.315990313057033474e-10, 1.069627238767524116e-09
2.032000000000000000e+03, 9.769155184063687957e-10, 9.162214097464198637e-10, 4.180359854419739626e-10, 4.180359854419739626e-10, 8.118014860994713337e-10, 9.769155184063687957e-10, 9.375635359394194539e-10, 7.491704255718134552e-10, 9.567851802041822918e-10, 8.653829344927949844e-10, 7.491704255718134552e-10, 7.636204804541798146e-10
2.033000000000000000e+03, 1.005650447609859423e-09, 8.370185949486578479e-10, 2.872085285701812438e-10, 2.872085285701812438e-10, 9.053101476070283152e-10, 1.005650447609859423e-09, 7.794669680507834664e-10, 5.752427625343478710e-10, 1.338364181423552943e-09, 1.246725188875092861e-09, 5.752427625343478710e-10, 1.264409082778552221e-09
2.034000000000000000e+03, 1.132822210622202717e-09, 8.603107043783376189e-10, 3.765254597157586990e-10, 3.765254597157586990e-10, 1.065058177578686630e-09, 1.132822210622202717e-09, 6.699646925050052670e-10, 7.364124281771645345e-10, 1.529899635637368292e-09, 1.438564987404507769e-09, 7.364124281771645345e-10, 1.016160431344939207e-09
2.035000000000000000e+03, 1.106090065799885134e-09, 7.778606783774448722e-10, 3.835723133541910197e-10, 3.835723133541910197e-10, 8.962878396919790409e-10, 1.106090065799885134e-09, 9.077866134066457662e-10, 6.545993743687043396e-10, 1.087635013957741884e-09, 9.958184507049883575e-10, 6.545993743687043396e-10, 1.108340980792959678e-09
2.036000000000000000e+03, 1.173338236112354540e-09, 8.376975415541346598e-10, 3.661272786390578200e-10, 3.661272786390578200e-10, 9.272655409817978632e-10, 1.173338236112354540e-09, 7.294781871289535457e-10, 7.528289249159076229e-10, 1.075110115460370697e-09, 9.802291436104396083e-10, 7.528289249159076229e-10, 1.061222901755366881e-09
2.037000000000000000e+03, 1.276814192949797109e-09, 7.853215453682884050e-10, 3.201245455827812684e-10, 3.201245455827812684e-10, 9.312189162559465206e-10, 1.276814192949797109e-09, 8.601514236895794516e-10, 7.953340625363808873e-10, 1.158166588574471314e-09, 1.064380855805234046e-09, 7.953340625363808873e-10, 1.406763228985402724e-09
2.038000000000000000e+03, 1.190158794085537421e-09, 8.211701919907471325e-10, 4.141818762442701914e-10, 4.141818762442701914e-10, 1.616574133066088586e-09, 1.190158794085537421e-09, 6.567435688865283820e-10, 6.637265643570357600e-10, 1.254979481865623466e-09, 1.160629269148345396e-09, 6.637265643570357600e-10, 1.318218374887719251e-09
2.039000000000000000e+03, 8.631027577537598602e-10, 9.270432754155079649e-10, 3.604318590904718811e-10, 3.604318590904718811e-10, 1.293255741960829973e-09, 8.631027577537598602e-10, 7.031991828901376053e-10, 6.130607489040377819e-10, 1.248792396921057701e-09, 1.155681560052614896e-09, 6.130607489040377819e-10, 1.210620615089548559e-09
