year, INM-CM5-0, UKESM1-0-LL, GFDL-ESM4, ACCESS-ESM1-5, NorESM2-LM, CESM2-WACCM, CNRM-ESM2-1, IPSL-CM6A-LR, NorESM2-MM, INM-CM4-8, CanESM5, EC-Earth3-Veg, MPI-ESM1-2-LR, MIROC-ES2L, TaiESM1, CMCC-CM2-SR5
2.015000000000000000e+03, 3.772378434736191366e+01, 2.624981617604466777e+01, 2.314231217197491830e+01, 2.898356502324830686e+01, 1.913700620871698632e+01, 2.282257287434870818e+01, 1.826762181414045827e+01, 3.037046876190803957e+01, 1.984241280605918334e+01, 3.675686990698062573e+01, 3.701961539365017728e+01, 2.907286827956247066e+01, 2.911981000439587675e+01, 2.402506814817096981e+01, 2.754471680645906773e+01, 1.853741268034046286e+01
2.016000000000000000e+03, 3.700339477163524293e+01, 2.413853835056367814e+01, 2.284797528330124194e+01, 2.935797501203297344e+01, 1.835256374557415882e+01, 2.283374427692069730e+01, 1.925164302540949279e+01, 2.965931579724208333e+01, 2.116419760132307459e+01, 3.749743638176564531e+01, 3.734223677475793579e+01, 2.896017416786730436e+01, 2.861264831294360533e+01, 2.467786359986511258e+01, 3.023789236368588718e+01, 1.742067578906588565e+01
2.017000000000000000e+03, 3.520744574484635336e+01, 2.339724201321915231e+01, 2.172340767989784638e+01, 2.933397705699269409e+01, 1.820540705016465211e+01, 2.295707261151585499e+01, 1.887785053645040279e+01, 3.013133953149301192e+01, 2.065009044251258175e+01, 3.744696839662248067e+01, 3.770326454988052944e+01, 2.934376256226115487e+01, 2.892291729570661118e+01, 2.469570465466662768e+01, 2.793230663684769866e+01, 1.775717117484025920e+01
2.018000000000000000e+03, 3.784475022884927142e+01, 2.492001422944846922e+01, 2.196254480099783635e+01, 2.971292510299864276e+01, 1.875641728257711094e+01, 2.254685606329599779e+01, 1.742139362574351225e+01, 3.024012051843048710e+01, 2.061095994023818534e+01, 3.652736261012729102e+01, 3.759161674443399903e+01, 2.837064633777715272e+01, 3.045410390304095216e+01, 2.498224832852270083e+01, 2.601256194836568980e+01, 1.743884276905843578e+01
2.019000000000000000e+03, 3.804077213659553536e+01, 2.341724527984493420e+01, 2.255542015554714297e+01, 2.997234831032086433e+01, 1.797629838220718668e+01, 2.375452211002068381e+01, 1.777423700007715723e+01, 3.054704210509502005e+01, 2.077729906461696530e+01, 3.552072917172608157e+01, 3.852464890742629677e+01, 2.879053902517103936e+01, 3.023053943433526669e+01, 2.491692674293953758e+01, 2.812046784519181486e+01, 1.750924219862930542e+01
2.020000000000000000e+03, 3.777699550479081836e+01, 2.327247435526893327e+01, 2.207385019926205771e+01, 3.076381445921565572e+01, 1.762779688518111598e+01, 2.229698842812307547e+01, 1.875538191770969476e+01, 3.091398520344706924e+01, 2.053542483165331944e+01, 3.817617086604872867e+01, 3.854378801341655958e+01, 2.969843605886651972e+01, 3.032302219183703684e+01, 2.481169620362717865e+01, 2.938776232293632518e+01, 1.801327690842217422e+01
2.021000000000000000e+03, 3.702691259959053838e+01, 2.267491872235960670e+01, 2.158942139730599052e+01, 3.069364954884994035e+01, 1.800127414466469489e+01, 2.213734850482607541e+01, 2.099338150593147390e+01, 3.015621912452587949e+01, 2.120735481984320003e+01, 3.709406193827931020e+01, 3.882630140543336950e+01, 2.808942770848741688e+01, 3.400710552234295392e+01, 2.511099547839676305e+01, 2.746954078727216242e+01, 1.809699501722916182e+01
2.022000000000000000e+03, 3.934531290658488700e+01, 2.327776134782303430e+01, 2.190112275151508214e+01, 3.127535012242690371e+01, 1.906817985932112336e+01, 2.298335925547517533e+01, 1.683815032228535458e+01, 3.041504519706278487e+01, 2.049080108162544889e+01, 3.655634431790909389e+01, 3.894680278882390922e+01, 2.938023640669565850e+01, 3.135233517262621206e+01, 2.512222463981541054e+01, 2.814133833765251325e+01, 1.849876924588228988e+01
2.023000000000000000e+03, 4.117817367822545549e+01, 2.374475286288212317e+01, 2.277317779030376954e+01, 2.954544445370445160e+01, 1.884953433834413161e+01, 2.432581264632210605e+01, 1.756934823100126764e+01, 3.052988665151189807e+01, 2.076696901063727907e+01, 3.649720016684901935e+01, 4.001779201416835008e+01, 2.837336518147402487e+01, 3.246511639337236943e+01, 2.482254499241857104e+01, 2.850339626500981183e+01, 1.842614733770582447e+01
2.024000000000000000e+03, 3.810906353602526053e+01, 2.443733608279024239e+01, 2.282905148854909783e+01, 3.007350098475426137e+01, 1.864553014363838201e+01, 2.342794369290157874e+01, 1.818303083560530808e+01, 2.955091778626216836e+01, 2.080428155676410995e+01, 3.823644463782025582e+01, 4.061982396494968839e+01, 2.985026493944333836e+01, 3.044153676126957109e+01, 2.501566070570435585e+01, 2.796087647724815639e+01, 1.794021530804374009e+01
