year, ACCESS-ESM1-5, MPI-ESM1-2-LR, UKESM1-0-LL, CMCC-ESM2, CESM2-WACCM, MIROC-ES2L, IPSL-CM6A-LR, CNRM-ESM2-1
2.031000000000000000e+03, 2.119678405403631923e-10, 9.584068268651099121e-10, 1.964055087098520625e-10, 9.736228062246029801e-11, 3.540728428380968351e-10, 1.492378668859323146e-09, 1.667699727877868942e-09, 1.536266675109277626e-10
2.032000000000000000e+03, 2.144800850551403858e-10, 9.711588940729070577e-10, 1.807297422960586159e-10, 9.894959625602725418e-11, 3.618614233962421370e-10, 1.485748352506244816e-09, 1.680004517933302746e-09, 1.494042481495831210e-10
2.033000000000000000e+03, 2.157565710371923970e-10, 9.565932906950888400e-10, 1.805385723589252295e-10, 1.006100157960751749e-10, 3.363332552265551944e-10, 1.477981892435818230e-09, 1.758466249858989148e-09, 1.446307303124972973e-10
2.034000000000000000e+03, 2.183211208579251345e-10, 9.320067451129321223e-10, 1.833100929530818570e-10, 1.022467330838233460e-10, 3.622765556932188902e-10, 1.476035487981522319e-09, 1.806857163193524385e-09, 1.386214765713156135e-10
2.035000000000000000e+03, 2.209302786247992681e-10, 9.558166450641486418e-10, 1.887209200274552457e-10, 1.046667648389721676e-10, 3.732938005723343120e-10, 1.499667558328232765e-09, 1.947784907038825159e-09, 1.314979770511906669e-10
2.036000000000000000e+03, 2.267167930998986513e-10, 9.683040290867924161e-10, 1.788306105080793232e-10, 1.076431374645073806e-10, 3.529155188907239733e-10, 1.497014438149024263e-09, 1.898296051708359092e-09, 1.287891704516141457e-10
2.037000000000000000e+03, 2.308189299961008259e-10, 9.761645264580289378e-10, 1.783060986945628411e-10, 1.103371405827544871e-10, 3.706392059936133316e-10, 1.495988290124214356e-09, 1.871603095495432242e-09, 1.251748683273059445e-10
2.038000000000000000e+03, 2.339675099186728863e-10, 9.948953030086795350e-10, 1.823897853387747166e-10, 1.127921754865429714e-10, 3.618802031323085626e-10, 1.493474945435409695e-09, 1.949202536436270168e-09, 1.219046394597876291e-10
2.039000000000000000e+03, 2.361057572130070979e-10, 9.977340674566085874e-10, 1.956379113983108572e-10, 1.150279533176563967e-10, 3.682241015282526916e-10, 1.491032622724844253e-09, 1.982049331437769264e-09, 1.195944589133811548e-10
2.040000000000000000e+03, 2.382081493142957345e-10, 1.025141778680009277e-09, 2.066291913475831995e-10, 1.183188052803937936e-10, 3.688991220117241843e-10, 1.512539876247265105e-09, 1.945853239309275460e-09, 1.172989473855790152e-10
2.041000000000000000e+03, 2.532425388220917464e-10, 1.083766178710534834e-09, 1.948017954497859957e-10, 1.223267734130116134e-10, 3.497145465928223027e-10, 1.537873888573701511e-09, 1.981231961083223862e-09, 1.183298128799572315e-10
2.042000000000000000e+03, 2.606072482611489908e-10, 1.101425032916870635e-09, 1.935106572141842255e-10, 1.268470983356418705e-10, 3.488572940622232912e-10, 1.541748274501351377e-09, 2.025778587062707839e-09, 1.194964583999409586e-10
2.043000000000000000e+03, 2.661118805578136134e-10, 1.112101697158225596e-09, 2.023224027580062471e-10, 1.319132228783225261e-10, 3.605918148257442837e-10, 1.543516019846769872e-09, 2.138204707238014168e-09, 1.208982749614743829e-10
2.044000000000000000e+03, 2.694421915038885283e-10, 1.136580267223229731e-09, 2.152101598756824711e-10, 1.365688923073470281e-10, 3.497313928138750176e-10, 1.548408986896238513e-09, 2.062928765521700546e-09, 1.236090070093258173e-10
2.045000000000000000e+03, 2.724627975291665027e-10, 1.122057568977581272e-09, 2.186438119550504213e-10, 1.419848075557432330e-10, 3.789445910407436143e-10, 1.568040133804246501e-09, 2.160265703109763490e-09, 1.272066025290936283e-10
2.046000000000000000e+03, 2.795021102967008525e-10, 1.097314457429524483e-09, 1.973930552920442212e-10, 1.478775818713178361e-10, 3.731758782606891845e-10, 1.570321560375641465e-09, 2.268937625404915552e-09, 1.316325869704720716e-10
2.047000000000000000e+03, 2.832266452894903209e-10, 1.084443606101718199e-09, 1.915367886065812874e-10, 1.529112672045790132e-10, 3.799331050197442092e-10, 1.574474872274323193e-09, 2.297373619775627563e-09, 1.347115286729640279e-10
2.048000000000000000e+03, 2.868067250466105992e-10, 1.161040671753489558e-09, 1.908811710977270482e-10, 1.573043570885728621e-10, 3.968204147758297306e-10, 1.581260084259081755e-09, 2.323318456988246104e-09, 1.377557835361135909e-10
2.049000000000000000e+03, 2.893694725392299525e-10, 1.179366594506223076e-09, 1.923144065471760493e-10, 1.611793672468918374e-10, 3.739664590354539499e-10, 1.599058267604718215e-09, 2.260612250254363008e-09, 1.407553186337624035e-10
2.050000000000000000e+03, 2.914713069769020552e-10, 1.239047401137450865e-09, 1.991018882667326284e-10, 1.696436933327317222e-10, 3.706200127240118444e-10, 1.666834989406221653e-09, 2.143952277015389710e-09, 1.436117321792826352e-10
2.051000000000000000e+03, 3.309197831590829783e-10, 1.295557661057092920e-09, 2.257494568078604314e-10, 1.810488102992498369e-10, 3.644245569707657123e-10, 1.682586681272412825e-09, 2.333894609442143763e-09, 1.465306735934175921e-10
2.052000000000000000e+03, 3.483686678486800133e-10, 1.306559856682263019e-09, 2.535095053602194279e-10, 1.899880560065755142e-10, 3.840767885473042208e-10, 1.691811996298605596e-09, 2.396035672843497746e-09, 1.530505852008817157e-10
2.053000000000000000e+03, 3.577307550890575911e-10, 1.327603648407453746e-09, 2.725067938274037716e-10, 1.970041564734690447e-10, 4.034420430191575820e-10, 1.708582875405037046e-09, 2.364333800104064092e-09, 1.593330597147372948e-10
2.054000000000000000e+03, 3.647622154865886155e-10, 1.374978608825033525e-09, 2.936650610680761802e-10, 2.025978889652463359e-10, 3.955805385278541727e-10, 1.720276590153987620e-09, 2.482363617852300496e-09, 1.659574116306475650e-10
2.055000000000000000e+03, 3.708572586045208136e-10, 1.409965603077020977e-09, 3.035251966676524500e-10, 2.136612764090901096e-10, 3.883342076865303854e-10, 1.748737612637815492e-09, 2.556402721250987944e-09, 1.729881605854286899e-10
2.056000000000000000e+03, 4.002383846703748822e-10, 1.399290740266059565e-09, 2.891471311529154606e-10, 2.285852715549655021e-10, 3.813406454217889351e-10, 1.750511913868080815e-09, 2.626100297925908671e-09, 1.811657454477227760e-10
2.057000000000000000e+03, 4.153841081302905989e-10, 1.412109802820586560e-09, 3.027125623188897065e-10, 2.374382581543131530e-10, 3.810212513982673781e-10, 1.759831172427709288e-09, 2.606543347230614002e-09, 1.908475468025720773e-10
2.058000000000000000e+03, 4.252820327281141414e-10, 1.387245988693432722e-09, 3.194972042956079814e-10, 2.419650019835341841e-10, 4.017947770139575105e-10, 1.768226834135807881e-09, 2.621424653361789048e-09, 2.005822767870584132e-10
2.059000000000000000e+03, 4.351603083498807228e-10, 1.433607719911431034e-09, 3.397002367953928187e-10, 2.446520234093937229e-10, 3.886537422672580737e-10, 1.764674624913733430e-09, 2.660456029118703194e-09, 2.103550575700713141e-10
