year, IPSL-CM6A-LR, CMCC-CM2-SR5, MIROC-ES2L, UKESM1-0-LL, ACCESS-ESM1-5, EC-Earth3-Veg, MPI-ESM1-2-LR, CESM2-WACCM, CNRM-ESM2-1
2.015000000000000000e+03, 3.974875371099105825e-01, 2.629604024700634146e-01, 3.743655685514896359e+00, 3.048784737973311842e-01, 1.338593130259466690e+00, 1.300259925684520423e-01, 1.527203977068942065e+00, 8.298309026116639231e-01, 8.772404319438396880e-02
2.016000000000000000e+03, 4.325515076569363959e-01, 2.850218083836351668e-01, 3.860000118643133415e+00, 3.107922676035445031e-01, 1.652736430247868871e+00, 1.495454423092857088e-01, 1.541554128853330319e+00, 8.031444942806577059e-01, 1.015152281414496704e-01
2.017000000000000000e+03, 4.653275827832102918e-01, 3.026477176016438286e-01, 3.952523017422760354e+00, 3.485069410663394485e-01, 1.760773032081031753e+00, 1.737645737796778556e-01, 1.549004845979615297e+00, 7.955487335058747389e-01, 1.150442328042584478e-01
2.018000000000000000e+03, 4.914856050713899416e-01, 3.174267792223836593e-01, 4.025160172672597625e+00, 3.979519850441188278e-01, 1.875396945240648927e+00, 2.000638631605216600e-01, 1.573728192260995584e+00, 7.836942522053174098e-01, 1.278061024056405537e-01
2.019000000000000000e+03, 5.142487579597564418e-01, 3.295598643080312473e-01, 4.082432836245083685e+00, 4.614817414441467203e-01, 1.990775824951724005e+00, 2.281552181253362899e-01, 1.589495342544005041e+00, 7.680207668809625465e-01, 1.394348617142398827e-01
2.020000000000000000e+03, 5.355504495276049992e-01, 3.427954538799699025e-01, 4.110161149946974568e+00, 5.469689155422745586e-01, 2.107130903983216452e+00, 2.583358030784995152e-01, 1.613971514499923821e+00, 7.517004544404265465e-01, 1.511614122614632350e-01
2.021000000000000000e+03, 5.549875449854899667e-01, 3.567507487428017154e-01, 4.141085223774759960e+00, 6.342331455898891912e-01, 2.237579977748509918e+00, 2.794379688960043073e-01, 1.662208845152930881e+00, 7.210181085836957493e-01, 1.627610629084798588e-01
2.022000000000000000e+03, 5.708015167516963251e-01, 3.684435885243494413e-01, 4.169048419283236662e+00, 7.290658624278670841e-01, 2.362716123923729317e+00, 3.019135012622743419e-01, 1.703698292040934481e+00, 6.942819855944974972e-01, 1.713449873417435820e-01
2.023000000000000000e+03, 5.856027652854133292e-01, 3.784284406415495128e-01, 4.195992857072386784e+00, 8.280990809012738207e-01, 2.483945505706686596e+00, 3.264142133203555840e-01, 1.724124088307499747e+00, 6.864163999057218968e-01, 1.795897693520883409e-01
2.024000000000000000e+03, 5.970675202325993469e-01, 3.874185138645409587e-01, 4.218956208992957535e+00, 9.246643330027212171e-01, 2.602765513312320422e+00, 3.528625829991968166e-01, 1.737711181936288485e+00, 6.503377856662277967e-01, 1.882231746751789336e-01
2.025000000000000000e+03, 6.067378331108332912e-01, 3.957994215258512360e-01, 4.210951124430659220e+00, 1.010770302931754516e+00, 2.717255435520657958e+00, 3.803579406227722282e-01, 1.738296032086544596e+00, 6.284237900668862009e-01, 1.981988330776301155e-01
2.026000000000000000e+03, 5.968770927527187187e-01, 4.035817236835615995e-01, 4.219465267632728889e+00, 1.010093164735352822e+00, 2.804801066663547449e+00, 3.959014712410432457e-01, 1.739484261628281736e+00, 6.161287028792663545e-01, 1.979008103343345981e-01
2.027000000000000000e+03, 5.884721078249165460e-01, 4.106874352408454443e-01, 4.229146549250326181e+00, 1.032032471930034001e+00, 2.893867730627911250e+00, 4.119850769504796451e-01, 1.765277726092450816e+00, 6.057084046064501459e-01, 1.960550414071841885e-01
2.028000000000000000e+03, 5.815637425950883621e-01, 4.170680989127583671e-01, 4.235410584047405003e+00, 1.080826564243786425e+00, 2.982795912051682041e+00, 4.287882176570477766e-01, 1.798892443820181208e+00, 5.952940696094208839e-01, 1.935388104824805888e-01
2.029000000000000000e+03, 5.743304972880355352e-01, 4.226633293232611166e-01, 4.246237709217209222e+00, 1.132795165620267275e+00, 3.069982245186961833e+00, 4.466821836462943618e-01, 1.787203973485241626e+00, 5.876329468414224211e-01, 1.910644361509054034e-01
2.030000000000000000e+03, 5.692308276300357406e-01, 4.288654588933270007e-01, 4.249839477804574273e+00, 1.172216220109341345e+00, 3.155473493879097813e+00, 4.657090280859311204e-01, 1.801871033660357391e+00, 5.846004550449283022e-01, 1.884105301524836018e-01
2.031000000000000000e+03, 5.524081929965570792e-01, 4.356720281711680132e-01, 4.263696826643308846e+00, 1.145385674363019968e+00, 3.247639907516720825e+00, 4.764439018176394591e-01, 1.823286358343673141e+00, 5.707484760357741660e-01, 1.845088662280028324e-01
2.032000000000000000e+03, 5.379509176355840028e-01, 4.421796144254517280e-01, 4.271426707004652989e+00, 1.135235935250415107e+00, 3.334425794004086896e+00, 4.878100618036123048e-01, 1.833966652589029245e+00, 5.694279843293517107e-01, 1.826435742757392955e-01
2.033000000000000000e+03, 5.252060236135499549e-01, 4.490012517446954066e-01, 4.275883207035266587e+00, 1.144625280513177357e+00, 3.416460378098820083e+00, 5.005029632330977307e-01, 1.824181866807355945e+00, 5.555362498285005834e-01, 1.809601435562506189e-01
2.034000000000000000e+03, 5.152421922293035639e-01, 4.559607626896569621e-01, 4.281850860835520578e+00, 1.159360167167837075e+00, 3.499893423809937509e+00, 5.143036288339861706e-01, 1.806058842674761467e+00, 5.640185684620485640e-01, 1.794122594465785703e-01
2.035000000000000000e+03, 5.070779081400771382e-01, 4.665340765927648570e-01, 4.311676139706279720e+00, 1.180006811221604668e+00, 3.582967377199742121e+00, 5.291778766082599894e-01, 1.827047255511561108e+00, 5.671825050588676920e-01, 1.810918840283916309e-01
2.036000000000000000e+03, 5.019864860687829333e-01, 4.794473078298565061e-01, 4.330689650558911197e+00, 1.176730222130095038e+00, 3.675076731006981401e+00, 5.445586945876476070e-01, 1.842901836587395703e+00, 5.573176148112193307e-01, 1.859083784185641131e-01
2.037000000000000000e+03, 4.991338621272766174e-01, 4.909050646077124380e-01, 4.344633246971753238e+00, 1.185039394323924355e+00, 3.765820711463390591e+00, 5.608757222675572196e-01, 1.853623360324612612e+00, 5.638247783636208821e-01, 1.924764567869033105e-01
2.038000000000000000e+03, 4.981141284541107939e-01, 5.015587163276800098e-01, 4.354143942306352599e+00, 1.201358825078986170e+00, 3.854930219219193432e+00, 5.782710307230839453e-01, 1.874708522467250615e+00, 5.602054092704917831e-01, 1.990916898201239849e-01
2.039000000000000000e+03, 4.986473701854599594e-01, 5.112021670015288732e-01, 4.363742692374087184e+00, 1.235541649218685478e+00, 3.941000211001845610e+00, 5.962700869096130285e-01, 1.879310662407135624e+00, 5.633574269634304965e-01, 2.055125538260672013e-01
2.040000000000000000e+03, 4.995761466633006909e-01, 5.249594440493023928e-01, 4.393494380250031917e+00, 1.271497639570979388e+00, 4.025744835364220897e+00, 6.151676813403915700e-01, 1.904531371871312384e+00, 5.641620442636012811e-01, 2.107197606561945213e-01
2.041000000000000000e+03, 5.023346423811587691e-01, 5.416517200072341609e-01, 4.434600115944374643e+00, 1.272203304456292372e+00, 4.147539655799553415e+00, 6.388361583687363066e-01, 1.960089733334798856e+00, 5.545725254051349085e-01, 2.203934388068510830e-01
2.042000000000000000e+03, 5.036255616250824296e-01, 5.601539023360043723e-01, 4.463993738096054820e+00, 1.284832892169268437e+00, 4.261488554258385797e+00, 6.631722388749256014e-01, 1.985530053863646893e+00, 5.529017737863979320e-01, 2.306168687524039473e-01
2.043000000000000000e+03, 5.060486835985602561e-01, 5.810073812074620925e-01, 4.486396687377060211e+00, 1.313952537044179358e+00, 4.373730265017018226e+00, 6.886736062342398990e-01, 2.004542723950863525e+00, 5.568426009649223296e-01, 2.447495116898794898e-01
2.044000000000000000e+03, 5.076794556503777534e-01, 6.002837179594004979e-01, 4.508328668448872811e+00, 1.353605747554707417e+00, 4.480753419336491739e+00, 7.146625567612734375e-01, 2.032473403856264405e+00, 5.517794936118648463e-01, 2.588281389447213421e-01
2.045000000000000000e+03, 5.088078947137146812e-01, 6.230494443506585656e-01, 4.541210382917280519e+00, 1.381753733825010766e+00, 4.585404417157667112e+00, 7.406081148590593077e-01, 2.030414507369389110e+00, 5.636776297334916697e-01, 2.722325986613038373e-01
2.046000000000000000e+03, 5.058784951452873768e-01, 6.479522524786183180e-01, 4.567964893586015762e+00, 1.367685808429338179e+00, 4.700358464068544961e+00, 7.635715115944911036e-01, 2.019378596248201596e+00, 5.623680785157996187e-01, 2.862223174880384469e-01
2.047000000000000000e+03, 5.026841412275494525e-01, 6.690856116299118694e-01, 4.589685697003004883e+00, 1.369884275748733948e+00, 4.809152644393086540e+00, 7.881951481832396578e-01, 2.016717906331667809e+00, 5.659872411899742328e-01, 2.994078892749098553e-01
2.048000000000000000e+03, 4.997365690613992939e-01, 6.867296678785529407e-01, 4.612693894196072897e+00, 1.378439373915842703e+00, 4.916784474082352752e+00, 8.139188084679669366e-01, 2.088780090003584888e+00, 5.736719239854355390e-01, 3.135790197924373524e-01
2.049000000000000000e+03, 4.975909158259573806e-01, 7.023050492664313360e-01, 4.645645494143299636e+00, 1.390442081402988306e+00, 5.020696299042351818e+00, 8.399995991701649789e-01, 2.111737721078281727e+00, 5.646721666005191098e-01, 3.262613832827513938e-01
2.050000000000000000e+03, 4.962879938916287537e-01, 7.367790644938961853e-01, 4.732846129983830252e+00, 1.412457042510346428e+00, 5.121473793976252686e+00, 8.669088096221047035e-01, 2.165801925009874118e+00, 5.635072682791839593e-01, 3.361465807123025229e-01
2.051000000000000000e+03, 5.034164776712172218e-01, 7.831647293768830842e-01, 4.789747186488884090e+00, 1.471261012752918207e+00, 5.330287204179964711e+00, 9.050321031868208133e-01, 2.232490049324865833e+00, 5.575829138760649561e-01, 3.647350239153097640e-01
2.052000000000000000e+03, 5.096479741279354991e-01, 8.194616569387564997e-01, 4.836363942830443463e+00, 1.543140703943680636e+00, 5.517741391570862852e+00, 9.450117844919289078e-01, 2.263864953845353689e+00, 5.628936222389600008e-01, 3.954153837643227809e-01
2.053000000000000000e+03, 5.163991809059420568e-01, 8.479960553602886586e-01, 4.881350248185920115e+00, 1.610273349430153544e+00, 5.693152906177304295e+00, 9.870965068364654371e-01, 2.299940824182418631e+00, 5.686032430763584555e-01, 4.278150422151201782e-01
2.054000000000000000e+03, 5.216746149013802292e-01, 8.718899921918461526e-01, 4.923139140738747699e+00, 1.686761405875714770e+00, 5.862588402223249950e+00, 1.031006885833015030e+00, 2.357803128116375380e+00, 5.635652061780845878e-01, 4.566461786082000596e-01
2.055000000000000000e+03, 5.266568527040701442e-01, 9.174233387094237191e-01, 4.979755861354859370e+00, 1.749732853893937845e+00, 6.027552052551799378e+00, 1.075424170044456007e+00, 2.401679977404804323e+00, 5.589511893699835587e-01, 4.811639200164932739e-01
2.056000000000000000e+03, 5.313347785744462204e-01, 9.743692558442745844e-01, 5.016479297163970230e+00, 1.771108708478184024e+00, 6.258811042517693046e+00, 1.112777668378262641e+00, 2.411092169879595737e+00, 5.576696557187809100e-01, 5.391928839037858356e-01
2.057000000000000000e+03, 5.361326738790525015e-01, 1.014244963517251463e+00, 5.048639109670435055e+00, 1.831065933469592233e+00, 6.474516582784077379e+00, 1.151994996767538693e+00, 2.442485754926529307e+00, 5.583355678689710944e-01, 5.825990250241753765e-01
2.058000000000000000e+03, 5.389970160452118852e-01, 1.040499001835155868e+00, 5.080392180393185519e+00, 1.899693810775857639e+00, 6.681067298107277175e+00, 1.193762975408945826e+00, 2.439292107127587261e+00, 5.678586598756103498e-01, 6.143651955284217259e-01
