year, IPSL-CM6A-LR, CMCC-CM2-SR5, MIROC-ES2L, UKESM1-0-LL, ACCESS-ESM1-5, EC-Earth3-Veg, MPI-ESM1-2-LR, CESM2-WACCM, CNRM-ESM2-1
2.059000000000000000e+03, 5.405303186942153060e-01, 1.059449710496647157e+00, 5.101172020121197193e+00, 1.978721709952565355e+00, 6.887145607194792518e+00, 1.238809614307583740e+00, 2.494255529420581929e+00, 5.634334211202823850e-01, 6.353769474555133190e-01
2.060000000000000000e+03, 5.416079326509609659e-01, 1.081879406151112111e+00, 5.136079477611828814e+00, 2.055905523551142089e+00, 7.083510492744816034e+00, 1.286690901447857582e+00, 2.513977183816329841e+00, 5.699541612887818465e-01, 6.440285911049629108e-01
2.061000000000000000e+03, 5.386719479741095551e-01, 1.108766269822420103e+00, 5.172150387954925321e+00, 2.078825887183509025e+00, 7.292691201696390735e+00, 1.334936658290692746e+00, 2.517395728386544906e+00, 5.738234671379061069e-01, 6.449267354576931899e-01
2.062000000000000000e+03, 5.358407683926145193e-01, 1.132630711330563589e+00, 5.209550801662336639e+00, 2.117020310699211372e+00, 7.498383195754471764e+00, 1.386670738967604066e+00, 2.480604677675579683e+00, 5.736564247636188885e-01, 6.388633905854116390e-01
2.063000000000000000e+03, 5.343385481627082045e-01, 1.152796413040690693e+00, 5.239602031168065999e+00, 2.165921792421441783e+00, 7.699847259221436424e+00, 1.442777663324008808e+00, 2.473048174124083065e+00, 5.711909201634655098e-01, 6.286096604075603889e-01
2.064000000000000000e+03, 5.310266992061241087e-01, 1.169168698457936362e+00, 5.253323850165827480e+00, 2.222098674959906095e+00, 7.895625822232066326e+00, 1.501221084603455491e+00, 2.535387359179321898e+00, 5.749192278979654569e-01, 6.159293349799130901e-01
2.065000000000000000e+03, 5.284181164804223618e-01, 1.189504249361548638e+00, 5.277140625603649049e+00, 2.284148292327730090e+00, 8.080218630883008402e+00, 1.561263822938755652e+00, 2.565816051782628726e+00, 5.811220328547868075e-01, 5.979132581227334375e-01
2.066000000000000000e+03, 5.264120447244122758e-01, 1.211680209557343346e+00, 5.309583530218787040e+00, 2.318951318604324019e+00, 8.272657797871190155e+00, 1.604969949082976965e+00, 2.575389550911047376e+00, 5.787708068269779016e-01, 5.839741793659959379e-01
2.067000000000000000e+03, 5.260770456884029667e-01, 1.228336208694003728e+00, 5.332106411334774698e+00, 2.361399632987144948e+00, 8.474166775923016814e+00, 1.651919417462171413e+00, 2.604441716795837802e+00, 5.650461214170146018e-01, 5.720042365129254236e-01
2.068000000000000000e+03, 5.287625613711278705e-01, 1.241525290031169737e+00, 5.347312256932799102e+00, 2.411147217662438891e+00, 8.671172566410083604e+00, 1.702402986450407996e+00, 2.613676820223408637e+00, 5.698161737009578287e-01, 5.590761503917348607e-01
2.069000000000000000e+03, 5.299299620770246966e-01, 1.253081371552373646e+00, 5.361828696030055852e+00, 2.466181498034861086e+00, 8.862517210361362530e+00, 1.757020421467299087e+00, 2.644197696793078478e+00, 5.682001995735216360e-01, 5.419474680451237258e-01
2.070000000000000000e+03, 5.300604530946780857e-01, 1.269783347307305910e+00, 5.361544207180784838e+00, 2.508255190335770379e+00, 9.050659603610041515e+00, 1.815536668089300587e+00, 2.594193790260475918e+00, 5.703610411090885846e-01, 5.238483703082914555e-01
2.071000000000000000e+03, 5.187644190276720080e-01, 1.289300928768855048e+00, 5.374014968204626541e+00, 2.475553162400142337e+00, 9.142973813646413817e+00, 1.861654666167823935e+00, 2.574336637372598435e+00, 5.702148656475369837e-01, 5.091755774775504895e-01
2.072000000000000000e+03, 5.087823992077075141e-01, 1.304984315478939561e+00, 5.349921006162521309e+00, 2.461216215467523227e+00, 9.246119065686473348e+00, 1.911888483277101702e+00, 2.582690036281634516e+00, 5.748997294764269794e-01, 4.936082236055797101e-01
2.073000000000000000e+03, 5.000075476151398801e-01, 1.315631948981374588e+00, 5.341648977839120960e+00, 2.474107979729862627e+00, 9.351415575112849154e+00, 1.965430491215965247e+00, 2.598841839712189294e+00, 5.824794317546519995e-01, 4.776445015221145174e-01
2.074000000000000000e+03, 4.914000586787706792e-01, 1.324043397430685776e+00, 5.343205754559336107e+00, 2.499415322259853856e+00, 9.457699924272597869e+00, 2.021905246374152476e+00, 2.591612638068840901e+00, 5.889873788830622958e-01, 4.617033646447528117e-01
2.075000000000000000e+03, 4.846916672107002833e-01, 1.337202110243368880e+00, 5.319832651336357188e+00, 2.504732029641245195e+00, 9.571034288246064392e+00, 2.080276212071554998e+00, 2.529390572165613804e+00, 5.824489062096458447e-01, 4.506765964271953195e-01
2.076000000000000000e+03, 4.724094616825071369e-01, 1.352554236845261881e+00, 5.299594069751435654e+00, 2.448994894930568655e+00, 9.609536923569658384e+00, 2.097956391000836085e+00, 2.516057432275266237e+00, 5.948508618690531158e-01, 4.381040549529460759e-01
2.077000000000000000e+03, 4.622975165305838741e-01, 1.362691065284135528e+00, 5.274647807896826635e+00, 2.412804838854925915e+00, 9.665148630225168347e+00, 2.118641222803659740e+00, 2.571882430136333664e+00, 6.031366340711010743e-01, 4.251063745231601909e-01
2.078000000000000000e+03, 4.516528677657723478e-01, 1.367972916301453346e+00, 5.249346120495163248e+00, 2.390678526053355402e+00, 9.727410336953179026e+00, 2.142935774453673670e+00, 2.599783079402210095e+00, 5.931752376664488624e-01, 4.127308251418063123e-01
2.079000000000000000e+03, 4.437062685822744101e-01, 1.373066541570325372e+00, 5.240509286819259316e+00, 2.379408648895898981e+00, 9.788681406256397821e+00, 2.171200677041983162e+00, 2.619254677434672995e+00, 6.219164010625933825e-01, 4.020613977602351397e-01
2.080000000000000000e+03, 4.376002404897669229e-01, 1.372504511541089878e+00, 5.227621228612823856e+00, 2.379641079988756402e+00, 9.851588363317706154e+00, 2.202506954593880462e+00, 2.598782427523324667e+00, 6.176170532168494542e-01, 3.918044945117105105e-01
2.081000000000000000e+03, 4.273437214382034277e-01, 1.367057798946796465e+00, 5.227841060925538130e+00, 2.352126479518847457e+00, 9.845196780787819790e+00, 2.204815860282134388e+00, 2.549743058457820233e+00, 6.322711011129655834e-01, 3.801998059797110918e-01
2.082000000000000000e+03, 4.185911876028600154e-01, 1.362606718593698973e+00, 5.215809585806795212e+00, 2.340574052472959021e+00, 9.853832879686050816e+00, 2.211523239185160250e+00, 2.557216663637825516e+00, 6.192268082258480799e-01, 3.678186706404921180e-01
2.083000000000000000e+03, 4.088146200348138359e-01, 1.356591486111191847e+00, 5.213193282124453987e+00, 2.341017075011211368e+00, 9.868393138672095333e+00, 2.222080519877438043e+00, 2.548976785027912140e+00, 6.292656374803569097e-01, 3.542221317223903099e-01
2.084000000000000000e+03, 4.020588000659721106e-01, 1.346131673813541818e+00, 5.217766710064733360e+00, 2.346530910346202425e+00, 9.886436654725724082e+00, 2.236693434383975720e+00, 2.587332986054744488e+00, 6.345806971599948776e-01, 3.401089912850823738e-01
2.085000000000000000e+03, 3.976363145410795052e-01, 1.328414662585883255e+00, 5.214759736838502135e+00, 2.345506199905220246e+00, 9.906684204113926029e+00, 2.253973641492905688e+00, 2.604288421943490750e+00, 6.354585359029871761e-01, 3.262892211584734192e-01
2.086000000000000000e+03, 3.931040438819741745e-01, 1.307678082659120111e+00, 5.207461351220631585e+00, 2.309011214844513216e+00, 9.885754706962202931e+00, 2.240205159153997538e+00, 2.573207027601299046e+00, 6.120051867035699589e-01, 3.103534895399230886e-01
2.087000000000000000e+03, 3.901280169913187157e-01, 1.290453916176058646e+00, 5.205635223991342819e+00, 2.288280120047446076e+00, 9.873259948061697600e+00, 2.230408445231417236e+00, 2.551921113158351684e+00, 6.098615720461213474e-01, 2.945763865994435737e-01
2.088000000000000000e+03, 3.869531286251619018e-01, 1.273685832029633813e+00, 5.205358603405993989e+00, 2.278064705132996970e+00, 9.864982258796679560e+00, 2.223289726440770941e+00, 2.558714423879759448e+00, 5.814505333205950421e-01, 2.788435966888464512e-01
2.089000000000000000e+03, 3.844024455800293949e-01, 1.255927078704918820e+00, 5.197629608261522094e+00, 2.274030287332267974e+00, 9.861883510958119103e+00, 2.219986969062050619e+00, 2.603887647590875876e+00, 5.630216132012464403e-01, 2.641142305476143481e-01
2.090000000000000000e+03, 3.816085535073887036e-01, 1.235599070657684262e+00, 5.190241524934704920e+00, 2.268930134838056389e+00, 9.862787526880204325e+00, 2.220620257421697108e+00, 2.592977127748318011e+00, 5.651412847060580669e-01, 2.497426198269634690e-01
2.091000000000000000e+03, 3.773288374609350404e-01, 1.214927182850796816e+00, 5.201801706822622329e+00, 2.244457406383882248e+00, 9.846223698821452430e+00, 2.202943549876593021e+00, 2.566352643995033933e+00, 5.444039475274968787e-01, 2.363168250094237199e-01
2.092000000000000000e+03, 3.717094935232382880e-01, 1.197942894320401797e+00, 5.252388112321475511e+00, 2.230153225799371253e+00, 9.831311383878414745e+00, 2.187496426083650913e+00, 2.560660146136521487e+00, 5.552507311673007262e-01, 2.230705454783569186e-01
2.093000000000000000e+03, 3.679195167366183794e-01, 1.182991665882703325e+00, 5.267182541993634892e+00, 2.222228887646426898e+00, 9.818153206383440690e+00, 2.174855300538094394e+00, 2.592755304654509096e+00, 5.501690260926221931e-01, 2.092826890272730944e-01
2.094000000000000000e+03, 3.648636823506447024e-01, 1.168790795792549853e+00, 5.262428744375213796e+00, 2.220353505809440353e+00, 9.805439299543159848e+00, 2.164055691382074542e+00, 2.615007142680200847e+00, 5.445674181316815243e-01, 1.959877800694406202e-01
2.095000000000000000e+03, 3.619290122220515937e-01, 1.140706394671823443e+00, 5.239272076107815757e+00, 2.208710890409303129e+00, 9.792145083997388255e+00, 2.154929540171055535e+00, 2.627196179181897406e+00, 5.266088327224579535e-01, 1.846211847992837718e-01
2.096000000000000000e+03, 3.540352373036045330e-01, 1.104057426409927212e+00, 5.184331920966716467e+00, 2.145911230120677082e+00, 9.714782056006979971e+00, 2.124942068235273762e+00, 2.590215220158571086e+00, 5.371962627382969035e-01, 1.740244011867540797e-01
2.097000000000000000e+03, 3.460222230300826762e-01, 1.076065983266094150e+00, 5.152113087995776830e+00, 2.098140760760071721e+00, 9.649120692381902842e+00, 2.096718540827303912e+00, 2.592902006421328398e+00, 5.214112145088851680e-01, 1.640579732072964814e-01
2.098000000000000000e+03, 3.388450670431050193e-01, 1.054467831256473032e+00, 5.117788348317041880e+00, 2.063349738679730816e+00, 9.588852377116518610e+00, 2.070755143085456940e+00, 2.549607326965506626e+00, 5.184804323830445316e-01, 1.544811101787421648e-01
2.099000000000000000e+03, 3.323254916931136504e-01, 1.035342105065590657e+00, 5.090376940660908289e+00, 2.037927077053939939e+00, 9.533331234866004422e+00, 2.044479647988896254e+00, 2.549412746382767825e+00, 5.092700207276473767e-01, 1.463309928433670082e-01
2.100000000000000000e+03, 3.261949881129816431e-01, 9.198765203206111796e-01, 5.072988352963958114e+00, 2.003377059060898802e+00, 9.483040884707042650e+00, 2.022138915809215565e+00, 2.458656786510037051e+00, 5.185831762700917613e-01, 1.396717414349138431e-01
