year, NorESM2-MM, CESM2-WACCM, MPI-ESM1-2-LR, EC-Earth3-Veg, NorESM2-LM, UKESM1-0-LL, GFDL-ESM4, TaiESM1, IPSL-CM6A-LR
2.015000000000000000e+03, 0.000000000000000000e+00, 2.782348260743274116e-10, 3.728689523529083268e-10, 1.070902876346430813e-09, 9.070314881966743662e-11, 4.746122611935906198e-10, 3.946458404327778509e-10, 1.782239691905689874e-10, 1.066248709004186373e-09
2.016000000000000000e+03, 9.857366878419159630e-11, 2.497412948306640695e-10, 3.889283153767688375e-10, 1.063178427562977932e-09, 8.913415701167050609e-11, 4.863813560855111520e-10, 4.075144558094318141e-10, 1.808961269724132007e-10, 1.099360839409677423e-09
2.017000000000000000e+03, 1.010493142111809625e-10, 2.658647620360439260e-10, 3.888657474896288625e-10, 1.078186161045128055e-09, 9.259855276237170931e-11, 4.575840057097391020e-10, 4.245856489750713546e-10, 1.806867831021556515e-10, 1.158095337789284835e-09
2.018000000000000000e+03, 1.024887379343501077e-10, 2.724921679955294686e-10, 4.015212221002898794e-10, 1.094490055455836435e-09, 9.474645279338251960e-11, 5.098297177064937690e-10, 4.096022388903969851e-10, 1.800531020512482158e-10, 1.214918770510737788e-09
2.019000000000000000e+03, 1.033305017345058221e-10, 2.720071036601572994e-10, 4.013440969195484268e-10, 1.150713669371449918e-09, 9.667977875097230470e-11, 4.905942940814363639e-10, 4.233739203641554033e-10, 1.792616143819178169e-10, 1.248030777917566233e-09
2.020000000000000000e+03, 1.048942254880958876e-10, 2.707037405988121950e-10, 4.141298344981922618e-10, 1.183176229668912481e-09, 9.812875486260793683e-11, 4.724034377950365083e-10, 4.332457217744124171e-10, 1.806162186931307663e-10, 1.272414845973359481e-09
2.021000000000000000e+03, 1.068531674660559143e-10, 2.650812120750180234e-10, 4.512479627190786196e-10, 1.214949421549573911e-09, 9.947459348783413666e-11, 4.758394646115213233e-10, 4.303378867236163767e-10, 1.813300032412209795e-10, 1.260412053791543251e-09
2.022000000000000000e+03, 1.077816361064203426e-10, 2.632245351608275736e-10, 4.748778918443471661e-10, 1.213437793378565836e-09, 1.015545655830219756e-10, 4.792260234711281567e-10, 4.243950641394255283e-10, 1.823216717170908204e-10, 1.217973375531878916e-09
2.023000000000000000e+03, 1.084876813207204163e-10, 3.005037050081968518e-10, 4.800057840345732298e-10, 1.262629272848938519e-09, 1.040932700491055641e-10, 5.216035702158056508e-10, 4.463856561581735501e-10, 1.855752445348576610e-10, 1.236568532483833612e-09
2.024000000000000000e+03, 1.103197815424619919e-10, 2.629469746710295199e-10, 4.800949713885696439e-10, 1.276602821315888706e-09, 1.059327124377919870e-10, 5.340605850833500631e-10, 4.623569823732609308e-10, 1.941201432739595913e-10, 1.272054336880947856e-09
2.025000000000000000e+03, 1.139092312913119052e-10, 2.529074552783702062e-10, 4.786612483102056297e-10, 1.388536804010965763e-09, 1.100397535579899673e-10, 5.732901955358919919e-10, 4.699726129128588582e-10, 1.963499534365108263e-10, 1.267881366094087757e-09
2.026000000000000000e+03, 1.155629160609259519e-10, 2.580767711614777330e-10, 4.792549132737339802e-10, 1.274438887823796390e-09, 1.118668819733248409e-10, 5.749502928264622091e-10, 4.551478629772749064e-10, 1.987086444868066444e-10, 1.303609871507741651e-09
2.027000000000000000e+03, 1.170809835430551647e-10, 2.634989287897742867e-10, 5.023278863884022364e-10, 1.329306285355691725e-09, 1.137203447241220903e-10, 5.331230577592295512e-10, 4.936048676722856455e-10, 2.010836370465053004e-10, 1.419039137919679831e-09
2.028000000000000000e+03, 1.187885930559650431e-10, 2.639174479833149190e-10, 5.363485503518993485e-10, 1.328343191599327585e-09, 1.146221375196736608e-10, 5.686525296459687615e-10, 5.058139381514084006e-10, 2.038878834101921505e-10, 1.483180242824621691e-09
2.029000000000000000e+03, 1.207744823760676643e-10, 2.661857046271826502e-10, 5.176618272714948429e-10, 1.385942884431873126e-09, 1.163778893243716580e-10, 6.230982512969722678e-10, 4.925375331975178350e-10, 2.065399963193185377e-10, 1.431255953040989138e-09
2.030000000000000000e+03, 1.225342335782495219e-10, 2.751413002377213103e-10, 5.394085047645370008e-10, 1.398299816991132843e-09, 1.179192247104530814e-10, 6.043913484248835406e-10, 5.160140282929429466e-10, 2.107216503150741871e-10, 1.416732143395340613e-09
2.031000000000000000e+03, 1.242449342213844677e-10, 2.583832272396930297e-10, 5.681329603800843569e-10, 1.450790468147670814e-09, 1.173105480356556587e-10, 6.263904646877304766e-10, 4.920284189079887241e-10, 2.148055010038077321e-10, 1.371078010006753941e-09
