year, GFDL-ESM4, NorESM2-MM, CanESM5, CESM2-WACCM, CMCC-CM2-SR5, CNRM-ESM2-1, IPSL-CM6A-LR, UKESM1-0-LL, NorESM2-LM, MPI-ESM1-2-LR, ACCESS-ESM1-5, MIROC-ES2L, TaiESM1, EC-Earth3-Veg
2.015000000000000000e+03, 8.381016339625489309e+00, 6.169192790914658886e+00, 2.132562542212447099e+01, 7.215599065628900632e+00, 6.488516013674079375e+00, 6.017971217449184174e+00, 1.240582661704609890e+01, 1.252048811449499865e+01, 5.711846759873475676e+00, 1.222761121808638762e+01, 1.133998150880660027e+01, 1.184709403438659159e+01, 9.671937215922408626e+00, 1.059383225469172096e+01
2.016000000000000000e+03, 8.467991706931677243e+00, 6.398980476202324574e+00, 2.196138751692642543e+01, 7.263004306705562740e+00, 6.670560077643322927e+00, 6.751740820715412816e+00, 1.247390354259556666e+01, 1.155070334093124274e+01, 5.612808433472503467e+00, 1.194455469798884906e+01, 1.142090006465586072e+01, 1.127813182663803104e+01, 9.370556610650078611e+00, 1.064467064381597439e+01
2.017000000000000000e+03, 8.456838521670732689e+00, 6.007863625120642759e+00, 2.171211803328117540e+01, 7.317686841125741637e+00, 6.620140077649709021e+00, 6.080528529433033569e+00, 1.285918248197779512e+01, 1.182885262160665718e+01, 5.685142859992364350e+00, 1.212814267056700501e+01, 1.147523363999409085e+01, 1.139767399578833995e+01, 9.684521183201589167e+00, 1.084360273291126120e+01
2.018000000000000000e+03, 8.361950831357392033e+00, 6.274210740455873569e+00, 2.192267385557119042e+01, 7.160431626821073259e+00, 6.415942645879877837e+00, 6.492883290071485902e+00, 1.261605438446385818e+01, 1.207229755706705099e+01, 5.758774120600440583e+00, 1.259384863974003999e+01, 1.136001442798358418e+01, 1.154434273095029617e+01, 9.369527724347577191e+00, 1.052165242628569786e+01
2.019000000000000000e+03, 8.347154934697220696e+00, 6.323518554854929086e+00, 2.264907341983315092e+01, 7.455025290424484474e+00, 6.499499168894080192e+00, 5.800892064563456074e+00, 1.264475350984191060e+01, 1.182063595227711872e+01, 5.628587641157070109e+00, 1.224276961044228784e+01, 1.142279867986118980e+01, 1.170305874339855912e+01, 9.373205566252668319e+00, 1.058927373682079143e+01
2.020000000000000000e+03, 8.335967196859934703e+00, 6.134772940216041803e+00, 2.236767510342856369e+01, 6.771594192588326955e+00, 6.589175091226298520e+00, 6.561085445374515324e+00, 1.287729557923235824e+01, 1.189547947133191208e+01, 5.441822590582478192e+00, 1.249288346802624616e+01, 1.146993288711704295e+01, 1.189595603925380551e+01, 9.246623813355808963e+00, 1.063522385926637348e+01
2.021000000000000000e+03, 8.254821288891605491e+00, 6.163809112087187181e+00, 2.244511056671534988e+01, 7.247126562596462485e+00, 6.679761263088572321e+00, 6.226711830550339499e+00, 1.276079951545913715e+01, 1.141922393287364024e+01, 5.604771649163638791e+00, 1.274156312555949810e+01, 1.163317618389940478e+01, 1.176639741688637031e+01, 9.419864077108716316e+00, 1.082840494667641806e+01
2.022000000000000000e+03, 8.216125731756708461e+00, 5.796679408688168778e+00, 2.252541421509804209e+01, 7.263865863895487607e+00, 6.711474112271814008e+00, 6.417186688328007982e+00, 1.260735952929442227e+01, 1.150170162143990815e+01, 5.696474116425525480e+00, 1.272379818009637553e+01, 1.163576590810379763e+01, 1.157312500035322778e+01, 9.369393455456890507e+00, 1.074154528841397926e+01
2.023000000000000000e+03, 8.231927965944583647e+00, 6.163050340167592012e+00, 2.314431928122449733e+01, 7.623664511305917380e+00, 6.483510153654292729e+00, 5.824176492016766460e+00, 1.272095933350090924e+01, 1.181583157525881767e+01, 5.486953921605820739e+00, 1.298709579601724862e+01, 1.191381144177207041e+01, 1.183824142281213376e+01, 9.555349840261849081e+00, 1.079886536976041178e+01
2.024000000000000000e+03, 8.401047276140023001e+00, 6.118441074507510180e+00, 2.320523011796603186e+01, 7.410524944144198933e+00, 6.723120741989496274e+00, 6.263683763501141755e+00, 1.260565559877850283e+01, 1.220863481105747184e+01, 5.437661331765368367e+00, 1.280607509461495219e+01, 1.183869658750976583e+01, 1.179037836930129934e+01, 9.476276239615113894e+00, 1.065935145952383678e+01
2.025000000000000000e+03, 8.280026128874206748e+00, 5.887069709646032933e+00, 2.318474769839242811e+01, 7.112925050925741566e+00, 6.697322741161614523e+00, 6.558146706325302056e+00, 1.293150795950717757e+01, 1.191711789950218758e+01, 5.387062612938169792e+00, 1.296442381670235555e+01, 1.181712194427132445e+01, 1.159142606643785633e+01, 9.339939102571511498e+00, 1.097125111310647405e+01
2.026000000000000000e+03, 8.208834865324044827e+00, 6.117529224893310413e+00, 2.302830784866046798e+01, 7.170870299898095546e+00, 6.941450007174893244e+00, 6.278584302129032402e+00, 1.290238941681703011e+01, 1.211605280508982219e+01, 5.461526151213143443e+00, 1.296058301789195255e+01, 1.175089067306827317e+01, 1.159165433445492255e+01, 9.688431906398562887e+00, 1.072166566597275761e+01
