year, IPSL-CM6A-LR, EC-Earth3-Veg, GFDL-ESM4, CMCC-CM2-SR5, CanESM5, MIROC-ES2L, UKESM1-0-LL, NorESM2-MM, INM-CM4-8, NorESM2-LM, MPI-ESM1-2-LR, TaiESM1, INM-CM5-0, CNRM-ESM2-1, ACCESS-ESM1-5, CESM2-WACCM
2.015000000000000000e+03, 1.431133859004768105e+01, 1.365908758885707641e+01, 1.173034014033418693e+01, 7.657795856991661765e+00, 2.189105441082172732e+01, 1.229985525008897795e+01, 1.327585506643950453e+01, 7.271550083109236340e+00, 1.796375854180685749e+01, 6.969135969811129705e+00, 1.375216627346080323e+01, 1.010136341422887440e+01, 1.782245954826221634e+01, 6.931864770090631289e+00, 1.119834847430078817e+01, 8.335110688257749700e+00
2.016000000000000000e+03, 1.383110710176668334e+01, 1.328539662630507756e+01, 1.155856897021523721e+01, 7.058493937004262975e+00, 2.218307131344210958e+01, 1.295721042942571444e+01, 1.216365078241757658e+01, 7.984254640900500632e+00, 1.844047483969838197e+01, 6.642684878744137933e+00, 1.311683772339466714e+01, 1.076431955120740724e+01, 1.775067961895422997e+01, 7.740387418621418547e+00, 1.147239444370137917e+01, 8.540379929345689902e+00
2.017000000000000000e+03, 1.407863632404371224e+01, 1.361280054746391954e+01, 1.081935835833480120e+01, 7.599461129831099448e+00, 2.242063064070125833e+01, 1.299009566420609296e+01, 1.198524355568297750e+01, 7.318961483653448674e+00, 1.806837588865557365e+01, 6.774208124994749447e+00, 1.360029432912304159e+01, 9.099635937946397135e+00, 1.666758173851152591e+01, 7.100304267342173681e+00, 1.136987796103481685e+01, 8.612899594143204496e+00
2.018000000000000000e+03, 1.419955886375067422e+01, 1.358744284136974834e+01, 1.104468307345511491e+01, 7.302326329293073570e+00, 2.233901792095660355e+01, 1.308442723516286321e+01, 1.263937938690727059e+01, 7.552866770193156221e+00, 1.754881672844029339e+01, 6.916089307387073504e+00, 1.442947089559426743e+01, 9.084517258872436329e+00, 1.811486856015349645e+01, 7.242606888924196795e+00, 1.168917893641626904e+01, 8.325952070856612153e+00
2.019000000000000000e+03, 1.444910423458552629e+01, 1.378899929861881546e+01, 1.151981721590369290e+01, 7.366684792977775231e+00, 2.295826426643490592e+01, 1.295527038238415329e+01, 1.183448547324138289e+01, 7.661813748218471609e+00, 1.718241441908521949e+01, 6.670063643469059222e+00, 1.388276721187279961e+01, 1.019810474135208977e+01, 1.821020124614543434e+01, 6.319426418552676950e+00, 1.173267112841337756e+01, 9.040324857597587638e+00
2.020000000000000000e+03, 1.459078503892803091e+01, 1.418243124159130808e+01, 1.112956159176436977e+01, 7.412226935671120565e+00, 2.298175702543154841e+01, 1.286420509678755053e+01, 1.177121372162295465e+01, 7.480991038561301210e+00, 1.865972665242185258e+01, 6.548090436672630688e+00, 1.427980484128723937e+01, 1.029561739224704375e+01, 1.801115243152069922e+01, 7.773699179316861496e+00, 1.222385066347095517e+01, 7.971874887544131205e+00
2.021000000000000000e+03, 1.421743445735010170e+01, 1.307492888447364798e+01, 1.089960732239566710e+01, 7.434133787925667036e+00, 2.320265009602845296e+01, 1.309381028266946245e+01, 1.152998760660644884e+01, 7.651261746153397603e+00, 1.787273431857677863e+01, 6.606055497484335071e+00, 1.599832171713783779e+01, 9.258731777578271149e+00, 1.776787842397781247e+01, 7.873310971415564907e+00, 1.210638841380367658e+01, 8.552962613461890129e+00
2.022000000000000000e+03, 1.441456530137085146e+01, 1.417256819499483278e+01, 1.113958182581277612e+01, 7.692267872347017033e+00, 2.328472824616206793e+01, 1.309677095607469255e+01, 1.203531504464604573e+01, 7.135275627541917132e+00, 1.764718821345216426e+01, 6.953570843046213312e+00, 1.429887389844711976e+01, 9.906578314841778976e+00, 1.888840242003893977e+01, 6.672081075531880678e+00, 1.256347336385887381e+01, 8.733576296893543756e+00
2.023000000000000000e+03, 1.443933557405613399e+01, 1.375036731277066160e+01, 1.174643209444051983e+01, 7.477738759109636035e+00, 2.405034120385745666e+01, 1.281415686526302800e+01, 1.210390587543680674e+01, 7.552329808475966466e+00, 1.766448890729541787e+01, 6.705591966102756096e+00, 1.523425024588457966e+01, 9.859384276312656681e+00, 1.973872834012269450e+01, 6.424608081310933194e+00, 1.117743975979891324e+01, 9.259584643223929490e+00
2.024000000000000000e+03, 1.384890449569221360e+01, 1.459575938491542146e+01, 1.168967641692694848e+01, 7.318965239938729717e+00, 2.447549386405814786e+01, 1.292855019851688070e+01, 1.247560814447454725e+01, 7.481136082863204528e+00, 1.863435845658809242e+01, 6.782351866357688941e+00, 1.398990075378627651e+01, 9.676913627829483389e+00, 1.793346928792690420e+01, 7.252075445656766206e+00, 1.170602132987702149e+01, 8.593702894573224782e+00
2.025000000000000000e+03, 1.418687525309880471e+01, 1.326670242447010928e+01, 1.072372839956201496e+01, 7.464698158397797378e+00, 2.378317057634024678e+01, 1.328078974451771721e+01, 1.185441489538239779e+01, 7.173277117087396348e+00, 1.805274303354917365e+01, 6.676691144484283136e+00, 1.456945668108414083e+01, 1.058992648924580848e+01, 1.912222180338649835e+01, 7.805133098278962400e+00, 1.229422342971873050e+01, 8.387014459257711607e+00
2.026000000000000000e+03, 1.491777474881768306e+01, 1.384797617349556731e+01, 1.175575948743765231e+01, 7.547155589882599713e+00, 2.364739246886855994e+01, 1.321957995764689997e+01, 1.237091303478357318e+01, 7.746138144293819749e+00, 1.952480154084943464e+01, 6.627797859534325653e+00, 1.485614062790226164e+01, 9.865186149552606309e+00, 1.790213631022891505e+01, 7.059559065655816923e+00, 1.141734520727231228e+01, 8.536462034838097068e+00
