year, CanESM5, TaiESM1, UKESM1-0-LL, INM-CM5-0, ACCESS-ESM1-5, MPI-ESM1-2-LR, NorESM2-LM, MIROC-ES2L, NorESM2-MM, GFDL-ESM4, CNRM-ESM2-1, INM-CM4-8, CESM2-WACCM, EC-Earth3-Veg, IPSL-CM6A-LR, CMCC-CM2-SR5
2.025000000000000000e+03, 2.982775769669511305e+02, 2.983067358202168862e+02, 2.990585976597167246e+02, 2.971702563010415474e+02, 2.981996771673403828e+02, 2.982505287025987855e+02, 2.972330142002585376e+02, 2.986820136161335881e+02, 2.979890184649940466e+02, 2.976092392475760562e+02, 2.980123242339333842e+02, 2.970967331888507488e+02, 2.987777100110380957e+02, 2.973530927699860058e+02, 2.970888313398536980e+02, 2.983684057850389877e+02
2.026000000000000000e+03, 2.982823801635953487e+02, 2.982742194621152976e+02, 2.987323403175144563e+02, 2.972988877417524236e+02, 2.984474019045522937e+02, 2.978633857628503279e+02, 2.982462032249932236e+02, 2.987860711665138069e+02, 2.977647561158467511e+02, 2.971624497470532447e+02, 2.983230673255321790e+02, 2.972057626455703598e+02, 2.987935983441311691e+02, 2.969104682388020251e+02, 2.965620224291434965e+02, 2.993374239657637190e+02
2.027000000000000000e+03, 2.987083631581634791e+02, 2.978983826230389695e+02, 2.989177539327974955e+02, 2.972104397410129195e+02, 2.987913278542498574e+02, 2.974511390710344472e+02, 2.990201343533988165e+02, 2.990145910244486913e+02, 2.985753306158551936e+02, 2.972288903240764739e+02, 2.983128600992696420e+02, 2.974281882427473533e+02, 2.988812753457851272e+02, 2.970208904408994499e+02, 2.965625244814234520e+02, 2.992357778945375344e+02
2.028000000000000000e+03, 2.991553692042322155e+02, 2.983836244865269123e+02, 2.989062770866545407e+02, 2.971501709906490873e+02, 2.990660598531609935e+02, 2.979927590847943861e+02, 2.990434444834059491e+02, 2.996798029995895831e+02, 2.986565560434151507e+02, 2.974280874187400627e+02, 2.981888521620970209e+02, 2.972872989712676599e+02, 2.990792566896991502e+02, 2.971287553440967599e+02, 2.969932494370879112e+02, 2.980606181290631866e+02
2.029000000000000000e+03, 2.985728547127357047e+02, 2.985751696270255025e+02, 2.982927527149357729e+02, 2.971626787995204495e+02, 2.986315235221544526e+02, 2.980643769244094869e+02, 2.980848585136068323e+02, 2.988639798230362317e+02, 2.977772117246556149e+02, 2.976115599430069096e+02, 2.982436865214328918e+02, 2.971824240850514229e+02, 2.985678885914460921e+02, 2.971128720353217432e+02, 2.972270119403066246e+02, 2.978963378529390411e+02
2.030000000000000000e+03, 2.987275382778476001e+02, 2.985390382739135475e+02, 2.986748812177867194e+02, 2.972729416353107013e+02, 2.983488311111775033e+02, 2.976101347900314522e+02, 2.975846703491215521e+02, 2.986360554163012466e+02, 2.976536379764391427e+02, 2.974590960451407682e+02, 2.988186306731131481e+02, 2.970518632201878404e+02, 2.987202889883268995e+02, 2.968775822069480910e+02, 2.968187821372736721e+02, 2.980707397258063907e+02
2.031000000000000000e+03, 2.989032396187263316e+02, 2.980875049803877346e+02, 2.992209622189848801e+02, 2.974424670878550501e+02, 2.987519200768633709e+02, 2.974389879601073972e+02, 2.980946767858139310e+02, 2.984133956099080365e+02, 2.980889793381895174e+02, 2.972264339266397997e+02, 2.984116895295134100e+02, 2.969248496060748721e+02, 2.990325262295604034e+02, 2.974361573529657221e+02, 2.966680973457822574e+02, 2.986569229707391173e+02
2.032000000000000000e+03, 2.986586316491442972e+02, 2.984522627141570865e+02, 2.993876852834129636e+02, 2.977531442279345129e+02, 2.988043241027232853e+02, 2.979851014015176247e+02, 2.981631717916786783e+02, 2.996943056385458135e+02, 2.982709468656581748e+02, 2.975300139314231842e+02, 2.988096212060413563e+02, 2.973254842729029974e+02, 2.989717677031856624e+02, 2.978598479348867158e+02, 2.967430822415826128e+02, 2.988689220351152471e+02
2.033000000000000000e+03, 2.987122218301088878e+02, 2.984090294010641173e+02, 2.990291118171462017e+02, 2.973182930162478215e+02, 2.986852140389040073e+02, 2.983561771391065918e+02, 2.987533596284308715e+02, 2.991272416197801363e+02, 2.982884558779902591e+02, 2.974886455897313340e+02, 2.986918457676404159e+02, 2.974159735483829650e+02, 2.984345208343127069e+02, 2.969189409244320927e+02, 2.968822091193841857e+02, 2.995525566141798208e+02
2.034000000000000000e+03, 2.989724445527896250e+02, 2.984470809503258693e+02, 2.995729477311726328e+02, 2.974101451608474349e+02, 2.986884434767732159e+02, 2.979946354469885250e+02, 2.996993374034418025e+02, 2.982525944665250677e+02, 2.978893403803816682e+02, 2.977557825102355764e+02, 2.989928382272395879e+02, 2.975160592095132301e+02, 2.984734564021227357e+02, 2.969072781519395789e+02, 2.968979564251881698e+02, 2.994369530009141727e+02
2.035000000000000000e+03, 2.991272937771960869e+02, 2.986855425626666829e+02, 2.991157882593707313e+02, 2.975291610407368808e+02, 2.985867273809556650e+02, 2.977434139921078327e+02, 2.992786338423566690e+02, 2.982638621895804931e+02, 2.979764669798249770e+02, 2.975641339266683190e+02, 2.984418147858206112e+02, 2.974703950894202649e+02, 2.988538119523276464e+02, 2.974430052876157333e+02, 2.971817041180059391e+02, 2.985233562332229553e+02
2.036000000000000000e+03, 2.995064016866595011e+02, 2.988824988197850416e+02, 2.993818076462342788e+02, 2.976355919376767361e+02, 2.986354910998210812e+02, 2.979245510144019136e+02, 2.985791731640053399e+02, 2.994880193594357252e+02, 2.987620951861553635e+02, 2.980805201207139703e+02, 2.979276724289406388e+02, 2.975474010832264753e+02, 2.988721321277993184e+02, 2.979883093217160877e+02, 2.973004321310918954e+02, 2.986469832959458586e+02
2.037000000000000000e+03, 2.993977279930594477e+02, 2.984997503919323663e+02, 2.992739602265583017e+02, 2.973385734260131699e+02, 2.992921091604991375e+02, 2.980563692823089923e+02, 2.986114054971486667e+02, 2.999611390794964336e+02, 2.989645703234654661e+02, 2.979397352601078524e+02, 2.983482240250766608e+02, 2.973656220121372371e+02, 2.991927150289948827e+02, 2.975134136192427263e+02, 2.969010163121437245e+02, 2.991140210112030786e+02
