year, IPSL-CM6A-LR, MPI-ESM1-2-LR, GFDL-ESM4, CMCC-CM2-SR5, ACCESS-ESM1-5, CNRM-ESM2-1, NorESM2-MM, NorESM2-LM, EC-Earth3-Veg, INM-CM5-0, UKESM1-0-LL, CanESM5, CESM2-WACCM, TaiESM1, MIROC-ES2L, INM-CM4-8
2.056000000000000000e+03, -7.417672365622661745e-01, -4.676595856940677365e-01, -4.254019883459094209e-01, -7.673196144364872184e-01, -5.824428311929992219e-01, -8.991020406042561641e-02, -1.182824392384548284e+00, -4.063481987665089612e-01, -2.350869679677616009e-01, 8.492528805630665811e-01, -9.015530670502565069e-01, 1.160887932367511199e+00, 8.470397738642612140e-01, -8.246830173686708898e-01, -4.642891845270735174e-01, 1.071137558972171666e+00
2.057000000000000000e+03, -4.487084123507374955e-01, -8.770767867707696119e-01, -6.329965668978004834e-01, -1.146508614144218896e+00, -1.554301284825630569e+00, -6.541383270486053059e-01, -6.756464423846113565e-01, -9.707155948560237668e-01, -1.929040965403893554e-02, 8.734478945415812268e-01, -6.874444422568123381e-01, 6.870613812416292987e-01, 6.316353970508231663e-01, -2.246876655633262276e-01, 3.039519210715881936e-01, 1.514275758294146845e+00
2.058000000000000000e+03, -1.772535161862827668e-01, 2.749367360265360105e-01, -1.567283648867558110e+00, -1.561044456615718334e-01, -1.198051984944241699e+00, -8.208243466379409048e-01, -7.221525455611086386e-01, -8.236354416753198793e-01, -6.729067314343896156e-01, 1.169461880833253531e+00, -4.115346157341548405e-01, 7.463201464617316150e-01, 6.119072234906680618e-01, -6.280571043539799891e-01, 3.953502477990917807e-01, 1.250640763283341395e+00
2.059000000000000000e+03, -3.248658174613232030e-01, -9.698204696185851181e-02, 3.423711167196149541e-01, -1.070308515164359653e+00, 3.194483995792766207e-01, -3.157377900892596179e-01, -7.705802894234781153e-01, -2.910830629151878735e-01, -1.353566425107689097e+00, 1.959970877217539931e+00, -4.816076515246639489e-01, 7.677906833531390474e-01, 1.090872638883524370e+00, 1.380290258085577204e-01, -8.462922887863668642e-01, 1.483316025602648747e+00
2.060000000000000000e+03, -6.571787879565212931e-01, -7.588594274373382520e-01, -9.112883269105150896e-01, -5.083532676016715435e-01, -5.195426593475619727e-03, -1.342335328203126954e+00, -6.631483172127148329e-01, -2.903764902765142986e-01, -2.342615977841873420e-01, 2.290908380651416554e+00, -9.459528089684712260e-01, 1.090876466940866152e+00, 6.343677981625734930e-01, -1.258099083456087008e+00, -3.140209952503157931e-01, 5.421486643697716046e-01
2.061000000000000000e+03, -3.683165371299771951e-01, -6.915968028701795500e-01, -2.178670621102719029e-01, -2.591455510528124506e-01, -9.305039608914126292e-01, -8.754655564606854679e-01, -1.213712810041588597e+00, -9.718027898925275521e-01, -1.446780169153949247e+00, 1.848547247633986146e+00, -1.239162775572145936e+00, 8.459254972509747672e-01, 7.722925202320756188e-01, -1.786980611928764784e+00, 7.347753883964059929e-01, -8.091842743858355114e-01
2.062000000000000000e+03, -2.198537362144071805e-01, -1.150023043828380054e+00, -7.894755408688342024e-01, -4.772639122748554286e-01, -5.496491548452219211e-01, -9.280997001007059710e-01, -3.691239285973981210e-01, -1.050593361573189055e+00, -2.610535400945828699e-01, 5.438177574167040174e-01, 5.547395852431228347e-01, 6.602306715605872345e-01, 7.536015777336376731e-01, -4.591853310915511299e-01, 4.604695261243380577e-01, -3.766528857028997868e-01
2.063000000000000000e+03, -7.313467736862744317e-01, 5.710563338951391010e-01, -6.342827713317013005e-01, -3.637994711126344982e-01, -1.266616300897893121e-01, -4.465725926608198337e-01, -1.267683648926946294e+00, -1.728571298144703783e-01, -1.277388669679557553e+00, 2.425518742116618665e+00, -3.094447655194039193e-01, 1.527904542053206249e+00, 1.032162900185530807e+00, 5.529567906058286963e-01, -2.424574456511179588e-01, 1.170862583226285336e+00
2.064000000000000000e+03, -5.058584527883116522e-01, -2.541732855391662937e-01, -5.274333734600433754e-01, -6.077383695957361276e-01, -4.008868620846926523e-01, -1.101096378921379459e+00, -5.303157771368030016e-01, -7.638638237591135471e-01, 6.680144944504003146e-02, 1.540725523976879341e+00, -7.737437860923969124e-01, 1.093030086778858490e+00, 9.600972508162242125e-01, -1.528066932236457065e+00, 5.818895864442275023e-01, 2.076796172586794054e+00
2.065000000000000000e+03, 2.028331138227011388e-01, 1.593370455464114266e-01, -1.080424954959317008e+00, -9.008482766882741632e-02, -1.032973213715678851e+00, -5.848338384641723620e-01, -8.068180387698750122e-01, -6.323855037984018601e-01, -7.231646999237779927e-02, 2.505847588411322047e+00, 7.710973557190916108e-03, 1.164374887197943131e+00, 1.134626938098113991e+00, -1.481891281511746206e+00, 1.069236521354265612e+00, 2.167405640729212823e+00
2.066000000000000000e+03, -7.808484333724499127e-01, 1.252582690194842807e-01, -7.924747223949568653e-01, -9.745935319489196225e-01, -1.465679203138664510e+00, -4.442155375494850622e-01, -7.866514258491101863e-01, -1.225695700063607285e+00, -1.737470366698772084e+00, 1.243952271787486463e+00, -2.978891189195457812e-01, 7.239544073101644717e-01, 7.127147964255200474e-01, -5.666186541507693963e-01, 5.288507394288010088e-01, 2.773592648241514635e-01
2.067000000000000000e+03, -5.201671044506148700e-01, -4.369153954673793416e-01, 2.286379087844710722e-01, -8.848054558838859274e-01, -1.746834411308677559e+00, -1.158399392304188424e+00, -4.371409940469715427e-01, -1.096469789265979378e+00, -1.887600724069605995e+00, 1.114485316994625830e+00, -2.655147104432633021e-01, -3.512525257216421171e-01, 8.373172977420931806e-01, -7.457883819520641500e-02, -4.917293472468027837e-01, 2.343525235009240593e-01
2.068000000000000000e+03, -7.261211809367831282e-01, -5.279577135554609779e-02, -3.439910801811020269e-01, -2.652256305515789947e-01, -1.001318673641149681e+00, -1.110368843105859149e+00, -1.118112026324549063e-01, -1.057637377832306935e+00, -1.208677230168059724e+00, 1.971616087220437574e+00, -5.164182351269058779e-01, 8.076697755676490731e-01, 5.258272058501795021e-01, -2.008909156042017585e+00, 2.895178992241683180e-01, 1.698359799074921739e+00
2.069000000000000000e+03, -6.249390792518574322e-01, -6.454401820063045969e-01, -1.394094400978589610e+00, 6.988364806140284768e-01, -1.574466332197335561e+00, -1.154538223058442670e+00, -3.385102599739792661e-01, -3.189798549031569452e-01, 5.199661077321262592e-01, 1.812603180774094103e+00, -5.915019761450521774e-01, 1.917770407768480734e+00, 6.984680509206054877e-01, -8.389077068778834079e-01, 1.159988589471057985e+00, 3.162502827293853236e-01
2.070000000000000000e+03, -1.211035641408467312e+00, -5.659844974551786478e-01, -6.809642497747384615e-01, -4.359487234973203340e-01, -5.139796242680163552e-01, -5.591592047927074205e-01, -6.410971119087663928e-01, -3.489351608487569201e-01, -1.368369085584244971e+00, 1.314529474905285378e+00, 5.820278024296079294e-02, 6.520370971654124714e-01, 1.170703081926805167e+00, -5.577852555845884686e-01, 6.977006894602296727e-01, 4.516339631969803481e-01
2.071000000000000000e+03, -3.539934929446650336e-01, 8.891596405753740551e-02, -5.813807893983787001e-02, -1.149132944200494721e+00, -1.011237768140898607e+00, -3.002070444719562303e-01, -1.288309053584061115e+00, -5.006023126834641124e-01, -9.438235404204213808e-01, 1.636119346712462619e+00, -4.162143937789676285e-01, 7.594889626514900183e-01, 1.017963923500337264e+00, 5.900185464441605188e-01, -1.622409401658529149e-01, 1.601426097162876427e+00
2.072000000000000000e+03, -5.576298365823160186e-01, 1.236846119898813434e-01, -7.280337695977122658e-01, -1.104529368419191471e+00, -4.028194579688312849e-01, -4.069461531895585682e-01, -8.006974039744334526e-01, -2.817491255626678459e-01, -3.922203863661303247e-01, -3.969420742901040855e-01, -1.547644720183743106e+00, 7.512220457423330888e-01, 3.995594221626648235e-01, -2.256129396297472667e+00, 1.115395557700895289e-02, 1.318341621198791502e+00
2.073000000000000000e+03, -2.795714323842823923e-01, -5.586548300254513544e-01, -1.353061582801421414e+00, -1.050431101601981831e+00, -9.239552024124694229e-01, -5.855553129388945122e-01, -3.718959491516041216e-01, -4.163942755052534306e-01, -3.685954004283057972e-01, 3.315775281827424426e-01, -5.417871004053489425e-01, 5.790088882400269699e-02, 7.480258865834987780e-01, -7.227331007690690479e-01, 1.275625697121377300e+00, 1.080482656115124396e+00
