year, MPI-ESM1-2-LR, CMCC-ESM2, CNRM-ESM2-1, UKESM1-0-LL, CanESM5, MIROC-ES2L, CESM2-WACCM
2.041000000000000000e+03, 1.093393771089083497e-09, -2.780743704986724286e-10, -4.740258301250960753e-10, -3.497421724931766220e-10, 9.731210686753693617e-10, 7.632908867475572562e-10, 2.630836597810887227e-10
2.042000000000000000e+03, -3.177616005207838561e-11, 1.006529915083535234e-10, 4.641760035839119705e-12, -4.758252912280221898e-12, 1.368593941223950305e-09, -4.100049757386308395e-10, 5.546932904329411098e-10
2.043000000000000000e+03, 5.099973807919824324e-10, 3.494325466853355761e-11, -5.058166122359622655e-10, -6.395407056887371341e-10, 8.260734595150565035e-10, 7.139058938287044804e-10, 8.619426009705707431e-10
2.044000000000000000e+03, 3.847618244604396876e-10, -1.409427105596253540e-10, 1.975471043069502602e-11, -1.389067882786678383e-10, 8.450577256155723791e-10, 9.003105662405492348e-10, 9.185349131443721936e-10
2.045000000000000000e+03, -1.111722794797520822e-10, 4.264742553501608649e-11, -2.880775058277433049e-10, -5.269803992032425706e-10, 4.573810556706939346e-10, 5.465553180893553287e-10, 8.940688311168754492e-10
2.046000000000000000e+03, -5.479001347317210514e-10, 3.436491554681216265e-10, -8.305282986833423956e-10, -4.819035975437148510e-10, 1.165372380602472173e-09, -9.253753350913076756e-10, 4.139820988003480214e-10
2.047000000000000000e+03, 6.846498917207334060e-10, -1.288390310904563431e-10, -1.259586449926342147e-09, -1.176933690265368160e-10, 2.168444202324249417e-09, 2.941434931402338406e-10, 8.308368418635869275e-10
2.048000000000000000e+03, 6.925735022622542896e-10, 1.146811198281711401e-10, 9.797279317621730187e-10, -1.337985306984826254e-11, 7.378087204510227563e-10, 1.235090587773905457e-09, 8.338854662921676454e-10
2.049000000000000000e+03, 2.375672814979927795e-10, 3.300926968023112204e-10, -7.002763896029452743e-10, -2.655305640549197800e-10, 2.524932618988031968e-11, 8.262260177908570125e-10, 5.917390136084898096e-10
2.050000000000000000e+03, 1.035132126236104562e-09, 1.235689280536623352e-11, -5.549989496647612988e-10, -3.560538626289224747e-11, -1.200581138443941504e-10, -6.012519807661816232e-10, 6.917536733753355388e-10
2.051000000000000000e+03, -6.469137924509059070e-11, 5.813108380474708220e-10, 2.019900441609946196e-10, 2.366975515456490794e-10, 1.254060692835029493e-09, 1.024139954478050660e-10, 8.497257298489579830e-10
2.052000000000000000e+03, -2.143714831533167781e-10, 8.489630783590334163e-10, -3.032452036203733777e-10, -4.351308069331876216e-10, 1.467051698451174344e-09, 8.002245290369917504e-10, 1.211844531698903600e-09
2.053000000000000000e+03, 7.415937824211465952e-10, 4.517853665048872370e-10, -5.483988971746211530e-10, -5.453601514726041186e-11, 7.225911460945318145e-10, 8.691134000020338909e-10, 1.044832405798441319e-09
2.054000000000000000e+03, 6.352428141254187313e-10, 5.612735677033538609e-10, -1.533340558430840607e-12, -4.477604815074827245e-10, -2.539565923802657504e-10, 6.817094337965883648e-10, 7.525263507859783951e-10
2.055000000000000000e+03, -4.302413289399538642e-10, -8.868317243489519469e-10, -1.105705789502960779e-09, -1.519776046742371959e-09, 9.732982056461112997e-10, -7.072553738372577212e-10, 5.559714024118254280e-10
2.056000000000000000e+03, -4.880500533364854238e-10, 1.639412545822491008e-09, -9.481365377133418772e-11, -9.525551808419789778e-10, 1.221468626317088771e-09, -4.896095490412385154e-10, 8.949421050238791348e-10
2.057000000000000000e+03, -9.230048470089987735e-10, 1.515017773402007742e-09, -6.898131920339526118e-10, -7.263341326709149195e-10, 7.229155357220606237e-10, 3.205281707297676818e-10, 6.673560431116703456e-10
