year, EC-Earth3-Veg, CESM2-WACCM, NorESM2-MM, INM-CM4-8, CMCC-ESM2, MPI-ESM1-2-LR, CanESM5, GFDL-ESM4, CNRM-ESM2-1, NorESM2-LM, TaiESM1, INM-CM5-0, IPSL-CM6A-LR, MIROC-ES2L, UKESM1-0-LL, ACCESS-ESM1-5
1.850000000000000000e+03, 1.581864103537359734e+00, 7.885734016114700484e-01, 7.101540837460567079e-01, 1.099763656235850373e+00, 8.692992381335510332e-01, 8.455719403864047079e-01, 5.403325843811640494e-01, 8.248067333134334600e-01, 6.060628383114007312e-01, 6.536822016098914334e-01, 1.050150252243173377e+00, 1.163139049620208310e+00, 9.746445485258805608e-01, 6.298579056142707966e-01, 1.202650617753317386e+00, 4.124348492345752959e-01
1.851000000000000000e+03, 1.377194939138548291e+00, 8.406367805077227251e-01, 6.801172608920550422e-01, 1.144490156476679621e+00, 7.449775794182047495e-01, 8.907040643927394141e-01, 5.462761640069305757e-01, 1.230882681144896740e+00, 6.224234986739727304e-01, 6.889779373108916305e-01, 9.215682826159824481e-01, 1.149586014244962096e+00, 8.616301058692842352e-01, 6.033192991006044448e-01, 1.168964828419913449e+00, 4.339280166784691972e-01
1.852000000000000000e+03, 1.427636185393479806e+00, 8.785023811350533007e-01, 7.130356692564679966e-01, 1.122945081018229541e+00, 6.851810737094751191e-01, 8.391270322017954086e-01, 6.626640136257212488e-01, 1.071631940472518307e+00, 6.574661702909156968e-01, 6.625994926344072056e-01, 8.936986577454684166e-01, 1.188433566168458189e+00, 8.362988130470602188e-01, 6.104301114076683410e-01, 1.007546492233012847e+00, 4.838107607932029541e-01
1.853000000000000000e+03, 1.470895987633585422e+00, 8.804608497260948408e-01, 7.356468563656483051e-01, 1.167173675371093511e+00, 8.074824798924905567e-01, 7.009668012146240690e-01, 5.503110297948698992e-01, 6.620511496928632722e-01, 6.218944138557856993e-01, 6.871160612743270057e-01, 8.782232361170773105e-01, 1.155768114894961673e+00, 7.800348132789710620e-01, 6.237172514099094123e-01, 1.112450615623268524e+00, 4.696668408235878389e-01
1.854000000000000000e+03, 1.834793558025495486e+00, 9.230137620893603678e-01, 7.449082501977631887e-01, 1.163828065378413656e+00, 1.175769346741718069e+00, 7.817460877675277420e-01, 6.259959194011666117e-01, 1.084147627731453234e+00, 5.455651509714112279e-01, 6.962633372868924919e-01, 7.633795889356581599e-01, 1.127140492327541876e+00, 8.597194757842367974e-01, 6.218306137916195242e-01, 1.170749726577604566e+00, 4.285051376215268659e-01
1.855000000000000000e+03, 1.881090476864881067e+00, 8.676047757427177709e-01, 7.558567791140715642e-01, 1.126019098395224960e+00, 9.728360250659217057e-01, 9.265165679879958649e-01, 6.503495205418612368e-01, 1.126145483527942970e+00, 6.023049243110150108e-01, 7.339480961709280438e-01, 9.462926472288415436e-01, 1.108055456512428760e+00, 9.031321202245014002e-01, 6.167713286385079208e-01, 1.346025125789801269e+00, 3.780925247021380553e-01
1.856000000000000000e+03, 1.177990622290313150e+00, 8.522843509320955357e-01, 7.752230112393886374e-01, 1.116744730621769488e+00, 7.607255062594499018e-01, 8.241263229402274737e-01, 7.649750169768048114e-01, 8.533912406962224084e-01, 5.763976710182378005e-01, 7.205345906813894752e-01, 1.338985568802202319e+00, 1.160591752865993476e+00, 7.870445376395595050e-01, 6.181204622484635092e-01, 1.121147752759740879e+00, 3.958620179851226606e-01
1.857000000000000000e+03, 1.537951482844789330e+00, 7.694779178577175749e-01, 7.746979946025012165e-01, 1.138629161032163051e+00, 7.789511496644820898e-01, 8.402037718414381295e-01, 5.645944405030184354e-01, 8.957112797124228143e-01, 6.446864584441702739e-01, 7.453158576849497896e-01, 1.178248913379900342e+00, 1.101045953171698732e+00, 8.216787312745724714e-01, 6.090101489391217537e-01, 1.036607664663742989e+00, 4.295247720861162799e-01
1.858000000000000000e+03, 1.654781010215424564e+00, 8.278812714155185937e-01, 8.859178424395286466e-01, 1.180059752122905037e+00, 8.512133541880935184e-01, 7.963850379922012834e-01, 5.655447961406797619e-01, 8.149541913917445202e-01, 7.164217967652841690e-01, 7.252818183419126319e-01, 9.006759881917886235e-01, 1.176959863349321456e+00, 9.573804652330082376e-01, 6.215946364421736092e-01, 1.035653539835436288e+00, 5.215306671526250826e-01
1.859000000000000000e+03, 1.406004429497321517e+00, 7.562121450791213784e-01, 8.486194830144272450e-01, 1.111364115526335183e+00, 8.804673312306070532e-01, 8.435662441820901414e-01, 6.178658405365157202e-01, 8.200410368422514917e-01, 4.816105807417563889e-01, 7.182605934800554426e-01, 1.102686517900415941e+00, 1.152673745591598742e+00, 8.823581946252577746e-01, 6.349450950059474241e-01, 1.088863183600155660e+00, 5.614688306481395719e-01
1.860000000000000000e+03, 1.533233646048457244e+00, 8.616288881830087565e-01, 8.601822927077011904e-01, 1.140525561403751498e+00, 6.738900400280545266e-01, 7.348996663618361236e-01, 6.679027555233242319e-01, 7.781875144068678418e-01, 5.880969060981513508e-01, 7.624218694574816935e-01, 1.402255977796619923e+00, 1.175532357641049019e+00, 7.922093832177963257e-01, 6.133093250381732586e-01, 1.219364994510143019e+00, 5.317627113533416328e-01
