year, GFDL-ESM4, NorESM2-LM, TaiESM1, NorESM2-MM, CNRM-ESM2-1
1.881000000000000000e+03, 3.277604616329220945e-10, 3.279569161329831655e-10, 2.450300092315991765e-10, 4.727483570597332428e-10, 5.382337683516005279e-10
1.882000000000000000e+03, 4.738601787663448310e-10, 3.636159685644283769e-10, 6.090173469756858346e-10, 4.552331300458853873e-10, 5.938870784973708135e-10
1.883000000000000000e+03, 5.182683335220359057e-10, 3.779530218399186027e-10, 2.116316326545281233e-10, 2.101156430170205263e-10, 3.913911607674600619e-10
1.884000000000000000e+03, 3.692776898781538541e-10, 3.456594539268690461e-10, 2.789023920762258039e-10, 2.419348719959313891e-10, 1.599928835771144044e-09
1.885000000000000000e+03, 3.060798729468374790e-10, 3.152349096610763511e-10, 2.404242776633780059e-10, 3.963790717765604345e-10, 4.374427307437345318e-10
1.886000000000000000e+03, 5.494045971457211726e-10, 3.546856474122603740e-10, 1.117411333767966613e-10, 4.297718212256854159e-10, 7.504664527580818617e-10
1.887000000000000000e+03, 6.680467120239537011e-10, 2.793554252878942095e-10, 3.181406116394652817e-10, 4.602226503960377983e-10, 5.321295642393417979e-10
1.888000000000000000e+03, 6.390619730263388617e-10, 4.559262787865076050e-10, 5.850237324811710355e-10, 5.353059089003307539e-10, 4.852125498323227440e-10
1.889000000000000000e+03, 3.770526317319747926e-10, 3.242940871613107784e-10, 3.076081769551533811e-10, 4.099673690681451620e-10, 1.354312379092554024e-09
1.890000000000000000e+03, 4.515803424279533249e-10, 3.093679806325275764e-10, 2.395613188682586047e-10, 3.392510684731544585e-10, 7.452048657152575243e-10
1.891000000000000000e+03, 5.157752772177275685e-10, 3.284198531998007474e-10, 3.843005110650815346e-10, 4.462274710706056173e-10, 5.023187647738405049e-10
1.892000000000000000e+03, 5.943328212729342896e-10, 3.459726586321581183e-10, 2.575744297243908713e-10, 4.683651040309496588e-10, 8.872368239491823717e-10
1.893000000000000000e+03, 3.896960515953325730e-10, 1.522766544418724746e-10, 1.737928998507429312e-10, 4.153513306329167265e-10, 6.068943610922006412e-10
1.894000000000000000e+03, 3.366696022186879961e-10, 3.987461730670181995e-10, 3.172201958368160845e-10, 3.054867363165712998e-10, 6.757865616427771598e-10
1.895000000000000000e+03, 3.462346238488686057e-10, 3.319506506255053215e-10, 3.801770762833027598e-10, 4.912300682269909553e-10, 8.881118907103058749e-10
1.896000000000000000e+03, 2.930622579000801155e-10, 2.293405062539524366e-10, 1.235360725894439170e-10, 4.215738657112713860e-10, 8.388143350047074828e-10
1.897000000000000000e+03, 3.906888134460027874e-10, 3.626506173398532262e-10, 2.500951474989166919e-10, 5.132611700621154578e-10, 6.825427192002528542e-10
1.898000000000000000e+03, 4.492616028875357317e-10, 2.793733370232667758e-10, 3.260375366301095026e-10, 6.946980893784866395e-10, 5.482063583117325691e-10
