year, CanESM5, NorESM2-MM, ACCESS-ESM1-5, CESM2-WACCM, CMCC-CM2-SR5, GFDL-ESM4, MIROC-ES2L, IPSL-CM6A-LR, UKESM1-0-LL, INM-CM5-0, NorESM2-LM, MPI-ESM1-2-LR, EC-Earth3-Veg, INM-CM4-8, TaiESM1, CNRM-ESM2-1
1.863000000000000000e+03, 2.578486555626424703e+00, 1.510826423804316754e+00, 1.250187294121314352e+00, 1.676444079800097908e+00, 1.704521129608040031e+00, 1.464536799037561066e+00, 1.521792444023299051e+00, 2.365700209796938402e+00, 1.235368276994214920e+00, 3.170397041960570927e+00, 1.213396692425568801e+00, 1.560292369243881705e+00, 1.545961469718177606e+00, 3.162009651196888260e+00, 1.935150474293960032e+00, 1.115671082872083719e+00
1.864000000000000000e+03, 2.378050663132487141e+00, 1.166072377799481030e+00, 9.305632770031128098e-01, 1.486591960577412941e+00, 1.870960328366868097e+00, 1.593690043191586136e+00, 1.486935915141180509e+00, 2.197205193794120159e+00, 7.280774155742768539e-01, 2.591899086552440501e+00, 1.253732668032294884e+00, 6.514306119052992727e-01, 2.098726660067961713e+00, 3.189891314979452552e+00, 1.647927790997913977e+00, 1.714588644124768635e+00
1.865000000000000000e+03, 2.606043319731814911e+00, 1.200284336310736721e+00, 1.274461310669562808e+00, 1.153538597491040596e+00, 1.646937741369398411e+00, 1.107694769084890174e+00, 1.559970237756654887e+00, 2.099997961264819413e+00, 1.450107554367497498e+00, 2.638441411251244428e+00, 1.649511711814487303e+00, 6.306161574015469728e-01, 2.533371595813725285e+00, 3.265123807733441019e+00, 1.438028121719178376e+00, 2.068512681292455468e+00
1.866000000000000000e+03, 2.697330330059427350e+00, 1.157070425696778981e+00, 1.364137350558215278e+00, 1.676034731486559570e+00, 1.693431217589565829e+00, 1.183658300943334352e+00, 1.756069890478548556e+00, 1.853736643308982579e+00, 1.323167989030742842e+00, 2.465262535255393406e+00, 1.592681248103834157e+00, 1.756552344324393555e+00, 2.509269584988832680e+00, 3.255324007840556089e+00, 1.764207400741238940e+00, 1.187865026096608601e+00
1.867000000000000000e+03, 2.331617133625232707e+00, 1.480123062509141718e+00, 1.260807016039857897e+00, 1.133141130176006817e+00, 1.681276561864766483e+00, 1.441736517309397891e+00, 1.712869852705589890e+00, 2.121343260138238040e+00, 1.169437986567830601e+00, 2.472406122551699781e+00, 1.494843656173693081e+00, 1.252271741704348740e+00, 1.695373454706118777e+00, 3.380544192802050318e+00, 2.058204522446046347e+00, 1.176439868346925266e+00
1.868000000000000000e+03, 2.350827271940566288e+00, 1.836909825209971814e+00, 1.057882672368954058e+00, 1.246401576335957939e+00, 1.377111928766810767e+00, 1.647695255768584444e+00, 1.614714527326181148e+00, 2.448376233653297263e+00, 1.087632387008792723e+00, 2.921417471075682393e+00, 1.399637447895970110e+00, 1.136236312316229125e+00, 2.470338761019461149e+00, 3.218260082756717377e+00, 1.798561963335796765e+00, 1.280106212378981478e+00
1.869000000000000000e+03, 3.262475211671654662e+00, 1.847261659635393904e+00, 1.143292622112064949e+00, 1.361944417774886729e+00, 1.537629094634719751e+00, 1.748865789875468479e+00, 1.479677896282206584e+00, 2.601349436563610507e+00, 1.299301281869515989e+00, 2.715633599078613347e+00, 1.389717975221221868e+00, 1.338901141119744453e+00, 2.429686802434267268e+00, 3.207212449056880299e+00, 1.729306067291731752e+00, 1.089677692658230557e+00
1.870000000000000000e+03, 2.714956936253508424e+00, 1.944775121814334540e+00, 1.229864496890041403e+00, 1.384591652295380726e+00, 1.678857814960567518e+00, 1.570871827373006901e+00, 1.555477235750256870e+00, 1.880386914849049296e+00, 1.730232336091996226e+00, 2.866321003392059641e+00, 1.557884163003943723e+00, 1.479354630741128052e+00, 2.700530381986133488e+00, 3.296614091422305215e+00, 1.707968819147310580e+00, 1.199755423267459209e+00
1.871000000000000000e+03, 3.018492590093027506e+00, 1.813160430500901699e+00, 1.257458701834602621e+00, 1.388163029511961355e+00, 1.792132855057845697e+00, 1.083843915640031907e+00, 1.617085750691908075e+00, 1.669501080537082238e+00, 1.347465410507857841e+00, 2.945265547810430817e+00, 1.545181921447623230e+00, 1.140406875053654456e+00, 2.162371657314161144e+00, 3.498001399592018501e+00, 1.641409716212216097e+00, 1.250120587480936241e+00
1.872000000000000000e+03, 3.142443584104797072e+00, 1.723830561829154062e+00, 1.479705225207331054e+00, 1.679428204882148723e+00, 1.510029699733058006e+00, 1.255619586336660154e+00, 1.539462176090526491e+00, 2.336577541136879432e+00, 1.078276345902558386e+00, 2.685951114484908420e+00, 1.447064907023277280e+00, 1.393355276580469537e+00, 2.810585455307125002e+00, 3.461505375157100328e+00, 1.447575531205156807e+00, 1.512005232271685040e+00
1.873000000000000000e+03, 2.831572388257100226e+00, 1.638542091937732481e+00, 1.148176598360704403e+00, 1.519372106430839420e+00, 1.458660490470370386e+00, 1.741326619537340914e+00, 1.669666891517913143e+00, 2.034699001508570415e+00, 1.282206292375495993e+00, 2.287379149375476928e+00, 1.525316563120427293e+00, 5.839993474408552432e-01, 1.547502879212942606e+00, 2.675215896073908084e+00, 1.629572828543763174e+00, 9.245342554981574867e-01
1.874000000000000000e+03, 3.144312941043636123e+00, 1.525571855101037322e+00, 8.624044780783379771e-01, 1.412903548821163868e+00, 1.673358107088973812e+00, 1.639256163562108348e+00, 1.752237982814879746e+00, 1.930702354606815607e+00, 1.404424894112346278e+00, 2.633116274654324851e+00, 1.736930987068416865e+00, 1.080196318678447565e+00, 2.244217165237376133e+00, 3.083803824126624349e+00, 2.010043194775815945e+00, 1.608700923457130116e+00
1.875000000000000000e+03, 3.093421733750595592e+00, 1.369317210347177349e+00, 8.643345058373553824e-01, 1.625398010720418673e+00, 1.534468039130641781e+00, 1.175437504027440960e+00, 1.571063564987644545e+00, 2.519669753909096865e+00, 1.057660260915961992e+00, 2.713662970949572983e+00, 1.285251623227067652e+00, 1.365994815696985221e+00, 1.951087070683501290e+00, 2.738759083397750871e+00, 1.767639534442722926e+00, 1.787224021482730185e+00
1.876000000000000000e+03, 2.445779351281893277e+00, 1.428609744620580324e+00, 1.007248921649702034e+00, 1.733855825133950646e+00, 1.762830749108434070e+00, 1.694205979227580983e+00, 1.500071740247735708e+00, 2.154967003667814573e+00, 1.519678372119870113e+00, 3.144518031180074669e+00, 1.437030742078462708e+00, 9.238086303076796790e-01, 2.698607226805287862e+00, 3.250732682251867178e+00, 1.294224849295299462e+00, 1.264966026290953005e+00
1.877000000000000000e+03, 3.214570284016165402e+00, 1.283137089169300582e+00, 1.087257895317005785e+00, 1.433325515400315719e+00, 1.681602470450827447e+00, 1.372323787527643280e+00, 1.713827920702839069e+00, 2.110146576928988438e+00, 8.119883676542790640e-01, 2.564049101021594446e+00, 1.288367942126245946e+00, 8.212169731654858085e-01, 2.807211993307208164e+00, 2.952288806007792310e+00, 1.773944299205552966e+00, 1.374860436585724210e+00
1.878000000000000000e+03, 2.450034714550051174e+00, 1.742327844968033501e+00, 1.360908782582980425e+00, 1.383844986190915893e+00, 1.658489666994933165e+00, 1.515359939732281891e+00, 1.582838642017740716e+00, 2.391885548863611266e+00, 1.023135533537084640e+00, 2.626717366345979077e+00, 1.548226932900415465e+00, 7.162222161103860563e-01, 2.121969051661538597e+00, 3.259776411804903962e+00, 1.710581206680292787e+00, 1.146642473372487148e+00
1.879000000000000000e+03, 2.484002267386385743e+00, 1.435379455588008835e+00, 1.493446556788824653e+00, 1.249667343662848484e+00, 1.513514211269112453e+00, 1.391852568527309097e+00, 1.744635422317447615e+00, 2.777861281499520274e+00, 1.095618084451731811e+00, 2.999557436758610418e+00, 1.324881047898265107e+00, 1.124520065275095293e+00, 2.854343394470446160e+00, 3.157948131541980619e+00, 1.612474681931375331e+00, 1.514578362928884481e+00
1.880000000000000000e+03, 2.486681065837291094e+00, 1.566044795904991016e+00, 1.276942958044347209e+00, 1.866310430265444964e+00, 1.633637706926462041e+00, 1.017338106578383750e+00, 1.533949802426994413e+00, 2.074809288487593495e+00, 1.759634125799230064e+00, 2.745963047357291131e+00, 1.306825028911874353e+00, 6.772760022709101158e-01, 2.562021005402930651e+00, 2.684886939959683971e+00, 2.017606167274748508e+00, 1.809532522698557466e+00
1.881000000000000000e+03, 2.533114612751658612e+00, 1.376331446838696904e+00, 1.296260397376383988e+00, 1.936981737761259703e+00, 1.510804218649691721e+00, 1.235344050300878127e+00, 1.700183893831738402e+00, 2.156615041946073674e+00, 1.061324620964108734e+00, 3.028571603949864244e+00, 1.388457936507897061e+00, 1.012133087861299519e+00, 1.781883548583546473e+00, 3.333460674839892501e+00, 1.727213554252837957e+00, 1.029363244556117163e+00
1.882000000000000000e+03, 2.530330917067824981e+00, 1.364484208428009326e+00, 1.337743234986727536e+00, 1.526969601848685354e+00, 1.458368509485193254e+00, 1.578826442900123972e+00, 1.439158349362075651e+00, 2.148221448480345241e+00, 1.007870553818684067e+00, 3.061577006312328653e+00, 1.651033479038443330e+00, 1.793407271941846348e+00, 1.991409746413222548e+00, 2.908897783049655850e+00, 1.115405940365820969e+00, 1.069353617602574635e+00
1.883000000000000000e+03, 2.133387608894141252e+00, 1.812370921467422624e+00, 1.341076608616683208e+00, 9.564099250038293754e-01, 2.193029557262332396e+00, 1.714663759658965336e+00, 1.545338520456481568e+00, 2.512581598053407195e+00, 1.270257065939202512e+00, 2.750401517801776663e+00, 1.492100542675150576e+00, 1.266532848619796869e+00, 3.381941053232108363e+00, 3.003236207365350907e+00, 1.982756433465826751e+00, 1.850215899143009990e+00
1.884000000000000000e+03, 2.416445874879659783e+00, 1.800566049170458260e+00, 1.319358215460465500e+00, 1.411688825831577621e+00, 1.568167085087547763e+00, 1.255933190586519199e+00, 1.543153446452416810e+00, 2.611075978207695769e+00, 1.302761212287879111e+00, 2.934353847445936303e+00, 1.343083617994871304e+00, 1.085260169877011682e+00, 2.702685771591189834e+00, 2.816758348357380815e+00, 1.691337474926779993e+00, 1.809595532433722509e+00
1.885000000000000000e+03, 2.404625166445728102e+00, 1.671465339230169711e+00, 1.468035738280516256e+00, 1.233707174278864338e+00, 1.276343513159205800e+00, 1.128618229012230634e+00, 1.539928468399630379e+00, 2.400605452233222969e+00, 1.139813611098800639e+00, 2.792975548359628135e+00, 1.423125381870171458e+00, 1.233936844461277271e+00, 2.180972532025940769e+00, 3.045173933602127292e+00, 1.627275272686882879e+00, 1.171087909774665814e+00
1.886000000000000000e+03, 2.983349963061091792e+00, 1.711405361705714778e+00, 1.209517495287047995e+00, 1.643223352414170613e+00, 1.294901196426832435e+00, 1.832911477868244043e+00, 1.708837617612734450e+00, 2.482048659924610323e+00, 1.185658509465200794e+00, 2.730404960694365002e+00, 1.424798914726279397e+00, 1.484962438478419244e+00, 1.744650607786888186e+00, 3.515409936622664766e+00, 2.130555188873914485e+00, 1.490757600953897866e+00
1.887000000000000000e+03, 3.059138796270686189e+00, 1.500147440592221049e+00, 1.172320909236693742e+00, 1.418247265545528935e+00, 2.242603009864786223e+00, 1.919370533262496403e+00, 1.605870417175713882e+00, 2.530797390674764280e+00, 1.093804244166291628e+00, 3.201527792811615480e+00, 1.376827391182906313e+00, 1.043974463503690053e+00, 2.275595822375597432e+00, 3.415229934303252168e+00, 1.417346797762409238e+00, 1.085156792198203712e+00
1.888000000000000000e+03, 2.914695534881765582e+00, 1.432959352351883320e+00, 1.133096690419633124e+00, 1.878705107398193963e+00, 1.837712907892385950e+00, 9.613314044326013441e-01, 1.628478209485906714e+00, 2.554640436596594899e+00, 7.578429227527581080e-01, 2.979074356828133485e+00, 1.271637417409562376e+00, 1.012636498140128793e+00, 2.568653270606104932e+00, 3.075476791077372596e+00, 1.194354741452605229e+00, 1.283961522155898871e+00
1.889000000000000000e+03, 2.871346898654775881e+00, 1.501549928428310698e+00, 1.158027434935811284e+00, 1.928940982418942074e+00, 1.478009071261924046e+00, 1.645762146595040942e+00, 1.718621081758666236e+00, 2.740589260487724221e+00, 9.367339881915958122e-01, 2.644238259800208102e+00, 1.366011113183808856e+00, 8.636280994539193845e-01, 2.317981127346422809e+00, 3.320766930904995196e+00, 2.136036866680188773e+00, 1.904649194911066212e+00
1.890000000000000000e+03, 2.694438898901170720e+00, 1.578407756754213631e+00, 8.149798197122767318e-01, 1.454934594740798781e+00, 1.939630558484268574e+00, 1.791301299299112859e+00, 1.726045341476588835e+00, 2.510613183790415537e+00, 1.229486306946751428e+00, 2.995613718565288242e+00, 1.446070789164115133e+00, 4.507122973548758349e-01, 2.338320635175699547e+00, 3.219642789166272667e+00, 1.946992409654646039e+00, 1.134429192771229111e+00
1.891000000000000000e+03, 2.823124778122100054e+00, 1.624256962573254803e+00, 1.293247137363800592e+00, 1.527729969389621800e+00, 1.543575737650417778e+00, 1.770597041030308683e+00, 1.586488444904346373e+00, 1.968228202076868882e+00, 4.964782163312986829e-01, 3.246854137470062796e+00, 1.478901196740530555e+00, 8.954164452985033940e-01, 2.715473967767895846e+00, 3.034504121547072053e+00, 1.324865525641149455e+00, 1.840993307270724744e+00
1.892000000000000000e+03, 2.801083135901269117e+00, 1.555444469403269192e+00, 1.601834172289178015e+00, 1.885035016975544098e+00, 1.502498479856281044e+00, 1.226716840231858452e+00, 1.311215313027066509e+00, 2.057834455382181460e+00, 9.269694178543939067e-01, 2.577738359286338543e+00, 1.231596642538471009e+00, 1.097046581360861417e+00, 2.011805956139526952e+00, 3.007918092876349814e+00, 1.793295164023461563e+00, 1.804228904262020539e+00
1.893000000000000000e+03, 3.009801437561960835e+00, 1.576054747934000577e+00, 1.513798541001837306e+00, 1.618037617234804770e+00, 1.556038060963680136e+00, 1.081582672374046261e+00, 1.423599432978452928e+00, 2.685191906947197005e+00, 1.460480255544183814e+00, 2.664079372505706367e+00, 1.657094201284424972e+00, 6.457489745335395215e-01, 2.204669766451873514e+00, 2.994544032202796746e+00, 1.942973949456261007e+00, 1.185449073841331247e+00
1.894000000000000000e+03, 3.140672351456343492e+00, 1.756943888442294321e+00, 1.640521619941693654e+00, 1.360966765815355251e+00, 1.439590236415716706e+00, 1.202913326162769581e+00, 1.565542149757068291e+00, 2.698073781325546872e+00, 1.129296110587276525e+00, 2.619854348489635498e+00, 1.343107155163857147e+00, 1.361286637099797803e+00, 2.742546846332246435e+00, 3.184386032699983549e+00, 1.475776167111907400e+00, 1.063411572707433139e+00
1.895000000000000000e+03, 3.059769816233187001e+00, 1.473248954842199865e+00, 1.618381756388255877e+00, 1.497078743815602131e+00, 1.844236051302857948e+00, 1.165489332959492641e+00, 1.577844951733424317e+00, 2.322446996891989635e+00, 1.108924574228744575e+00, 3.072446079654094664e+00, 1.433744432905615929e+00, 1.626930195566784310e+00, 2.561343097789498202e+00, 3.188557009836126888e+00, 1.600430707293795773e+00, 1.290562840385923504e+00
1.896000000000000000e+03, 2.841818538678574146e+00, 1.591289686843234241e+00, 1.410960575315414856e+00, 1.341014696891728919e+00, 2.035911279696673848e+00, 1.572538524009570171e+00, 1.712486383336048634e+00, 2.457843669337205217e+00, 1.109515010993072037e+00, 2.728998940411825558e+00, 1.547265354022526296e+00, 1.203720018290043159e+00, 1.846206819683216649e+00, 3.481209604953058978e+00, 2.252378279238386405e+00, 1.929228974223724968e+00
1.897000000000000000e+03, 2.638955028338643150e+00, 1.684112899691388332e+00, 1.099073926389967593e+00, 1.579642328699524700e+00, 1.866273080581446697e+00, 1.658295181176982158e+00, 1.462895070764938410e+00, 2.570393620728425255e+00, 7.421212358978626078e-01, 2.592952870774051899e+00, 1.439756797541083877e+00, 7.393443702850875932e-01, 2.701809587799471224e+00, 2.996675143883678061e+00, 1.641935437004166776e+00, 1.165467080819676315e+00
1.898000000000000000e+03, 3.179463493807811236e+00, 1.218968842423118204e+00, 1.145385029235487462e+00, 1.239306542940138645e+00, 1.624322689515556251e+00, 2.149500491257803070e+00, 1.486337993686198233e+00, 2.601950545844938123e+00, 1.217281316463499019e+00, 3.007438075625667562e+00, 1.467646214122452664e+00, 1.345180577587457904e+00, 2.004559277334055700e+00, 2.958652956925062583e+00, 1.399424997420571026e+00, 1.313098318472313952e+00
1.899000000000000000e+03, 2.919602842088456551e+00, 1.592613029621038123e+00, 7.008878545602574839e-01, 1.384027778453499335e+00, 1.605067355220329173e+00, 1.358170844128143928e+00, 1.461880037036040081e+00, 1.917486274297993676e+00, 1.331541438331070637e+00, 3.019580581099607919e+00, 1.399511956152358794e+00, 1.349183666084597943e+00, 2.905011495794883825e+00, 3.204769826030318569e+00, 1.565758326402920009e+00, 1.949226478556769671e+00
1.900000000000000000e+03, 2.924748643615718180e+00, 1.523052067130821863e+00, 8.748458029369000633e-01, 1.353755715718166108e+00, 1.519627166625098225e+00, 1.057400519716184428e+00, 1.536174750610094231e+00, 2.082845711571912783e+00, 1.106424677942260182e+00, 3.182938692093109978e+00, 1.554849875158532457e+00, 1.130200265503910062e+00, 2.274498551886369846e+00, 3.124892401861643521e+00, 1.836288974565489118e+00, 1.460356407804349610e+00
1.901000000000000000e+03, 2.735356685420699652e+00, 1.513264212951893395e+00, 9.319267907724386735e-01, 1.351354229430667742e+00, 1.500919560271767983e+00, 1.803569324228192938e+00, 1.596366703116177899e+00, 2.082732019316136718e+00, 1.299993538466367671e+00, 2.745541429789196908e+00, 1.483918794582023359e+00, 1.008547118715407365e+00, 2.666997227480944144e+00, 3.309638349239943711e+00, 1.500351620917468987e+00, 1.535314855889637009e+00
1.902000000000000000e+03, 2.395850391265558876e+00, 1.719940369733419239e+00, 1.363792297923733132e+00, 1.823545493594852074e+00, 1.697436994395485899e+00, 2.128458629134124980e+00, 1.469113566933577308e+00, 2.569403167922230669e+00, 1.546708231944157408e+00, 2.924336564650565240e+00, 1.439554709829228285e+00, 8.138291209150431138e-01, 2.310923616676981762e+00, 3.058880604706603723e+00, 2.001053789627963653e+00, 2.608712083693763173e+00
1.903000000000000000e+03, 2.761373630929414347e+00, 1.470336681700429748e+00, 1.585888628132644529e+00, 1.415590590790227976e+00, 2.064998359574776732e+00, 1.514910354593917985e+00, 1.667070484734855640e+00, 2.032392594230244320e+00, 8.721110352100098773e-01, 3.029262442176212211e+00, 1.273151533583796846e+00, 1.654756405468529756e+00, 3.269989466064624040e+00, 3.081671025905290850e+00, 1.480975898180799444e+00, 1.110050075742185172e+00
1.904000000000000000e+03, 2.968501576428831612e+00, 1.490747914063537571e+00, 1.323780196842546886e+00, 1.333078264725618745e+00, 1.806063757264020353e+00, 1.171960782267441159e+00, 1.548752925657720159e+00, 2.038412654545837199e+00, 1.331212827060154869e+00, 2.996768813927704667e+00, 1.267731845281846459e+00, 7.696121195650993396e-01, 2.901695949533139807e+00, 2.945151395824152640e+00, 1.347969404832559226e+00, 2.732853183604781133e+00
1.905000000000000000e+03, 3.034285761184559949e+00, 1.633862405212249236e+00, 1.464046599170922169e+00, 1.696613901519040013e+00, 1.580518014201168109e+00, 1.193069361093188174e+00, 1.701662468551704555e+00, 2.337336915437527196e+00, 1.158070176194946566e+00, 3.047740967414771074e+00, 1.161228921741847886e+00, 1.249718717388434763e+00, 2.432039803198404737e+00, 2.880047575293377626e+00, 1.719781714810440620e+00, 2.203635459725707069e+00
1.906000000000000000e+03, 2.482346878463306261e+00, 1.548189613102438855e+00, 1.428122832167533884e+00, 1.299503851657512143e+00, 2.048409552470215278e+00, 1.868824782350033464e+00, 1.652324893968923014e+00, 2.189819583806244196e+00, 1.322231589861397660e+00, 2.799215742280436459e+00, 1.352418828624917246e+00, 1.403941424371278446e+00, 1.591838256285577735e+00, 3.344918232769105604e+00, 1.836250274035772456e+00, 1.131010517114201308e+00
1.907000000000000000e+03, 2.287929448667204824e+00, 1.639246733153740809e+00, 1.151815332980115736e+00, 1.465466863971056188e+00, 1.613154391483327732e+00, 1.529539284968903345e+00, 1.467116784497269677e+00, 2.386603227078369915e+00, 7.727791172642659578e-01, 2.526314406241497501e+00, 1.477927240714814960e+00, 1.392597462713327960e+00, 2.671480975831112659e+00, 3.558059789521685889e+00, 1.651187007160500819e+00, 1.304145012089751310e+00
1.908000000000000000e+03, 2.299130895472663472e+00, 1.450904439482300079e+00, 1.259469219625103609e+00, 1.664728776592177439e+00, 1.632293706085707230e+00, 1.371740603773192069e+00, 1.514133639617399441e+00, 2.317163756081297432e+00, 8.934176038671396425e-01, 2.742225383526992299e+00, 1.540705111707322938e+00, 9.968622258403324610e-01, 1.852801845345948273e+00, 3.291365720914702475e+00, 1.543688781518267605e+00, 1.423553522427432716e+00
1.909000000000000000e+03, 2.536515674702697343e+00, 1.566326616813093819e+00, 1.420761674059399349e+00, 1.400909195370682925e+00, 1.536688951201418352e+00, 1.618506705258679235e+00, 1.711565629477521000e+00, 2.393591111106230684e+00, 1.444891259761987179e+00, 3.335751116273772965e+00, 1.431172165859932122e+00, 1.638183287053104120e+00, 2.645874342489625608e+00, 2.971827115773376882e+00, 1.959070344322463963e+00, 1.227303586123002388e+00
1.910000000000000000e+03, 2.282876323893870296e+00, 1.592836605376600101e+00, 1.442829071163706844e+00, 1.317948174253538829e+00, 1.332553442211027228e+00, 1.214262186823356737e+00, 1.574075517101988009e+00, 2.460358065151303286e+00, 1.104578237843496513e+00, 2.973885620206435654e+00, 1.384306900001610607e+00, 1.045658041954997675e+00, 2.359299757261604125e+00, 3.363628990024051912e+00, 1.447150849976181819e+00, 1.855699225108232708e+00
1.911000000000000000e+03, 2.694963004136414764e+00, 1.201009520440563527e+00, 1.162010732918727030e+00, 1.379536909736931660e+00, 2.072702090143450970e+00, 1.329335051287042990e+00, 1.322101587360958064e+00, 2.715769504395810774e+00, 1.260337283675351028e+00, 3.111873301341269826e+00, 1.707760791547079604e+00, 9.596174375737063222e-01, 2.597529144871971063e+00, 3.025185513753550826e+00, 1.372553649668821096e+00, 1.278797075550946127e+00
