year, CanESM5, NorESM2-MM, ACCESS-ESM1-5, CESM2-WACCM, CMCC-CM2-SR5, GFDL-ESM4, MIROC-ES2L, IPSL-CM6A-LR, UKESM1-0-LL, INM-CM5-0, NorESM2-LM, MPI-ESM1-2-LR, EC-Earth3-Veg, INM-CM4-8, TaiESM1, CNRM-ESM2-1
1.850000000000000000e+03, 2.455551479016128358e+00, 1.312887002335311193e+00, 1.167848550348690173e+00, 1.260305931851226635e+00, 1.370150536742222647e+00, 1.325047807915792797e+00, 1.640660907287221582e+00, 2.424606810468580065e+00, 1.312722756914786126e+00, 2.978043492653467794e+00, 1.129071606910861503e+00, 1.473205215002543200e+00, 1.647660158668775354e+00, 2.513959268665098445e+00, 1.813720373874938119e+00, 1.663607048355478124e+00
1.851000000000000000e+03, 2.414776767488937548e+00, 1.211444161389100715e+00, 1.219398677528901853e+00, 1.813079636094492741e+00, 1.575413891937764266e+00, 2.257625113969731867e+00, 1.366611642225648904e+00, 2.220153759459380538e+00, 1.274602193490398827e+00, 2.885838798559869023e+00, 1.316744655255021490e+00, 1.299876925393396165e+00, 2.228696831749859442e+00, 2.877605346466730385e+00, 1.436412165300255062e+00, 1.517394051290376522e+00
1.852000000000000000e+03, 2.861509582028032739e+00, 1.434728883180121040e+00, 1.401604788189390938e+00, 1.920261497145334006e+00, 2.127572491303975522e+00, 1.730335360230082831e+00, 1.474021540234418337e+00, 2.154370811205740477e+00, 6.278059166353231468e-01, 3.176373711840537517e+00, 1.410969680210562682e+00, 1.192373248754456272e+00, 1.872650916088236750e+00, 2.718367234613695782e+00, 1.967490529632469176e+00, 1.470925294986700882e+00
1.853000000000000000e+03, 2.421575974344574167e+00, 1.609812712413281499e+00, 1.260891249945532255e+00, 1.683368026860172284e+00, 1.205826425266090407e+00, 9.724886179963856403e-01, 1.650605890019370303e+00, 2.024929829489193978e+00, 1.004401936139146967e+00, 2.802479010143183125e+00, 1.474359251021025274e+00, 6.817716904208199757e-01, 2.406033660892657355e+00, 2.989032242100482684e+00, 1.400615365372699150e+00, 1.406031286824287685e+00
1.854000000000000000e+03, 2.753797247200827858e+00, 1.270228277810053541e+00, 1.025136423292252186e+00, 1.522970303772306133e+00, 1.600345258478935495e+00, 1.787197759738919256e+00, 1.646484495416889793e+00, 2.263519666464122615e+00, 1.357046363901539099e+00, 2.768899745307586091e+00, 1.417312505668836264e+00, 9.430113663235063504e-01, 3.710833502762809211e+00, 3.024894521596626529e+00, 1.739217171221209446e+00, 1.207800358449988787e+00
1.855000000000000000e+03, 2.968782263699936141e+00, 1.562378737476676438e+00, 1.099371135573071312e+00, 1.598437846569562559e+00, 1.779255825018257076e+00, 1.966869177552630576e+00, 1.532681017723563910e+00, 2.437526254430902206e+00, 1.730277964362546106e+00, 2.568252373589946291e+00, 1.714731204295618205e+00, 1.551081553993477025e+00, 1.441925959896750653e+00, 2.650589644202288930e+00, 2.181201934200412751e+00, 1.523412322299419808e+00
1.856000000000000000e+03, 3.435356015876613878e+00, 1.453132261137976444e+00, 9.266440974060369262e-01, 1.372609828425295886e+00, 1.308187956363745075e+00, 1.382150846711074133e+00, 1.495464988770894177e+00, 1.844963259918255716e+00, 1.003687941544163520e+00, 2.877977208043029034e+00, 1.551590725954006711e+00, 1.166045170103072959e+00, 1.830750000528584831e+00, 2.753637449585097041e+00, 1.788522320847023783e+00, 1.248322103702849573e+00
1.857000000000000000e+03, 2.506971463898389541e+00, 1.774265207928078292e+00, 1.424932376514444377e+00, 1.308843874205155799e+00, 1.518687254409275766e+00, 1.502144394418333695e+00, 1.475527403938881266e+00, 2.182706240575112311e+00, 8.698451884392133238e-01, 2.622602646701039042e+00, 1.295288926649853734e+00, 1.143820599893320411e+00, 2.455777512056882106e+00, 2.771570769686654501e+00, 1.354204021548423453e+00, 1.619349619463338774e+00
1.858000000000000000e+03, 2.457813937760333189e+00, 1.575763942811960305e+00, 1.642910880871206736e+00, 1.720158895760586892e+00, 1.824575763877102075e+00, 1.312092067135183449e+00, 1.561935733464319798e+00, 2.816946610621766656e+00, 1.050443772460360137e+00, 2.922873071502218867e+00, 1.347849839534252192e+00, 1.145983863196877950e+00, 2.126658280827480318e+00, 3.203884102250901922e+00, 1.804057267786100871e+00, 1.762631003400956686e+00
1.859000000000000000e+03, 2.723515331235712544e+00, 1.775712618859880187e+00, 1.620573774662375177e+00, 1.344567751135155254e+00, 1.563153948451096120e+00, 1.320199029160772142e+00, 1.671095504651362029e+00, 2.160318272298608733e+00, 1.262271433277269983e+00, 2.834247667667745496e+00, 1.646433298474546669e+00, 1.256979527242883199e+00, 2.009330234393344572e+00, 2.629459946794113545e+00, 2.211594575796185236e+00, 7.447925643811323937e-01
1.860000000000000000e+03, 2.939428224107462295e+00, 1.474537445231945298e+00, 1.421781851301983757e+00, 1.681577995655131774e+00, 1.567782488710809385e+00, 1.225556673128605389e+00, 1.525308038423307755e+00, 2.087459692366644415e+00, 1.439983352288231488e+00, 3.051700985920794196e+00, 1.880003193620489954e+00, 8.174091057835783936e-01, 2.910612662200250611e+00, 2.895561175903023976e+00, 1.650672497559175111e+00, 1.646770165330837976e+00
1.861000000000000000e+03, 2.545692775089228643e+00, 1.634222880972437508e+00, 1.485343503632348128e+00, 1.972240560093317940e+00, 1.235838365961526630e+00, 1.647275976834041922e+00, 1.383478555731411097e+00, 1.728307461776716236e+00, 9.542420752270304174e-01, 2.711113179915975557e+00, 1.513549431201183237e+00, 6.385502214114158193e-01, 2.242563403341846673e+00, 2.814456066847225379e+00, 1.260713402595170729e+00, 1.588654892500031224e+00
1.862000000000000000e+03, 2.358828651484418781e+00, 1.829111305866466752e+00, 1.339562808948669081e+00, 1.955878834300423419e+00, 1.357883977984635893e+00, 1.397812183643701411e+00, 1.458736984463283592e+00, 2.651934011368683564e+00, 5.973985036076280286e-01, 2.966608855167946146e+00, 1.486460769579254215e+00, 9.518627837383226709e-01, 2.645780539729674086e+00, 2.977064885473618361e+00, 2.131559840142126738e+00, 1.564215347838147085e+00
