year, EC-Earth3-Veg, TaiESM1, CESM2-WACCM, NorESM2-LM, CMCC-ESM2, CNRM-ESM2-1, MPI-ESM1-2-LR, IPSL-CM6A-LR, UKESM1-0-LL, NorESM2-MM
1.860000000000000000e+03, 1.577601035372357791e-11, 8.085801954182715966e-12, 9.636260204305371380e-12, 6.515779485258177403e-12, 5.172436300376043259e-12, 1.613825182690558206e-13, 1.654086120105924370e-12, 1.119476319079766625e-11, 1.599189410514244823e-14, 1.026674857625510444e-11
1.861000000000000000e+03, 2.577850465262819022e-11, 8.147012984033942532e-12, 1.319242843040850797e-11, 8.551313594015987535e-12, 5.326726942217008461e-12, 3.419925986176362745e-13, 1.952958161053617689e-12, 1.115862155109001973e-11, 1.656476845740799619e-14, 1.314272945593686889e-11
1.862000000000000000e+03, 2.514477136751471550e-11, 8.193262265426140371e-12, 1.362996208709542811e-11, 8.752531824117775434e-12, 5.501908546027584157e-12, 3.026690446672058887e-13, 1.985099292011009766e-12, 1.142711731564025624e-11, 2.358768219384510007e-14, 1.380609305035748777e-11
1.863000000000000000e+03, 2.603482553806227309e-11, 8.534148333728798962e-12, 1.397469448491229214e-11, 8.833963346278304770e-12, 5.531919822932791659e-12, 2.840777473949312797e-13, 2.023393411639795045e-12, 1.142883929661445638e-11, 2.884505522870204638e-14, 1.393912646724477926e-11
1.864000000000000000e+03, 2.496791112440935490e-11, 8.770443983188442849e-12, 1.423681039036599343e-11, 8.922039391462996332e-12, 5.603922608649477590e-12, 2.601534861538307019e-13, 2.051754795597247544e-12, 1.172398036465416017e-11, 2.991726549122398901e-14, 1.409969133725826297e-11
1.865000000000000000e+03, 2.496368951164482646e-11, 8.724582621724468040e-12, 1.431126076287347425e-11, 9.311127606510524896e-12, 5.777757430415443568e-12, 2.819453457044613449e-13, 2.046953200683833309e-12, 1.200061398345440985e-11, 4.045724885072125892e-14, 1.394442700470710568e-11
1.866000000000000000e+03, 2.616545556964543345e-11, 8.722578338901367577e-12, 1.417059619654166736e-11, 1.008916651340383933e-11, 5.614507779731632241e-12, 3.127569251173238006e-13, 2.079215427822003687e-12, 1.230688023693885156e-11, 3.950713122063543305e-14, 1.376432803276147390e-11
1.867000000000000000e+03, 2.596207827292305792e-11, 8.941440561465716705e-12, 1.436428423738621368e-11, 9.810432756071879507e-12, 5.542264627437644415e-12, 3.004105399164347733e-13, 2.153474122650013070e-12, 1.253335849853438556e-11, 2.956367829063642884e-14, 1.386901259006221817e-11
1.868000000000000000e+03, 2.450946339892535506e-11, 9.048335631593046398e-12, 1.417696743847269418e-11, 1.000012020165993431e-11, 5.660030380829216377e-12, 3.100746548849527394e-13, 2.158528475368619247e-12, 1.288533981101788580e-11, 2.302564764956694078e-14, 1.439203673820468343e-11
1.869000000000000000e+03, 2.526793866552431682e-11, 9.195120189824793342e-12, 1.413067773316327747e-11, 1.029935977163588767e-11, 5.870107696925633610e-12, 2.782211609193702989e-13, 2.177833621334430191e-12, 1.263728950580306164e-11, 1.841510693864448387e-14, 1.463452739442699821e-11
