year, CanESM5, ACCESS-ESM1-5, CESM2-WACCM, MIROC-ES2L, EC-Earth3-Veg, GFDL-ESM4, UKESM1-0-LL, IPSL-CM6A-LR, NorESM2-MM, TaiESM1, CMCC-CM2-SR5, CNRM-ESM2-1, NorESM2-LM, MPI-ESM1-2-LR
1.850000000000000000e+03, 6.409324248203341767e+01, 2.736898080681784151e+01, 2.425180229882446170e+01, 1.859211649786573517e+01, 3.720253520463362662e+01, 3.799409446555692682e+00, 4.161878661891512365e+01, 2.444546795803596950e+01, 2.397843983964514791e+01, 1.953750614005984687e+01, 4.780867236572079548e+01, 4.410366318371200123e+01, 2.441366160251539341e+01, 1.799637278548438957e+01
1.851000000000000000e+03, 6.409150181277261993e+01, 2.736343049664790428e+01, 2.425979554884504097e+01, 1.854800719981508905e+01, 3.722555278521370781e+01, 3.844605800413626540e+00, 4.166926166072452986e+01, 2.445051819728455200e+01, 2.399078565662859219e+01, 1.961760051239898672e+01, 4.792189529343715293e+01, 4.407903587803278356e+01, 2.444588355407903890e+01, 1.803350405591765693e+01
1.852000000000000000e+03, 6.414549115855318462e+01, 2.736412949749808377e+01, 2.420623552389381317e+01, 1.849826261156133711e+01, 3.721719154731640344e+01, 3.987219063627516213e+00, 4.160102421484126722e+01, 2.445041424044976353e+01, 2.399262397896895394e+01, 1.962620599261810383e+01, 4.784096441103645247e+01, 4.407028514711488043e+01, 2.442849038070409051e+01, 1.805653362231283054e+01
1.853000000000000000e+03, 6.413825809031354197e+01, 2.738307795895727637e+01, 2.416715592648274225e+01, 1.854133944668275191e+01, 3.716564760731017003e+01, 3.839335660081061086e+00, 4.146178620846166041e+01, 2.444595979993022183e+01, 2.394687708766462464e+01, 1.964321469848608004e+01, 4.772726382606282414e+01, 4.407433742574393420e+01, 2.442460866228302407e+01, 1.807391121855621208e+01
1.854000000000000000e+03, 6.413517277625602730e+01, 2.739585124590026055e+01, 2.419085830096613066e+01, 1.853787064970187970e+01, 3.713400917943888402e+01, 3.813918937261404629e+00, 4.139315990517742705e+01, 2.443658875185151658e+01, 2.395082308093939005e+01, 1.974842907167098005e+01, 4.784460129562698683e+01, 4.409635475443409547e+01, 2.441608778878160635e+01, 1.801654820347882691e+01
1.855000000000000000e+03, 6.417105928641994694e+01, 2.739461049910496726e+01, 2.420012187565387407e+01, 1.850944325274026880e+01, 3.711698227250445115e+01, 3.857041909969676663e+00, 4.158828256434490811e+01, 2.444372237605287168e+01, 2.394459875538024463e+01, 1.956391252543430070e+01, 4.785457109646776530e+01, 4.409540383993400070e+01, 2.439012195371878988e+01, 1.800370586166989639e+01
1.856000000000000000e+03, 6.420533911394437609e+01, 2.738246863369612782e+01, 2.423534003105006818e+01, 1.848186882883336679e+01, 3.713616797086211108e+01, 3.884090110145822727e+00, 4.167798964273385565e+01, 2.444810440360306103e+01, 2.394346757548127158e+01, 1.940253467762954998e+01, 4.785556623617418381e+01, 4.408644345168430334e+01, 2.435000957500546903e+01, 1.807275181019169352e+01
1.857000000000000000e+03, 6.420047467639541594e+01, 2.736947993240396926e+01, 2.426183319421127393e+01, 1.845689573533353922e+01, 3.721139111740750138e+01, 3.794992743771495203e+00, 4.155254757737246507e+01, 2.441811646565601635e+01, 2.392190672205588342e+01, 1.952181191924875492e+01, 4.795833888793938371e+01, 4.408672638242309461e+01, 2.436708237294140034e+01, 1.810190837280269349e+01
1.858000000000000000e+03, 6.421289606928188221e+01, 2.737443852939009048e+01, 2.425172621664254891e+01, 1.843769434817082953e+01, 3.713684591084262365e+01, 3.777730955682567782e+00, 4.148666921922801265e+01, 2.443915408588930305e+01, 2.391573944926123829e+01, 1.968670083808357774e+01, 4.797278753753379732e+01, 4.405922211272004319e+01, 2.440158490726609841e+01, 1.810701566470343593e+01
1.859000000000000000e+03, 6.424713367288202903e+01, 2.741365694421668309e+01, 2.422561229327837040e+01, 1.849178179647083198e+01, 3.709638179883805975e+01, 3.698525009793802720e+00, 4.145901248862296029e+01, 2.447759916229945532e+01, 2.391392865642554355e+01, 1.951053488356084387e+01, 4.792592426655394888e+01, 4.411683405593054630e+01, 2.440520407089669419e+01, 1.810229186967173121e+01
