year, ACCESS-ESM1-5, NorESM2-LM, INM-CM5-0, MPI-ESM1-2-LR, UKESM1-0-LL, GFDL-ESM4, CMCC-CM2-SR5, CNRM-ESM2-1, EC-Earth3-Veg, CESM2-WACCM, MIROC-ES2L, IPSL-CM6A-LR, NorESM2-MM, INM-CM4-8, TaiESM1, CanESM5
1.850000000000000000e+03, 2.448470839503152696e+00, 3.858649897404326179e+00, 6.197553784841248081e+00, 3.283263361860848217e+00, 2.828687378318663903e+00, 2.747733135092082168e+00, 2.963592518349837945e+00, 2.978690405725832324e+00, 8.069596507057772428e+00, 3.978994784128129680e+00, 3.100493874649923765e+00, 5.073393484623252014e+00, 3.874285974521345821e+00, 5.323447854566352611e+00, 4.460494324726678173e+00, 4.490044729275577851e+00
1.851000000000000000e+03, 2.557472769035817439e+00, 4.320542725131899076e+00, 6.057132523729082507e+00, 2.970826937703649584e+00, 2.875075333693045465e+00, 4.352988514693694633e+00, 2.873849182704875105e+00, 2.991099639054383807e+00, 8.154096874086478763e+00, 5.141213841196933032e+00, 2.729798065433900689e+00, 4.672194702464595117e+00, 3.646553215117331881e+00, 5.961382539246695700e+00, 3.799860488245598855e+00, 4.385395525586110566e+00
1.852000000000000000e+03, 2.844753536809601080e+00, 4.501380261654619908e+00, 6.580815243062343001e+00, 2.818453855737077518e+00, 1.209301014937915975e+00, 3.625260066125930436e+00, 3.934992646996933185e+00, 3.002835363537340818e+00, 7.940241377989267768e+00, 5.271462174489036201e+00, 2.844922822259368989e+00, 4.522371863633318334e+00, 3.953576852974918676e+00, 5.666300756031554364e+00, 4.425760535238404181e+00, 4.992500215530639274e+00
1.853000000000000000e+03, 2.656824978806842541e+00, 4.649634318894380947e+00, 5.933968525739529376e+00, 1.820239924993095615e+00, 1.806505480009551468e+00, 2.173276524130729914e+00, 3.026197030123223275e+00, 2.887677487497878559e+00, 8.764172497884382906e+00, 4.916987314246474838e+00, 3.099344218738892653e+00, 4.281835244766529769e+00, 4.610959425180245930e+00, 6.150187619455929955e+00, 3.731594506336029848e+00, 4.395914689050210988e+00
1.854000000000000000e+03, 2.303264234903275032e+00, 4.472426061227428029e+00, 5.760554005861821203e+00, 2.362300007869138518e+00, 2.901788693374838246e+00, 3.557701925174144186e+00, 3.267664171070021162e+00, 2.305939964751285043e+00, 1.063087075668546788e+01, 4.780996652238861166e+00, 3.079861119887391752e+00, 4.723593494687236216e+00, 3.987540573523709941e+00, 6.190495446098077004e+00, 3.924807373229140861e+00, 4.852798536312501909e+00
1.855000000000000000e+03, 2.326716607109471369e+00, 5.213440681144017042e+00, 5.479107469392835661e+00, 3.389576617657748869e+00, 4.390351557773308322e+00, 3.917732980735144643e+00, 3.702899548855361989e+00, 2.884861340476500668e+00, 7.693315756843007946e+00, 4.622715012070331753e+00, 2.943075209108277246e+00, 5.061706286461547855e+00, 4.446632217793220043e+00, 5.569640493010538762e+00, 4.853088897458762929e+00, 5.122149048482568467e+00
1.856000000000000000e+03, 2.122375841090077930e+00, 4.755534660775707856e+00, 5.963094251656261058e+00, 2.684612126746642957e+00, 2.158598908663010629e+00, 2.884210873977053335e+00, 3.097163255010429328e+00, 2.485656419415984697e+00, 7.865890803641116591e+00, 4.378910962974795318e+00, 2.876654245721983028e+00, 4.050822517124857747e+00, 4.732837456369325402e+00, 5.775527461732249179e+00, 5.040450802957427534e+00, 5.776944049988628649e+00
1.857000000000000000e+03, 2.800044615453689989e+00, 4.478003642374064341e+00, 5.458310388282743730e+00, 2.702974238834927156e+00, 1.547686015147001992e+00, 3.067622965806919844e+00, 2.958159354216915560e+00, 3.053328090516506776e+00, 7.807453379669829552e+00, 3.902606960331126196e+00, 2.843259725117621262e+00, 4.560922640258579186e+00, 4.889664309330409075e+00, 5.785920670586517822e+00, 4.196794997242995429e+00, 4.579143209230880807e+00
1.858000000000000000e+03, 3.218962782585678362e+00, 4.275522607285676457e+00, 6.071248354400764491e+00, 2.666674897544138112e+00, 1.926847895456721860e+00, 2.719130093501515244e+00, 3.487454410621630974e+00, 3.524316625910449918e+00, 8.377665013238230429e+00, 4.665104129461107085e+00, 2.963854565547749065e+00, 5.638988341202728627e+00, 5.026082708861308035e+00, 6.509723343073379631e+00, 4.259634363819586156e+00, 4.455128920727415398e+00
1.859000000000000000e+03, 3.301041990662687109e+00, 4.866980625166254626e+00, 5.935448011441953220e+00, 2.953392026782403423e+00, 2.409625668630764217e+00, 2.725207977385164515e+00, 3.394613824486290454e+00, 1.666765654196209923e+00, 8.175680045931448703e+00, 3.958474304303483571e+00, 3.129217521121115730e+00, 4.653336618242572165e+00, 5.073996740741069544e+00, 5.514848322219059185e+00, 5.179304802191291301e+00, 4.772929723115171718e+00
1.860000000000000000e+03, 3.035938081530017207e+00, 5.424703547812924853e+00, 6.293526337977132457e+00, 2.070601597071791478e+00, 3.083173660183596620e+00, 2.572114189439482335e+00, 3.358977753698440871e+00, 2.980329683651280703e+00, 9.026646213257567553e+00, 4.404487504374325013e+00, 2.924783610198650408e+00, 4.392027385717872434e+00, 4.860642690243407671e+00, 5.960294916978108759e+00, 5.018122615234071660e+00, 5.131838837415688026e+00
1.861000000000000000e+03, 3.078243772421469959e+00, 5.099264651269954207e+00, 5.601001865348646191e+00, 1.794924990809683152e+00, 2.097213243846514974e+00, 3.266670545194271913e+00, 2.720808015290300474e+00, 3.160245083889182460e+00, 8.947341492987320066e+00, 5.274227371471361003e+00, 2.731098305689068528e+00, 3.761908198015187832e+00, 4.843400865280784728e+00, 5.772246381781641844e+00, 3.640334707223625177e+00, 4.540894625268386164e+00
1.862000000000000000e+03, 2.891625424788741849e+00, 4.664994279588791315e+00, 6.030738613242817792e+00, 2.316639970259572134e+00, 1.094312284641359101e+00, 2.957988364707277551e+00, 2.703569406504050310e+00, 3.046338435144134049e+00, 9.539514840022730979e+00, 5.534241019895384639e+00, 2.798102169901497405e+00, 5.289358278361540044e+00, 5.287203015157784236e+00, 6.083837288919387909e+00, 4.512571677667683190e+00, 4.274677790894047646e+00
1.863000000000000000e+03, 2.738157099275432049e+00, 4.123086384473024779e+00, 6.509919852399721485e+00, 3.374335037602609777e+00, 2.132259243177767161e+00, 2.963646938663303754e+00, 3.239554277410162886e+00, 2.229988059648360110e+00, 7.539967808228579926e+00, 5.276411701795659326e+00, 2.902119674836959984e+00, 4.974710565083801939e+00, 4.821858589166634346e+00, 6.448981263156196242e+00, 4.848963057155774692e+00, 4.549216432614763050e+00
1.864000000000000000e+03, 2.173350085601116088e+00, 4.109449562542449641e+00, 5.460106331214903186e+00, 1.768725093998110287e+00, 1.277534497031005412e+00, 3.217276921300415538e+00, 3.818564850480592465e+00, 3.261986745444621860e+00, 7.639583418361847400e+00, 4.753984086669609255e+00, 2.849826572897976362e+00, 4.690811501384210658e+00, 3.885263469434632633e+00, 6.499366238110984462e+00, 4.760644079275563989e+00, 4.287370081390839971e+00
1.865000000000000000e+03, 2.655411309145652599e+00, 5.106198429427125873e+00, 5.447145624140350861e+00, 1.685245730406237596e+00, 2.826399104158776598e+00, 2.385113755649609590e+00, 3.894861991619191333e+00, 3.988669937686548650e+00, 8.457330728934962849e+00, 3.744907401211645226e+00, 2.960885070472766500e+00, 4.423618377607429153e+00, 3.678587392700114478e+00, 6.734158742903868955e+00, 3.970607200010057625e+00, 4.594856756929998731e+00
1.866000000000000000e+03, 2.847522858478491958e+00, 4.585718877828369067e+00, 5.113713077646138139e+00, 3.712013204281410239e+00, 3.202290775600379114e+00, 2.495671556534470703e+00, 4.148762237619194160e+00, 2.406767813878228246e+00, 9.336660041031727530e+00, 4.493023208417452175e+00, 3.228781472586982115e+00, 3.994468277184111571e+00, 3.308605197832726219e+00, 6.688013969531561465e+00, 4.131959458829811638e+00, 4.710160822756875199e+00
1.867000000000000000e+03, 2.688955854423439540e+00, 4.949320600792432856e+00, 5.133365148202477357e+00, 2.954488989213494676e+00, 2.524977575468495328e+00, 2.891074387692206926e+00, 4.180750861496110637e+00, 2.206124469604509475e+00, 7.940311302893952927e+00, 3.781386036778641380e+00, 3.184393866153988562e+00, 4.328364529327960675e+00, 4.338107066969842052e+00, 6.931188856016435196e+00, 4.873352874568711357e+00, 4.214867562806941415e+00
1.868000000000000000e+03, 2.416046944192168588e+00, 4.582878397274167348e+00, 5.937494456745198157e+00, 2.734985229716191846e+00, 2.109685981525238230e+00, 3.260310092207383992e+00, 3.379285171372566676e+00, 2.629697330877209804e+00, 8.333957350005563924e+00, 3.815798712830455131e+00, 3.060570994184530935e+00, 5.020047482033974440e+00, 5.049736328344210712e+00, 6.666773116360512397e+00, 4.975387266856584390e+00, 4.240113011182601532e+00
1.869000000000000000e+03, 2.482389550718737237e+00, 4.284264426752632637e+00, 5.666340019093468072e+00, 3.106582876308447094e+00, 2.662654579868008131e+00, 3.515600230669394310e+00, 3.222150846357345610e+00, 2.099919853797689751e+00, 8.734761637653717159e+00, 4.006052158107885397e+00, 2.861719001456723532e+00, 5.332253118630126743e+00, 5.295098144915948879e+00, 6.641340719939512915e+00, 4.874296582936910482e+00, 5.487306619220481352e+00
1.870000000000000000e+03, 2.650469087257942391e+00, 4.554709175647116304e+00, 5.857916816815643912e+00, 3.298083261918611786e+00, 4.652938440263661768e+00, 3.216875788966475191e+00, 3.354959541658054878e+00, 2.244663105249206758e+00, 9.711212232943781331e+00, 4.066890813258457804e+00, 2.943813967638091000e+00, 4.170900670855435699e+00, 5.486128366984962312e+00, 6.818997518183634199e+00, 4.652853039859114581e+00, 4.759142305425373642e+00
1.871000000000000000e+03, 2.668468714688915444e+00, 4.816191648625759214e+00, 6.120965785431719652e+00, 2.707096221915261669e+00, 3.489616557457626111e+00, 2.353288482427461581e+00, 3.563185924619857392e+00, 2.426217041291434562e+00, 8.830740902735920272e+00, 3.880800136529092281e+00, 3.046669567035587001e+00, 3.604973754417156950e+00, 5.585157278546330595e+00, 7.190646203873868991e+00, 4.353084393381426942e+00, 5.215161022178844696e+00
1.872000000000000000e+03, 2.992350298069654357e+00, 4.585989172768657696e+00, 5.605967778251115696e+00, 3.128739371848491935e+00, 2.445749419246820100e+00, 2.586056351887536131e+00, 3.243291050605882297e+00, 2.848575456790368055e+00, 1.022511859004007384e+01, 4.651817217078839661e+00, 2.943449999822104868e+00, 4.763108467233384324e+00, 5.419789979873877783e+00, 7.127066340626487140e+00, 3.737990379776598537e+00, 5.381545412011690566e+00
1.873000000000000000e+03, 2.544446452493370980e+00, 4.938991247654114680e+00, 4.790349325039079176e+00, 1.624794854918137688e+00, 2.558842051954503649e+00, 3.452883932638943332e+00, 3.167267499518014784e+00, 1.886897977294988982e+00, 8.038950632160261733e+00, 4.701178663505358735e+00, 3.098059850312591568e+00, 4.374085227393183395e+00, 5.008468262052557129e+00, 5.675681284904427137e+00, 3.723653654382534928e+00, 4.986604259493223168e+00
1.874000000000000000e+03, 2.051667826768115432e+00, 4.998265190786451484e+00, 5.385928691720419437e+00, 2.534567973167878741e+00, 3.155783629579177241e+00, 3.318620122997742339e+00, 3.445530696568637197e+00, 2.938063145833670564e+00, 8.390379028169242304e+00, 4.515543341694410628e+00, 3.236615660590544508e+00, 4.073100301663681755e+00, 4.811987541196882212e+00, 6.315345387959103718e+00, 4.386790813313466764e+00, 5.407896149883099746e+00
1.875000000000000000e+03, 1.995777494558307108e+00, 4.344174507351750592e+00, 5.524331712524696236e+00, 3.036891248881580019e+00, 2.078736661180996759e+00, 2.509981304501684996e+00, 3.260148825329202804e+00, 3.560333784359347220e+00, 7.799449628299002235e+00, 4.663831342651984180e+00, 2.996190994994347268e+00, 5.095465170260204069e+00, 4.371750323213017708e+00, 5.716042710444320107e+00, 4.360651177658080968e+00, 5.360505491177604220e+00
1.876000000000000000e+03, 2.176281575708252980e+00, 4.854272775698955655e+00, 6.356234008910442768e+00, 2.370670778932483458e+00, 3.482383448280052196e+00, 3.330090018496061788e+00, 3.388671297246536707e+00, 2.499901937093766513e+00, 8.854094162145948133e+00, 4.831838252072411244e+00, 2.890191886438373992e+00, 4.578511536815727645e+00, 4.181084347110646249e+00, 6.663858057280585001e+00, 3.515505691770377972e+00, 4.461974773250909188e+00
1.877000000000000000e+03, 2.354511774746850250e+00, 4.223028806667631585e+00, 5.344921424210582472e+00, 2.129761440525343552e+00, 1.569393142329962521e+00, 2.934324282754841473e+00, 3.463039088934618093e+00, 2.647372611070798243e+00, 9.697671938739478747e+00, 4.588874209106826640e+00, 3.183527795151411155e+00, 4.449091075393106998e+00, 3.729802002572587316e+00, 6.133933615824249230e+00, 3.980739063182221926e+00, 5.502564675568554442e+00
1.878000000000000000e+03, 2.732154743005627218e+00, 4.742468359747910256e+00, 5.438421849441983369e+00, 1.901272188249974793e+00, 1.885352854053140570e+00, 3.006975693801146932e+00, 3.550759843721249531e+00, 2.385612504485696839e+00, 8.838635489150016511e+00, 4.303487574877438604e+00, 3.010986473677321307e+00, 4.954782307121711860e+00, 4.861699353730167594e+00, 6.679040363643343525e+00, 4.130787996047709854e+00, 4.448142249564302375e+00
1.879000000000000000e+03, 3.010535724749545672e+00, 4.417632617659404737e+00, 6.177602334941018292e+00, 2.686008025422762291e+00, 2.231174633425287102e+00, 2.848800170753369443e+00, 3.374429721292170559e+00, 2.955527546756543167e+00, 9.978863035543207971e+00, 3.799400567983590271e+00, 3.224738767591411204e+00, 5.624654406188945188e+00, 4.569431610121457155e+00, 6.497460158449655410e+00, 4.007254085226000129e+00, 4.471351636399948148e+00
1.880000000000000000e+03, 2.721770882405371683e+00, 4.648066050898126633e+00, 5.754289029378041320e+00, 1.876326919995755738e+00, 4.203224383927781638e+00, 2.203406003135830904e+00, 3.492450692738950924e+00, 3.540962865346305222e+00, 9.191790016446079292e+00, 5.131098105674161580e+00, 2.938232552725914992e+00, 4.536499463237421814e+00, 4.788440700903936253e+00, 5.643396776922481095e+00, 4.744012129794669796e+00, 4.457853779126260463e+00
1.881000000000000000e+03, 2.697940953241010131e+00, 4.154395344085869191e+00, 6.284731113674975056e+00, 2.460513367415067432e+00, 2.307615580106882280e+00, 2.529515701512229597e+00, 3.206381108093946608e+00, 2.107048501203990565e+00, 9.011416410520450171e+00, 5.431317255566781910e+00, 3.151326693492548348e+00, 4.504749632203672860e+00, 4.514207010447931268e+00, 6.808423943683718171e+00, 4.868693492900512787e+00, 4.536878512130874341e+00
1.882000000000000000e+03, 2.795337772934865850e+00, 4.877152320792030871e+00, 6.282992797752480207e+00, 3.635239090073193235e+00, 1.812552201463784707e+00, 3.201865920302770174e+00, 2.929137532678995903e+00, 2.109409329200335748e+00, 8.083142479651712620e+00, 4.929427884662693771e+00, 2.815756023395667551e+00, 4.475569478962019510e+00, 4.253255839722727139e+00, 6.058928684175541868e+00, 3.339464984045680929e+00, 4.480601805861713416e+00
1.883000000000000000e+03, 2.781922936579160233e+00, 4.626246664441406864e+00, 5.706105162594269586e+00, 2.954584283100929465e+00, 2.599461952837917700e+00, 3.313639689780444098e+00, 4.077872046753987512e+00, 3.302652847519066626e+00, 9.957531962649692758e+00, 3.377545492447972642e+00, 2.952183219429200811e+00, 5.187399090041514782e+00, 4.943375743718261717e+00, 6.137095921645647323e+00, 4.179934882610689684e+00, 3.946311730399757689e+00
1.884000000000000000e+03, 2.764051011911136779e+00, 4.687484600699011850e+00, 6.039801276118315521e+00, 2.616032556423897759e+00, 2.783712871370951358e+00, 2.597622454677569248e+00, 3.743732853234537306e+00, 3.796733370938644381e+00, 9.235770197464047371e+00, 4.030646378861317380e+00, 2.929051202413614607e+00, 5.363266486536703681e+00, 5.162856471621511290e+00, 5.753716428815142336e+00, 4.233588748572992166e+00, 4.284425236579823881e+00
1.885000000000000000e+03, 3.001634987002827604e+00, 4.478008867476455102e+00, 5.799632314821824508e+00, 2.842015696825197946e+00, 2.324093550027793498e+00, 2.347876295605920927e+00, 3.072792806313984659e+00, 2.242575585579191788e+00, 9.317409891721661452e+00, 3.539277729362965808e+00, 2.922268292039565285e+00, 5.016132856504794901e+00, 5.252324196453654892e+00, 6.217079522901473254e+00, 4.134491719023423606e+00, 4.285748891687441997e+00
1.886000000000000000e+03, 2.658002939871861425e+00, 4.471567762827715065e+00, 5.668261649827082138e+00, 3.251317204727889987e+00, 2.443767310699551665e+00, 3.623455085470411063e+00, 2.546080362681936826e+00, 3.029515561081201458e+00, 7.696701990775227209e+00, 4.314185005443351706e+00, 3.155240707798391941e+00, 5.199204238032711700e+00, 5.106698174942649437e+00, 7.115402088200280417e+00, 4.959823721147476050e+00, 5.087770674110812408e+00
1.887000000000000000e+03, 2.547237902476113369e+00, 4.502724609737007277e+00, 6.503719293437943527e+00, 2.552196397093072111e+00, 2.152740055458673307e+00, 3.799729776412702265e+00, 3.926919379060044513e+00, 2.143686301144667183e+00, 8.498724774791476477e+00, 4.490600293130759368e+00, 3.030688501191253437e+00, 5.216114309887164957e+00, 4.782466007412675246e+00, 6.914596367603727423e+00, 4.271059541297198336e+00, 5.254608567003535846e+00
1.888000000000000000e+03, 2.472685371034601953e+00, 4.149298107581783412e+00, 6.104517238329036921e+00, 2.463830458360594999e+00, 1.320159808470938057e+00, 2.160522349090840066e+00, 4.013858208838553487e+00, 2.353165192699583574e+00, 8.849868503021799171e+00, 5.346817754367538811e+00, 3.061267586427014464e+00, 5.322351826364116079e+00, 4.639390820086779499e+00, 6.450219206086009294e+00, 3.180573385297826405e+00, 5.051234205832252577e+00
1.889000000000000000e+03, 2.526406273763734944e+00, 4.443701241559968373e+00, 5.494105552006484317e+00, 2.167695417942939962e+00, 1.642812857781579039e+00, 3.200041139690433134e+00, 3.629374779444359156e+00, 3.704152946499926102e+00, 8.835216894053933956e+00, 5.395985623616306626e+00, 3.196679123174430259e+00, 5.617144999627599056e+00, 4.609830135524429551e+00, 6.815922645721798290e+00, 4.334973802077887406e+00, 5.006352449224090506e+00
1.890000000000000000e+03, 1.983254757873911256e+00, 4.572912750030597273e+00, 6.093208616487760132e+00, 1.355423651258330864e+00, 2.349299808842780557e+00, 3.595721164421400662e+00, 4.283868279321626282e+00, 2.352932779290577425e+00, 8.721338037112332131e+00, 4.593241381701795412e+00, 3.206544453254112970e+00, 5.258157216578422499e+00, 4.484085876243719682e+00, 6.630604510912522009e+00, 4.745177028877070491e+00, 4.792932370218736082e+00
1.891000000000000000e+03, 2.615042648437126971e+00, 4.627191348156803663e+00, 6.658426256928632547e+00, 2.229516015011721031e+00, 8.965072640386526626e-01, 3.578797968171045341e+00, 3.741376395107604669e+00, 3.344360680145601172e+00, 8.759722158145363480e+00, 4.578117762761109155e+00, 3.011959534194596610e+00, 4.323874176368187605e+00, 4.931178367305496302e+00, 6.337852414621544028e+00, 3.859479318147617466e+00, 4.933821842384562117e+00
1.892000000000000000e+03, 3.189657712401156697e+00, 4.140642789000649415e+00, 5.495174725680714189e+00, 2.591584658614772163e+00, 1.671618259585453403e+00, 2.654459469298354080e+00, 3.328573928356548528e+00, 3.712196280906944423e+00, 7.948505611656862868e+00, 5.159896789180515420e+00, 2.647082340535703349e+00, 4.379275612142190965e+00, 4.978590578531287392e+00, 6.190249942512749293e+00, 4.204567832707583719e+00, 4.909508312844126365e+00
1.893000000000000000e+03, 3.092959470460364013e+00, 4.569380042196601543e+00, 5.524909952998883433e+00, 1.759243199355180476e+00, 2.883130950134509263e+00, 2.294628068629657847e+00, 3.187306526485530256e+00, 2.467777444349179117e+00, 8.416449897965952331e+00, 5.171416935246007540e+00, 2.768319055989072908e+00, 5.384473489710294380e+00, 4.643148325584949276e+00, 6.190184247648133464e+00, 4.718748096032926220e+00, 5.199841987805460697e+00
1.894000000000000000e+03, 3.326584785864147520e+00, 4.219371776707401267e+00, 5.398351948581095350e+00, 3.039428409042552737e+00, 2.300310336481136364e+00, 2.490767775734486822e+00, 2.887733453599564903e+00, 2.131882466969277967e+00, 8.951927955446441487e+00, 4.174088029764997820e+00, 2.960667640083042507e+00, 5.563993689493853978e+00, 5.013207510924942767e+00, 6.588546560235071681e+00, 4.120061013427755547e+00, 5.379332232353171150e+00
1.895000000000000000e+03, 3.385092855601572914e+00, 4.740341930815973548e+00, 6.239764292510875165e+00, 3.486187256437695225e+00, 2.324353808894499718e+00, 2.455204739025432126e+00, 3.408041584112914357e+00, 2.499284512774082589e+00, 9.246605831000515252e+00, 4.497552077070001708e+00, 2.976634461968388212e+00, 4.943469610172847695e+00, 4.778703371190945681e+00, 6.605316802925465858e+00, 3.921782173993334286e+00, 5.300730905117742253e+00
