year, MIROC-ES2L, CESM2-WACCM, CanESM5, ACCESS-ESM1-5, NorESM2-MM, IPSL-CM6A-LR, UKESM1-0-LL, EC-Earth3-Veg, CNRM-ESM2-1, MPI-ESM1-2-LR, TaiESM1, GFDL-ESM4, NorESM2-LM, CMCC-CM2-SR5
1.885000000000000000e+03, 1.533816012210004187e+00, 1.256359748831324730e+00, 2.561763013621279228e+00, 1.266688785222501057e+00, 1.510448655705947774e+00, 2.368738119023841016e+00, 1.173698333550466488e+00, 2.158141252856429659e+00, 1.218197718761041326e+00, 1.214241195558401820e+00, 1.760922979497600238e+00, 1.217921830702098918e+00, 1.335904562584644406e+00, 1.529650223770648632e+00
1.886000000000000000e+03, 1.531474399314805890e+00, 1.406535913320303033e+00, 2.810915437735310718e+00, 1.253002120156865962e+00, 1.612086844637768746e+00, 2.347409883494474769e+00, 1.182002100001074973e+00, 2.387377301233380766e+00, 1.237380513793243653e+00, 1.219555029130122925e+00, 1.439808022823800604e+00, 1.292615237259798544e+00, 1.312868587074223381e+00, 1.562968291934295761e+00
1.887000000000000000e+03, 1.520163295244973511e+00, 1.317062710772416656e+00, 2.771256962320888029e+00, 1.251550742991805576e+00, 1.432043812486072598e+00, 2.358841659033666716e+00, 1.136400505371002900e+00, 2.266828687748041027e+00, 1.117058611366037901e+00, 1.125978974125547705e+00, 1.644134478270323330e+00, 1.418853655817555071e+00, 1.352291199355116991e+00, 1.606607150926523619e+00
1.888000000000000000e+03, 1.589226639718218426e+00, 1.678051378492991130e+00, 2.628361470239657827e+00, 1.254426080946231759e+00, 1.318682926155103186e+00, 2.418447429687501593e+00, 1.059443555964528993e+00, 2.081753552853992328e+00, 1.192417380763318269e+00, 9.844855696838167303e-01, 1.805415191315444146e+00, 1.339592956878226326e+00, 1.202285196285828528e+00, 1.364775816542958209e+00
1.889000000000000000e+03, 1.590792952660496029e+00, 1.752393191662689143e+00, 2.771297901023844990e+00, 1.204252275240910386e+00, 1.448612508727685766e+00, 2.451733034702297864e+00, 1.065048448712028639e+00, 1.979201902776628552e+00, 1.378489835454087098e+00, 9.740731198063581342e-01, 1.498213330101929808e+00, 1.274010462414284284e+00, 1.312168872329720015e+00, 1.629755612004129883e+00
1.890000000000000000e+03, 1.581891874320960012e+00, 1.401664751447261326e+00, 2.788451827194384780e+00, 1.194796828976163683e+00, 1.430517079024098859e+00, 2.485763043857844412e+00, 1.147508726438070337e+00, 2.151369917202694992e+00, 1.139112449484336764e+00, 7.358919478321070962e-01, 1.404018722763412663e+00, 1.373240154471850216e+00, 1.324726884506884250e+00, 1.657055055621518003e+00
1.891000000000000000e+03, 1.501183082640092925e+00, 1.517221477999925794e+00, 2.858118358471219533e+00, 1.209947442534390127e+00, 1.425955298595438014e+00, 2.279352655127688365e+00, 9.981481834230275796e-01, 2.022380968464939865e+00, 1.444155428079932468e+00, 1.039228149677075219e+00, 1.951579031925829488e+00, 1.466936149181309323e+00, 1.354981612523832535e+00, 1.464302057604685681e+00
1.892000000000000000e+03, 1.555533078199619945e+00, 1.650923915341580228e+00, 2.677542454664248339e+00, 1.251903914932490647e+00, 1.498176707637526750e+00, 2.240605128231828669e+00, 1.032153616045959010e+00, 2.078998326510252959e+00, 1.409994883919591713e+00, 9.377897115522815241e-01, 1.603294511220967555e+00, 1.403609765033194678e+00, 1.265092210936727746e+00, 1.682666002992181387e+00
1.893000000000000000e+03, 1.610127359875477504e+00, 1.533521450852402213e+00, 2.911776253769997158e+00, 1.268673116144483082e+00, 1.466249332969674191e+00, 2.268629119783987402e+00, 1.188174241908674933e+00, 2.159440637626344195e+00, 1.223655718816078819e+00, 7.788575993375567164e-01, 1.501352637602207274e+00, 1.234590311460880274e+00, 1.498586880132465993e+00, 1.571850486768177069e+00
1.894000000000000000e+03, 1.564412364666049715e+00, 1.346071813035473852e+00, 2.799280374828589046e+00, 1.310956659641393518e+00, 1.577385986207364255e+00, 2.439720964534428660e+00, 1.128114760686262263e+00, 2.030209318861099010e+00, 1.018425288350149671e+00, 1.203736071903072302e+00, 1.527421093968940324e+00, 1.175227598747139668e+00, 1.232701370659686546e+00, 1.517240827540120574e+00
1.895000000000000000e+03, 1.610971977910245156e+00, 1.352192005948186448e+00, 2.837262542081696814e+00, 1.327721648746044147e+00, 1.395108436521241613e+00, 2.395474251738147320e+00, 1.119797615784889233e+00, 1.948677698292046623e+00, 1.140821506107646544e+00, 1.287209101521030075e+00, 1.830275485732014484e+00, 1.162419790961161548e+00, 1.370121594023254064e+00, 1.600874014938266310e+00
1.896000000000000000e+03, 1.594166586550753717e+00, 1.315377161712125043e+00, 2.904871693869145233e+00, 1.358209399982281962e+00, 1.474706315620067487e+00, 2.335547185704678785e+00, 1.133213597427842778e+00, 2.214727545588505375e+00, 1.497072036601521106e+00, 1.114073183897483998e+00, 1.499697650277558747e+00, 1.195011657479787770e+00, 1.407720721080373494e+00, 1.550362362932939941e+00
1.897000000000000000e+03, 1.582663391186747592e+00, 1.348818178448697669e+00, 2.879002525429154691e+00, 1.326297094687883149e+00, 1.463417384599555060e+00, 2.417542071190792008e+00, 1.004990453143048690e+00, 2.272093421837860117e+00, 1.148916204321641432e+00, 9.335986305437296018e-01, 1.556147524968507279e+00, 1.282237995542516940e+00, 1.345766066545399875e+00, 1.463467279284499600e+00
1.898000000000000000e+03, 1.527031407257387619e+00, 1.226111035848244768e+00, 2.828858540747853478e+00, 1.286302519185209325e+00, 1.282235128984284822e+00, 2.467073859579086648e+00, 1.125459319734648078e+00, 2.065732879480630668e+00, 1.211446693956350629e+00, 1.318446595493290685e+00, 1.914011757598741426e+00, 1.421315694189582146e+00, 1.451757991054460240e+00, 1.549286445207884944e+00
1.899000000000000000e+03, 1.565274527876512112e+00, 1.238113647605781242e+00, 2.925843287523759884e+00, 1.229410674326090636e+00, 1.432798372097720208e+00, 2.278380553959677535e+00, 1.146813456058725311e+00, 2.066128006917788973e+00, 1.402576572962838997e+00, 1.253372904877533944e+00, 1.625991343055182226e+00, 1.485717079867306722e+00, 1.258982667074477035e+00, 1.722230501091805088e+00
1.900000000000000000e+03, 1.566022183096530851e+00, 1.252867588517911024e+00, 2.769828215313557607e+00, 1.215054739234130654e+00, 1.350029484104462663e+00, 2.225844879288902511e+00, 1.168162958579560096e+00, 2.068727774201754688e+00, 1.273785583426766399e+00, 1.026767556708495066e+00, 1.479233326826198125e+00, 1.294190627952062300e+00, 1.468800097932361437e+00, 1.620208221676616267e+00
1.901000000000000000e+03, 1.576790053790771529e+00, 1.234317619312476300e+00, 2.845156210777994410e+00, 1.169967894131271668e+00, 1.440845731621033243e+00, 2.183673922786291133e+00, 1.153135814850777319e+00, 2.166334396648559313e+00, 1.404874580424312791e+00, 1.072411641619723799e+00, 1.676972266485895480e+00, 1.280854625931752144e+00, 1.364021440400492224e+00, 1.511238552388344258e+00
1.902000000000000000e+03, 1.600314043502409689e+00, 1.607866964802721732e+00, 2.811102208181641693e+00, 1.174047818787132158e+00, 1.518758931971178727e+00, 2.307477700928161291e+00, 1.275200589943432661e+00, 2.194192809174309033e+00, 1.727162124364148177e+00, 8.849461254990393932e-01, 1.453614557173513511e+00, 1.416229439264108381e+00, 1.348735901766822565e+00, 1.587766779594508071e+00
1.903000000000000000e+03, 1.594486909078002057e+00, 1.261521381738829328e+00, 2.886692325578354534e+00, 1.219101450542907639e+00, 1.388107006597143034e+00, 2.253090592019429295e+00, 1.155982356914126319e+00, 1.993736591745644882e+00, 1.200231193427799825e+00, 1.207306300740002447e+00, 1.655142867180333210e+00, 1.513898681460177364e+00, 1.226782926210867153e+00, 1.505941175303860069e+00
1.904000000000000000e+03, 1.529598715533651232e+00, 1.329988858227583171e+00, 2.842994450004721063e+00, 1.239650732283473555e+00, 1.397919470038003986e+00, 2.168661290561148647e+00, 1.176747636991949175e+00, 2.125172208320528888e+00, 1.854844496484369554e+00, 9.244359457291655424e-01, 1.690495726194295667e+00, 1.380849819847548732e+00, 1.218903658789545208e+00, 1.599617966945612313e+00
1.905000000000000000e+03, 1.578886435042544223e+00, 1.519099926740989703e+00, 2.790073204532764528e+00, 1.285237455389232952e+00, 1.505745170136146616e+00, 2.221639063234865485e+00, 1.151404916494880304e+00, 2.226922906304301009e+00, 1.655707184840538027e+00, 1.163939840773701384e+00, 1.501685185775655462e+00, 1.231850763184849429e+00, 1.143209581264372332e+00, 1.571465190137748991e+00
1.906000000000000000e+03, 1.539034013921141364e+00, 1.254240435172015777e+00, 2.749868334294584660e+00, 1.280766349533808857e+00, 1.408792777320781786e+00, 2.273506864632724778e+00, 1.167518590663464861e+00, 2.373435513646327877e+00, 1.209384445997011337e+00, 1.199545018811633001e+00, 1.408449887406331813e+00, 1.266762830574812870e+00, 1.255572368541662431e+00, 1.810542860640091067e+00
1.907000000000000000e+03, 1.571743338946952173e+00, 1.331840577820800453e+00, 2.598409079291420731e+00, 1.281384599295029458e+00, 1.463208240800410120e+00, 2.330083103791543042e+00, 1.080445389060234351e+00, 2.318531411676960641e+00, 1.265699968435704426e+00, 1.185691708760587604e+00, 1.600366836278518612e+00, 1.365404205214807432e+00, 1.352432494744483016e+00, 1.449530995239939779e+00
1.908000000000000000e+03, 1.561024237942887583e+00, 1.491637816540937411e+00, 2.679017608699270969e+00, 1.319676514406766588e+00, 1.387019825618540869e+00, 2.365571868210837092e+00, 1.041255054033981331e+00, 2.145976055712789599e+00, 1.240670987728622165e+00, 1.123590598763170911e+00, 1.717071182552730502e+00, 1.323698042179324963e+00, 1.406134280840356299e+00, 1.834628257410670038e+00
1.909000000000000000e+03, 1.662608655507100686e+00, 1.284182138528698447e+00, 2.568055582589249486e+00, 1.263791098168340454e+00, 1.430554685337208864e+00, 2.347213529941877042e+00, 1.192442949527311669e+00, 2.105266574439032645e+00, 1.179244356998041532e+00, 1.314036828448713168e+00, 1.564564620254625726e+00, 1.307131698892333160e+00, 1.342144207703223069e+00, 1.556401064991381977e+00
1.910000000000000000e+03, 1.541504619539455723e+00, 1.307114803581053364e+00, 2.562879713912894708e+00, 1.277650565156233986e+00, 1.452296957559428892e+00, 2.294764960574450896e+00, 1.148268808361733839e+00, 2.058375518895578349e+00, 1.379171278806904599e+00, 1.091206760444818569e+00, 1.576560592486055290e+00, 1.234092805627959644e+00, 1.389795460528269855e+00, 1.481760038688851422e+00
1.911000000000000000e+03, 1.570161866947485052e+00, 1.202624249779589594e+00, 2.693574091825431616e+00, 1.266213156779454341e+00, 1.174674605342511446e+00, 2.480085738964120878e+00, 1.167353524534522347e+00, 2.031362071666261482e+00, 1.235048025330913068e+00, 9.598024344127943364e-01, 1.691378132083118047e+00, 1.208168028906183578e+00, 1.487673403763741797e+00, 1.630711702045126055e+00
1.912000000000000000e+03, 1.574990878092362268e+00, 1.367842586830776419e+00, 2.565534459905624676e+00, 1.300448550089366551e+00, 1.176419827710103450e+00, 2.470865777628599602e+00, 1.195377345926818879e+00, 2.360170236182070447e+00, 1.126987276780134550e+00, 1.091232890275323886e+00, 1.422035303824522812e+00, 1.294371705991762322e+00, 1.324736415138821011e+00, 1.442649583666286484e+00
1.913000000000000000e+03, 1.562444442627790586e+00, 1.351165590260669180e+00, 3.015427364024712453e+00, 1.241911359956094918e+00, 1.296613259477938485e+00, 2.311854891264193856e+00, 1.165609700714241193e+00, 2.094933946935516378e+00, 1.217135500947748250e+00, 1.060271015528914340e+00, 1.416776355025674894e+00, 1.489831183263564673e+00, 1.346848906917648137e+00, 1.476278469988945741e+00
1.914000000000000000e+03, 1.612361977552400072e+00, 1.217413970256988387e+00, 2.806942206488298286e+00, 1.216326809993512947e+00, 1.305313121148185207e+00, 2.395542929168308799e+00, 1.048948449376190029e+00, 2.004101184017264004e+00, 1.146165504291394521e+00, 8.759588764323247290e-01, 1.782828432055475698e+00, 1.445766171721206916e+00, 1.539558709195221864e+00, 1.707438031509092013e+00
1.915000000000000000e+03, 1.566631787375798224e+00, 1.327382296298859732e+00, 2.752357387708145975e+00, 1.184178014995497463e+00, 1.361504433086083488e+00, 2.333494224599145461e+00, 1.091098450129741160e+00, 2.102406438749895301e+00, 1.229637445550695540e+00, 9.168823166817030579e-01, 1.698137607235516766e+00, 1.311293708274350323e+00, 1.565390631270725308e+00, 1.725520299108254330e+00
1.916000000000000000e+03, 1.572990345013041802e+00, 1.455100004006483871e+00, 2.759481661718301559e+00, 1.161924095889327990e+00, 1.528006655896525068e+00, 2.309069186496944148e+00, 1.162220666796814017e+00, 2.297368846238950990e+00, 1.250906582679479850e+00, 1.108831002093244811e+00, 1.608338442500510945e+00, 1.246852923715739081e+00, 1.477396489487122544e+00, 1.591526762461080713e+00
