year, UKESM1-0-LL, INM-CM4-8, CanESM5, MPI-ESM1-2-LR, IPSL-CM6A-LR, MIROC-ES2L, CESM2-WACCM, TaiESM1, NorESM2-MM, NorESM2-LM, EC-Earth3-Veg, INM-CM5-0, GFDL-ESM4, ACCESS-ESM1-5, CNRM-ESM2-1, CMCC-CM2-SR5
1.860000000000000000e+03, 1.695278021071375374e+00, 2.111626566261612492e+00, 1.864016789086331061e+00, 8.177675813716213105e-01, 2.289922404089506092e+00, 1.969942903481956664e+00, 2.337163124441147044e+00, 2.330553441865681918e+00, 1.631488420760556002e+00, 3.045610279371806950e+00, 1.714960178969055171e+00, 2.302712533210893309e+00, 1.322085168914712394e+00, 1.661183701895603715e+00, 1.445068352857337812e+00, 2.451865354441618017e+00
1.861000000000000000e+03, 1.304496140502428014e+00, 1.853602059307519534e+00, 2.027663706509373220e+00, 8.181124210830805765e-01, 1.965418765795216682e+00, 1.727758648243364892e+00, 2.517602291167730932e+00, 1.627005062575447747e+00, 2.169449705471606205e+00, 1.915260026920592829e+00, 1.653527127831870835e+00, 1.903440674008102240e+00, 1.730305404070685116e+00, 1.916862331273706754e+00, 1.364501357220776478e+00, 1.756294515449197569e+00
1.862000000000000000e+03, 9.385968944415015169e-01, 2.080019520083490558e+00, 1.566085420819879337e+00, 1.109801347920408965e+00, 2.686468325550333880e+00, 2.174698383049497252e+00, 2.788481410885885747e+00, 2.628930816214030575e+00, 2.234677950474304620e+00, 2.108949636406695305e+00, 1.754645731397548536e+00, 2.305275591889063946e+00, 1.380013522697645101e+00, 1.800133013117772851e+00, 1.361347810512682832e+00, 1.734691306995461701e+00
1.863000000000000000e+03, 1.443404897451383784e+00, 2.336642243589073686e+00, 1.734952391870337784e+00, 1.235542749924589678e+00, 2.255968557018856568e+00, 2.118850053049133209e+00, 2.003129370754149985e+00, 2.333304830137561403e+00, 1.685724077610115668e+00, 1.478442680031375245e+00, 1.216704630745772731e+00, 2.368114033947655184e+00, 1.407396991123220475e+00, 1.582913512893408869e+00, 1.028569836313881991e+00, 2.119476257871562019e+00
1.864000000000000000e+03, 1.022475287022033497e+00, 2.355469368127874663e+00, 1.678816961468761360e+00, 6.885142470656538949e-01, 2.147368004597140168e+00, 2.289690308401024055e+00, 1.716679462486552454e+00, 2.377573008977183822e+00, 1.279965922243773369e+00, 1.704906674387832277e+00, 1.440666821339865900e+00, 1.853259197675153347e+00, 1.577516501973707630e+00, 1.490125614286527123e+00, 1.471985376801960399e+00, 2.655696656947041046e+00
1.865000000000000000e+03, 1.933137334627929693e+00, 2.467965700881568303e+00, 1.872727796746807227e+00, 8.975970990059645160e-01, 2.176470446514489510e+00, 2.217080803157040148e+00, 1.247604646071542422e+00, 1.927014338843237029e+00, 1.388503646290621951e+00, 2.376012196137274657e+00, 1.756479098282489382e+00, 1.854846975785951368e+00, 1.362521930192629016e+00, 2.480212790855861549e+00, 1.653135922115883893e+00, 3.147270015645711627e+00
1.866000000000000000e+03, 1.545183089173537416e+00, 2.560517274810355293e+00, 1.839841212540272775e+00, 1.523661493482007412e+00, 1.832366221980024967e+00, 2.309636413127627907e+00, 1.833157621374114310e+00, 1.951638230207954461e+00, 1.238891359275059889e+00, 2.322119968368412835e+00, 1.717904074131041403e+00, 1.744477965670500508e+00, 1.250317950346018225e+00, 1.912968966127461590e+00, 1.157221111919755074e+00, 3.351199080535701924e+00
1.867000000000000000e+03, 1.550011659144002074e+00, 2.906348206260358946e+00, 1.556096648638086277e+00, 1.024285596266396592e+00, 2.099696241341239222e+00, 2.380645235497551138e+00, 1.316086454934392025e+00, 2.350344977620740572e+00, 1.804701478996654229e+00, 2.023634830386086048e+00, 1.319056434242021014e+00, 1.848706008181268512e+00, 1.482923271630132156e+00, 1.705308370752016911e+00, 1.103646933738292812e+00, 2.958107147112064350e+00
1.868000000000000000e+03, 1.346509765275371917e+00, 2.433117160888456532e+00, 1.756772784612967042e+00, 1.035972244535579234e+00, 2.283078156031416839e+00, 1.994742307302592055e+00, 1.454282291266123295e+00, 2.506016922811342251e+00, 2.510317041205663013e+00, 1.842514415932696048e+00, 1.496601244324511804e+00, 2.313000185604112247e+00, 1.635373986563032567e+00, 1.384159246785760411e+00, 1.273523765325100143e+00, 2.308423777880511452e+00
1.869000000000000000e+03, 1.774972531849272395e+00, 2.470972289145773271e+00, 2.041818618031326693e+00, 1.236538203694717231e+00, 2.435108337487332353e+00, 2.103695450833107827e+00, 1.723226990021855309e+00, 2.243015329698575311e+00, 2.569358334166589319e+00, 1.851955905783664313e+00, 1.820917663596409719e+00, 1.875149090168759525e+00, 1.937031747219051248e+00, 1.851564655568782136e+00, 9.756193403181576684e-01, 2.056925880763218029e+00
1.870000000000000000e+03, 2.328793398840355966e+00, 2.495042568968934393e+00, 2.023527993619251397e+00, 1.385821986220233226e+00, 1.731798560407237897e+00, 2.452702087383513696e+00, 1.492260535425216306e+00, 2.103592554769155409e+00, 2.819642337356762063e+00, 2.305332875114755264e+00, 1.742126035069915035e+00, 2.140157565556080943e+00, 1.372599147760511284e+00, 1.888191952550807295e+00, 1.048623038099774973e+00, 2.230248569695611582e+00
1.871000000000000000e+03, 1.693827867155792699e+00, 2.707272096397634886e+00, 2.099511096087135709e+00, 9.935011989586780556e-01, 1.889168372874173718e+00, 1.954412748793113774e+00, 1.921758990723621663e+00, 2.180083689272766634e+00, 2.329859406560310653e+00, 1.968350239399675239e+00, 1.707377130519018626e+00, 1.967581003716254884e+00, 1.141311930591351276e+00, 1.509879377542924672e+00, 1.133462761814689301e+00, 2.215493450354740990e+00
1.872000000000000000e+03, 1.328831193281282630e+00, 2.705189302108858662e+00, 2.464031844109729086e+00, 1.200059110967972353e+00, 2.249063790310745325e+00, 2.136074440744983427e+00, 1.783452990275644856e+00, 1.530280051285215048e+00, 2.200652645246221173e+00, 1.913413242082041554e+00, 1.747474795791319702e+00, 1.918309341131072321e+00, 1.445022384788698933e+00, 1.671508783516559404e+00, 1.261542155476888416e+00, 2.109224168496276697e+00
1.873000000000000000e+03, 1.837880862592181863e+00, 1.791741376056898094e+00, 1.706043325117936327e+00, 6.892274500480521926e-01, 1.930515504616574507e+00, 2.702562420247261343e+00, 2.087236995796262651e+00, 1.851334636404568412e+00, 2.075736609359289719e+00, 2.119523549412468455e+00, 1.386079145513096744e+00, 1.536567698904674151e+00, 1.817396956212947501e+00, 1.398487543383194032e+00, 7.818746080431789869e-01, 2.222751615835578232e+00
