year, CESM2-WACCM, CMCC-CM2-SR5, ACCESS-ESM1-5, MPI-ESM1-2-LR, UKESM1-0-LL, MIROC-ES2L, CNRM-ESM2-1, EC-Earth3-Veg, IPSL-CM6A-LR
1.850000000000000000e+03, 2.134422974975606918e-05, 1.998311612292982277e-04, 0.000000000000000000e+00, 1.849952048476819757e-04, 2.731114147997558918e-06, 3.343049243631906597e-03, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.058644205531206303e-03
1.851000000000000000e+03, 9.597411520331400499e-04, 5.569629622567184640e-04, 1.840317958991720838e-03, 3.501894930674029783e-04, 5.858422217946395114e-06, 4.354652345175612574e-03, 4.749998574492974405e-06, 4.528353444901711951e-05, 2.615282897118784665e-03
1.852000000000000000e+03, 1.785739485084469284e-03, 8.590081591639125991e-04, 3.596504131424985845e-03, 4.302349593806148692e-04, 6.653053239454601079e-06, 5.090302267896118157e-03, 1.041225249806781820e-05, 9.093304361121949913e-05, 3.106259180877837985e-03
1.853000000000000000e+03, 2.453935824516435132e-03, 1.119372910500684168e-03, 5.012718683667588895e-03, 5.114699182132367459e-04, 7.234207255000901111e-06, 5.675920229617089328e-03, 1.336697482240323133e-05, 1.356324704251435603e-04, 3.637570517389674633e-03
1.854000000000000000e+03, 3.004970157330456859e-03, 1.345500566694681323e-03, 6.348947370576032284e-03, 5.924953669568934315e-04, 7.639389080889625425e-06, 6.183399789256122277e-03, 1.575419850020025716e-05, 1.820884962807932980e-04, 3.945445703013492587e-03
1.855000000000000000e+03, 3.514280426993118215e-03, 1.543725480396279963e-03, 7.629392357160583692e-03, 6.792643075207377770e-04, 8.992516587728649941e-06, 6.611569793197044805e-03, 1.868245713304025492e-05, 2.314808764063761546e-04, 4.173711456570150698e-03
1.856000000000000000e+03, 3.928816690420776879e-03, 1.720414907062557631e-03, 8.842641153935687157e-03, 7.301648701899819726e-04, 9.025055542403081889e-06, 6.963307465172077250e-03, 2.157602367766671487e-05, 2.779250642792419697e-04, 4.388556411753552315e-03
1.857000000000000000e+03, 4.328685848804931374e-03, 1.878345976471656586e-03, 1.000625058606751348e-02, 7.942948500693877874e-04, 7.823041082638414713e-06, 7.286481144448787167e-03, 2.314373715399810255e-05, 3.243752445885623591e-04, 4.514452920398452293e-03
1.858000000000000000e+03, 4.620220786357532444e-03, 2.020452006178383164e-03, 1.112706284926140606e-02, 8.114950988315108686e-04, 7.135311543188108387e-06, 7.597758964539765361e-03, 2.551997309586750653e-05, 3.737087336840323043e-04, 4.615329584726304314e-03
1.859000000000000000e+03, 4.951850040668680057e-03, 2.152173448611044860e-03, 1.220780813560578236e-02, 9.449512428456550159e-04, 6.882608386661204614e-06, 7.897532678367175443e-03, 2.617523467032371005e-05, 4.214012262180575914e-04, 4.710674069416018704e-03
