year, CESM2-WACCM, CMCC-CM2-SR5, ACCESS-ESM1-5, MPI-ESM1-2-LR, UKESM1-0-LL, MIROC-ES2L, CNRM-ESM2-1, EC-Earth3-Veg, IPSL-CM6A-LR
1.860000000000000000e+03, 5.182897465313144464e-03, 2.346584869748846811e-03, 1.370386259861313544e-02, 1.096177976470461392e-03, 9.250446407401344409e-06, 8.740309553031668996e-03, 2.464758065659032463e-05, 4.685333189445653468e-04, 4.808099621739100014e-03
1.861000000000000000e+03, 5.957166895645347668e-03, 2.588434751149562389e-03, 1.532923132468756375e-02, 1.274410828679952692e-03, 9.592515058634982746e-06, 9.330791489085308449e-03, 3.034014853175012245e-05, 5.471691316409943483e-04, 4.881327165733674589e-03
1.862000000000000000e+03, 6.538033609271198983e-03, 2.802714240436924697e-03, 1.688535250847212135e-02, 1.328850780672711498e-03, 1.383026276699078481e-05, 9.804097474315568925e-03, 3.368493379022851589e-05, 6.257036790672046173e-04, 5.043127892924197803e-03
1.863000000000000000e+03, 7.111941908535181212e-03, 2.997025906583059875e-03, 1.829445516378250952e-02, 1.437635957774423181e-03, 1.806802524874619257e-05, 1.022034076012762367e-02, 3.582052113707650512e-05, 7.080165089890199910e-04, 5.147501851091884108e-03
1.864000000000000000e+03, 7.525462898550605573e-03, 3.175475152328288524e-03, 2.000374533250028064e-02, 1.504611510866053986e-03, 2.063470558698109764e-05, 1.059412221656830071e-02, 3.649341134546722109e-05, 7.886562074399897657e-04, 5.256382167369892666e-03
1.865000000000000000e+03, 7.915699870947088754e-03, 3.341268967978142188e-03, 2.145268915233502008e-02, 1.557354255819236831e-03, 2.686021533218357581e-05, 1.096133490929630631e-02, 3.794220393984560556e-05, 8.713254507830155669e-04, 5.372072246103514609e-03
1.866000000000000000e+03, 8.298378379326801224e-03, 3.497065474647456911e-03, 2.270183369706544468e-02, 1.703791749533115334e-03, 2.838278156443107032e-05, 1.131513944357274808e-02, 3.999538692342445166e-05, 9.584105290640591987e-04, 5.484126839544756389e-03
1.867000000000000000e+03, 8.627879074440097940e-03, 3.644795778015348479e-03, 2.393211458057559540e-02, 1.931613475923550996e-03, 2.576717761924241298e-05, 1.164445125295453416e-02, 4.076928032043536398e-05, 1.045271731894215983e-03, 5.602314006818733677e-03
1.868000000000000000e+03, 8.930751990706956370e-03, 3.785502125245070876e-03, 2.513105897727205967e-02, 2.004004981308882011e-03, 2.329506314616132409e-05, 1.195209662465088196e-02, 4.216948529256369835e-05, 1.128762614341134339e-03, 5.780826376046588159e-03
1.869000000000000000e+03, 9.223446667953619227e-03, 3.920349894833835558e-03, 2.637308844350518683e-02, 2.088099708951215820e-03, 2.116518048633350140e-05, 1.223060869536182066e-02, 4.181886190642487177e-05, 1.216184353285195731e-03, 5.856605789501366163e-03
1.870000000000000000e+03, 9.497315232785796812e-03, 4.147355433795692214e-03, 2.778500456210637737e-02, 2.434306505554522521e-03, 2.217257142741381023e-05, 1.456105434374394512e-02, 4.034557339630998702e-05, 1.309847051487984500e-03, 5.976806626095810052e-03
1.871000000000000000e+03, 1.021355824762938680e-02, 4.445099580564846296e-03, 2.955594769223431409e-02, 2.769372558522166863e-03, 2.483020323944419284e-05, 1.601710067858021919e-02, 4.532552136532025074e-05, 1.438181978136747778e-03, 6.322181051953353580e-03
1.872000000000000000e+03, 1.102722874302641647e-02, 4.712107408030923386e-03, 3.107058468195750614e-02, 2.953390054479543888e-03, 2.592839365936451871e-05, 1.725062702194065517e-02, 5.259333991376108824e-05, 1.567103372188266347e-03, 6.669984732486568257e-03
1.873000000000000000e+03, 1.162224066040802931e-02, 4.956404239637752542e-03, 3.254206232220985262e-02, 3.057821759293378669e-03, 2.331398798563170683e-05, 1.828707088740050973e-02, 5.534483159134322182e-05, 1.706313534971871807e-03, 7.025683088290477808e-03
1.874000000000000000e+03, 1.211968859707813172e-02, 5.180720379860647914e-03, 3.396790574229620330e-02, 3.112222898443781170e-03, 2.301401872467251193e-05, 1.920484617172431990e-02, 5.656366071335905166e-05, 1.839490707026936395e-03, 7.353307109453980500e-03
1.875000000000000000e+03, 1.259802798945554476e-02, 5.388462187583233781e-03, 3.546531631216623404e-02, 3.245671637995030390e-03, 2.234817465360500093e-05, 2.002821839737548015e-02, 6.273312498935877169e-05, 1.973469946269356106e-03, 7.581023771546866429e-03
1.876000000000000000e+03, 1.325096915877375069e-02, 5.579777437996129123e-03, 3.681310630061930544e-02, 3.720112810120709476e-03, 2.292577159296281327e-05, 2.068571370154035152e-02, 6.794304903907145185e-05, 2.104295337679219606e-03, 7.857676667783740701e-03
1.877000000000000000e+03, 1.357994464076733680e-02, 5.758844274495458423e-03, 3.811067412004678218e-02, 3.766108460935676128e-03, 2.311952635527963045e-05, 2.124823687598796640e-02, 7.075942867285600591e-05, 2.241829460218844675e-03, 8.091601564763007542e-03
1.878000000000000000e+03, 1.403125781894133152e-02, 5.932982937310534582e-03, 3.937469543751393602e-02, 3.802622433685677508e-03, 2.793276893611698839e-05, 2.177822786820566084e-02, 7.384667115201337055e-05, 2.386931991880637208e-03, 8.308370456192430004e-03
1.879000000000000000e+03, 1.440699456832825881e-02, 6.101189514522592852e-03, 4.061605102842402726e-02, 3.907872838434884623e-03, 2.789723459635489244e-05, 2.230708445556916011e-02, 7.550087249512873609e-05, 2.524001059392078170e-03, 8.528932800495108921e-03
1.880000000000000000e+03, 1.484133665906543775e-02, 6.563613552163798451e-03, 4.202039372876929108e-02, 4.097594348104998362e-03, 4.146575175566688250e-05, 2.344912114306694356e-02, 7.663857712587400755e-05, 2.677147535339478423e-03, 8.618892528639546594e-03
1.881000000000000000e+03, 1.626297945393997968e-02, 7.259332129879751336e-03, 4.669171375924120737e-02, 4.351804057209084607e-03, 1.544856685034094984e-04, 2.442063223464939481e-02, 7.409265174043549974e-05, 3.065226394501436181e-03, 8.946115665297257533e-03
1.882000000000000000e+03, 1.775967439723239588e-02, 7.868841646427959455e-03, 5.076736491806655566e-02, 4.528918995075038693e-03, 2.210862263273684716e-04, 2.521860995370071509e-02, 7.198363568763606682e-05, 3.440758813893211865e-03, 9.232592402643511817e-03
1.883000000000000000e+03, 1.906923970503607291e-02, 8.409573958890742898e-03, 5.456936472256924270e-02, 4.988930099091554334e-03, 3.217929410477405987e-04, 2.587380889572982873e-02, 6.845851881480065121e-05, 3.831799756935148991e-03, 9.443400304157495428e-03
1.884000000000000000e+03, 1.973899041311097044e-02, 8.897509247309339300e-03, 5.819247832886964567e-02, 5.074595692178138044e-03, 3.897699060791491436e-04, 2.646279394050812112e-02, 7.029101605576235968e-05, 4.267565031025715057e-03, 9.716998600338127429e-03
1.885000000000000000e+03, 2.065214424192261464e-02, 9.343589815464726361e-03, 6.167307774518641234e-02, 5.023744556792673725e-03, 4.409148375436204364e-04, 2.709128628291464919e-02, 6.736026644901719313e-05, 4.725870988831911389e-03, 9.929543039163190796e-03
1.886000000000000000e+03, 2.149690512013558222e-02, 9.748052323541034347e-03, 6.502649122952702809e-02, 5.214551110896060993e-03, 5.200898611973046046e-04, 2.761307079642644213e-02, 6.724295775607765709e-05, 5.167658750972837188e-03, 1.007632832316673888e-02
1.887000000000000000e+03, 2.218192571109824443e-02, 1.011612715578800135e-02, 6.827134579084571941e-02, 5.356723934718708550e-03, 5.844747359239252892e-04, 2.805133258000558349e-02, 6.583006796921532370e-05, 5.607823419069195639e-03, 1.020500804460268418e-02
1.888000000000000000e+03, 2.283899457523730359e-02, 1.046306449100723075e-02, 7.147395035228758242e-02, 5.563743260139873519e-03, 6.179188721399607974e-04, 2.835204945043954400e-02, 6.412297955671168465e-05, 6.043612569053457423e-03, 1.041454950955848606e-02
1.889000000000000000e+03, 2.385103176671195951e-02, 1.079621243214738853e-02, 7.451530614962267873e-02, 5.740663037198648691e-03, 5.629220982028913366e-04, 2.878203986505300377e-02, 6.426444971169086679e-05, 6.498999759825423161e-03, 1.054071424887872976e-02
1.890000000000000000e+03, 2.436362635374170887e-02, 1.134005889258088255e-02, 7.749063390251660632e-02, 6.249934923330912988e-03, 6.538112558568129687e-04, 3.379592808543366994e-02, 6.433669478065339473e-05, 6.947324384757918615e-03, 1.066980053690737978e-02
1.891000000000000000e+03, 2.594689981809788354e-02, 1.205014590505482618e-02, 8.147725455251210447e-02, 6.798501774126310994e-03, 7.697128848897498866e-04, 3.682391360017010090e-02, 7.717283070648992319e-05, 7.509522712598032911e-03, 1.185133567302670658e-02
1.892000000000000000e+03, 2.753265639027601894e-02, 1.268850653879355188e-02, 8.524854935964523706e-02, 7.303819922291991500e-03, 6.789040171558232339e-04, 3.893938632040475079e-02, 1.325578503267081328e-04, 8.133661887126152415e-03, 1.294938542791980451e-02
1.893000000000000000e+03, 2.906118786194308509e-02, 1.326988605656004468e-02, 8.883742085818177592e-02, 7.770400172804576427e-03, 9.797784108723517089e-04, 4.058067420119398916e-02, 2.261605671571385173e-04, 8.734451153572211218e-03, 1.389464993489996844e-02
1.894000000000000000e+03, 3.028119319904366141e-02, 1.380160274682708417e-02, 9.230364408565823464e-02, 8.196898569466259943e-03, 1.320808218756744194e-03, 4.200863684768744999e-02, 3.110820042408214670e-04, 9.311715848958469419e-03, 1.468940054698203261e-02
1.895000000000000000e+03, 3.123182460051119810e-02, 1.428941815840744506e-02, 9.568392222687742421e-02, 8.850444115153375396e-03, 1.413167784216643776e-03, 4.323620025853344706e-02, 3.778289569291792631e-04, 9.939794218605949375e-03, 1.542096266889161210e-02
1.896000000000000000e+03, 3.255668515081078934e-02, 1.474820914379531243e-02, 9.897923257722167356e-02, 9.623670428037580174e-03, 1.264572033934928483e-03, 4.442821204199041973e-02, 6.373834885395583552e-04, 1.058603307483504431e-02, 1.613886705824844198e-02
1.897000000000000000e+03, 3.374143617450461874e-02, 1.518940155106813898e-02, 1.022045421108493529e-01, 1.002826863931774969e-02, 1.094403545916083692e-03, 4.565781540691941226e-02, 1.098731892320166902e-03, 1.117894866147799669e-02, 1.674153956857405909e-02
1.898000000000000000e+03, 3.426883780196706558e-02, 1.561703076457064861e-02, 1.053315626633775370e-01, 1.005436740420480833e-02, 1.009090647570278030e-03, 4.686012442109862425e-02, 1.497899169294279785e-03, 1.181305562034360747e-02, 1.716093544918385200e-02
1.899000000000000000e+03, 3.509714655056753174e-02, 1.603100601063514596e-02, 1.083918954869286938e-01, 1.026618231261047093e-02, 9.499651318734720924e-04, 4.779797598118785962e-02, 1.864133914800099193e-03, 1.243177084055571355e-02, 1.761228066645412899e-02
1.900000000000000000e+03, 3.601173667214808277e-02, 1.643658008892344771e-02, 1.113700161276838241e-01, 1.146675752562706374e-02, 9.013671654703398275e-04, 4.935193018083450234e-02, 2.516627303869777444e-03, 1.309679055145436012e-02, 1.789735347995054932e-02
1.901000000000000000e+03, 3.706115782016364962e-02, 1.683346313671205824e-02, 1.141614546071765962e-01, 1.181126614240318035e-02, 8.733466626505800206e-04, 5.054444967876416811e-02, 3.108720302220612398e-03, 1.388437238814074597e-02, 1.835967169780509597e-02
1.902000000000000000e+03, 3.775595349670966133e-02, 1.722741349001336020e-02, 1.168688912148958120e-01, 1.202961870999422374e-02, 8.610405905149481204e-04, 5.166800075711284329e-02, 3.641483498890727821e-03, 1.470081365015126797e-02, 1.866093919815510135e-02
1.903000000000000000e+03, 3.868632367738403938e-02, 1.762190442570216176e-02, 1.195437646165004586e-01, 1.250097735863288546e-02, 8.308610592147529054e-04, 5.280111002371120493e-02, 4.127537846530724558e-03, 1.551068392160157017e-02, 1.884054830626855082e-02
1.904000000000000000e+03, 3.934229014770694588e-02, 1.801077715624020345e-02, 1.221808208788668360e-01, 1.287438278782736950e-02, 8.046219067312191265e-04, 5.381794666335971977e-02, 4.505496408422200033e-03, 1.642323086163971838e-02, 1.905710158724330250e-02
1.905000000000000000e+03, 4.039897111334487395e-02, 1.839459894094572570e-02, 1.250441649284751156e-01, 1.310636618691994951e-02, 7.733479238054977774e-04, 5.474972543942238645e-02, 4.846278160245551074e-03, 1.741406787728316807e-02, 1.924080869349247339e-02
1.906000000000000000e+03, 4.161636793787525102e-02, 1.877596574170047397e-02, 1.275767985527760939e-01, 1.405207994177464122e-02, 7.464454598173434754e-04, 5.572426186971501244e-02, 5.416095956613882836e-03, 1.834195884166607560e-02, 1.944740276632732356e-02
1.907000000000000000e+03, 4.235182346182524149e-02, 1.915416684369806305e-02, 1.300899859645486822e-01, 1.443960204187403826e-02, 7.145058208767693809e-04, 5.655458146603820763e-02, 6.052976479335341227e-03, 1.916867183136472877e-02, 1.966754367712792925e-02
1.908000000000000000e+03, 4.306179549274302687e-02, 1.952602247172672070e-02, 1.325683177247842792e-01, 1.569228613678943715e-02, 6.922289255018794800e-04, 5.725340419913785978e-02, 6.767384552564279475e-03, 2.002439655886849995e-02, 1.987808437244534959e-02
1.909000000000000000e+03, 4.387187173792956446e-02, 1.989156967827897249e-02, 1.350101087354594054e-01, 1.607691072038211488e-02, 6.828500172377453391e-04, 5.794902665967235217e-02, 7.380991733166433755e-03, 2.080920853856531999e-02, 2.011344094260680490e-02
1.910000000000000000e+03, 4.444688922483576443e-02, 2.059588123629598616e-02, 1.374155870010211888e-01, 1.673650034930750791e-02, 7.065026767132904584e-04, 6.311729219862918794e-02, 7.940813536002334222e-03, 2.160551877543298929e-02, 2.022966873285445000e-02
1.911000000000000000e+03, 4.693630028782514590e-02, 2.155776831688855158e-02, 1.423890457704079793e-01, 1.725001080984447932e-02, 7.484318445748420600e-04, 6.650321754121937823e-02, 9.124245170339747094e-03, 2.286368530216122477e-02, 2.142076192029471540e-02
1.912000000000000000e+03, 4.880044808457656424e-02, 2.241505320692330563e-02, 1.468989614477165528e-01, 1.789119625854967977e-02, 7.713103749410037948e-04, 6.921392210060388350e-02, 1.021593489352320104e-02, 2.416478391570358458e-02, 2.240263575566756385e-02
1.913000000000000000e+03, 5.069358247541432688e-02, 2.320237254171851615e-02, 1.511714712537378935e-01, 1.833051037621507076e-02, 7.855244868601282855e-04, 7.127724591184082803e-02, 1.118170604055181497e-02, 2.536551644530817343e-02, 2.325713171606330273e-02
1.914000000000000000e+03, 5.281201413620865287e-02, 2.394122277763921849e-02, 1.552757630754736384e-01, 1.932081423341009546e-02, 8.067437617069589655e-04, 7.315983785523696992e-02, 1.200015107448451808e-02, 2.664669783073899539e-02, 2.410475287297970254e-02
1.915000000000000000e+03, 5.427835966850739352e-02, 2.463403668557546250e-02, 1.592573547511198506e-01, 1.983168618477148398e-02, 8.220901732915603935e-04, 7.517791129447316811e-02, 1.263478023684721369e-02, 2.810086744300395803e-02, 2.498953710377654208e-02
1.916000000000000000e+03, 5.597595946872772205e-02, 2.528192994343238242e-02, 1.631285204901991026e-01, 2.045619671668711531e-02, 8.282671772825357008e-04, 7.704897098162549751e-02, 1.319142102583293306e-02, 2.957107591501124608e-02, 2.553554984419515936e-02
1.917000000000000000e+03, 5.732904266617190603e-02, 2.589846256918773570e-02, 1.668935176884829286e-01, 2.117399108873363467e-02, 8.432329943132288322e-04, 7.884045328587122037e-02, 1.369522987402881607e-02, 3.088589638183329017e-02, 2.617597347163964569e-02
1.918000000000000000e+03, 5.913241767478666366e-02, 2.649288255484527968e-02, 1.708426244440230668e-01, 2.252488618675809948e-02, 8.470499586586922522e-04, 8.047963818500360189e-02, 1.413181042351776585e-02, 3.225755238933246394e-02, 2.659660328678018631e-02
1.919000000000000000e+03, 6.018287972861726537e-02, 2.707298918861564263e-02, 1.744258392780039524e-01, 2.407512934408771385e-02, 8.470912585441691582e-04, 8.244340558821279530e-02, 1.452918866068343522e-02, 3.355849413001092685e-02, 2.701700325614689660e-02
1.920000000000000000e+03, 6.232956858555579321e-02, 2.777736008607934598e-02, 1.777055824223837954e-01, 2.338066097367366009e-02, 8.589946627786835751e-04, 8.735825362164426067e-02, 1.479800574229642521e-02, 3.487028981664160726e-02, 2.733389365665638698e-02
1.921000000000000000e+03, 6.369920716030508245e-02, 2.857284112759301067e-02, 1.793632231221591322e-01, 2.363480374453914498e-02, 8.792123837686980107e-04, 9.108866379150544479e-02, 1.575040940612630613e-02, 3.649895044131649252e-02, 2.805140653396171260e-02
1.922000000000000000e+03, 6.572499054188621348e-02, 2.930685411453339689e-02, 1.813211815420522899e-01, 2.473912380087753271e-02, 8.910638854144240601e-04, 9.402492043896366891e-02, 1.679379043876466637e-02, 3.829677931469868679e-02, 2.867919000141646441e-02
1.923000000000000000e+03, 6.780335388260456952e-02, 2.999026979112803457e-02, 1.832295650376619400e-01, 2.581569768603026241e-02, 8.983071262603985023e-04, 9.653439958197866655e-02, 1.778857459083332468e-02, 4.020713882044241183e-02, 2.944307616608672976e-02
1.924000000000000000e+03, 6.875930706521658775e-02, 3.063165364371531890e-02, 1.851883888204468864e-01, 2.589002060556307161e-02, 8.736314191460565516e-04, 9.934076661207137671e-02, 1.881592176665824317e-02, 4.218587450219863505e-02, 3.003565405400389354e-02
1.925000000000000000e+03, 7.024786606118674226e-02, 3.124482449002035506e-02, 1.871633105581651801e-01, 2.728047774161285882e-02, 8.567814819809161514e-04, 1.017301474985067428e-01, 1.969098979522820869e-02, 4.414559504174676852e-02, 3.059987358058540580e-02
1.926000000000000000e+03, 7.208616893746928878e-02, 3.184057117040164225e-02, 1.892455903086483204e-01, 2.853205271129057377e-02, 8.438019455794045246e-04, 1.034827100649227255e-01, 2.091613563974647344e-02, 4.606357482200200415e-02, 3.126833406218872818e-02
1.927000000000000000e+03, 7.304967037542062225e-02, 3.242104558081573135e-02, 1.912106178286956115e-01, 2.925516432527114352e-02, 8.711130058688108281e-04, 1.045836114208477108e-01, 2.195588037199206963e-02, 4.790249322944638288e-02, 3.180985098556857876e-02
1.928000000000000000e+03, 7.402984831836671720e-02, 3.298325589390348200e-02, 1.931898584855460399e-01, 2.966131386140444595e-02, 8.427682103547916694e-04, 1.049919346688044652e-01, 2.288535466348440989e-02, 4.993095471291706527e-02, 3.216838383724376221e-02
1.929000000000000000e+03, 7.587538445813836463e-02, 3.352817930968940430e-02, 1.951712679065342737e-01, 2.950082743096715809e-02, 7.840820296622557977e-04, 1.051391724900877928e-01, 2.378494284269433087e-02, 5.171262379029699374e-02, 3.252817867524553791e-02
1.930000000000000000e+03, 7.783920917224791680e-02, 3.398680491139272758e-02, 1.971625408463226481e-01, 3.093455524217209041e-02, 7.367943310590753699e-04, 1.051017559877152063e-01, 2.453341494606439688e-02, 5.360448948446779743e-02, 3.291435828680557701e-02
1.931000000000000000e+03, 7.760870515576592799e-02, 3.437939926012411468e-02, 1.995964793962752559e-01, 3.412667664732645795e-02, 7.342754596302232583e-04, 1.057158916555470951e-01, 2.577256122060977983e-02, 5.558627311315122999e-02, 3.295580282128007105e-02
1.932000000000000000e+03, 7.777757549931473002e-02, 3.476976882757543130e-02, 2.017674456367660740e-01, 3.467618826598840853e-02, 7.614072347323887690e-04, 1.066655271567779617e-01, 2.726042829550131760e-02, 5.760736542404126803e-02, 3.308342625564908435e-02
1.933000000000000000e+03, 7.971610845857754479e-02, 3.514427879989944631e-02, 2.038842509110039003e-01, 3.679095068902078769e-02, 7.548398415135172766e-04, 1.077231501757991428e-01, 2.870106443039456556e-02, 5.945822887673737206e-02, 3.309181716893778991e-02
1.934000000000000000e+03, 8.205139791914214942e-02, 3.551423273621948790e-02, 2.060193808339890464e-01, 3.693940163406493615e-02, 7.555389407975150219e-04, 1.089796984351706216e-01, 3.007503865019288403e-02, 6.136958175220987022e-02, 3.314171129771877056e-02
1.935000000000000000e+03, 8.149944365816523539e-02, 3.588453964165939925e-02, 2.081501878413765660e-01, 3.522536226844864143e-02, 7.527029992387600449e-04, 1.099908365825650602e-01, 3.131757111438364383e-02, 6.298200890595145873e-02, 3.314116357097488669e-02
1.936000000000000000e+03, 8.190868216491971332e-02, 3.625511366480985848e-02, 2.102703861740882474e-01, 3.489896155772574671e-02, 7.164122535571814743e-04, 1.106717579819561231e-01, 3.218495871964507926e-02, 6.464446676599407138e-02, 3.314332554028809330e-02
1.937000000000000000e+03, 8.413297530437867378e-02, 3.661928560120919496e-02, 2.109310126060147395e-01, 3.569796130141687091e-02, 6.937638911151213818e-04, 1.115653986251046309e-01, 3.289352524537782901e-02, 6.654545017529896189e-02, 3.332685288543416058e-02
1.938000000000000000e+03, 8.492551586230306926e-02, 3.697877674149972760e-02, 2.111108716603693758e-01, 3.675736357892610273e-02, 6.728161976942741629e-04, 1.129858667195731692e-01, 3.349574194519898407e-02, 6.847709447483919798e-02, 3.341283199641270629e-02
1.939000000000000000e+03, 8.482974198463671955e-02, 3.733668220085224060e-02, 2.116682838806115130e-01, 3.795464139340012227e-02, 6.754432230079610196e-04, 1.139506526501264383e-01, 3.414212803224446480e-02, 7.010941135661602486e-02, 3.354522380829947498e-02
1.940000000000000000e+03, 8.611789241653969307e-02, 3.798010518604506836e-02, 2.120723045351571856e-01, 3.990745046602037910e-02, 6.874573305516510887e-04, 1.206151837230165363e-01, 3.481929678843079939e-02, 7.175236054987985113e-02, 3.363395615393732080e-02
1.941000000000000000e+03, 8.831451797949187166e-02, 3.887930890750632140e-02, 2.136997718732357165e-01, 4.059356667262395413e-02, 7.337745888310617890e-04, 1.255715138432897393e-01, 3.756728312841973311e-02, 7.283370543599361480e-02, 3.485251629450323435e-02
1.942000000000000000e+03, 8.963213271777713265e-02, 3.972667312649154348e-02, 2.154317371879807819e-01, 3.988939201780371951e-02, 7.526921773158759673e-04, 1.299962442721260825e-01, 4.011213587241573009e-02, 7.429275840881369164e-02, 3.599542630781066982e-02
1.943000000000000000e+03, 9.262160728964184686e-02, 4.051300583154120866e-02, 2.168254880073142710e-01, 4.161652711631630419e-02, 7.735248217931720753e-04, 1.339321848725694430e-01, 4.277568559988470520e-02, 7.572977164649934145e-02, 3.692088123637336794e-02
1.944000000000000000e+03, 9.374068967824075727e-02, 4.124780885825130722e-02, 2.182296008503200602e-01, 4.395975744859490636e-02, 8.016280300769015573e-04, 1.365975830019349746e-01, 4.529107375749356901e-02, 7.716866827594497102e-02, 3.794988986062203251e-02
1.945000000000000000e+03, 9.673776225760707947e-02, 4.193412665116889870e-02, 2.196347256333628373e-01, 4.751904114515781430e-02, 8.536582143597375117e-04, 1.393059419703510660e-01, 4.746409836157822887e-02, 7.886133836504929939e-02, 3.893809512719634269e-02
1.946000000000000000e+03, 9.876876397479733560e-02, 4.255159621924756858e-02, 2.211835735521908430e-01, 4.647695692946289536e-02, 8.089572761528576478e-04, 1.417329849070157188e-01, 5.039229756764267154e-02, 8.051839117775867749e-02, 3.965017947026388406e-02
1.947000000000000000e+03, 1.009860540939218482e-01, 4.309256140574067862e-02, 2.225724480409563000e-01, 4.648603139548630747e-02, 7.328681409400487120e-04, 1.438933535400107322e-01, 5.328624963956687943e-02, 8.201783366612974691e-02, 4.034092344566585914e-02
1.948000000000000000e+03, 1.017507757023793230e-01, 4.358214332542300479e-02, 2.239931328592875692e-01, 4.782109717077460964e-02, 7.112997751758720405e-04, 1.461367653873628103e-01, 5.553773813101687412e-02, 8.400550005166498857e-02, 4.101629120049669897e-02
1.949000000000000000e+03, 1.020634744337223787e-01, 4.401944037872521781e-02, 2.254250186154574676e-01, 5.374062577511751898e-02, 7.469214396485427234e-04, 1.478159336508673982e-01, 5.716487191929662398e-02, 8.600427926910000909e-02, 4.144523219438533274e-02
1.950000000000000000e+03, 1.024059865541988995e-01, 4.563425581664805331e-02, 2.272231504296192972e-01, 5.748664284154217374e-02, 9.161304071291508392e-04, 1.671096190530758918e-01, 5.875416155399428020e-02, 8.744716492585213885e-02, 4.199974813944188506e-02
1.951000000000000000e+03, 1.095351674315868523e-01, 4.822057000068893928e-02, 2.384160584267642213e-01, 5.813504278504220274e-02, 9.985942203153497319e-04, 1.790342518965622187e-01, 6.937462917574797883e-02, 9.075623165969927408e-02, 4.599560321773004529e-02
1.952000000000000000e+03, 1.146948454183189248e-01, 5.046057509265879093e-02, 2.484273009956617095e-01, 5.793541896372490785e-02, 9.925209433320350896e-04, 1.881858120011586366e-01, 8.190386905562811737e-02, 9.477661300890426188e-02, 4.961157047644596668e-02
1.953000000000000000e+03, 1.221335186576969906e-01, 5.240840325709336667e-02, 2.578895861091163866e-01, 5.850009576818061829e-02, 1.018843296799486209e-03, 1.950853526683770656e-01, 9.201227005731364705e-02, 9.871302972234423379e-02, 5.279080420303439158e-02
1.954000000000000000e+03, 1.266717936823041624e-01, 5.415318562079724646e-02, 2.663919959678133220e-01, 6.127384551241034372e-02, 1.051309094190914237e-03, 2.002661455722274664e-01, 9.908530020016907691e-02, 1.033744367615650056e-01, 5.543696783799126337e-02
1.955000000000000000e+03, 1.301441969199971516e-01, 5.575801180565412296e-02, 2.745069341720315914e-01, 6.343864073765922984e-02, 1.099899414389930241e-03, 2.050436737191933534e-01, 1.025321328118789788e-01, 1.078146078626609772e-01, 5.819801091440127139e-02
