year, CanESM5, MPI-ESM1-2-LR, TaiESM1, GFDL-ESM4, IPSL-CM6A-LR, CMCC-CM2-SR5, EC-Earth3-Veg, NorESM2-MM, CNRM-ESM2-1, MIROC-ES2L, NorESM2-LM, CESM2-WACCM, ACCESS-ESM1-5
1.850000000000000000e+03, 4.028795865748911353e+00, 8.065829073152505302e+00, 4.236152073444433563e-01, 2.887682602703648183e+00, 4.974124562771053526e+00, 1.714383568650715617e+00, 1.670471107205573791e+00, 1.028028822278433063e+00, 7.008702300622892345e+00, 9.276650101533084225e+00, 9.413985127064289360e-01, 1.049212524716941708e+00, 9.973333359830519607e-01
1.851000000000000000e+03, 4.095356377013564142e+00, 8.084731603001651834e+00, 6.630588142224664860e-01, 2.807202243626146121e+00, 4.983411213089273595e+00, 1.669985389576396306e+00, 1.625300503713051237e+00, 9.962872809443910072e-01, 7.030561919705037965e+00, 9.313594021192120209e+00, 9.409347013464941512e-01, 9.156370397252712179e-01, 9.947406062740572485e-01
1.852000000000000000e+03, 3.923927483347390943e+00, 8.103282918497528797e+00, 3.615151706306389823e-01, 3.069302006139012828e+00, 4.987124547412642883e+00, 9.877874480566266602e-01, 1.485468294673288003e+00, 9.354741361630619645e-01, 7.063166913208863029e+00, 9.340422933571428388e+00, 8.851536259481697089e-01, 8.131253029912148822e-01, 1.012202294003625491e+00
1.853000000000000000e+03, 3.992946001385795807e+00, 8.135966811146026600e+00, 6.198900498801909187e-01, 3.087874878384734512e+00, 4.968326051679923694e+00, 1.577025525599168532e+00, 1.400383955928050650e+00, 8.603355676332232749e-01, 7.062545691352566379e+00, 9.228316427876038119e+00, 8.597647808401596148e-01, 8.799714310681281404e-01, 1.029027963695532399e+00
1.854000000000000000e+03, 3.883379879900349607e+00, 8.094206667772107622e+00, 4.486601296921560178e-01, 2.879181149962747099e+00, 4.946366189132461066e+00, 1.877289090377867398e+00, 1.415059797207054437e+00, 9.605049868835371374e-01, 7.043926530846529310e+00, 9.197101704149806878e+00, 8.640797567362447085e-01, 9.693008474143675057e-01, 1.030088807946381690e+00
1.855000000000000000e+03, 3.727453952531611936e+00, 8.061887847284845421e+00, 3.048745122468675683e-01, 2.913602104698110207e+00, 4.947392023860019528e+00, 1.344891804364410026e+00, 1.503644064721973317e+00, 9.155241476217715890e-01, 6.977008612768476503e+00, 9.231886646939377883e+00, 7.926685816392287087e-01, 9.506779358458712359e-01, 9.965939110257961975e-01
1.856000000000000000e+03, 3.654697302199545472e+00, 8.129215310048653720e+00, 3.927607392819011389e-01, 3.060013496107522712e+00, 5.010082297510868976e+00, 1.627878018015545880e+00, 1.793986421409516252e+00, 9.692129984646183916e-01, 7.045207819509822222e+00, 9.264762636097644943e+00, 8.260996023029572033e-01, 1.019690489368622499e+00, 9.867928717646395897e-01
1.857000000000000000e+03, 3.972824006760596660e+00, 8.153701353178753664e+00, 7.545441312262977096e-01, 2.952989258512990212e+00, 4.922466725560605383e+00, 1.734889659437348408e+00, 1.579600821653721177e+00, 8.682898265789916747e-01, 7.003079697712714768e+00, 9.296923994491997689e+00, 9.255600784350456189e-01, 1.011239158611385136e+00, 9.718788334773940107e-01
1.858000000000000000e+03, 4.074629736227804777e+00, 8.163874849817384316e+00, 5.232151028518329250e-01, 2.933325627939550539e+00, 4.928953226743280958e+00, 1.374313566299741884e+00, 1.392260437605931100e+00, 9.230917082734962920e-01, 7.046476015756226730e+00, 9.317051457573992224e+00, 9.438863338790988156e-01, 8.884620992958642827e-01, 1.009016319798168082e+00
1.859000000000000000e+03, 3.990653457543289040e+00, 8.149090709305333746e+00, 2.949895201038666981e-01, 2.882702293224375101e+00, 5.051381615238370593e+00, 1.378912051004296258e+00, 1.493233102382489186e+00, 8.971341077428192090e-01, 7.174427436740923980e+00, 9.232431126847748359e+00, 8.627350651374000590e-01, 9.355964472279526545e-01, 1.066306204943965108e+00
1.860000000000000000e+03, 3.842176682714365299e+00, 8.149850522811197706e+00, 5.234327445258576406e-01, 2.826591995682810943e+00, 4.989026716669696881e+00, 1.642613700475651362e+00, 1.513208951185565310e+00, 9.555005170425913130e-01, 7.001737940669447546e+00, 9.245752480240206239e+00, 7.584033011498079180e-01, 9.003642997910030754e-01, 1.103776002576108306e+00
1.861000000000000000e+03, 3.918765572950085208e+00, 8.133571879103808300e+00, 8.601381441190963928e-01, 2.776983361573773568e+00, 4.991358252066786072e+00, 1.727696114464498223e+00, 1.420464946849699706e+00, 9.786675816344111434e-01, 7.040024150294427407e+00, 9.287005100108032707e+00, 8.472013300390812685e-01, 8.071574008012122325e-01, 1.131624830749751398e+00
1.862000000000000000e+03, 3.941419831546423946e+00, 8.099790789440634242e+00, 3.901760358124061190e-01, 2.859156882645093489e+00, 4.920691760741851439e+00, 1.620062109322366162e+00, 1.609859928114743211e+00, 8.973177053526382174e-01, 7.041723149577356011e+00, 9.311719189248256257e+00, 9.056840118249106508e-01, 8.288125566582492665e-01, 1.137823845557369262e+00
1.863000000000000000e+03, 3.877327445452942722e+00, 8.083610130152106166e+00, 3.717947307770048671e-01, 2.840071444724057148e+00, 5.024563670666781334e+00, 1.381383153555916898e+00, 1.652835726496180602e+00, 9.538738063340893580e-01, 7.074602807143002714e+00, 9.313051923520561104e+00, 9.611296753812204052e-01, 9.431480713622233392e-01, 1.124129250415418113e+00
1.864000000000000000e+03, 3.879719183321546527e+00, 8.143508794067827239e+00, 5.569730712181082399e-01, 2.822640306792588927e+00, 5.074827837837863065e+00, 1.171058220881756373e+00, 1.541091222237635616e+00, 1.087651755710244306e+00, 7.017574460502941314e+00, 9.316295166877138101e+00, 9.924739729488027962e-01, 1.025753426376976973e+00, 1.072320146672364638e+00
1.865000000000000000e+03, 3.748028613210929283e+00, 8.100301981848872401e+00, 6.807413924527027094e-01, 2.860388055963186016e+00, 5.038703887462284925e+00, 1.226163893129431637e+00, 1.363606984162750058e+00, 1.048789338244683345e+00, 6.958833236442971248e+00, 9.288807807512831971e+00, 8.324224862657206847e-01, 1.133081481437997473e+00, 1.037078814686608785e+00
1.866000000000000000e+03, 3.733513395910413646e+00, 8.034567210284130567e+00, 4.605541125099242850e-01, 2.754556013504327439e+00, 5.044273852232495692e+00, 1.304534261603670364e+00, 1.337978760051373950e+00, 1.052364366067126245e+00, 7.105472266495624467e+00, 9.221498150491937551e+00, 7.946293466196695521e-01, 9.235567336767499524e-01, 1.033485137427473388e+00
1.867000000000000000e+03, 3.844711392088054680e+00, 8.086619047171421215e+00, 3.635887025400821315e-01, 2.685065812482207992e+00, 4.882148613722000263e+00, 1.411567035139492665e+00, 1.587104172582707085e+00, 9.604998624499829774e-01, 7.069831705230525287e+00, 9.199233402210287736e+00, 8.622489569003753962e-01, 1.034660082571944528e+00, 1.033765071373894839e+00
1.868000000000000000e+03, 3.786648958167984969e+00, 8.098312532318132639e+00, 4.606497913529049582e-01, 2.705993485907359997e+00, 4.911488441733313337e+00, 1.828949322739130245e+00, 1.617201368315966725e+00, 8.445701896583388546e-01, 7.055424906677497887e+00, 9.198972392667041476e+00, 9.228144944349776502e-01, 1.034093161141013129e+00, 1.034616206863064658e+00
1.869000000000000000e+03, 3.473082342483285956e+00, 8.085923660874174246e+00, 5.294429983733146550e-01, 2.766978969206262740e+00, 4.920045256226929453e+00, 1.898222963380262085e+00, 1.499138335645616715e+00, 8.152676493930576251e-01, 7.051127464099910647e+00, 9.281686227783668031e+00, 9.463542464288972056e-01, 9.662842173482223407e-01, 1.007436889449262463e+00
1.870000000000000000e+03, 3.633716045287531671e+00, 8.135895153330290341e+00, 5.170028509692350394e-01, 2.914024501681553136e+00, 5.002233555304671064e+00, 1.703974293405977170e+00, 1.495229489993633587e+00, 8.471938024355480934e-01, 7.037535449776037844e+00, 9.314042222334327548e+00, 8.353758978728063056e-01, 9.128605901120162569e-01, 1.003282947986317009e+00
1.871000000000000000e+03, 3.665931639568511979e+00, 8.172225582690737511e+00, 5.852987059920109481e-01, 2.921002017895845793e+00, 4.933112497614152048e+00, 1.497803004455505294e+00, 1.562232125051120191e+00, 8.791104270061896875e-01, 7.002691726356430557e+00, 9.304564983926482569e+00, 8.355047745258027403e-01, 9.152315708760456747e-01, 1.016007069563695131e+00
1.872000000000000000e+03, 3.685992547010776832e+00, 8.203463168010294737e+00, 6.039803497094816676e-01, 2.725776783391211655e+00, 4.826619202924220531e+00, 1.528880235181295122e+00, 1.585400386523440952e+00, 9.358384170574038929e-01, 7.007707493485185068e+00, 9.292997352312786674e+00, 8.760238248937851635e-01, 8.340314135707982413e-01, 1.035992681241624691e+00
1.873000000000000000e+03, 3.869409144585011617e+00, 8.236348514901450812e+00, 4.890264268989487628e-01, 2.682045050766716177e+00, 4.881029200854494654e+00, 1.671052736780323178e+00, 1.554965473426875411e+00, 9.566016771007532782e-01, 7.073210486745763248e+00, 9.193440326687932540e+00, 8.805545976488295956e-01, 9.382636556788956916e-01, 1.055071936850688230e+00
1.874000000000000000e+03, 3.822840120815987675e+00, 8.194114533993587912e+00, 3.989694660521390102e-01, 2.831825558010660160e+00, 4.856302667014380958e+00, 1.534854084084244619e+00, 1.587833991676260270e+00, 9.963249523216098913e-01, 6.944699040972073689e+00, 9.104017778841669184e+00, 8.080503791969692040e-01, 9.514678738214052967e-01, 1.033394182238833281e+00
1.875000000000000000e+03, 3.839201621435528455e+00, 8.172722178902210644e+00, 3.902928961053026002e-01, 2.880874176312139490e+00, 4.832230413246628054e+00, 1.516319030872695039e+00, 1.471131792688750384e+00, 1.045851132152729068e+00, 7.017529222458749771e+00, 9.160128169789469865e+00, 9.153401622791268455e-01, 9.045334516338925379e-01, 9.865832431565427774e-01
1.876000000000000000e+03, 4.044802446104278637e+00, 8.203875138548395896e+00, 6.609206678738144269e-01, 2.700936411204445164e+00, 4.974950982041006498e+00, 1.649895840087094889e+00, 1.451589785165553037e+00, 1.038520671090614078e+00, 7.075331115310698138e+00, 9.254157088389717956e+00, 9.333464511447209233e-01, 8.542530101426851763e-01, 9.432630165614147577e-01
1.877000000000000000e+03, 3.803677017273786820e+00, 8.171467743649426296e+00, 3.766279426987983459e-01, 2.817924970574753996e+00, 4.962138753283200643e+00, 1.423490026085995064e+00, 1.472672010188298408e+00, 1.026688384652859831e+00, 7.039778210158034177e+00, 9.220195152873431610e+00, 9.447425932686892569e-01, 9.861052756469967928e-01, 9.380056929880404848e-01
1.878000000000000000e+03, 4.100793067787979140e+00, 8.113612451949006044e+00, 3.898006899133800163e-01, 2.768223169246554427e+00, 4.917912801506201248e+00, 1.514697195997650958e+00, 1.575058511911398895e+00, 8.941319039740635022e-01, 7.049933723778216255e+00, 9.188730757609519628e+00, 8.726548700186042007e-01, 9.895711872911915341e-01, 9.424045621898908820e-01
1.879000000000000000e+03, 4.074962893829317423e+00, 8.088734497931602263e+00, 4.785903649305741636e-01, 2.808704786461864611e+00, 4.988628420409277453e+00, 1.596463226682624414e+00, 1.701383737271495500e+00, 9.444455870538173148e-01, 6.988787975262044760e+00, 9.169195749813379592e+00, 9.107506388999290214e-01, 1.024590792448105692e+00, 9.853246619964221020e-01
1.880000000000000000e+03, 4.024973744990487212e+00, 8.100653395241291577e+00, 3.298371786238344927e-01, 2.794659611986353376e+00, 5.123013970080342538e+00, 1.632701406791166931e+00, 1.614817291388394471e+00, 9.581391618742379768e-01, 7.027291736850870940e+00, 9.192549853525999737e+00, 9.287783270357875542e-01, 8.681352538580033862e-01, 1.015032905802253138e+00
1.881000000000000000e+03, 3.941566228539269634e+00, 8.070600114857125362e+00, 4.250456681804644088e-01, 2.645513506809554105e+00, 5.069079035568023528e+00, 1.556844810776985000e+00, 1.605509197343987671e+00, 1.004391590322230465e+00, 7.122880018069063901e+00, 9.186347359257192480e+00, 8.990379106784123220e-01, 7.981009484951024913e-01, 1.019804653861567045e+00
1.882000000000000000e+03, 3.889185595546043928e+00, 8.050337125232550406e+00, 8.772798042748332081e-01, 2.616033781323532814e+00, 5.001689762074621015e+00, 1.777923779224793721e+00, 1.642069745472281905e+00, 1.019642687195895681e+00, 7.040181690940793047e+00, 9.180927746527803635e+00, 8.097849930061752355e-01, 9.310676139469997725e-01, 1.022864780414468822e+00
