year, EC-Earth3-Veg, INM-CM4-8, NorESM2-LM, MIROC-ES2L, CMCC-CM2-SR5, INM-CM5-0, IPSL-CM6A-LR, UKESM1-0-LL, GFDL-ESM4, NorESM2-MM, TaiESM1, MPI-ESM1-2-LR, CanESM5, ACCESS-ESM1-5, CNRM-ESM2-1, CESM2-WACCM
1.850000000000000000e+03, 8.362948244543654042e+00, 1.514527783040447417e+01, 9.317818212126919519e+00, 1.461103729785276251e+01, 5.697151189227342982e+00, 1.448740971082400009e+01, 1.063231250655038806e+01, 7.901836537258582815e+00, 3.240503644823565566e+00, 1.126328543869291110e+01, 9.950143027577988519e+00, 9.348287424527272904e+00, 1.634644488198798129e+01, 1.563102815376505283e+01, 9.937416249589926309e+00, 1.182426270350326369e+01
1.851000000000000000e+03, 7.436112300191257241e+00, 1.500038112839439464e+01, 9.127566145230655792e+00, 1.451514241859621102e+01, 5.063814976086788100e+00, 1.459886179547168261e+01, 1.050985457067969087e+01, 7.907650526928510892e+00, 3.498206650073753643e+00, 1.121596122743222246e+01, 9.518062568284291203e+00, 9.485583038633711439e+00, 1.596661287092410042e+01, 1.565188508558296832e+01, 1.000752010580495899e+01, 1.194957348814931208e+01
1.852000000000000000e+03, 7.457106486770693543e+00, 1.502730828742123492e+01, 9.246997870966300326e+00, 1.436376088622241554e+01, 6.301553214123964963e+00, 1.459027899688065233e+01, 1.046059650775869976e+01, 7.724271758635607554e+00, 3.571085421797305592e+00, 1.105966725942669449e+01, 9.746511162708674902e+00, 9.477361074802074015e+00, 1.602691432023016205e+01, 1.582715323230126181e+01, 1.011409511760857782e+01, 1.228569287055389481e+01
1.853000000000000000e+03, 7.203569227765027172e+00, 1.500893696053594617e+01, 9.254009929293737002e+00, 1.444798546177630705e+01, 6.332902033207201242e+00, 1.458964072542821988e+01, 1.039223046531759742e+01, 7.678924079137896541e+00, 3.166619277529463705e+00, 1.132984402247329392e+01, 9.480882675945679239e+00, 9.294542128220051325e+00, 1.584110584752820650e+01, 1.589525478240201117e+01, 1.006399142832215077e+01, 1.245167538476546021e+01
1.854000000000000000e+03, 7.674898038967433500e+00, 1.500088053842144298e+01, 9.247370849154746608e+00, 1.454268514147678637e+01, 5.501123559448450884e+00, 1.448155058886028179e+01, 1.049613790212440989e+01, 7.667854766895601415e+00, 3.418074449959284777e+00, 1.116905956986129667e+01, 9.073131372558863816e+00, 9.220212631791495639e+00, 1.576488878502393298e+01, 1.582946369199954795e+01, 9.870044100696778955e+00, 1.226071074860171883e+01
1.855000000000000000e+03, 8.470016097648679576e+00, 1.498562988891428915e+01, 9.367061527326427495e+00, 1.455504793557285126e+01, 6.186227547150679129e+00, 1.437347990117809005e+01, 1.055783775146216996e+01, 7.911003326464982166e+00, 3.463621573972304191e+00, 1.119882140131889692e+01, 9.894265047864315932e+00, 9.437013431323260093e+00, 1.585838336953569083e+01, 1.565592350766237217e+01, 9.913930103778392677e+00, 1.229655101299676545e+01
1.856000000000000000e+03, 7.154507393623597444e+00, 1.487519715589549918e+01, 9.542866834866361003e+00, 1.453968830912093502e+01, 5.988856278449612880e+00, 1.439777976409743587e+01, 1.037712346438837763e+01, 7.786781014687013780e+00, 3.389937387671844604e+00, 1.119147004532800338e+01, 1.057765796780319789e+01, 9.398486965407817806e+00, 1.624131661381043656e+01, 1.556129307953567142e+01, 9.904473358278767847e+00, 1.207550991728613887e+01
1.857000000000000000e+03, 6.914497259976100985e+00, 1.489704256774253821e+01, 9.409035239848615007e+00, 1.447380372461975107e+01, 5.289243376838653532e+00, 1.431385591468545115e+01, 1.033005507585683169e+01, 7.694116923051165458e+00, 3.286378929401172933e+00, 1.141643915896277051e+01, 9.858649060798681418e+00, 9.431769248674457984e+00, 1.625694300342580689e+01, 1.560908060425581745e+01, 9.985233299067232338e+00, 1.192623823617386947e+01
1.858000000000000000e+03, 7.537679084354335757e+00, 1.499930413202756974e+01, 9.209652145297642534e+00, 1.440005449436644902e+01, 5.787513485088204845e+00, 1.441453689553719819e+01, 1.059683391588571233e+01, 7.689502060857258847e+00, 3.283498432875454842e+00, 1.142058634276587448e+01, 9.376350538198096274e+00, 9.364587076715231717e+00, 1.594065635357453026e+01, 1.594843373105530482e+01, 1.023850305114477699e+01, 1.196627639886036931e+01
1.859000000000000000e+03, 7.356952730857644340e+00, 1.497278151138286972e+01, 9.327538035045007447e+00, 1.452004600645287979e+01, 6.163010568903179554e+00, 1.433314160774901502e+01, 1.062237444880914694e+01, 7.686716434294321942e+00, 3.248350810088246110e+00, 1.149562734527411756e+01, 1.030706479613276905e+01, 9.465947239000575664e+00, 1.573158433509919440e+01, 1.627852456550440152e+01, 9.814325724664584527e+00, 1.206806977912470913e+01
1.860000000000000000e+03, 7.184411160149285713e+00, 1.481194342769404315e+01, 9.674819110366005503e+00, 1.451320504577348736e+01, 5.737451952175216974e+00, 1.452469267939923547e+01, 1.040850540572453298e+01, 7.807830043629417460e+00, 3.205048036471615625e+00, 1.155392825522966582e+01, 1.068072363934828672e+01, 9.359822551694175985e+00, 1.588800076533370742e+01, 1.642607802423801999e+01, 9.852928853541680354e+00, 1.190441825390325725e+01
