year, GFDL-ESM4, NorESM2-LM, CNRM-ESM2-1, TaiESM1, TaiESM1, NorESM2-MM, GFDL-ESM4, NorESM2-MM, CNRM-ESM2-1, CESM2-WACCM, EC-Earth3-Veg, MPI-ESM1-2-LR
1.850000000000000000e+03, 5.038301064759387379e-10, 5.153266951737693251e-10, 5.754336546798673449e-10, 1.822142987979599885e-10, 1.822142987979599885e-10, 4.968268503981659300e-10, 5.039038389093758360e-10, 4.968268503981659300e-10, 5.754336546798673449e-10, 5.567163708001406755e-10, 1.852345517122373084e-09, 1.086762430575809624e-10
1.851000000000000000e+03, 4.973157068671499128e-10, 3.392134014282614428e-10, 5.104741310637069007e-10, 3.788115505006881190e-10, 3.788115505006881190e-10, 6.454890453847902522e-10, 4.974151894861058779e-10, 6.454890453847902522e-10, 5.104741310637069007e-10, 1.402611620050243217e-10, 9.625535567529249301e-10, 1.052511819324784573e-10
1.852000000000000000e+03, 7.190470296404433212e-10, 3.548771655658350226e-10, 9.068345610810262190e-10, 1.987805776860865295e-10, 1.987805776860865295e-10, 5.214201482065396600e-10, 7.191267336919615240e-10, 5.214201482065396600e-10, 9.068345610810262190e-10, 1.481061378891082702e-10, 1.644119323879348007e-09, 1.119612209426373453e-10
1.853000000000000000e+03, 3.660877295085061282e-10, 3.380700906358969981e-10, 9.934426391985860718e-10, 6.351858716708116372e-10, 6.351858716708116372e-10, 4.187036607477976712e-10, 3.661486266094037502e-10, 4.187036607477976712e-10, 9.934426391985860718e-10, 4.287228731420399309e-10, 5.519873410499423299e-10, 1.228292279075102451e-10
1.854000000000000000e+03, 4.907548009262464157e-10, 3.594137440277169538e-10, 6.813094592033380829e-10, 4.732741020422364759e-10, 4.732741020422364759e-10, 5.754281218128719306e-10, 4.908577913025209621e-10, 5.754281218128719306e-10, 6.813094592033380829e-10, 3.708169923300559089e-10, 3.214058920539157472e-10, 9.553070162015602285e-11
1.855000000000000000e+03, 5.856721282616591409e-10, 1.908546208475237982e-10, 5.717422268604468832e-10, 1.198858038485989549e-10, 1.198858038485989549e-10, 3.897987884979425006e-10, 5.857868105308686530e-10, 3.897987884979425006e-10, 5.717422268604468832e-10, 4.626664961254724003e-10, 2.181145392170593478e-09, 1.056150268295847652e-10
1.856000000000000000e+03, 6.457953692264756322e-10, 3.106961383441189777e-10, 7.267197114319331851e-10, 1.567757763407411220e-10, 1.567757763407411220e-10, 3.257466319259603111e-10, 6.459004953401949277e-10, 3.257466319259603111e-10, 7.267197114319331851e-10, 5.862534512234221297e-10, 1.462009714383154948e-09, 1.320719583403452938e-10
1.857000000000000000e+03, 3.848414144835466133e-10, 3.547348351911532245e-10, 5.508742338681140983e-10, 3.630795977217352420e-10, 3.630795977217352420e-10, 3.172169027563921495e-10, 3.849462169280426084e-10, 3.172169027563921495e-10, 5.508742338681140983e-10, 6.633457431729257975e-10, 5.261307023952968206e-10, 1.244242649414833775e-10
1.858000000000000000e+03, 4.635289086115434842e-10, 3.340741431092474336e-10, 9.847695089916742687e-10, 2.657451881076195332e-10, 2.657451881076195332e-10, 3.173100221688505049e-10, 4.636350929987960311e-10, 3.173100221688505049e-10, 9.847695089916742687e-10, 2.927664619021262326e-10, 1.315183996765451905e-09, 1.216443403729865988e-10
1.859000000000000000e+03, 3.691861691624416759e-10, 1.670394353984624032e-10, 5.934757710376705518e-10, 1.147469732493690748e-10, 1.147469732493690748e-10, 2.185494991520841728e-10, 3.692903504900502101e-10, 2.185494991520841728e-10, 5.934757710376705518e-10, 5.258475462612141933e-10, 1.321824865505417437e-09, 1.145281732558189972e-10
1.860000000000000000e+03, 3.485205291369661593e-10, 1.150320928476069411e-10, 4.946579104688302771e-10, 2.526720300484617855e-10, 2.526720300484617855e-10, 4.731243695886856224e-10, 3.486312581604714408e-10, 4.731243695886856224e-10, 4.946579104688302771e-10, 4.736369731822536442e-10, 3.184103307504866609e-10, 1.230110854128359400e-10
1.861000000000000000e+03, 2.478882663259904096e-10, 2.760715224488748288e-10, 9.280084451988011600e-10, 4.960048297812975329e-10, 4.960048297812975329e-10, 2.956029813636753597e-10, 2.480110851244992427e-10, 2.956029813636753597e-10, 9.280084451988011600e-10, 1.511729905208550431e-10, 9.796318540871358311e-10, 1.309339154920275514e-10
1.862000000000000000e+03, 6.294781624801816988e-10, 3.264726859758929302e-10, 8.347202944244142902e-10, 2.773862832505548342e-10, 2.773862832505548342e-10, 2.050488734782932472e-10, 6.296089060877540268e-10, 2.050488734782932472e-10, 8.347202944244142902e-10, 1.926423910571734157e-10, 1.066597038040650940e-09, 1.161108642007484578e-10
1.863000000000000000e+03, 4.825036217017738060e-10, 7.163692337010443518e-10, 4.567692655732058679e-10, 2.046122139797395842e-10, 2.046122139797395842e-10, 5.372477000905046966e-10, 4.826546492437899502e-10, 5.372477000905046966e-10, 4.567692655732058679e-10, 2.997099899447799028e-10, 1.394932207214408057e-09, 1.258378990687798198e-10
1.864000000000000000e+03, 6.701396023215021387e-10, 3.966928303200454792e-10, 1.025156056811128193e-09, 2.480476312955776583e-10, 2.480476312955776583e-10, 7.702099984493958345e-10, 6.703193285022378485e-10, 7.702099984493958345e-10, 1.025156056811128193e-09, 5.476301908246454266e-10, 6.723828847070805984e-10, 1.243565388515747916e-10
1.865000000000000000e+03, 4.340433101752283309e-10, 1.753499344493787873e-10, 8.934480604933628735e-10, 3.650109780825483832e-10, 3.650109780825483832e-10, 7.945102470957040976e-10, 4.342117362730548659e-10, 7.945102470957040976e-10, 8.934480604933628735e-10, 8.513539462162304945e-10, 3.488040751025657238e-10, 1.056987780222040348e-10
