year, MPI-ESM1-2-LR, NorESM2-MM, NorESM2-LM, EC-Earth3-Veg, UKESM1-0-LL, IPSL-CM6A-LR, CESM2-WACCM, TaiESM1
1.866000000000000000e+03, 8.841598125121442006e-13, 2.566517262944159930e-13, 1.446238677100839784e-13, 5.075313390006222805e-11, 1.229399273815363113e-14, 5.974781058569286116e-12, 8.036895481323117265e-13, 1.976543077585801163e-13
1.867000000000000000e+03, 1.511789379436479420e-12, 2.842940013744201424e-13, 1.583427623827179809e-13, 6.122206691566894357e-11, 1.090461101263308608e-14, 5.393377550691369497e-12, 7.661764730107719478e-13, 2.176613619431186083e-13
1.868000000000000000e+03, 1.501352880213230992e-12, 3.125046159651944554e-13, 1.740349047884316056e-13, 4.613951922061204397e-11, 1.407399882588430729e-14, 5.904360329630338442e-12, 8.301724139917901091e-13, 2.399537041821585015e-13
1.869000000000000000e+03, 1.543668769955986844e-12, 3.427688045601276952e-13, 1.898408743258790292e-13, 6.727837217101292549e-11, 1.314980945798583210e-14, 6.768545924445698863e-12, 1.091187233692378527e-12, 2.628764727882586605e-13
1.870000000000000000e+03, 2.005358301884319533e-12, 3.737405733136860556e-13, 2.073927202519370839e-13, 6.086983349225919510e-11, 3.217856880866176887e-14, 7.508469578365639152e-12, 1.352874201964962164e-12, 2.882456431820927165e-13
1.871000000000000000e+03, 2.306815408477352662e-12, 4.065881077556252800e-13, 2.254949791325299194e-13, 7.481752681139443914e-11, 3.350861402345726265e-14, 6.536759760943602295e-12, 8.988190462087237438e-13, 3.143388136080748944e-13
1.872000000000000000e+03, 2.245423961529523881e-12, 4.431605927800743290e-13, 2.484858035341033513e-13, 5.997104168585402676e-11, 4.041402646366461778e-14, 8.162462392532968423e-12, 2.142616513984901098e-12, 3.409434179742475788e-13
1.873000000000000000e+03, 1.971812575756520615e-12, 4.805129545352668377e-13, 2.683362206751130642e-13, 8.185048937524780782e-11, 3.715727387054480282e-14, 1.075483468733124991e-11, 2.060588950052302217e-12, 3.640587859321644443e-13
1.874000000000000000e+03, 1.568374228750022223e-12, 5.226070006451244570e-13, 2.887759138234009514e-13, 6.161894512641975263e-11, 5.895847703129260861e-14, 1.033406098513752073e-11, 1.635961375393009760e-12, 3.888915607192459561e-13
1.875000000000000000e+03, 1.518027155577155941e-12, 5.705229589013812091e-13, 3.098941058009147424e-13, 8.197136318848646097e-11, 5.213982828867704571e-14, 1.108272839249557864e-11, 1.489611933187686594e-12, 4.169069089409962159e-13
1.876000000000000000e+03, 2.890656863481625421e-12, 6.167228202052829572e-13, 3.321693689702344918e-13, 6.813392348754277119e-11, 6.172066477340597923e-14, 1.131581281576896329e-11, 3.219379703874041621e-12, 4.443487562242750150e-13
1.877000000000000000e+03, 2.557765281656623711e-12, 6.715379874520034646e-13, 3.552202301062691277e-13, 9.633665719912312028e-11, 6.744059958704774353e-14, 1.365603486273976879e-11, 2.302566630274839913e-12, 4.724172957522907111e-13
1.878000000000000000e+03, 2.196269994006036722e-12, 7.341702895164499005e-13, 3.807050734760433994e-13, 8.965381418159867585e-11, 5.886357743803532058e-14, 1.284465161321466539e-11, 2.710671131766150854e-12, 5.008185117194407188e-13
1.879000000000000000e+03, 2.134515570722387677e-12, 8.125842905950293541e-13, 4.056513679619332828e-13, 8.584096780111888522e-11, 9.325618257883064408e-14, 1.684013877014357766e-11, 2.691537995344934592e-12, 5.317442693585296293e-13
1.880000000000000000e+03, 2.296930150677433127e-12, 9.542347453924694700e-13, 4.307986219327339697e-13, 1.093678706290850772e-10, 2.677347404407081797e-13, 1.616261925699244895e-11, 3.424991619796075963e-12, 5.656466972749800243e-13
1.881000000000000000e+03, 2.694342656636037807e-12, 1.309594399901693534e-12, 4.574923353716144418e-13, 9.636241688324157918e-11, 2.789121511849491513e-13, 1.644806208762065537e-11, 2.353886262742863583e-12, 6.017008605541714513e-13
1.882000000000000000e+03, 2.840451774055166570e-12, 8.195438591045673402e-13, 4.956920318584986180e-13, 8.736223970298881658e-11, 2.057554089399202636e-13, 1.375157393506875340e-11, 3.787585883658563611e-12, 6.416321562061906246e-13
1.883000000000000000e+03, 4.150336451726205814e-12, 8.818702585541976304e-13, 5.319920980508700945e-13, 1.077893335547649948e-10, 3.377942791752744280e-13, 1.767892904122511088e-11, 5.089030627048157088e-12, 6.876962338149578663e-13
1.884000000000000000e+03, 3.906317163141004226e-12, 9.423913069399826640e-13, 5.701624816288310344e-13, 1.400017832549312064e-10, 3.362344431278719406e-13, 1.641869676919016899e-11, 2.068207571150121234e-12, 7.398482652043134608e-13
1.885000000000000000e+03, 3.130850831055284600e-12, 1.004246421240868056e-12, 6.115624510185901981e-13, 1.216787164975996696e-10, 3.858585890442943293e-13, 2.025068659956460580e-11, 2.249552336137803550e-12, 7.923419127142646463e-13
1.886000000000000000e+03, 3.328182572138350428e-12, 1.070884146504941939e-12, 6.550233392259981538e-13, 1.230269113634688426e-10, 3.859573353540069072e-13, 1.975557125559307776e-11, 2.821876108066981846e-12, 8.507775908979350269e-13
1.887000000000000000e+03, 3.324334348354410928e-12, 1.140955903387840855e-12, 6.986319771387852851e-13, 1.069663262939626500e-10, 4.612110022887620871e-13, 2.103297190316519094e-11, 2.658722609950780508e-12, 9.122546623101072617e-13
1.888000000000000000e+03, 3.595021618657332435e-12, 1.215035426935765631e-12, 7.428545534388689106e-13, 1.231646043471260980e-10, 4.678864939480861631e-13, 2.106765471629501670e-11, 2.679928791032900492e-12, 9.646089877531989430e-13
1.889000000000000000e+03, 3.733407838674412602e-12, 1.289423087000373760e-12, 7.902432497106228294e-13, 1.476387514449097971e-10, 4.521511771956587150e-13, 1.894761848603059799e-11, 6.100153976732456572e-12, 1.018161683450459501e-12
1.890000000000000000e+03, 3.560777918307024496e-12, 1.370296851411017984e-12, 8.393823072748885145e-13, 1.328042069171511682e-10, 6.279412449559479067e-13, 2.543175570476085923e-11, 5.182098674778760634e-12, 1.080155620570640693e-12
1.891000000000000000e+03, 3.213798668275801081e-12, 1.448748188975021991e-12, 8.877010085901406224e-13, 1.368346469381405724e-10, 4.038190810407179682e-13, 1.920521577115137339e-11, 3.590245012493780720e-12, 1.143765833595370359e-12
1.892000000000000000e+03, 3.334572040214674658e-12, 1.511774053814618161e-12, 9.433891819675285064e-13, 1.624820378515081209e-10, 5.033125716785209497e-13, 2.527718554365424628e-11, 3.832666976021179039e-12, 1.189718518309799011e-12
1.893000000000000000e+03, 3.533814644592908676e-12, 1.590163983196231013e-12, 9.914756835217468048e-13, 1.382639988782364135e-10, 7.594431000006925976e-13, 2.172321009307883961e-11, 4.950439220405082394e-12, 1.250277948523268973e-12
1.894000000000000000e+03, 3.760012477735702032e-12, 1.664899330962978952e-12, 1.041087586498943620e-12, 1.706102184000023938e-10, 8.573466026017554885e-13, 2.605551028715887209e-11, 4.514091710226459738e-12, 1.313518513567323292e-12
1.895000000000000000e+03, 5.009485657343777541e-12, 1.742483502159026483e-12, 1.094823875695810144e-12, 1.884559246905505771e-10, 8.737337117880103223e-13, 2.887190890715238163e-11, 2.970297004762318156e-12, 1.371422748887294855e-12
1.896000000000000000e+03, 6.856018494985585935e-12, 1.829914651090819879e-12, 1.151079394862924089e-12, 1.910358489379854632e-10, 8.170637819110333447e-13, 2.875099029880053705e-11, 5.804065736399449412e-12, 1.437891272469966288e-12
1.897000000000000000e+03, 7.234882064316606507e-12, 1.913515526489830589e-12, 1.206940202635200349e-12, 1.533090330993002562e-10, 8.488056444412309794e-13, 3.314687585247304491e-11, 8.112608703608039208e-12, 1.514648337311359465e-12
1.898000000000000000e+03, 6.098493714247734407e-12, 2.002906509997104948e-12, 1.262386477159951363e-12, 2.190221412270492635e-10, 1.054108328100632082e-12, 3.328579806798503089e-11, 5.050314161724549371e-12, 1.578980422673765610e-12
1.899000000000000000e+03, 5.738534265752112501e-12, 2.098572229903550991e-12, 1.320000838068192209e-12, 1.747463517682546288e-10, 1.310638922076074400e-12, 3.458469085011057423e-11, 5.277883167888238285e-12, 1.643114567221511052e-12
1.900000000000000000e+03, 8.907051537077251917e-12, 2.184661568378102343e-12, 1.382702630102145394e-12, 2.376723464647415677e-10, 1.472999802925892488e-12, 3.371427472543859696e-11, 6.695449134830194215e-12, 1.705859849653255700e-12
1.901000000000000000e+03, 8.460344966331913292e-12, 2.274232892404079348e-12, 1.444856765299416597e-12, 2.086910433261523975e-10, 1.772180775968147528e-12, 3.301680568463616106e-11, 7.789892575070030767e-12, 1.765029180008319036e-12
1.902000000000000000e+03, 7.737560469748170789e-12, 2.435603517188434923e-12, 1.621598084497204911e-12, 2.384250752385178960e-10, 2.494987670565866343e-12, 4.011081939018757542e-11, 6.145568690995788947e-12, 1.922962814058836531e-12
1.903000000000000000e+03, 8.082690123580208129e-12, 2.539998003793784451e-12, 1.693653966088710186e-12, 2.069643532769053283e-10, 2.659526439558486252e-12, 4.356592087480092364e-11, 6.805754109787016931e-12, 1.999879907367033810e-12
1.904000000000000000e+03, 8.053075281202825012e-12, 2.652872140773518207e-12, 1.773611605900531813e-12, 2.994315713151558416e-10, 2.464706188092448451e-12, 3.896457873900933728e-11, 5.119316068814657810e-12, 2.066695282743318663e-12
1.905000000000000000e+03, 7.565406412300488035e-12, 2.765412680631432642e-12, 1.853573291217027794e-12, 2.586988869937712068e-10, 2.725504075981071324e-12, 3.960594062056305279e-11, 7.395371192250818649e-12, 2.132748368273304297e-12
1.906000000000000000e+03, 1.001793929319580698e-11, 2.881135270096921330e-12, 1.932937004471763358e-12, 2.714289908302951141e-10, 3.185552370908668613e-12, 4.146862626726919852e-11, 1.136148057020421451e-11, 2.200237189736232213e-12
1.907000000000000000e+03, 1.017996290882886403e-11, 3.011156198580904706e-12, 2.012054338460881529e-12, 2.027793209281657087e-10, 2.714657036438936465e-12, 5.094039372463443881e-11, 1.119278076305922855e-11, 2.282383849445594731e-12
1.908000000000000000e+03, 1.390910132236762950e-11, 3.128527968532785963e-12, 2.095926736361137966e-12, 2.921650298302440539e-10, 3.143912691345068719e-12, 5.453814253091037303e-11, 1.089875816672785668e-11, 2.365680862976216286e-12
1.909000000000000000e+03, 1.402481506194392701e-11, 3.254051796755756927e-12, 2.174261184688985365e-12, 2.146017624397098881e-10, 3.662395482636063741e-12, 5.971337870408942122e-11, 1.144571689236446788e-11, 2.460445350734427154e-12
1.910000000000000000e+03, 1.367609075406332137e-11, 3.378638168227330686e-12, 2.257836442882606381e-12, 3.190731962237152615e-10, 4.607118736842937825e-12, 6.129823987710581793e-11, 9.853884983298912101e-12, 2.552531702212728335e-12
1.911000000000000000e+03, 1.244357438466837191e-11, 3.504719971979105323e-12, 2.350370122929350319e-12, 2.587081497266814916e-10, 5.945340340259547207e-12, 6.137749872379720367e-11, 1.044689924792918910e-11, 2.632209860264529522e-12
1.912000000000000000e+03, 1.238350522823152008e-11, 3.670505104430502425e-12, 2.458115615701406997e-12, 3.309602632697603128e-10, 6.574511986561542147e-12, 7.389944493584091926e-11, 7.922400905224167365e-12, 2.750734220077484473e-12
1.913000000000000000e+03, 1.166372188469535708e-11, 3.834721881398535180e-12, 2.575645698962027047e-12, 2.600580696952415000e-10, 5.991270863395825162e-12, 6.765621094289526887e-11, 7.722126352663920469e-12, 2.877131137643219911e-12
1.914000000000000000e+03, 1.333439184480500480e-11, 4.016577163070431318e-12, 2.697088569803711327e-12, 3.694166758535675988e-10, 5.478584099330351463e-12, 7.144882410961855878e-11, 1.099196052290591538e-11, 3.000253743512241922e-12
1.915000000000000000e+03, 1.315726463899404921e-11, 4.163273248860697796e-12, 2.816393268373321767e-12, 3.648250321295317245e-10, 5.785608358182736261e-12, 7.965999802116603797e-11, 9.662813791942946878e-12, 3.127274752780957569e-12
1.916000000000000000e+03, 1.364515198024356071e-11, 4.318590002897527735e-12, 2.931905204906334390e-12, 3.865738171614786472e-10, 5.704136221160201958e-12, 5.979751682858518175e-11, 1.142158478826980811e-11, 3.253648899154221300e-12
1.917000000000000000e+03, 1.453699314478460043e-11, 4.477225356513925790e-12, 3.045681477693141390e-12, 2.797798019769298464e-10, 7.143760567120578160e-12, 7.018967614766149665e-11, 1.094713782191061743e-11, 3.366749305310568162e-12
1.918000000000000000e+03, 1.796785693440596443e-11, 4.654000631242869123e-12, 3.165854860982765636e-12, 3.869383699812917462e-10, 7.017443992277805229e-12, 7.282684392864990391e-11, 1.505781144847766058e-11, 3.499071105048737846e-12
1.919000000000000000e+03, 2.217724769280471989e-11, 4.847278040434071832e-12, 3.300871700146466728e-12, 3.244773058126092982e-10, 7.337890821608992889e-12, 7.213039802752794813e-11, 1.294850020361666600e-11, 3.646952031263979359e-12
1.920000000000000000e+03, 1.599104698073772426e-11, 5.060004673057258208e-12, 3.441640953396562738e-12, 3.755121094735362663e-10, 8.753579043607608208e-12, 7.704275151571707941e-11, 2.089882572549471224e-11, 3.772641826198935503e-12
1.921000000000000000e+03, 1.349821876633397154e-11, 5.184199464118097510e-12, 3.538730413079144815e-12, 2.936778552720637586e-10, 1.106734485067063259e-11, 7.480286961701976303e-11, 1.511716038815750155e-11, 3.876529104497352039e-12
1.922000000000000000e+03, 1.505590224794485258e-11, 5.301899702940150565e-12, 3.641088494472820880e-12, 4.474284124096363965e-10, 1.303078805140101792e-11, 8.593622402627662709e-11, 1.671526511550900814e-11, 4.002004753724617015e-12
1.923000000000000000e+03, 1.668639651125508477e-11, 5.407091641903168705e-12, 3.732796367789089296e-12, 3.876547008565452134e-10, 1.323305065698949767e-11, 9.725201941852418909e-11, 2.021344664924177401e-11, 4.076581717782720483e-12
1.924000000000000000e+03, 1.437141372574628229e-11, 5.525308846323206970e-12, 3.819505749336634389e-12, 4.770874963459168051e-10, 1.238485831199995279e-11, 1.003231027358302266e-10, 1.483877958895473854e-11, 4.137329527503011608e-12
1.925000000000000000e+03, 1.758643382988702790e-11, 5.653675623242262299e-12, 3.916957530461727463e-12, 4.284829617091172270e-10, 1.416363482268116703e-11, 1.078901256485096677e-10, 1.543477917935969633e-11, 4.240201972682845744e-12
1.926000000000000000e+03, 2.026790373250310556e-11, 5.785365592848018204e-12, 4.012840933609717709e-12, 4.574584065026875976e-10, 1.313751270446353906e-11, 1.102714188800758808e-10, 2.005911810006451158e-11, 4.362119030326579712e-12
1.927000000000000000e+03, 2.086947957647401223e-11, 5.937374888728200609e-12, 4.119780221442806882e-12, 4.538940363531404118e-10, 1.374966494367697630e-11, 1.009775644365157583e-10, 1.734109839621113069e-11, 4.484804570087256253e-12
1.928000000000000000e+03, 2.028010719273127366e-11, 6.079315252448050387e-12, 4.231957087010408041e-12, 5.272925469789349143e-10, 1.726428327966462202e-11, 1.238892391136555515e-10, 1.510952527577069791e-11, 4.553300385146731557e-12
1.929000000000000000e+03, 1.742997443119861891e-11, 6.217231720039901466e-12, 4.331463040105721863e-12, 3.959958873806505137e-10, 1.515751179778822318e-11, 1.273923436612276840e-10, 2.100110270335122066e-11, 4.661973169582296558e-12
1.930000000000000000e+03, 2.061594995446000477e-11, 6.349050276448736211e-12, 4.465588322748691043e-12, 5.168246444420122814e-10, 1.418204408369833037e-11, 1.163055513227596396e-10, 2.809046276766332785e-11, 4.806657694954062881e-12
1.931000000000000000e+03, 3.082748957091442662e-11, 6.496689426870742796e-12, 4.570046273946185804e-12, 4.771728854356163132e-10, 1.790481770098062900e-11, 1.277838409467539036e-10, 1.845383541092240848e-11, 4.904104233410556475e-12
1.932000000000000000e+03, 3.027033843850953955e-11, 6.686598680963023307e-12, 4.680023004847927653e-12, 5.462580563358887835e-10, 1.838219958349594897e-11, 1.428667386003809082e-10, 1.214300455728671203e-11, 5.005646002321227424e-12
1.933000000000000000e+03, 3.632256080761593140e-11, 6.785019490259397186e-12, 4.773675935774151053e-12, 4.748203346145237672e-10, 1.721426497639897107e-11, 1.450973536637796246e-10, 2.218216512972654859e-11, 5.128747613659303087e-12
1.934000000000000000e+03, 3.428884924609761231e-11, 6.898098250333069504e-12, 4.867800058958952438e-12, 6.033982742224156615e-10, 1.816755305087147175e-11, 1.165238064967422643e-10, 3.581064995389768056e-11, 5.237292144934482669e-12
1.935000000000000000e+03, 2.459594814952730482e-11, 7.045867572746436853e-12, 4.999065700598429595e-12, 4.203203194132086002e-10, 1.836381932702115001e-11, 1.309676618972206332e-10, 2.346479649775245530e-11, 5.408382162951972678e-12
1.936000000000000000e+03, 2.082110169678172617e-11, 7.148481219357486558e-12, 5.106402874339225039e-12, 6.026516708132134375e-10, 2.346446030542839391e-11, 1.276312294208148838e-10, 1.994382547263764009e-11, 5.516495500983940626e-12
1.937000000000000000e+03, 2.179069040194908082e-11, 7.267331978654226889e-12, 5.223048431412520944e-12, 5.977501777633306147e-10, 3.348837042219809133e-11, 1.519215606512428630e-10, 3.287324200615796155e-11, 5.588217296224436127e-12
1.938000000000000000e+03, 2.393077826846082641e-11, 7.401707017679852923e-12, 5.326525014958986900e-12, 6.392950945226415366e-10, 4.042526487142069633e-11, 1.277439165034287917e-10, 3.302767948696293177e-11, 5.674522402378110041e-12
1.939000000000000000e+03, 2.667426572763527743e-11, 7.531292309516879380e-12, 5.424465472771829906e-12, 4.696750132760400034e-10, 4.517510096732084232e-11, 1.432590359330324051e-10, 2.517975740667491724e-11, 5.772501075926312337e-12
1.940000000000000000e+03, 3.057856726404423863e-11, 7.670140521758257138e-12, 5.515257589278022595e-12, 6.009172066555190581e-10, 2.624072691144211884e-11, 1.563110662699655495e-10, 2.992195521138479325e-11, 5.849213001227878522e-12
1.941000000000000000e+03, 2.885658400383727804e-11, 7.844632326554351531e-12, 5.823768457523975728e-12, 4.956365352485141401e-10, 2.721259443987895630e-11, 1.563265957029847398e-10, 2.691944759892147623e-11, 6.145396349518104649e-12
1.942000000000000000e+03, 2.221963831141973227e-11, 8.014626467284995615e-12, 5.985825677204984096e-12, 8.089816328976114676e-10, 2.463886514613464077e-11, 1.554196729983802802e-10, 1.826666021274905988e-11, 6.322284968969313366e-12
1.943000000000000000e+03, 2.594124505521277865e-11, 8.150219967352968042e-12, 6.085568909334251424e-12, 5.159547189983064022e-10, 3.953455946178764524e-11, 1.512723521836021709e-10, 2.641299345875767790e-11, 6.419142010874281519e-12
1.944000000000000000e+03, 3.231423028214033562e-11, 8.277125386191286832e-12, 6.207010413120065230e-12, 6.787405459129764300e-10, 3.509029571629442205e-11, 1.783267593917527022e-10, 1.964590702290748805e-11, 6.492200027686945322e-12
1.945000000000000000e+03, 4.373893523265864304e-11, 8.408434241136670049e-12, 6.345193005559159458e-12, 6.313120371206965294e-10, 5.973503632143117629e-11, 1.813093197728176498e-10, 3.172415866953488761e-11, 6.604471751779737077e-12
1.946000000000000000e+03, 3.614745386077561199e-11, 8.564367321748366602e-12, 6.493142986960767548e-12, 6.964641323832396784e-10, 4.183103177270336326e-11, 1.885781603836784544e-10, 3.680738589467700874e-11, 6.736002626499331377e-12
1.947000000000000000e+03, 3.312572222381525886e-11, 8.758119842422898927e-12, 6.638453932703674505e-12, 6.579395582196821312e-10, 3.975612255981029047e-11, 1.970454708981809266e-10, 4.540790034818774362e-11, 6.855133111651293176e-12
1.948000000000000000e+03, 3.566318192449382707e-11, 8.902013119497128608e-12, 6.780488875008456868e-12, 8.881897820247031818e-10, 4.100258237550393002e-11, 2.006765662254659059e-10, 4.219795206154273587e-11, 6.900562545235418760e-12
1.949000000000000000e+03, 5.691431889765382734e-11, 9.064437168639225530e-12, 6.919056238081958369e-12, 6.868883773648958179e-10, 5.971542502501875342e-11, 1.674034380969018749e-10, 3.582527017058621088e-11, 6.994884299608089496e-12
1.950000000000000000e+03, 6.281872752925236492e-11, 9.626482530365974995e-12, 6.653983855142357390e-12, 6.709714249567981655e-10, 9.404228799346488057e-11, 1.860111132102109199e-10, 3.007935135316932619e-11, 9.761214332493373672e-12
1.951000000000000000e+03, 5.474571360292091595e-11, 9.678799537085165340e-12, 6.937435721570015142e-12, 7.158629806052368727e-10, 7.725132084795402988e-11, 2.257012439544729104e-10, 2.872351419765729673e-11, 1.019286836548087159e-11
1.952000000000000000e+03, 4.542712190760495748e-11, 9.986678020820679733e-12, 7.189634235255367005e-12, 8.772166314417980147e-10, 7.807977059967028468e-11, 1.652531775017863355e-10, 1.947708175127955212e-11, 1.047800870340553303e-11
1.953000000000000000e+03, 3.993903338152244357e-11, 1.025602950892131818e-11, 7.401666267146816507e-12, 7.117169550613245653e-10, 6.739893539823088741e-11, 1.976933463462578533e-10, 3.932784317032535152e-11, 1.077153235102875377e-11
1.954000000000000000e+03, 4.356503366890019680e-11, 1.052836921602384257e-11, 7.620679566725664627e-12, 9.485138635018603295e-10, 4.832950718783773982e-11, 2.428205786473034729e-10, 4.076583689072936291e-11, 1.105701802496217117e-11
1.955000000000000000e+03, 4.492783587592387570e-11, 1.081860562277715888e-11, 7.876079144874830540e-12, 6.914204566165600400e-10, 7.175875178920605838e-11, 2.980173791064084506e-10, 3.785459318954475936e-11, 1.127660030693707509e-11
1.956000000000000000e+03, 4.645577898295649279e-11, 1.108808479076858206e-11, 8.139226751539895247e-12, 8.001004191857892355e-10, 7.230433567306065687e-11, 2.660797160401391375e-10, 4.023180842314466529e-11, 1.145818573707513939e-11
1.957000000000000000e+03, 5.287620124424398487e-11, 1.132663956263208681e-11, 8.359088926361273387e-12, 8.639545654062655878e-10, 6.338696953276934054e-11, 2.599793514966405422e-10, 2.917784337448637529e-11, 1.170882771257224158e-11
1.958000000000000000e+03, 5.299008322189976076e-11, 1.159518267260773329e-11, 8.584103633799581908e-12, 8.611604622084186216e-10, 6.782736333250544488e-11, 2.183571355113145514e-10, 4.083583431394273724e-11, 1.201369672082536619e-11
1.959000000000000000e+03, 6.584878682743545636e-11, 1.195347682826485710e-11, 8.870998735292375451e-12, 8.894592265767511163e-10, 9.942619589304319519e-11, 2.937008879943040600e-10, 5.774821587137173958e-11, 1.232248361185518796e-11
1.960000000000000000e+03, 6.943712448143179762e-11, 1.198273678914450014e-11, 9.195229420020517569e-12, 9.726189774819895302e-10, 6.804069732866840337e-11, 3.191648105362283469e-10, 8.468234942886792261e-11, 1.053449736170752471e-11
1.961000000000000000e+03, 7.245551106878392059e-11, 1.214523700573155864e-11, 9.412471282246584124e-12, 8.868667179153761552e-10, 6.785022329335184596e-11, 3.184106417410927635e-10, 6.226055646816348048e-11, 9.918075018414728748e-12
1.962000000000000000e+03, 7.076432209599647847e-11, 1.283061296911484753e-11, 1.003454951427450962e-11, 9.906488017306733066e-10, 7.630580673639763250e-11, 2.547879374983443155e-10, 4.380308382468715021e-11, 1.022919483612356411e-11
1.963000000000000000e+03, 9.652858294409000084e-11, 1.212480137819011996e-11, 9.515643643811329218e-12, 9.647636588738602402e-10, 7.460026308729219834e-11, 2.402581902424913648e-10, 6.197454024130328389e-11, 9.584130348064990769e-12
1.964000000000000000e+03, 9.780872706105054785e-11, 1.259864063871514739e-11, 9.922254567637313703e-12, 9.093199166778869168e-10, 1.180144369288977877e-10, 3.337086676417610116e-10, 4.975652347514359510e-11, 9.891672795992722308e-12
1.965000000000000000e+03, 7.744989911818657196e-11, 1.325534505278170584e-11, 1.044394590090638295e-11, 9.038106630535033664e-10, 8.907836088454584744e-11, 3.531572502911781746e-10, 5.600255920598853355e-11, 1.037908300773007023e-11
1.966000000000000000e+03, 8.147841432159886681e-11, 1.327732720499035633e-11, 1.045773103976661978e-11, 8.696005851080611134e-10, 1.080908836026468532e-10, 3.573101429942203503e-10, 5.012273631397628600e-11, 1.038420606619028534e-11
1.967000000000000000e+03, 7.272740702048720842e-11, 1.325717475948100247e-11, 1.047418804954673199e-11, 8.720470540555202286e-10, 1.710700659942066690e-10, 3.319459534304141370e-10, 3.806986940215001658e-11, 1.037182548287147985e-11
1.968000000000000000e+03, 5.870270558161703480e-11, 1.348876890462250848e-11, 1.089178413997898298e-11, 9.364707898541847846e-10, 1.120918018191706317e-10, 3.697035011313323433e-10, 5.343359632584229356e-11, 1.058361519243369184e-11
