year, MPI-ESM1-2-LR, NorESM2-MM, NorESM2-LM, EC-Earth3-Veg, UKESM1-0-LL, IPSL-CM6A-LR, CESM2-WACCM, TaiESM1
1.850000000000000000e+03, 2.229736526425742178e-13, 4.966075681885304240e-17, 4.337569248387058713e-17, 2.746223532265147111e-11, 4.465948841952348832e-15, 1.448066854870629791e-12, 1.898413797159512625e-13, 3.295157446218691577e-19
1.851000000000000000e+03, 3.406760198939157556e-13, 6.872459129292561188e-15, 4.159312090543789188e-15, 2.567748043596732360e-11, 4.304087043458082054e-15, 1.369692977065431916e-12, 2.144894802182473895e-13, 5.883045340878942575e-15
1.852000000000000000e+03, 2.972209934820294161e-13, 1.488069462600940983e-14, 8.890380334854900725e-15, 2.657994256539290808e-11, 2.279659053629117344e-15, 1.911657149292704360e-12, 5.852048690255467200e-13, 1.271046405823813786e-14
1.853000000000000000e+03, 3.147263092460651435e-13, 2.398107923278097028e-14, 1.433050907754332976e-14, 2.668471948015229792e-11, 2.838737088971006075e-15, 2.191113710118333419e-12, 6.099812989480707548e-13, 2.036633175731489126e-14
1.854000000000000000e+03, 3.650917489444188995e-13, 3.415752345931508956e-14, 2.037719126910339634e-14, 3.221042299929450834e-11, 4.083053288009112441e-15, 2.435110189029319848e-12, 4.473781826601955406e-13, 2.860148307547539412e-14
1.855000000000000000e+03, 4.749931553399022889e-13, 4.551941141677083257e-14, 2.707126723893686863e-14, 4.239542085017406497e-11, 7.344112066607044322e-15, 2.139385225960818653e-12, 6.173682840516202856e-13, 3.790229856752171701e-14
1.856000000000000000e+03, 4.547265811347317633e-13, 5.786262972264619813e-14, 3.436750960934479884e-14, 2.757797967957318535e-11, 4.242314319341106407e-15, 2.762151485967189441e-12, 5.092956456931261908e-13, 4.844767367411377901e-14
1.857000000000000000e+03, 5.163514431141154473e-13, 7.147965713668676892e-14, 4.238630621625654159e-14, 3.351260640367327126e-11, 2.536907198700323408e-15, 2.939685941549236552e-12, 7.569392782230159458e-13, 5.984123028461900135e-14
1.858000000000000000e+03, 3.956394267958414112e-13, 8.621368417617475230e-14, 5.125937399858614649e-14, 3.678629465854188203e-11, 3.307797349527031258e-15, 2.879961557191926546e-12, 4.457462313167232835e-13, 7.208114492075660867e-14
1.859000000000000000e+03, 7.654595165166950204e-13, 1.026802229945039762e-13, 6.068437585236028383e-14, 3.719165316172306452e-11, 3.189180696886082567e-15, 3.929611240053263569e-12, 7.732716517568796589e-13, 8.563607899988387411e-14
1.860000000000000000e+03, 8.469043471133566992e-13, 1.202027909639140856e-13, 7.098062464624766992e-14, 3.675343942475309933e-11, 5.329100809619076039e-15, 3.502698942353516779e-12, 4.309759536879601051e-13, 1.001663619223324559e-13
1.861000000000000000e+03, 9.759002822709453209e-13, 1.389930742296731653e-13, 8.171048111958932674e-14, 4.858152752366815912e-11, 6.383159490862232329e-15, 4.036630315824268554e-12, 1.228445054329906856e-12, 1.153724559752981566e-13
1.862000000000000000e+03, 7.605853557027441311e-13, 1.608122625449219474e-13, 9.316560399492807084e-14, 3.786474635413512809e-11, 2.501974029701670133e-15, 4.332360776664769214e-12, 1.086749763401773738e-12, 1.267566148651292380e-13
1.863000000000000000e+03, 8.080535031868947363e-13, 1.818813004365004897e-13, 1.042518475955666200e-13, 5.089655123729666863e-11, 3.411406442170178636e-15, 5.781399500972766114e-12, 1.501483812882012807e-12, 1.420745767522200742e-13
1.864000000000000000e+03, 7.125040247014960880e-13, 2.056767155692268124e-13, 1.167917364822041562e-13, 3.941935882653460613e-11, 2.705091687140908183e-15, 4.857391397737278702e-12, 9.829326823451928522e-13, 1.595859297061019991e-13
1.865000000000000000e+03, 5.996521374608973352e-13, 2.318115368944900367e-13, 1.306852443712450047e-13, 4.989846155939504863e-11, 8.275821507235080558e-15, 5.391171245331627139e-12, 6.970178308407846560e-13, 1.782980787811646144e-13
