year, CanESM5, MPI-ESM1-2-LR, CESM2-WACCM, MIROC-ES2L, UKESM1-0-LL, INM-CM5-0, ACCESS-ESM1-5, CMCC-CM2-SR5, EC-Earth3-Veg, CNRM-ESM2-1, GFDL-ESM4, NorESM2-LM, INM-CM4-8, IPSL-CM6A-LR, TaiESM1, NorESM2-MM
1.850000000000000000e+03, -1.733669698963386241e-01, 1.295469594274696046e-01, -1.315012655935541008e-01, 6.183219580147011202e-02, 8.526835165136882611e-02, 1.111354898757073578e-01, 1.791028669921231053e-02, -2.156097020806583275e-01, -1.010895793944965648e+00, 1.650355518873720950e-01, -1.727658878560578426e-01, -6.970763446919850392e-02, -6.469852794341551805e-01, 5.153127494851877238e-02, 1.971102203767623462e-01, -3.042479155459866177e-02
1.851000000000000000e+03, -3.842697303301041423e-01, 1.271718856085901350e-01, 1.410696419492804554e-01, -1.922036691258939833e-01, 6.592347421635245952e-02, 2.389798450195299018e-02, 3.935700622998550974e-02, -2.335828953310098988e-01, -3.069292751536354946e-01, 5.580908310517045112e-02, 6.637013506380838868e-01, -6.542022199223253287e-02, -1.787334365864742536e-01, -2.874578521543719525e-02, -4.336895736068624996e-01, -1.383790100204614903e-01
1.852000000000000000e+03, 1.176595059900461121e-01, 5.659278460590125293e-02, 1.606343911964112914e-01, -1.127558956554391006e-01, -4.639130364254918093e-01, 3.010606264307664759e-01, 2.293206934261167174e-01, 7.696526111861479169e-01, -4.870203780120508363e-01, -4.622078013803070096e-02, -6.495125635034039446e-02, 7.896339035139170182e-02, -3.569902346210239719e-01, -4.366723693482115615e-02, 3.713616683813072417e-01, -2.287226396853791685e-02
1.853000000000000000e+03, -2.582951858392728561e-01, -1.890662380401665343e-01, 2.531581230274939850e-02, 3.332863631029978069e-02, -6.774896513893489958e-02, -1.507727521460188735e-01, 5.670324965040816206e-02, -1.386111225070711661e-01, 1.955411703611580898e-01, -6.841445383662758672e-02, -5.836645976232688326e-01, 8.099766290872313754e-05, -7.775588705057996305e-03, -8.602651780988600227e-02, -4.132394950573348158e-01, 9.271333644818245678e-02
1.854000000000000000e+03, -4.284672339609311292e-02, -1.989945475947712261e-01, -7.633612519481848546e-02, 1.150315984625913390e-01, 1.298680560132838557e-01, -1.938724294731532516e-01, -1.622685031808830947e-01, -1.544909081079630375e-01, 1.739673394204897194e+00, -1.625473002368978404e-01, 2.456252730295344355e-01, -5.078507189566074109e-02, 3.990610352384686699e-02, 4.758929707429784134e-02, -2.764413102505252490e-02, -1.129724673188238354e-01
1.855000000000000000e+03, 8.786908042285389298e-02, 3.910836216934744369e-01, 2.336621469090980133e-02, -3.171294137338630248e-02, 3.649500670596829699e-01, -4.698575439859157821e-01, -9.611166250886318818e-02, 2.378076177701865801e-01, -1.070784843671679809e+00, 1.204756658074252196e-01, 2.935981811342357473e-01, 1.015005265074657437e-01, -4.090743171795239719e-01, 1.294836623301301448e-01, 7.158806349118845835e-01, 7.422774180494444429e-02
1.856000000000000000e+03, 5.795806475770448607e-01, 3.180460330490764154e-02, -1.194095202108858556e-01, -2.591902384420501429e-02, -1.841214462912384997e-01, -4.453433906062162495e-03, -2.263663885226428196e-01, -3.226809358226913060e-01, -9.472083214416552321e-01, -9.058776017311567785e-02, -3.220855219842316819e-01, 5.316771197463076443e-02, -2.905856991171375525e-01, -3.238121088162959627e-01, 2.207657324102890173e-01, 1.949604423794664212e-02
1.857000000000000000e+03, -9.720877549265050099e-02, -2.961502565032235468e-02, -7.730989472604989088e-02, -6.214414304710736553e-02, -2.174297654976959648e-01, -2.867496200094491465e-01, 2.493734404211487288e-01, -1.743019479185531073e-01, 3.761848235598476697e-01, 1.736793466766926586e-01, -3.964978852783441338e-02, -1.007557408524570319e-01, -1.708856241125155662e-01, 4.224202881691427325e-02, -6.126114443034601509e-01, 1.032894781216372182e-01
1.858000000000000000e+03, -2.317534469325618351e-01, 2.665496463124680804e-02, 8.589546973754405568e-02, -1.081072571315807272e-02, -6.414833874702828564e-02, 5.722562184854069339e-02, 4.447933570798097147e-01, 3.194628932182951297e-01, 1.078703049686534354e-01, 1.127458888868008435e-01, -2.179763359269457079e-01, -3.407559230791006033e-02, 3.473457162583200586e-01, 4.627306504846413482e-01, -5.448468411020252616e-02, -2.181483099070465059e-02
1.859000000000000000e+03, -1.502606262678697069e-01, 3.467654292281415612e-02, -4.766731041563885413e-02, 8.320086382496531818e-02, 9.589739995280259499e-02, -9.153787203622994195e-02, 3.603731023402476641e-01, 1.544595246700525004e-01, -4.113851138207264002e-01, -3.528772226509455656e-01, -9.204770709386962679e-02, 1.315472261715323055e-01, -4.054587884669228481e-01, -2.234841075841899338e-01, 7.519660711164904976e-01, 8.999427122716374683e-02
