year, CMCC-ESM2, MIROC-ES2L, IPSL-CM6A-LR, CNRM-ESM2-1, MPI-ESM1-2-LR, CESM2-WACCM, ACCESS-ESM1-5, UKESM1-0-LL
1.850000000000000000e+03, 1.383361525302563015e-13, 8.818229632226160837e-12, 7.998549889935408765e-12, 0.000000000000000000e+00, 7.575980895883451177e-13, 1.898520231631086313e-13, 0.000000000000000000e+00, 6.427444445822844403e-15
1.851000000000000000e+03, 3.791105362283820141e-13, 1.001819328675723142e-11, 1.030804629507237136e-11, 0.000000000000000000e+00, 1.267287921662349815e-12, 8.878327669483140378e-13, 2.317021070466906427e-12, 1.276430386907623959e-14
1.852000000000000000e+03, 5.725057986750198834e-13, 1.063129165569408412e-11, 1.142318348719618944e-11, 8.869426100616157315e-15, 1.294509740604254706e-12, 1.800528958514192262e-12, 3.576326412130205351e-12, 1.204511951206291985e-14
1.853000000000000000e+03, 7.277365175646294792e-13, 1.122067664637038225e-11, 1.238531421920784777e-11, 2.038776252114964262e-14, 1.354456274498100627e-12, 2.264438307168613983e-12, 4.002101024962593773e-12, 1.126280928784610032e-14
1.854000000000000000e+03, 8.534125840543253139e-13, 1.181387424829553584e-11, 1.241930828744046979e-11, 2.743074270598227777e-14, 1.450881437494767916e-12, 2.458352796172577066e-12, 4.306715354342847447e-12, 1.083296628901426196e-14
1.855000000000000000e+03, 9.560530754480401861e-13, 1.226346535838633529e-11, 1.247255815618683121e-11, 3.450648999452206502e-14, 1.597692098209767727e-12, 2.917285755723497274e-12, 4.566025224781216941e-12, 1.463979983805854961e-14
1.856000000000000000e+03, 1.039629531531892102e-12, 1.256524391457868602e-11, 1.364573802760687469e-11, 4.357279450635016872e-14, 1.598296889802399060e-12, 3.044391349724386174e-12, 4.774889896541372477e-12, 1.417589967169527542e-14
1.857000000000000000e+03, 1.107889716802437657e-12, 1.293054851359642832e-11, 1.364732521343771690e-11, 5.259224928685511798e-14, 1.673310354644194509e-12, 3.481563714229688059e-12, 4.966227242962458785e-12, 9.874076757765940687e-15
1.858000000000000000e+03, 1.164356682910553368e-12, 1.331168334428549503e-11, 1.364367741524882983e-11, 6.027937996938660005e-14, 1.550750218366016495e-12, 3.322421551545071178e-12, 5.145235737957043500e-12, 7.625262290242894179e-15
1.859000000000000000e+03, 1.212216011438343753e-12, 1.367993137759339039e-11, 1.495161409742226801e-11, 7.130024293390269229e-14, 1.966982729721506671e-12, 3.776506556979921320e-12, 5.310790662899118089e-12, 7.075447852813300267e-15
1.860000000000000000e+03, 1.302354269284886205e-12, 1.616045500240571580e-11, 1.469746263496205253e-11, 7.919421221066062237e-14, 2.499205717304387135e-12, 3.540621860351452257e-12, 6.033187673288837896e-12, 1.599189430938305518e-14
1.861000000000000000e+03, 1.422592853694736834e-12, 1.687357714461447992e-11, 1.519525171310083371e-11, 7.560983394570753554e-14, 2.928394709375276465e-12, 4.757807556965015146e-12, 6.715871979671953730e-12, 1.656476838518960731e-14
1.862000000000000000e+03, 1.521036962172801411e-12, 1.729099852337334578e-11, 1.575947783450621544e-11, 8.141519244764643140e-14, 2.741848713171354950e-12, 4.960988050134663159e-12, 7.145630645936673644e-12, 2.358768210345538860e-14
