year, MIROC-ES2L, CESM2-WACCM, TaiESM1, NorESM2-MM, CanESM5, UKESM1-0-LL, EC-Earth3-Veg, NorESM2-LM, ACCESS-ESM1-5, CNRM-ESM2-1, CMCC-CM2-SR5, GFDL-ESM4, IPSL-CM6A-LR, MPI-ESM1-2-LR
1.850000000000000000e+03, 5.318028186607138608e+00, 3.873866015777412741e+00, 1.694017306760961850e+00, 3.537612254944574541e+00, 3.223898690848852944e+00, 5.133791193923483931e+00, 1.700353466741230779e+00, 3.033982024064305616e+00, 2.566194568544123200e+00, 4.424448762307251926e+00, 3.797772676398940561e+00, 4.965974093128007638e+00, 1.557056902424416300e+00, 4.759289696378988133e+00
1.851000000000000000e+03, 5.312121407999058853e+00, 3.704777618126193772e+00, 1.679463362553728967e+00, 3.571017820972698598e+00, 3.067101055575781388e+00, 5.062502508498458731e+00, 1.813229593854085664e+00, 3.142893070343299122e+00, 2.577231810764311959e+00, 4.641962678874869574e+00, 4.088717773341022266e+00, 4.802206733789104121e+00, 1.574888139351581895e+00, 4.379384301519709588e+00
1.852000000000000000e+03, 5.268641219045445467e+00, 3.870578979668827468e+00, 1.696572825782124205e+00, 3.484285754829056003e+00, 3.195746936096643953e+00, 5.152613838987111450e+00, 1.771353740021507805e+00, 3.136387834446235701e+00, 2.541038381366267362e+00, 4.415548499379660541e+00, 4.026158750842702361e+00, 4.900685460171448682e+00, 1.597988105716122487e+00, 4.419268276041607990e+00
1.853000000000000000e+03, 5.208497957544686585e+00, 3.789345819480161026e+00, 1.632713037252480737e+00, 3.343194044198420922e+00, 3.022409343334843346e+00, 5.072836576831538657e+00, 2.176335821245788615e+00, 3.323702218899524663e+00, 2.571300571225486831e+00, 4.434561300754345403e+00, 4.152711465097200794e+00, 5.159901699100176486e+00, 1.612050649444624728e+00, 4.636671069740052609e+00
1.854000000000000000e+03, 5.255328424877017568e+00, 3.532479777682141719e+00, 1.629598283901362965e+00, 3.415379526070419391e+00, 2.909189001805450481e+00, 5.038482523430468873e+00, 2.232267469687123196e+00, 3.236261561814901544e+00, 2.580380534503757595e+00, 4.400150229813128533e+00, 4.129767233725831765e+00, 4.947273426676734864e+00, 1.575753134513129039e+00, 4.778796706795703564e+00
1.855000000000000000e+03, 5.232069583626614673e+00, 3.812825667361339210e+00, 1.715085424806564118e+00, 3.507398485741235028e+00, 2.962796698016266106e+00, 4.819346095942114161e+00, 2.001070921838023153e+00, 3.143665070689717123e+00, 2.533200118563391889e+00, 4.174917703807153657e+00, 4.183223827497041469e+00, 4.843316767342120244e+00, 1.571485173918053757e+00, 4.717307353609199616e+00
1.856000000000000000e+03, 5.204888228880879097e+00, 3.988938590051447353e+00, 1.685310370611329045e+00, 3.410203899885528855e+00, 2.983539730584662486e+00, 5.082195762418853846e+00, 1.999293660235575532e+00, 3.215733711325174937e+00, 2.550468004798329247e+00, 4.261081654656640794e+00, 4.153386311623792793e+00, 4.957878467609567963e+00, 1.599871201071275895e+00, 4.437792069045605636e+00
1.857000000000000000e+03, 5.256712428242068746e+00, 3.635738487390107299e+00, 1.679838442544140831e+00, 3.570158528843837775e+00, 2.875318146530172925e+00, 5.207118979026269301e+00, 2.075085537469592012e+00, 3.228984649658020345e+00, 2.576312355762643502e+00, 4.277755638528527804e+00, 4.284257928469727084e+00, 4.920315601207311929e+00, 1.587974130737647149e+00, 4.622692828256700359e+00
1.858000000000000000e+03, 5.300005556004287577e+00, 3.455016781255803693e+00, 1.705566488159345750e+00, 3.701270380762206269e+00, 3.039324522522221184e+00, 5.158685512448749400e+00, 2.188157868815940876e+00, 3.388866053168823722e+00, 2.538697633244205498e+00, 4.371109288098448786e+00, 4.301467672776095874e+00, 4.987598947016595119e+00, 1.639607030745410698e+00, 4.781954877599100762e+00
1.859000000000000000e+03, 5.260124038938602808e+00, 3.693178036319084701e+00, 1.690399962534688383e+00, 3.535230081104735689e+00, 3.178092917169750287e+00, 5.091291587588086642e+00, 2.166995260153676384e+00, 3.073545431771859349e+00, 2.565667061085215472e+00, 4.441356520538012553e+00, 4.246310216444565633e+00, 5.015183753858786453e+00, 1.620825316617769296e+00, 4.642526326792581592e+00
1.860000000000000000e+03, 5.261223609339002572e+00, 3.766805173066220647e+00, 1.659547400086168967e+00, 3.453790777344484919e+00, 3.044282214698037503e+00, 5.120805803586853777e+00, 1.979763865187570193e+00, 3.105363965364251300e+00, 2.516303169104242343e+00, 4.348887180236382655e+00, 4.227220598741205926e+00, 4.823012119376400619e+00, 1.590396210039489944e+00, 4.592214805615434159e+00
1.861000000000000000e+03, 5.421449816808046940e+00, 3.782315748146181988e+00, 1.723892944314797449e+00, 3.463423716938001551e+00, 3.041582451365711925e+00, 5.301686739923692215e+00, 2.179223916858464616e+00, 3.091382621433862443e+00, 2.555129418054188584e+00, 4.390972260847270547e+00, 4.072593931461218730e+00, 4.908186791895630563e+00, 1.659195162300766135e+00, 4.595509800352416185e+00
1.862000000000000000e+03, 5.403876170690297798e+00, 3.612329483143574826e+00, 1.652311361226498798e+00, 3.438058680519719523e+00, 3.161864598614326116e+00, 5.144946227033144304e+00, 1.765614413803962002e+00, 3.073335019782661881e+00, 2.550948419607180551e+00, 4.446911733500589214e+00, 4.176859720208470073e+00, 4.713183708175053610e+00, 1.608005323078619320e+00, 4.607830604505551264e+00
1.863000000000000000e+03, 5.366917276095940714e+00, 3.707187847852816631e+00, 1.663628302753585420e+00, 3.585495251000063277e+00, 3.046506851940911531e+00, 5.245234826401034667e+00, 2.043113952371527819e+00, 3.222567612562484030e+00, 2.571717233856886775e+00, 4.513888714304447269e+00, 4.338862586795655396e+00, 4.829545473930697774e+00, 1.640613613190560205e+00, 4.748526826780262056e+00
1.864000000000000000e+03, 5.326330185112980509e+00, 3.744014030973215945e+00, 1.689266201515356558e+00, 3.614550122640189045e+00, 3.028336821038864812e+00, 5.149661406836459676e+00, 2.241550083895208267e+00, 3.261671529936711167e+00, 2.562274262543322134e+00, 4.157539359432205650e+00, 4.244215053139961391e+00, 5.012277104746725165e+00, 1.623292708968051556e+00, 4.707030826183219219e+00
1.865000000000000000e+03, 5.423268072797906569e+00, 3.635172255597479030e+00, 1.717288259709528697e+00, 3.508851830581011466e+00, 3.046603723743874337e+00, 5.113681287192525460e+00, 2.273453107785118554e+00, 3.085295785865917129e+00, 2.602228609899860601e+00, 4.287984867041381598e+00, 4.220610549118856802e+00, 4.964421488024714613e+00, 1.648013293388748579e+00, 4.816159349835467118e+00
1.866000000000000000e+03, 5.447052537467357070e+00, 3.760596393390646774e+00, 1.664258297257001029e+00, 3.504927294332776722e+00, 3.175896267099380665e+00, 5.345626482085986453e+00, 1.763559945639420867e+00, 2.997132216793546355e+00, 2.609223131268093798e+00, 4.252128120291592595e+00, 4.316862577876924512e+00, 5.055220722670427769e+00, 1.673971572198510227e+00, 4.629546985278885529e+00
1.867000000000000000e+03, 5.393907371833536857e+00, 3.726701691620466939e+00, 1.733867036723802935e+00, 3.515885879847738149e+00, 3.062236395493114216e+00, 5.075897178365674556e+00, 2.055405196085846597e+00, 3.037275826103023935e+00, 2.572311726693968570e+00, 4.333523440012864825e+00, 4.354437523275416666e+00, 4.978585591774303154e+00, 1.624586444097605886e+00, 4.637257774439864200e+00
1.868000000000000000e+03, 5.390592431969425391e+00, 3.755015504213921940e+00, 1.760419484368805465e+00, 3.634434760360292227e+00, 3.159783185660365756e+00, 5.056898995240503680e+00, 1.943240212557646673e+00, 3.273451466372203633e+00, 2.540440468963726772e+00, 4.177232237089594236e+00, 4.199760666394712239e+00, 4.922003810543491120e+00, 1.639831443972688652e+00, 4.609060326174695632e+00
1.869000000000000000e+03, 5.475165778128624261e+00, 3.772891706535181910e+00, 1.693951893770906159e+00, 3.456556755650868507e+00, 3.064957565885507940e+00, 5.241933145722536658e+00, 2.262497802707926109e+00, 3.006839534500002298e+00, 2.576658401460549808e+00, 4.464984492354420631e+00, 4.280429030810611657e+00, 5.069946107335459473e+00, 1.626502023178689749e+00, 4.643143986462809458e+00
1.870000000000000000e+03, 5.250501395804398896e+00, 3.739174636436848331e+00, 1.677173526789606184e+00, 3.473316089037721710e+00, 3.224403317722682072e+00, 5.126176000629613760e+00, 2.078345960339453846e+00, 3.126457513723645665e+00, 2.581125858122991001e+00, 4.266616117049128576e+00, 4.315542218027872856e+00, 4.887338644930661502e+00, 1.643620558899506534e+00, 4.599906292525986373e+00
1.871000000000000000e+03, 5.444093865095642748e+00, 3.725520371987553148e+00, 1.687604285570707408e+00, 3.472851016771141719e+00, 3.013098923816221131e+00, 4.945175389568881030e+00, 2.439944606741455857e+00, 3.131868911119732868e+00, 2.581192709973839872e+00, 4.511379701721392799e+00, 4.421414511236262612e+00, 5.007924647647094218e+00, 1.655714184901805774e+00, 4.649619962844441012e+00
