year, TaiESM1, EC-Earth3-Veg, INM-CM4-8, GFDL-ESM4, CMCC-CM2-SR5, NorESM2-LM, ACCESS-ESM1-5, UKESM1-0-LL, CNRM-ESM2-1, MPI-ESM1-2-LR, CESM2-WACCM, MIROC-ES2L, INM-CM5-0, CanESM5, IPSL-CM6A-LR, NorESM2-MM
1.860000000000000000e+03, 1.852956885122424069e+01, 1.325643573793099605e+01, 6.462193890886557313e+01, 8.643447447281096174e+01, 3.522675991824075936e+01, 4.844184614620471763e+01, 5.537694682279232694e+01, 4.141020059837160971e+01, 4.621537333870184483e+01, 2.854112625261898373e+01, 5.794585215519813204e+01, 3.948887541361892772e+01, 6.405702016615870775e+01, 3.740319302494924614e+01, 1.165999072637364087e+01, 5.140991787531918078e+01
1.861000000000000000e+03, 1.845226984104664325e+01, 1.318375944490490603e+01, 6.462999460531452200e+01, 8.635541016575446349e+01, 3.520857968255907622e+01, 4.845246704203056254e+01, 5.542844685820849548e+01, 4.154573804856226360e+01, 4.620489306229844573e+01, 2.860438443775062467e+01, 5.790190081704977842e+01, 3.981838664384205373e+01, 6.407254647973788053e+01, 3.737090443247232230e+01, 1.168536090741564237e+01, 5.127603765136331759e+01
1.862000000000000000e+03, 1.845101107560411435e+01, 1.301079115257732610e+01, 6.470523516818981591e+01, 8.625900125837472388e+01, 3.511176049626121909e+01, 4.840754751919065058e+01, 5.550587176511007215e+01, 4.178139831231622026e+01, 4.624410345599772398e+01, 2.854352100479467680e+01, 5.764673111564041363e+01, 4.019446512973436114e+01, 6.414695717538093334e+01, 3.735855802907666856e+01, 1.166992817994093024e+01, 5.113410433933542265e+01
1.863000000000000000e+03, 1.845244669106961410e+01, 1.299435459815171257e+01, 6.476166124861974538e+01, 8.624752051932382813e+01, 3.524153390442524625e+01, 4.829470079723479614e+01, 5.554326009553111021e+01, 4.183288037172427920e+01, 4.638342677571852590e+01, 2.854838250823145884e+01, 5.744543282932179551e+01, 4.028627010049073220e+01, 6.406311466405034594e+01, 3.736541545788254126e+01, 1.168482519351104187e+01, 5.113119948918329527e+01
1.864000000000000000e+03, 1.844146826595394373e+01, 1.294727145856675676e+01, 6.471221118230120339e+01, 8.633586708788782005e+01, 3.539857275760273581e+01, 4.840621079416798977e+01, 5.559983253420328708e+01, 4.191047491050154861e+01, 4.633938296075032071e+01, 2.851576931570346929e+01, 5.744838482965492688e+01, 4.020004215284873794e+01, 6.403940240293793806e+01, 3.727977299623072582e+01, 1.170430826309377181e+01, 5.133117565012371841e+01
1.865000000000000000e+03, 1.845196545785338671e+01, 1.301079834265020096e+01, 6.464357541946773722e+01, 8.649038717718889302e+01, 3.539387887265756660e+01, 4.851569957560182189e+01, 5.566383929538283581e+01, 4.190441334101936377e+01, 4.631766399571512238e+01, 2.859403653049044181e+01, 5.747663547982494947e+01, 4.035119302348065418e+01, 6.413245433611997726e+01, 3.719130319868776979e+01, 1.173267334701536235e+01, 5.146022002591963940e+01
1.866000000000000000e+03, 1.845058577010943068e+01, 1.301398390474220612e+01, 6.456553406440924903e+01, 8.670041781451597274e+01, 3.538648414468658387e+01, 4.842640837742052895e+01, 5.571244705531536567e+01, 4.192054819853287739e+01, 4.641754753662852551e+01, 2.851050259011311283e+01, 5.753339267059679685e+01, 4.059356469920571442e+01, 6.419772847008034944e+01, 3.730176715548798683e+01, 1.177638647484267587e+01, 5.156498996740857166e+01
1.867000000000000000e+03, 1.847168747367702935e+01, 1.294234035825474827e+01, 6.458157588785412884e+01, 8.685114524189830831e+01, 3.543178273354588015e+01, 4.826705041479800684e+01, 5.579779880976111173e+01, 4.194725373388678946e+01, 4.643001733340672388e+01, 2.848775908724382688e+01, 5.740749682505131091e+01, 4.067808642062762203e+01, 6.423218846689265149e+01, 3.740592921409766802e+01, 1.179977362101858063e+01, 5.168718676069532592e+01
1.868000000000000000e+03, 1.855681465511827000e+01, 1.293740329387952848e+01, 6.469406011891719288e+01, 8.676292099679375269e+01, 3.554297835669862593e+01, 4.832935919235580258e+01, 5.587814947956334777e+01, 4.199327496171992635e+01, 4.635896403758753337e+01, 2.843189162053284846e+01, 5.732901072351729255e+01, 4.076166386060400981e+01, 6.432624520364998943e+01, 3.752639726968051548e+01, 1.180778007416535402e+01, 5.187712466588317284e+01
1.869000000000000000e+03, 1.858347554109934663e+01, 1.293225148130943403e+01, 6.473717544985146333e+01, 8.677738649966794071e+01, 3.557802804729784185e+01, 4.838205098081345312e+01, 5.590273982005681574e+01, 4.195358434085252242e+01, 4.648197658784042119e+01, 2.845365856737788235e+01, 5.724088766280326723e+01, 4.095094387323107554e+01, 6.437105914047519661e+01, 3.765083060525645919e+01, 1.178528078653489430e+01, 5.203452598378446226e+01
