year, TaiESM1, CanESM5, MPI-ESM1-2-LR, ACCESS-ESM1-5, UKESM1-0-LL, IPSL-CM6A-LR, NorESM2-MM, CESM2-WACCM, GFDL-ESM4, CMCC-CM2-SR5, CNRM-ESM2-1, EC-Earth3-Veg, NorESM2-LM, MIROC-ES2L
1.860000000000000000e+03, 6.114802317858268310e+01, 2.143794729057232757e+02, 1.461967946718533824e+02, 1.902359578509707490e+02, 2.497019984531711145e+02, 5.582486519102781131e+01, 7.328954372927552186e+02, 9.356907858035917798e+02, 1.268363582143421553e+02, 1.029556630677590420e+03, 4.195873538766176125e+02, 3.161805951946345203e+02, 1.338491108797472862e+03, 3.487099487734224113e+02
1.861000000000000000e+03, 6.117177015583522603e+01, 2.143956281002695050e+02, 1.462493127529106971e+02, 1.902424291308573743e+02, 2.496317729462498107e+02, 5.582886794870987046e+01, 7.329214365857591247e+02, 9.357012393257209624e+02, 1.268523040950100267e+02, 1.029425128269883544e+03, 4.195586102843645335e+02, 3.161118426342065391e+02, 1.338498971449325836e+03, 3.487537468675255354e+02
1.862000000000000000e+03, 6.117643381042944384e+01, 2.144096801556990215e+02, 1.463362795833558607e+02, 1.902501939341279922e+02, 2.495061121908844370e+02, 5.583029889968558024e+01, 7.329590231735082853e+02, 9.357204796965896776e+02, 1.268666204212742343e+02, 1.029317885701809701e+03, 4.195114236586559286e+02, 3.160601075036210545e+02, 1.338493748413735148e+03, 3.487883733958788639e+02
1.863000000000000000e+03, 6.118013330453246823e+01, 2.144122812191668004e+02, 1.463198614247536113e+02, 1.902581822632955948e+02, 2.495805544196227856e+02, 5.583354206921613638e+01, 7.329820293953150667e+02, 9.357526101048788405e+02, 1.269293621536510273e+02, 1.029193283418385590e+03, 4.194443652748863087e+02, 3.160352470363620796e+02, 1.338500849373324399e+03, 3.487702606336519580e+02
1.864000000000000000e+03, 6.119080127819535875e+01, 2.144164151904666085e+02, 1.462598415283304121e+02, 1.902672990977588086e+02, 2.495555985225236952e+02, 5.583714022057743165e+01, 7.329592136947472909e+02, 9.357686415225077781e+02, 1.269472296804416658e+02, 1.029038647563517088e+03, 4.193737174299419053e+02, 3.159976391530063893e+02, 1.338474949549178291e+03, 3.487375766903697922e+02
1.865000000000000000e+03, 6.119379316971414795e+01, 2.144319407110938585e+02, 1.461936304937678415e+02, 1.902779259890173762e+02, 2.496049156593268776e+02, 5.584582111356564127e+01, 7.329035765194034866e+02, 9.357593808005059373e+02, 1.269276215754272386e+02, 1.028892969892090832e+03, 4.193591522826744153e+02, 3.159276945643662202e+02, 1.338404004547062868e+03, 3.487032267504279162e+02
1.866000000000000000e+03, 6.118590902057459857e+01, 2.144436730061014202e+02, 1.462173771689318471e+02, 1.902844924907434745e+02, 2.495362866703804912e+02, 5.584430801506785258e+01, 7.328630803234584619e+02, 9.357441217061685848e+02, 1.269003892965834410e+02, 1.028761414248349638e+03, 4.193376452793401086e+02, 3.158602282874062439e+02, 1.338353545658805615e+03, 3.486930536770443609e+02
1.867000000000000000e+03, 6.117592051469156900e+01, 2.144405553706722571e+02, 1.462385706838927888e+02, 1.902910375721251626e+02, 2.495478070789479830e+02, 5.585261270495503538e+01, 7.328303499375908814e+02, 9.357290502549330995e+02, 1.267841503788400956e+02, 1.028615806873315478e+03, 4.193192544757983455e+02, 3.158367310757045061e+02, 1.338337946278395748e+03, 3.486830450454474430e+02
1.868000000000000000e+03, 6.116339021675380394e+01, 2.144475138586071807e+02, 1.462251154556476820e+02, 1.903057572685459320e+02, 2.495740325605629266e+02, 5.587185857447102677e+01, 7.327931913853522019e+02, 9.357324453528029835e+02, 1.267420317069840650e+02, 1.028465669025746138e+03, 4.193051035171056924e+02, 3.158229266075249484e+02, 1.338298895210251430e+03, 3.486686784225814790e+02
1.869000000000000000e+03, 6.115732981239533927e+01, 2.144535053587565869e+02, 1.461589920464329566e+02, 1.903279861636248995e+02, 2.495160851021345820e+02, 5.588535342441521436e+01, 7.327428872219560390e+02, 9.357121653238305043e+02, 1.267418671681506481e+02, 1.028322794214104078e+03, 4.192960118121268920e+02, 3.157960689590412358e+02, 1.338230839953249870e+03, 3.486662608261250398e+02
1.870000000000000000e+03, 6.116173622159102763e+01, 2.144568247070807843e+02, 1.461366742475110811e+02, 1.903482935499915243e+02, 2.495230100404860138e+02, 5.589422909720322252e+01, 7.327278204000144797e+02, 9.356694601503162403e+02, 1.267127761007737519e+02, 1.028174745294847526e+03, 4.192431892442030517e+02, 3.157506330022746965e+02, 1.338194523494508985e+03, 3.486226443118688962e+02
1.871000000000000000e+03, 6.117624893028941102e+01, 2.144517058271657675e+02, 1.461970534403574220e+02, 1.903653482271966197e+02, 2.495899536620718777e+02, 5.589374623587758606e+01, 7.327512079690915243e+02, 9.356123151906202793e+02, 1.267097638312406076e+02, 1.028014049208575670e+03, 4.192291131206901014e+02, 3.156870200976819092e+02, 1.338170308018040487e+03, 3.486140697645661248e+02
1.872000000000000000e+03, 6.118330083641782124e+01, 2.144500947800463848e+02, 1.462330728243354656e+02, 1.903828338519677175e+02, 2.496188284308175014e+02, 5.588669684069741805e+01, 7.327728608950251328e+02, 9.355889158583087237e+02, 1.267114608455398610e+02, 1.027844515943384295e+03, 4.192241120389923594e+02, 3.155864144305983814e+02, 1.338155848509914449e+03, 3.486234350555224069e+02
1.873000000000000000e+03, 6.120173529807355806e+01, 2.144564204010941637e+02, 1.463024170380179214e+02, 1.904028130843104520e+02, 2.495893835317283731e+02, 5.588331050475622419e+01, 7.328046590046042184e+02, 9.355804952258765752e+02, 1.267285965075250687e+02, 1.027684983480430446e+03, 4.192495702118802683e+02, 3.154924328306080952e+02, 1.338136109397919881e+03, 3.486302934536146267e+02
1.874000000000000000e+03, 6.121588383136582934e+01, 2.144571526930113805e+02, 1.462660319011696117e+02, 1.904202422428255090e+02, 2.495823428351696691e+02, 5.588100061246249339e+01, 7.328442888994180748e+02, 9.355870423723921476e+02, 1.267141512534615657e+02, 1.027540237983278303e+03, 4.192808738574361200e+02, 3.154465646945051844e+02, 1.338131951251164992e+03, 3.486270361409410725e+02
1.875000000000000000e+03, 6.121653736939782675e+01, 2.144520958674958990e+02, 1.462100545296705718e+02, 1.904386889457065593e+02, 2.494407685158613504e+02, 5.588543055834669104e+01, 7.328669692756934637e+02, 9.356042777268164627e+02, 1.266681011935043983e+02, 1.027406698487799531e+03, 4.192872685161422055e+02, 3.154278677732091865e+02, 1.338113361715172914e+03, 3.486212842427978558e+02
1.876000000000000000e+03, 6.120342290227753068e+01, 2.144469172545849744e+02, 1.461905407541936768e+02, 1.904617907776383277e+02, 2.492789696461680649e+02, 5.589788357640125582e+01, 7.328775497860880250e+02, 9.356172549734508266e+02, 1.267113189921950749e+02, 1.027262802293025061e+03, 4.192460516874725158e+02, 3.154357307876367713e+02, 1.338084879720665640e+03, 3.486273760945659319e+02
1.877000000000000000e+03, 6.119923174098421015e+01, 2.144503378088653278e+02, 1.462537129110619105e+02, 1.904887391607122993e+02, 2.492707284511476473e+02, 5.591158436022330847e+01, 7.329069771497651118e+02, 9.356358998141088250e+02, 1.267435770129084460e+02, 1.027125097209513797e+03, 4.192232365080973864e+02, 3.154628049142285136e+02, 1.338048793320187769e+03, 3.486106557440821234e+02
1.878000000000000000e+03, 6.120048538871199639e+01, 2.144525823777603932e+02, 1.462544009849136444e+02, 1.905161238725545161e+02, 2.492275022504703372e+02, 5.592154413195481055e+01, 7.329141869935812110e+02, 9.356413900527802525e+02, 1.267990625617610618e+02, 1.026981070885067538e+03, 4.192396528499603505e+02, 3.154669045462254076e+02, 1.338003297284651580e+03, 3.486123121210420663e+02
1.879000000000000000e+03, 6.119075669472459111e+01, 2.144474362673682322e+02, 1.462932508739384616e+02, 1.905387448543060316e+02, 2.494129375473042671e+02, 5.593922487464301696e+01, 7.329078022366322784e+02, 9.356247707743009414e+02, 1.268533529800904205e+02, 1.026825166738445432e+03, 4.192669501650295274e+02, 3.154368715716271367e+02, 1.337964005763191835e+03, 3.486141147956261079e+02
1.880000000000000000e+03, 6.120050721751749023e+01, 2.144582272501532714e+02, 1.463696342731398090e+02, 1.905539302522940091e+02, 2.496230350742684720e+02, 5.595684753649986476e+01, 7.329263471952037889e+02, 9.356109440248137616e+02, 1.268541369979226232e+02, 1.026701181243972314e+03, 4.192888128674798622e+02, 3.154015211484411907e+02, 1.337951528708213800e+03, 3.485905113880203317e+02
1.881000000000000000e+03, 6.121112842448605562e+01, 2.144682577151176019e+02, 1.464572033462110596e+02, 1.905643552956454414e+02, 2.494937656922751898e+02, 5.596385386764222858e+01, 7.329577110011433660e+02, 9.356008453231368094e+02, 1.268511720018061339e+02, 1.026593692580695688e+03, 4.192696395301212533e+02, 3.153270364995745467e+02, 1.337921019318812796e+03, 3.486141167228774407e+02
1.882000000000000000e+03, 6.120085476365079558e+01, 2.144743372145970852e+02, 1.464002109225280890e+02, 1.905768168886562250e+02, 2.495304677344576589e+02, 5.596166757026419702e+01, 7.329506097186533680e+02, 9.355520928516525601e+02, 1.268482240156951804e+02, 1.026460159352126311e+03, 4.192468267189526046e+02, 3.152529961680139081e+02, 1.337896302194289774e+03, 3.486628180697816219e+02
1.883000000000000000e+03, 6.120081124205466239e+01, 2.144833099711211730e+02, 1.463509946223674092e+02, 1.905934083390986302e+02, 2.493819292171445454e+02, 5.597563315840837816e+01, 7.329404350074835293e+02, 9.354993237110833206e+02, 1.268321034159504848e+02, 1.026323236364497234e+03, 4.192543051071761511e+02, 3.151589430900678508e+02, 1.337877502200811477e+03, 3.486850717004811031e+02
1.884000000000000000e+03, 6.120263792113519230e+01, 2.145030152050878200e+02, 1.463855773155700035e+02, 1.906097012652726619e+02, 2.493490875870977561e+02, 5.599202636411668976e+01, 7.329368058944373843e+02, 9.354672587341236749e+02, 1.267881983872458989e+02, 1.026191454759126145e+03, 4.192126909269445605e+02, 3.150314757243308463e+02, 1.337830789858862545e+03, 3.486922607597347223e+02
1.885000000000000000e+03, 6.121352806501837307e+01, 2.145346523182187752e+02, 1.464289468777645595e+02, 1.906283339940625297e+02, 2.492857040081923401e+02, 5.600838218744314645e+01, 7.329507229030201643e+02, 9.354678323550964478e+02, 1.268849103281985577e+02, 1.026080916466383542e+03, 4.191836354624721821e+02, 3.149292344120914322e+02, 1.337791256911341407e+03, 3.486989180748769854e+02
1.886000000000000000e+03, 6.122463341432907669e+01, 2.145630811257089192e+02, 1.463531153180805973e+02, 1.906561626575344235e+02, 2.493364267412957531e+02, 5.601686174152650466e+01, 7.329716458314436522e+02, 9.354856754356321744e+02, 1.268667526530547178e+02, 1.025963793748947637e+03, 4.191784723926828633e+02, 3.149003353931372544e+02, 1.337760661922037798e+03, 3.487300099478218840e+02
1.887000000000000000e+03, 6.122211196554169277e+01, 2.145936799402846873e+02, 1.463360236223507798e+02, 1.906870700968085544e+02, 2.492589726937045498e+02, 5.602169931228477395e+01, 7.329786951491316813e+02, 9.355011478518987360e+02, 1.267691538085913692e+02, 1.025838966860283108e+03, 4.192057420327412274e+02, 3.149266015569142496e+02, 1.337736629609301872e+03, 3.487617496883454464e+02
1.888000000000000000e+03, 6.122790244575241303e+01, 2.146234528601605689e+02, 1.463694819522933415e+02, 1.907190053705492119e+02, 2.491861612160747370e+02, 5.602243139644782133e+01, 7.329870497119470656e+02, 9.355055734662252007e+02, 1.267494586439914457e+02, 1.025728990079123378e+03, 4.192413852281376876e+02, 3.149579729652933793e+02, 1.337743400141549728e+03, 3.488203587349585177e+02
1.889000000000000000e+03, 6.123868394025397777e+01, 2.146499595694166942e+02, 1.463903760570235306e+02, 1.907474331408930937e+02, 2.491472941832344077e+02, 5.603441543063707542e+01, 7.329982227171028626e+02, 9.355187131234677054e+02, 1.267494848883745959e+02, 1.025620568023602345e+03, 4.192838619627507910e+02, 3.149475972137273061e+02, 1.337739722035198383e+03, 3.488640225351711024e+02
1.890000000000000000e+03, 6.125452906712497025e+01, 2.146770926360584610e+02, 1.464286048887739753e+02, 1.907688117234704919e+02, 2.491388670375889376e+02, 5.605035416685427663e+01, 7.330008627247000277e+02, 9.355177071095523615e+02, 1.267193454993633708e+02, 1.025516518153440757e+03, 4.193270730426356181e+02, 3.148869563763991550e+02, 1.337700937884859286e+03, 3.488355025089110768e+02
1.891000000000000000e+03, 6.127990203600825225e+01, 2.147057518364978819e+02, 1.464649472172437186e+02, 1.907856116377290618e+02, 2.491602353489819848e+02, 5.606631010656010972e+01, 7.330291220272065402e+02, 9.355174384541023755e+02, 1.267059408382567938e+02, 1.025434642259571319e+03, 4.193578361861877966e+02, 3.147992624960256762e+02, 1.337666420582619139e+03, 3.488267840662464323e+02
1.892000000000000000e+03, 6.128732138500587467e+01, 2.147371278185926542e+02, 1.464197500219584072e+02, 1.908064013118282389e+02, 2.491152128367205023e+02, 5.608798898679292932e+01, 7.330773990425454940e+02, 9.355079694954903289e+02, 1.267261720584895670e+02, 1.025358458037638229e+03, 4.193964605973026778e+02, 3.147292065673025832e+02, 1.337632104700398031e+03, 3.489088588347859741e+02
1.893000000000000000e+03, 6.127522902790214943e+01, 2.147651485068213617e+02, 1.463845409607322381e+02, 1.908355299502854336e+02, 2.490375025806222311e+02, 5.610298632708796873e+01, 7.331111003418667451e+02, 9.355286520928729033e+02, 1.267936841304768905e+02, 1.025293309571113696e+03, 4.194486381703652569e+02, 3.146925133407596036e+02, 1.337575078607363366e+03, 3.489971487167450732e+02
1.894000000000000000e+03, 6.126017729318536453e+01, 2.147847883676251399e+02, 1.465130954695163439e+02, 1.908649884411664459e+02, 2.491255973986366143e+02, 5.612336191406172503e+01, 7.331289380562596989e+02, 9.355362138956917306e+02, 1.267521740734269144e+02, 1.025192840986245528e+03, 4.195015268229941512e+02, 3.146513689989037061e+02, 1.337490204127160268e+03, 3.490352153555598420e+02
1.895000000000000000e+03, 6.127409156015730929e+01, 2.148053482710906508e+02, 1.465792964473228039e+02, 1.908895359306035004e+02, 2.492126210225139573e+02, 5.614344250582087170e+01, 7.331257183969987636e+02, 9.355063177689778513e+02, 1.267308038292357111e+02, 1.025048987328898420e+03, 4.195384518736670998e+02, 3.145107204364458653e+02, 1.337412300869322962e+03, 3.490623976748170776e+02
1.896000000000000000e+03, 6.129058120042392233e+01, 2.148277740655106811e+02, 1.465888435225308513e+02, 1.909137660542645847e+02, 2.491037136711796904e+02, 5.617066944015613927e+01, 7.331041657319824481e+02, 9.354575180588076364e+02, 1.267386610952158748e+02, 1.024910256756261333e+03, 4.195842874902055541e+02, 3.143854459199499729e+02, 1.337364544366843802e+03, 3.490706891465180206e+02
1.897000000000000000e+03, 6.129427608127208771e+01, 2.148439027886514907e+02, 1.465695194558809078e+02, 1.909362929787579617e+02, 2.490385309977971247e+02, 5.619096777342304705e+01, 7.330478725497362120e+02, 9.354093088334387858e+02, 1.267257749080082760e+02, 1.024802389690083828e+03, 4.196299892946919385e+02, 3.143005058709008495e+02, 1.337327709342133630e+03, 3.490752031921940102e+02
1.898000000000000000e+03, 6.129905234825891824e+01, 2.148545961389727665e+02, 1.466070526826267724e+02, 1.909585515738215236e+02, 2.490006784284304047e+02, 5.620386979804926142e+01, 7.329959061352842582e+02, 9.353883694266876319e+02, 1.266990765830283436e+02, 1.024684632234423589e+03, 4.196758534915171026e+02, 3.142160208877745049e+02, 1.337301285210397054e+03, 3.490911574655206095e+02
1.899000000000000000e+03, 6.130719449199445137e+01, 2.148795848104066408e+02, 1.466173455907557468e+02, 1.909829498459158117e+02, 2.489810604631945523e+02, 5.621444487822274283e+01, 7.330003478195482103e+02, 9.353721552905830094e+02, 1.267021113140075386e+02, 1.024557721108036503e+03, 4.197132656235443164e+02, 3.141558643646449127e+02, 1.337274947304663328e+03, 3.491089930330489324e+02
1.900000000000000000e+03, 6.131362545234657802e+01, 2.149014550171455937e+02, 1.465926149801116196e+02, 1.910114971070191245e+02, 2.488976181272273323e+02, 5.623515529498962451e+01, 7.330280334913780962e+02, 9.353739770926312076e+02, 1.266574791954332113e+02, 1.024440441281637277e+03, 4.197497186525897632e+02, 3.141219568561807591e+02, 1.337273040074228220e+03, 3.491196097991593206e+02
1.901000000000000000e+03, 6.130936301693557766e+01, 2.149257644958360913e+02, 1.464889883439130074e+02, 1.910436551711540574e+02, 2.489290490134634979e+02, 5.624983087474641508e+01, 7.330440150269496371e+02, 9.353953425906166785e+02, 1.266312701199051673e+02, 1.024316079124960652e+03, 4.197766440899658278e+02, 3.141075035293384303e+02, 1.337258372053649737e+03, 3.491472016024698632e+02
1.902000000000000000e+03, 6.132066042491866398e+01, 2.149518277226952137e+02, 1.464454095287979101e+02, 1.910747534418930229e+02, 2.490534641467544361e+02, 5.625952812711827278e+01, 7.330271082919517767e+02, 9.354020938911503436e+02, 1.266431720397940950e+02, 1.024181363035627783e+03, 4.197917488472630794e+02, 3.140979656667690278e+02, 1.337235329044166065e+03, 3.491809620680766670e+02
1.903000000000000000e+03, 6.132884737971113509e+01, 2.149935189801709043e+02, 1.465561226768169547e+02, 1.911022318684944992e+02, 2.488904781149132361e+02, 5.627912906132729631e+01, 7.330122627377782010e+02, 9.354106751547163867e+02, 1.266632414068024559e+02, 1.024080394794650829e+03, 4.198300499550634868e+02, 3.140818279211358686e+02, 1.337221177056470879e+03, 3.491808953596253104e+02
1.904000000000000000e+03, 6.135062455122837122e+01, 2.150332058731385985e+02, 1.467229516154174576e+02, 1.911278291912555858e+02, 2.488594066964728029e+02, 5.629970935938304422e+01, 7.330162358426828177e+02, 9.354130227206766222e+02, 1.267527047915196334e+02, 1.023991146315561082e+03, 4.198837146948228565e+02, 3.141029834836221539e+02, 1.337213210399236914e+03, 3.491589113837967489e+02
1.905000000000000000e+03, 6.136316439653650434e+01, 2.150719457321755215e+02, 1.468529785246186634e+02, 1.911534594861680034e+02, 2.487762529815696553e+02, 5.631387817269708762e+01, 7.329925047453817797e+02, 9.353954889847634604e+02, 1.267634189686577884e+02, 1.023872484063898924e+03, 4.199108786616267821e+02, 3.141433017746583118e+02, 1.337167493456130615e+03, 3.491648853763978764e+02
1.906000000000000000e+03, 6.136469850784640556e+01, 2.151023669714318203e+02, 1.468584783834993459e+02, 1.911827659156425341e+02, 2.487769728996352967e+02, 5.632091369956602023e+01, 7.329837250353239142e+02, 9.353915479143157654e+02, 1.267166945881118210e+02, 1.023760950822226960e+03, 4.199595116170939946e+02, 3.141825614791704879e+02, 1.337114868190562220e+03, 3.491919656106781531e+02
1.907000000000000000e+03, 6.135859537234512828e+01, 2.151347000097090927e+02, 1.468528964434278237e+02, 1.912138786752276474e+02, 2.488117988051645000e+02, 5.633568461126415627e+01, 7.330058070978379874e+02, 9.353974551929850350e+02, 1.266633281747170230e+02, 1.023645911168879934e+03, 4.199893574931926423e+02, 3.142047220579487998e+02, 1.337066054485105951e+03, 3.492551319094241080e+02
1.908000000000000000e+03, 6.136243175573843445e+01, 2.151695953785142592e+02, 1.468594464369320178e+02, 1.912471758862779438e+02, 2.487488944801708044e+02, 5.635182664279863474e+01, 7.330618128962256606e+02, 9.354165912441906130e+02, 1.266664563998973279e+02, 1.023522132856596272e+03, 4.200157764937220577e+02, 3.141947878798422380e+02, 1.337028862472576066e+03, 3.492835511371307575e+02
1.909000000000000000e+03, 6.137241984773535108e+01, 2.152007882895375985e+02, 1.468894745773044122e+02, 1.912806720641372635e+02, 2.486010243484033708e+02, 5.636169449170882473e+01, 7.331397361079449411e+02, 9.354370972994701106e+02, 1.266741221753585904e+02, 1.023382409773365225e+03, 4.200334398653195080e+02, 3.141581108356022014e+02, 1.336993079772431429e+03, 3.492671545334195002e+02
1.910000000000000000e+03, 6.137751887797735861e+01, 2.152323666266938460e+02, 1.469080315787419408e+02, 1.913085001730054273e+02, 2.486378301725587505e+02, 5.638100373506798491e+01, 7.331973741790236545e+02, 9.354229728996028825e+02, 1.266278196830233611e+02, 1.023248048818924531e+03, 4.200332336068082668e+02, 3.141089205406864835e+02, 1.336936406727106942e+03, 3.492477971291214089e+02
1.911000000000000000e+03, 6.138390770206957114e+01, 2.152571499373551092e+02, 1.468372248681569943e+02, 1.913324015229237887e+02, 2.485948067259488141e+02, 5.640055011464989576e+01, 7.332066128327312526e+02, 9.354193259780346352e+02, 1.265710122988772639e+02, 1.023126151212108311e+03, 4.200717677896917053e+02, 3.140806216889548068e+02, 1.336903605278161422e+03, 3.492739923701146267e+02
1.912000000000000000e+03, 6.137450072573961535e+01, 2.152784463966346209e+02, 1.468702604422649074e+02, 1.913573016201858934e+02, 2.484337999319508015e+02, 5.642890881122070112e+01, 7.331947834448025105e+02, 9.354153017276313449e+02, 1.265371399097153216e+02, 1.023009613933442097e+03, 4.201196099370506545e+02, 3.140748859573278082e+02, 1.336882321027342414e+03, 3.492711420247645719e+02
1.913000000000000000e+03, 6.137697444877792208e+01, 2.153053583445536390e+02, 1.469136154278605773e+02, 1.913821778120001795e+02, 2.484059740623322341e+02, 5.645260095341912887e+01, 7.331980955696157025e+02, 9.354042637244714342e+02, 1.265535082297783731e+02, 1.022877245477113888e+03, 4.201709367945202871e+02, 3.140811405782693555e+02, 1.336885770341296165e+03, 3.492678935582612212e+02
1.914000000000000000e+03, 6.138609252219431767e+01, 2.153244957168766973e+02, 1.468736012876253199e+02, 1.914085190060597199e+02, 2.483361648337140366e+02, 5.648622145777966352e+01, 7.332074176712814051e+02, 9.353654040961292822e+02, 1.265897729144140982e+02, 1.022767954132727709e+03, 4.202302800322975713e+02, 3.140505059424994556e+02, 1.336871186954607765e+03, 3.493071349339495555e+02
1.915000000000000000e+03, 6.139053510901818811e+01, 2.153442987562998496e+02, 1.468589192775506831e+02, 1.914333772401874114e+02, 2.483154900993758076e+02, 5.651340519054848244e+01, 7.331989801375652860e+02, 9.353034871804825343e+02, 1.265602654629402224e+02, 1.022694318255796361e+03, 4.203052587158471738e+02, 3.140178645008534204e+02, 1.336854938422244231e+03, 3.493480145176806673e+02
1.916000000000000000e+03, 6.139074915714008540e+01, 2.153685646079557898e+02, 1.469074873419003779e+02, 1.914581593734942260e+02, 2.484519948192332492e+02, 5.653021526259914964e+01, 7.331829947392585609e+02, 9.352523485320024292e+02, 1.265463544027341953e+02, 1.022606408170142345e+03, 4.203589749113307903e+02, 3.140003840546161769e+02, 1.336853670307403718e+03, 3.494001242970204544e+02
1.917000000000000000e+03, 6.139815481785116447e+01, 2.153847792980620000e+02, 1.469026629493597795e+02, 1.914860204851195533e+02, 2.484579133558585795e+02, 5.654914361877502671e+01, 7.331801994230127093e+02, 9.352314530358910361e+02, 1.265286441146598122e+02, 1.022483389069447185e+03, 4.204226842695076130e+02, 3.139587563650770790e+02, 1.336854806880330671e+03, 3.494343927523185585e+02
1.918000000000000000e+03, 6.139219078573980681e+01, 2.154026535251451264e+02, 1.468497924433382877e+02, 1.915179369891327212e+02, 2.484975543436260637e+02, 5.657007552764008551e+01, 7.331905635639012644e+02, 9.352239714464760709e+02, 1.265507671809701975e+02, 1.022370792990820519e+03, 4.204691428850067041e+02, 3.138956710475103478e+02, 1.336849599765815583e+03, 3.494234001023691576e+02
1.919000000000000000e+03, 6.137674094500008692e+01, 2.154305181269070886e+02, 1.469034804017963438e+02, 1.915565846441453459e+02, 2.483536517262891437e+02, 5.660512803200398224e+01, 7.332120655453230711e+02, 9.352253530373691319e+02, 1.264321985436145610e+02, 1.022246444564124886e+03, 4.205170280196599037e+02, 3.138141585933676083e+02, 1.336790997036761155e+03, 3.494038808639343756e+02
