year, TaiESM1, CanESM5, MPI-ESM1-2-LR, ACCESS-ESM1-5, UKESM1-0-LL, IPSL-CM6A-LR, NorESM2-MM, CESM2-WACCM, GFDL-ESM4, CMCC-CM2-SR5, CNRM-ESM2-1, EC-Earth3-Veg, NorESM2-LM, MIROC-ES2L
1.850000000000000000e+03, 6.110965586926998583e+01, 2.142581405912511343e+02, 1.462391528738818920e+02, 1.902338009780903576e+02, 2.499426806581491576e+02, 5.584337799521569679e+01, 7.329252801318248203e+02, 9.360118595326912327e+02, 1.270001811218997005e+02, 1.031190033758954769e+03, 4.198442585603301040e+02, 3.168116824246034184e+02, 1.338931527397745185e+03, 3.489177518124839708e+02
1.851000000000000000e+03, 6.110842331767683788e+01, 2.142432345372481279e+02, 1.462502411714723110e+02, 1.902320656382678692e+02, 2.499647226456628459e+02, 5.584368302750199575e+01, 7.328726479461586223e+02, 9.359862576166499366e+02, 1.270003600970358519e+02, 1.031056229443067878e+03, 4.197825402742883512e+02, 3.167913181602125405e+02, 1.338913810134720052e+03, 3.489190002019252006e+02
1.852000000000000000e+03, 6.111356628825948434e+01, 2.142351217311892810e+02, 1.462732126099170102e+02, 1.902333395043769428e+02, 2.500156118908655571e+02, 5.583094007062923936e+01, 7.328248132861726845e+02, 9.359284960774576803e+02, 1.270301194586638758e+02, 1.030875038449258682e+03, 4.197262426365269903e+02, 3.167873384661775731e+02, 1.338876322315521293e+03, 3.489129343428081143e+02
1.853000000000000000e+03, 6.112640134537356573e+01, 2.142318574310409360e+02, 1.462036823223874364e+02, 1.902355013925361504e+02, 2.500611079856830088e+02, 5.581974675083709769e+01, 7.327854184404639000e+02, 9.358639214234781321e+02, 1.269489341696297942e+02, 1.030699469488028171e+03, 4.197013152863647178e+02, 3.167572652069982269e+02, 1.338829250669228031e+03, 3.488884167477741585e+02
1.854000000000000000e+03, 6.113780900158131715e+01, 2.142313114707118586e+02, 1.462210718626807022e+02, 1.902327603763196180e+02, 2.500307396123671424e+02, 5.581354618788007116e+01, 7.327773197254717843e+02, 9.358438739696417770e+02, 1.268549447841270137e+02, 1.030505576803130452e+03, 4.196609452274393561e+02, 3.166834673054951281e+02, 1.338742440296250834e+03, 3.488809315645576135e+02
1.855000000000000000e+03, 6.115158157388759719e+01, 2.142471410196503712e+02, 1.462248910535104756e+02, 1.902308601682485687e+02, 2.501033083545073623e+02, 5.581257279940199822e+01, 7.327851689716502506e+02, 9.358662118973336419e+02, 1.268940387938211103e+02, 1.030322310726224259e+03, 4.196293806582452817e+02, 3.165875676571778854e+02, 1.338662149052883933e+03, 3.488483297244925438e+02
1.856000000000000000e+03, 6.115206558005372983e+01, 2.142728599129051759e+02, 1.462058916148123160e+02, 1.902335677262160232e+02, 2.500364722680096463e+02, 5.581786386346177409e+01, 7.328179190879727685e+02, 9.358338874015715874e+02, 1.269350256916237782e+02, 1.030169757301051504e+03, 4.196241803059114091e+02, 3.164865919633242015e+02, 1.338607515326565363e+03, 3.488128466970201771e+02
1.857000000000000000e+03, 6.116357811005850209e+01, 2.142939806858262557e+02, 1.462349002921811234e+02, 1.902349590136605570e+02, 2.498809521038391779e+02, 5.582044626696924183e+01, 7.328744200994202629e+02, 9.357461342748398465e+02, 1.269053708005571650e+02, 1.030022557142476444e+03, 4.196194589737658021e+02, 3.163993707225839103e+02, 1.338552899695320548e+03, 3.487669678492307526e+02
1.858000000000000000e+03, 6.116533647611661451e+01, 2.143351056714901119e+02, 1.461675881859548269e+02, 1.902345445455686104e+02, 2.497753616423254357e+02, 5.582063322243109837e+01, 7.329078826457449622e+02, 9.356865956693923181e+02, 1.268850227752564876e+02, 1.029844372863288982e+03, 4.196198913371001140e+02, 3.163286843398512360e+02, 1.338485784979441632e+03, 3.487382599869062574e+02
1.859000000000000000e+03, 6.114931042166395514e+01, 2.143690943703391554e+02, 1.461150670179663109e+02, 1.902354718461729419e+02, 2.497545076846461996e+02, 5.582096554638536645e+01, 7.329014344400837899e+02, 9.356757796486908774e+02, 1.268617000074629857e+02, 1.029688985037936845e+03, 4.196009202199927586e+02, 3.162562201539323610e+02, 1.338460894034784815e+03, 3.487130213646983066e+02
