year, ACCESS-ESM1-5, TaiESM1, CanESM5, MIROC-ES2L, MPI-ESM1-2-LR, NorESM2-LM, CMCC-CM2-SR5, UKESM1-0-LL, CNRM-ESM2-1, NorESM2-MM, CESM2-WACCM, INM-CM5-0, GFDL-ESM4, EC-Earth3-Veg, INM-CM4-8, IPSL-CM6A-LR
1.850000000000000000e+03, 2.666948529169076210e+02, 2.634009707350147096e+02, 2.664919203722618022e+02, 2.665621118755901193e+02, 2.649974072857446572e+02, 2.656174977196271243e+02, 2.644262324315438377e+02, 2.633025673389506096e+02, 2.674492408960157945e+02, 2.653962503871438798e+02, 2.662388501589107932e+02, 2.659831613488435096e+02, 2.651506542171406409e+02, 2.618474161855456259e+02, 2.653749059017039826e+02, 2.644397701235241698e+02
1.851000000000000000e+03, 2.672048467933317397e+02, 2.638633887583144428e+02, 2.655993952743967839e+02, 2.670221293110103602e+02, 2.641012677174813348e+02, 2.661756858167615292e+02, 2.653628438370305389e+02, 2.630673185264360541e+02, 2.680743304493444725e+02, 2.652622758656470978e+02, 2.658619872108465643e+02, 2.657549119648730311e+02, 2.656339431295089639e+02, 2.620979250367655027e+02, 2.656289530736742108e+02, 2.652837436807161566e+02
1.852000000000000000e+03, 2.663475917066603529e+02, 2.639247295520775083e+02, 2.659614592311601768e+02, 2.672227867901546006e+02, 2.641739449551724874e+02, 2.665131989286799126e+02, 2.648479274371786119e+02, 2.636804905523176217e+02, 2.672831286168814700e+02, 2.650968110544170599e+02, 2.662426403337658485e+02, 2.659426049919796355e+02, 2.661785122072108152e+02, 2.621391669336812242e+02, 2.653383931192184377e+02, 2.654855002622554707e+02
1.853000000000000000e+03, 2.664984004199901051e+02, 2.633269494867443541e+02, 2.657569744945184311e+02, 2.667283294410731287e+02, 2.650742627461766006e+02, 2.673721014355854209e+02, 2.656199183490915061e+02, 2.633373793100166722e+02, 2.673144932918239647e+02, 2.643660658506921664e+02, 2.648982077243898630e+02, 2.658651038746273230e+02, 2.665960416506645174e+02, 2.621624578327895847e+02, 2.650920354433456509e+02, 2.661033285231230821e+02
1.854000000000000000e+03, 2.667390431703820468e+02, 2.633927756898021926e+02, 2.650138021239794739e+02, 2.669684515973397083e+02, 2.656816770021438856e+02, 2.664137125686439163e+02, 2.653052386022582709e+02, 2.633357842721144380e+02, 2.670763702970239706e+02, 2.650139337257509169e+02, 2.647251036561830801e+02, 2.655658782492316732e+02, 2.660734600280844120e+02, 2.624381271013685364e+02, 2.651281721930444633e+02, 2.652182610136030121e+02
1.855000000000000000e+03, 2.663152360290127376e+02, 2.644433959827742910e+02, 2.646870004696165779e+02, 2.678741354124117038e+02, 2.652241191655864441e+02, 2.660054368315627471e+02, 2.648514897795003549e+02, 2.628774889710322782e+02, 2.666162909062192625e+02, 2.650898886678316444e+02, 2.656310180937733207e+02, 2.658961563207733434e+02, 2.654080664368684666e+02, 2.621909458526858998e+02, 2.645140270055727001e+02, 2.650693375074995970e+02
1.856000000000000000e+03, 2.669399846523607494e+02, 2.648440301005888386e+02, 2.651690344984904186e+02, 2.676083659200145348e+02, 2.648878086658075972e+02, 2.667525103398601800e+02, 2.653485017336515170e+02, 2.634368393394826739e+02, 2.662632260079650450e+02, 2.650859264353666731e+02, 2.661264142848316396e+02, 2.658773557730290804e+02, 2.661006768803533760e+02, 2.625882998104665376e+02, 2.651645595865747964e+02, 2.656234356471164233e+02
1.857000000000000000e+03, 2.664545261090005965e+02, 2.640228694572902555e+02, 2.649506624174321701e+02, 2.672113810312087026e+02, 2.652003452289816892e+02, 2.664082690455517195e+02, 2.659758821813874192e+02, 2.638390244341684365e+02, 2.664752525459078925e+02, 2.646196233153384014e+02, 2.656530074977275149e+02, 2.658538642830342837e+02, 2.663753691644185437e+02, 2.620277346624192774e+02, 2.651507654381593397e+02, 2.653945767357857335e+02
1.858000000000000000e+03, 2.662124585875112643e+02, 2.646204652873815917e+02, 2.647473353093231481e+02, 2.666802147647370020e+02, 2.649993517759039605e+02, 2.665908588051420338e+02, 2.663941109663970224e+02, 2.640618289127791627e+02, 2.665298904096567298e+02, 2.647693837001631891e+02, 2.648335043156390043e+02, 2.656427094804889180e+02, 2.662335853568374660e+02, 2.627510872875926680e+02, 2.654334095998672183e+02, 2.656194698210723004e+02
1.859000000000000000e+03, 2.664644578980870051e+02, 2.650683854167257323e+02, 2.662424105202344435e+02, 2.672539753026925382e+02, 2.655534382206830628e+02, 2.650688181901610960e+02, 2.651245623100033413e+02, 2.630903691376627762e+02, 2.673737912011773119e+02, 2.647838495023882501e+02, 2.648912659352985770e+02, 2.653498947744299699e+02, 2.660432685796142778e+02, 2.625412161088803487e+02, 2.652059146289859655e+02, 2.654285853263150443e+02
