year, CMCC-CM2-SR5, EC-Earth3-Veg, UKESM1-0-LL, CESM2-WACCM, INM-CM5-0, TaiESM1, NorESM2-LM, MIROC-ES2L, ACCESS-ESM1-5, CNRM-ESM2-1, MPI-ESM1-2-LR, NorESM2-MM, GFDL-ESM4, INM-CM4-8, IPSL-CM6A-LR, CanESM5
1.850000000000000000e+03, 7.640605629509723329e+00, 3.676904453045196863e+00, 9.326353522645911553e+00, 7.378038154450909936e+00, 8.657997715062235145e+00, 4.897998658482523915e+00, 5.471506815788595546e+00, 8.397441990356668384e+00, 4.373825013758266600e+00, 6.528873674995156584e+00, 7.908285465302287598e+00, 7.019619522151455016e+00, 9.878403786276649612e+00, 8.410623961887816691e+00, 3.414833498378778032e+00, 6.189103579964406521e+00
1.851000000000000000e+03, 8.729678086145160165e+00, 3.712653870205421036e+00, 8.696359452239551757e+00, 7.290565203590965382e+00, 8.699088922471428731e+00, 5.002777926820635379e+00, 6.286271729269465425e+00, 8.631457868094702945e+00, 4.324510758254102250e+00, 6.984051697309510587e+00, 7.605870352620420327e+00, 7.089437574530274233e+00, 9.641543291276583716e+00, 8.464175853106382874e+00, 3.567249625007834268e+00, 5.734932253273165692e+00
1.852000000000000000e+03, 8.573757996234357748e+00, 3.323477053326790553e+00, 9.154735682570613875e+00, 7.951720893009760260e+00, 8.461972072945338041e+00, 4.997022420483339111e+00, 6.172518247438572914e+00, 8.676783130532822241e+00, 4.115990854567092683e+00, 6.510143520528528960e+00, 7.172005483453950170e+00, 7.541077673718569407e+00, 9.860346268073088893e+00, 8.476090119639069442e+00, 3.659620008146697412e+00, 6.169455146147669211e+00
1.853000000000000000e+03, 8.765892410349991337e+00, 3.600762186665551479e+00, 8.777612132932523181e+00, 7.121553887901887592e+00, 8.218173451741440871e+00, 4.783441564119350176e+00, 6.694508702431509306e+00, 8.513086265998369484e+00, 4.298690574171915912e+00, 6.536509857324784178e+00, 7.926659763663831626e+00, 7.427215468343797866e+00, 1.041438831895670702e+01, 8.439518114049175068e+00, 3.744415384063127128e+00, 5.729686535304644224e+00
1.854000000000000000e+03, 8.718725082763487677e+00, 3.965146886555427130e+00, 8.755245356497514564e+00, 6.330009587982652342e+00, 8.507016295911855153e+00, 4.804993937133648529e+00, 6.291678572869288111e+00, 8.210370770857371880e+00, 4.330330792033304732e+00, 6.376295082930989899e+00, 8.275736320018250325e+00, 7.689214739289911726e+00, 9.956736684455481878e+00, 8.578102517460864718e+00, 3.590292244247989206e+00, 5.552683255352891756e+00
1.855000000000000000e+03, 8.781081779184981784e+00, 4.011956268792798319e+00, 7.980161923883209774e+00, 7.243556394021759992e+00, 8.629435949981949960e+00, 5.023847347282512921e+00, 6.444048290040647942e+00, 8.393707923036144436e+00, 4.185047117696925945e+00, 6.288807293314869540e+00, 7.837333996102055167e+00, 7.652060474857671935e+00, 9.914170560714278935e+00, 8.582873722370782943e+00, 3.686646234081532469e+00, 5.652333627913807668e+00
1.856000000000000000e+03, 8.518386868145302770e+00, 4.081244653575840431e+00, 8.242708615738919775e+00, 7.773828380344928846e+00, 8.623449291246103598e+00, 4.971437686133870493e+00, 6.427689894871947196e+00, 8.453810279080524737e+00, 4.301280134802039079e+00, 6.216149182837632736e+00, 7.370380421054389508e+00, 6.861795873082532360e+00, 9.868986273389293018e+00, 8.641100328018938015e+00, 3.774983166362331222e+00, 5.646992489400401993e+00
1.857000000000000000e+03, 9.292188985194194117e+00, 4.117611881049578315e+00, 9.060606598808387702e+00, 7.566111200051560459e+00, 8.444083375859589680e+00, 4.870206652282703885e+00, 6.876771964982635765e+00, 7.892249037053655769e+00, 4.213385250736861209e+00, 6.542345841939337880e+00, 7.804636729643869231e+00, 6.915727434637820359e+00, 9.944799499865954573e+00, 8.205154718201521646e+00, 3.688319646820401587e+00, 5.345895505089486299e+00
1.858000000000000000e+03, 9.096507389695732471e+00, 4.152679505728370302e+00, 9.217521075756199167e+00, 7.536037043803536228e+00, 8.500640680153745521e+00, 5.009819404390859710e+00, 6.759784056428862264e+00, 8.160638059397070876e+00, 4.191462734906703069e+00, 6.580628316782739518e+00, 7.722217953709712646e+00, 7.453469861400350283e+00, 1.035579532273513870e+01, 8.598733399851047565e+00, 3.866202682866174190e+00, 5.760228069320684874e+00
1.859000000000000000e+03, 8.735339878618750831e+00, 4.170349692691815768e+00, 8.426677255674549727e+00, 7.573314138534525952e+00, 8.521230197164172182e+00, 5.180368810316510420e+00, 5.845296364069012540e+00, 8.030214777433307916e+00, 4.255465916793387038e+00, 6.688731107767225126e+00, 8.304352587055632284e+00, 7.360044677050791684e+00, 1.012984989893680776e+01, 8.488553097006374060e+00, 3.818977626155628080e+00, 6.006043428635621240e+00
1.860000000000000000e+03, 8.820402195233125298e+00, 4.229062205969610133e+00, 8.743735461034608747e+00, 7.920579213265132701e+00, 8.406593873173200393e+00, 4.929504085342646391e+00, 5.898915021071504228e+00, 8.501995941675358992e+00, 4.242980546017421695e+00, 6.405637997821980179e+00, 7.890540729276470877e+00, 7.093270445723502959e+00, 9.703929284400468092e+00, 8.468211482194762496e+00, 3.633948271754143367e+00, 5.869012798965845157e+00
1.861000000000000000e+03, 8.682581359666286858e+00, 4.271105164408354860e+00, 9.322151304095914526e+00, 7.519969825728978208e+00, 8.671487253059419587e+00, 4.991181472991875978e+00, 6.485238300714411430e+00, 9.186082679627086023e+00, 4.319058928558827226e+00, 6.392267761106177559e+00, 8.319510358937327155e+00, 6.738386934521355620e+00, 1.000826417935132362e+01, 8.512671832368079450e+00, 3.910314542445784802e+00, 5.720929585731391320e+00
1.862000000000000000e+03, 8.587952469257292165e+00, 3.881959723405715046e+00, 8.952851824811192571e+00, 6.969251667053351973e+00, 8.616901338564604274e+00, 4.989488279506568702e+00, 6.104885837800307691e+00, 8.965584270276522716e+00, 4.273576124732797687e+00, 6.427378919482547026e+00, 7.824169718113060945e+00, 6.584651322662118389e+00, 9.745204148557300883e+00, 8.682042135735546395e+00, 3.659874759401760436e+00, 6.007232241044690113e+00
1.863000000000000000e+03, 9.123633073716863606e+00, 3.955801965546545063e+00, 9.309620734746552273e+00, 7.140002727951820560e+00, 8.005201851858707585e+00, 4.856761164480626114e+00, 6.019172462423405534e+00, 8.396439514918798253e+00, 4.284462078009638297e+00, 6.714049605044033697e+00, 8.150755351824630068e+00, 7.243799256554888544e+00, 9.868449644299422729e+00, 8.465123292694341828e+00, 3.857722133737296222e+00, 5.798375533295080153e+00
1.864000000000000000e+03, 8.879191258290305200e+00, 4.335122268344699492e+00, 9.008564483560279612e+00, 7.343662175840732331e+00, 8.402521452343393094e+00, 4.969371890563428096e+00, 6.540311537019141142e+00, 8.368484147640824489e+00, 4.342068572479585775e+00, 6.111766038845763305e+00, 7.647381695539083424e+00, 7.086417045236341750e+00, 1.012923538326615436e+01, 8.225149613515458924e+00, 3.818161838900354876e+00, 5.662440136605601637e+00
1.865000000000000000e+03, 8.820588246414125422e+00, 4.590149721317419385e+00, 8.661356042922720988e+00, 7.345493923876158071e+00, 8.614952671194039624e+00, 5.054141478165100843e+00, 6.335869968164248967e+00, 9.044712078983407011e+00, 4.322082505666905661e+00, 6.204404673885554722e+00, 8.121071266566373126e+00, 6.855133912307043609e+00, 1.030761335885531871e+01, 8.282753480358323372e+00, 3.909733504251706737e+00, 5.718699333072232882e+00
1.866000000000000000e+03, 8.787017834301398267e+00, 3.968643148708263624e+00, 9.128178798158309348e+00, 7.830636560798861723e+00, 8.410772349596934205e+00, 4.947761158416359883e+00, 6.041685031089940594e+00, 8.812033834303271362e+00, 4.376130078962124692e+00, 6.555093062962660255e+00, 7.808257222808275166e+00, 7.368944188394815242e+00, 1.037763458832262309e+01, 8.307737419234761944e+00, 4.067064191896946568e+00, 6.147976230323408231e+00
1.867000000000000000e+03, 8.895024347817280130e+00, 4.126885498210572933e+00, 8.984647429956297060e+00, 6.882710640029082505e+00, 8.533769913818746389e+00, 5.129319569265978096e+00, 5.986553084772688216e+00, 8.691882498244353883e+00, 4.426408840412234369e+00, 6.347608814929113663e+00, 7.845407424819434539e+00, 7.305537277880125302e+00, 1.025940307692956033e+01, 8.472707496280195372e+00, 3.873988978698356345e+00, 5.818197087740300866e+00
