year, INM-CM5-0, CNRM-ESM2-1, IPSL-CM6A-LR, INM-CM4-8, TaiESM1, MIROC-ES2L, MPI-ESM1-2-LR, CMCC-CM2-SR5, GFDL-ESM4, NorESM2-MM, EC-Earth3-Veg, UKESM1-0-LL, CanESM5, NorESM2-LM, CESM2-WACCM, ACCESS-ESM1-5
1.850000000000000000e+03, 4.033128047592484222e+00, 4.600228723930503527e+00, 1.452480722997632201e+00, 3.928218642231222635e+00, 1.737409294041586616e+00, 5.244514318104721795e+00, 4.749414537411220216e+00, 3.617674234270188194e+00, 5.099108877465520884e+00, 3.609627331898728642e+00, 1.962126862838012187e+00, 5.333615306204436024e+00, 3.244224124160709710e+00, 2.758494055740738027e+00, 3.740354880937390547e+00, 2.675632628770979515e+00
1.851000000000000000e+03, 4.037609327213138144e+00, 4.894718128708865024e+00, 1.505800950071193745e+00, 3.936606849677233289e+00, 1.796247562721964508e+00, 5.389108245229246918e+00, 4.576805069611499910e+00, 4.238782881986068674e+00, 5.062765864410537553e+00, 3.660580720722804049e+00, 2.049396479846471664e+00, 5.062279240518234857e+00, 2.947526094750105408e+00, 3.215967823384832336e+00, 3.722544270764457597e+00, 2.654410420821169847e+00
1.852000000000000000e+03, 3.859972728254931429e+00, 4.557999274870148554e+00, 1.534911927166744627e+00, 3.949224295830420672e+00, 1.757698518694587042e+00, 5.432806802065096363e+00, 4.357146678520967598e+00, 4.112020130549130847e+00, 5.128808502829101279e+00, 3.808452977324641164e+00, 1.795116959046857641e+00, 5.253071200415227793e+00, 3.266240474126092863e+00, 3.119354529738105786e+00, 4.070172801910147520e+00, 2.526794482929124008e+00
1.853000000000000000e+03, 3.791434213399101694e+00, 4.588017275788050853e+00, 1.563288693506378557e+00, 3.942954589439409574e+00, 1.710275956993089874e+00, 5.330632247436921212e+00, 4.781142228422369023e+00, 4.231010287926858737e+00, 5.392705335191583238e+00, 3.726710126716259008e+00, 1.949849157745490835e+00, 5.122194806590440130e+00, 2.993517602915431119e+00, 3.367636580622467513e+00, 3.648401041246601029e+00, 2.633647337255528242e+00
1.854000000000000000e+03, 3.939608565451067079e+00, 4.482227606365943195e+00, 1.505889069938527669e+00, 3.999397128598574103e+00, 1.706746219665622455e+00, 5.102495811110920876e+00, 4.927189553745153994e+00, 4.193578588608804836e+00, 5.103049488125182442e+00, 3.739485986732905332e+00, 2.155387712976097880e+00, 5.048449741209616093e+00, 2.896083081146172855e+00, 3.236578927711367459e+00, 3.229036258747350896e+00, 2.638580582912833705e+00
1.855000000000000000e+03, 4.023169871996051583e+00, 4.428846198856374983e+00, 1.568723518879840295e+00, 4.032710212005499173e+00, 1.789706059382783820e+00, 5.240455795021923713e+00, 4.727408998980398458e+00, 4.181929380277325414e+00, 5.151496343454383897e+00, 3.725657622992493589e+00, 2.200478047175733476e+00, 4.670178459951624284e+00, 2.993245515599022077e+00, 3.263666849197218056e+00, 3.694676862294383746e+00, 2.562530450108231328e+00
1.856000000000000000e+03, 3.946546985465830826e+00, 4.372384351149608328e+00, 1.596990343876938390e+00, 4.046728253182233281e+00, 1.726585200013211585e+00, 5.290622148090835530e+00, 4.498460683240312008e+00, 4.076199924001176811e+00, 5.125479958370402045e+00, 3.349906932315084518e+00, 2.225333758943985440e+00, 4.864231302999904472e+00, 2.975115925994328947e+00, 3.226610161121994391e+00, 4.035325658217375100e+00, 2.642761409191420441e+00
1.857000000000000000e+03, 3.897801944879917269e+00, 4.590426676448501553e+00, 1.556539916273945501e+00, 3.749013663802518437e+00, 1.713353279332912704e+00, 4.924908065269860025e+00, 4.675911386267703307e+00, 4.507319327014283061e+00, 5.144884406396245780e+00, 3.440212449215426460e+00, 2.255934507218929852e+00, 5.288272489549071587e+00, 2.793992555021131086e+00, 3.462063640557380584e+00, 3.923527041898476675e+00, 2.568596655065104262e+00
1.858000000000000000e+03, 3.966942303602994713e+00, 4.612282026713861782e+00, 1.622669704707090599e+00, 4.019594232165932368e+00, 1.792831403109117705e+00, 5.093118846943025524e+00, 4.680257706473079260e+00, 4.329562527055387022e+00, 5.397895461218288560e+00, 3.793834611642564525e+00, 2.263331869774317884e+00, 5.375706288222418472e+00, 3.065094197543065224e+00, 3.385905204673824720e+00, 3.777761031250259638e+00, 2.571967132490451835e+00
1.859000000000000000e+03, 3.956359681958195207e+00, 4.704822090357893671e+00, 1.614214439962431413e+00, 3.930014040018720678e+00, 1.868735847753984824e+00, 5.011474156609437181e+00, 4.950828839875457632e+00, 4.152365655306287096e+00, 5.269562749111042166e+00, 3.723641351246541831e+00, 2.288994349960094432e+00, 4.980634759606104467e+00, 3.139642653203192690e+00, 2.920861760924092554e+00, 3.740691062247649246e+00, 2.606216877799587106e+00
