year, NorESM2-LM, IPSL-CM6A-LR, INM-CM4-8, CMCC-CM2-SR5, GFDL-ESM4, TaiESM1, INM-CM5-0, EC-Earth3-Veg, CESM2-WACCM, CanESM5, UKESM1-0-LL, ACCESS-ESM1-5, CNRM-ESM2-1, MPI-ESM1-2-LR, MIROC-ES2L, NorESM2-MM
1.896000000000000000e+03, 1.562074050867916064e+00, 1.733496923429456826e+00, 1.646576494696089021e+00, 1.504694395968813048e+00, 1.751365441307948023e+00, 1.313310351678987020e+00, 1.633841551779520840e+00, 1.376584623364571547e+00, 1.559518541532344704e+00, 1.463443367887243607e+00, 1.507084792343358792e+00, 1.852477245785324911e+00, 1.592986915625742572e+00, 1.625061653386686178e+00, 1.644487137568473090e+00, 1.438367510574836805e+00
1.897000000000000000e+03, 1.512831844933014036e+00, 1.678174761961925388e+00, 1.653010418084128963e+00, 1.489454305606892515e+00, 1.825753159881368770e+00, 1.363143555234500370e+00, 1.691141606580072176e+00, 1.413112356443533502e+00, 1.507807202267355207e+00, 1.435656772003600201e+00, 1.553642922382654445e+00, 1.841704330120549127e+00, 1.519777836291883233e+00, 1.621360690295716944e+00, 1.636964034550267399e+00, 1.402326556235138133e+00
1.898000000000000000e+03, 1.453856827925811501e+00, 1.668123106433374581e+00, 1.649173067361962675e+00, 1.453174203523714958e+00, 1.808745048540800759e+00, 1.371426101347226867e+00, 1.702717073569855133e+00, 1.435359458054852766e+00, 1.513537543096000748e+00, 1.448632444085006687e+00, 1.570211192842880132e+00, 1.901591165316891763e+00, 1.631955450807231589e+00, 1.642779842833570925e+00, 1.605530475636458787e+00, 1.406835959555136295e+00
1.899000000000000000e+03, 1.562669459196887711e+00, 1.671650073612537923e+00, 1.666012090811977986e+00, 1.565879745738559592e+00, 1.838253682483337093e+00, 1.327456023136343699e+00, 1.636423664087441887e+00, 1.475525917652100061e+00, 1.490198895126646939e+00, 1.495590144390424259e+00, 1.562393069662585177e+00, 1.881051768206741581e+00, 1.659823477490937504e+00, 1.739560168611984814e+00, 1.729292206400776744e+00, 1.419977186129657731e+00
1.900000000000000000e+03, 1.463186368799613390e+00, 1.595806741854817856e+00, 1.685248361458211663e+00, 1.510360657290973796e+00, 1.757888702168584283e+00, 1.344342177519178616e+00, 1.672144741312770133e+00, 1.446806176674428679e+00, 1.504235883635346216e+00, 1.345665104926093258e+00, 1.560497219124164614e+00, 1.815070503924558265e+00, 1.589814147831033919e+00, 1.653216579403984365e+00, 1.607395635195977057e+00, 1.395178007232702466e+00
1.901000000000000000e+03, 1.493675495385852647e+00, 1.656158724472630128e+00, 1.611312520022179839e+00, 1.438203025822062164e+00, 1.792413978917746009e+00, 1.327250807984511782e+00, 1.668481960026326982e+00, 1.442879942674377691e+00, 1.518546273753721865e+00, 1.436988945613832280e+00, 1.509439240042858010e+00, 1.846585716449676173e+00, 1.654145288819904414e+00, 1.749964709582680245e+00, 1.683803907815906165e+00, 1.495676675629781016e+00
1.902000000000000000e+03, 1.508682537731938611e+00, 1.677481203968446133e+00, 1.690638255438938309e+00, 1.537059555299608915e+00, 1.799304814469542269e+00, 1.403482269845185648e+00, 1.677129591044487666e+00, 1.381708295517249496e+00, 1.497544958674088100e+00, 1.464500932982215620e+00, 1.564129946038621100e+00, 1.906366878297689249e+00, 1.610069642291129810e+00, 1.700909475894446521e+00, 1.705303211568606203e+00, 1.455083075972180007e+00
1.903000000000000000e+03, 1.408983615168043491e+00, 1.631560663957386081e+00, 1.663737835407216092e+00, 1.491440897004672417e+00, 1.754330507212846335e+00, 1.347119975810938453e+00, 1.588671173492825162e+00, 1.383888793368431180e+00, 1.483279332202548595e+00, 1.297544789840591184e+00, 1.480828870941442776e+00, 1.882756580298676985e+00, 1.559021160295175568e+00, 1.515650760759316817e+00, 1.701183322622197069e+00, 1.386469091541212784e+00
1.904000000000000000e+03, 1.494021888694103017e+00, 1.636584966644015537e+00, 1.593173358868813727e+00, 1.492124255277790246e+00, 1.748180070096633232e+00, 1.286421294268240034e+00, 1.562257537378551886e+00, 1.392817950237640101e+00, 1.482153286406061810e+00, 1.400671077054515212e+00, 1.572200448169836839e+00, 1.893640123420817334e+00, 1.589569637654216994e+00, 1.597537491190451187e+00, 1.674276246786341238e+00, 1.391453014837234603e+00
1.905000000000000000e+03, 1.481296106364387022e+00, 1.692487682118589243e+00, 1.704064963561086943e+00, 1.504741414814658729e+00, 1.783414468082141990e+00, 1.353065732872741123e+00, 1.643253758760109262e+00, 1.437476498735114294e+00, 1.537199390532407284e+00, 1.434625443486490903e+00, 1.588710088407134347e+00, 1.914514317259016885e+00, 1.586887424801910917e+00, 1.711156697969183238e+00, 1.705466620840767389e+00, 1.484662398291008989e+00
1.906000000000000000e+03, 1.448419614795441124e+00, 1.668446905644454636e+00, 1.711789211004522970e+00, 1.497026551078460388e+00, 1.677448508022640450e+00, 1.349539449933064184e+00, 1.684142439582608564e+00, 1.384673000044406743e+00, 1.520175692555458591e+00, 1.465341500951059750e+00, 1.489385748751959726e+00, 1.892914975937679545e+00, 1.574454566305201197e+00, 1.713877236067364862e+00, 1.659299229732450476e+00, 1.368482532345201008e+00
1.907000000000000000e+03, 1.541413996708532741e+00, 1.619823761726401301e+00, 1.691864067413757278e+00, 1.480572773248471474e+00, 1.806550699909386104e+00, 1.314591451758616358e+00, 1.680240960491975910e+00, 1.446732934144634442e+00, 1.521264913239087413e+00, 1.414821947954112202e+00, 1.551935544984106796e+00, 1.899956105555362651e+00, 1.631409006507301696e+00, 1.692673800222220581e+00, 1.671333061915458718e+00, 1.431195512868805420e+00
1.908000000000000000e+03, 1.479871179937249037e+00, 1.664607492146664258e+00, 1.660889544800689066e+00, 1.524829392144827489e+00, 1.782075622365291823e+00, 1.321943052328964585e+00, 1.640139147572613254e+00, 1.431457994690694902e+00, 1.459250491682101414e+00, 1.431893567476967721e+00, 1.602871525452732149e+00, 1.879198673046015511e+00, 1.599267271364169574e+00, 1.703284531070683894e+00, 1.653057836357792576e+00, 1.407396889370249760e+00
1.909000000000000000e+03, 1.420870881197377811e+00, 1.648895003261974246e+00, 1.677177877548249763e+00, 1.533577867251057825e+00, 1.801927268567429685e+00, 1.316276008790117302e+00, 1.663542085309644758e+00, 1.389799276981728227e+00, 1.471839333256143467e+00, 1.454010789996429409e+00, 1.547345988267926797e+00, 1.885856514519777427e+00, 1.631059202279963705e+00, 1.629646458602710402e+00, 1.663975147501587148e+00, 1.473557130155213946e+00
1.910000000000000000e+03, 1.473625147227188181e+00, 1.689757894447519337e+00, 1.679204511603515693e+00, 1.500048203607345032e+00, 1.795518690549913199e+00, 1.348378808564742348e+00, 1.588654614219555006e+00, 1.379724926043919497e+00, 1.438134992303937043e+00, 1.416626832592338792e+00, 1.515069234378961127e+00, 1.927738887956294445e+00, 1.588939361003470774e+00, 1.726884368007033599e+00, 1.730663105251189160e+00, 1.401081608302605197e+00
1.911000000000000000e+03, 1.491303422496649045e+00, 1.698490244695171070e+00, 1.682450862397715907e+00, 1.601645882668439436e+00, 1.757562610220916088e+00, 1.376689004267221739e+00, 1.673376497037661004e+00, 1.361197727443222538e+00, 1.496740814347219839e+00, 1.409004276865917893e+00, 1.582388497793582260e+00, 1.939177985691158401e+00, 1.665443053923550965e+00, 1.673223482274414753e+00, 1.628297309033208462e+00, 1.424993424932915254e+00
