year, ACCESS-ESM1-5, CNRM-ESM2-1, IPSL-CM6A-LR, EC-Earth3-Veg, CESM2-WACCM, MIROC-ES2L, MPI-ESM1-2-LR, CMCC-CM2-SR5, UKESM1-0-LL
1.850000000000000000e+03, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.007007040910500723e-02, 0.000000000000000000e+00, 1.701951793249160266e-02, 1.372742744923459261e-02, 2.364157111433740077e-01, 6.783005739423785159e-03, 4.869219931720312255e-07
1.851000000000000000e+03, 4.055044027121707494e-03, 4.129827225739306456e-04, 1.036692355044261521e-02, 7.464953450846823066e-05, 3.072939547585832806e-02, 2.103065711166769020e-02, 2.366163203189597386e-01, 1.841573771589121236e-02, 1.224113291938334517e-06
1.852000000000000000e+03, 7.567361821302982967e-03, 7.880664289266437958e-04, 1.045096049519475892e-02, 1.477189243565959565e-04, 4.300953650299475794e-02, 2.644441592964584184e-02, 2.370227188937102381e-01, 2.795737605474624826e-02, 1.753159542757156600e-06
1.853000000000000000e+03, 1.059553182332348235e-02, 1.124477858292332417e-03, 1.049518177766678786e-02, 2.184081251166606708e-04, 5.354548822136923070e-02, 3.069360271808389135e-02, 2.373995837835845002e-01, 3.628828599138334693e-02, 2.181805449888952802e-06
1.854000000000000000e+03, 1.375269266741858606e-02, 1.423311031372041921e-03, 1.053956604633564387e-02, 2.869340538240860040e-04, 6.271715862350489556e-02, 3.408590618353365270e-02, 2.377110053438219184e-01, 4.352944986167906621e-02, 2.481517096350343894e-06
1.855000000000000000e+03, 1.661075585365692775e-02, 1.693766255749239256e-03, 1.052276453055556692e-02, 3.541698038436763454e-04, 7.074324390303134147e-02, 3.676861447695375928e-02, 2.379994855913977747e-01, 4.989148864451131010e-02, 2.694971563887969523e-06
1.856000000000000000e+03, 1.931746563247846438e-02, 1.931794625310383467e-03, 1.054272005604897124e-02, 4.203433705656801889e-04, 7.788973378744921960e-02, 3.876445567425521738e-02, 2.381915869943333208e-01, 5.531374331343585221e-02, 2.970005260590374727e-06
1.857000000000000000e+03, 2.185880543050127897e-02, 2.132621037491072655e-03, 1.060256986016973151e-02, 4.840375798384570754e-04, 8.428914151767487317e-02, 4.037470942214199665e-02, 2.383425618701616733e-01, 6.004951150264743742e-02, 3.271986919858272498e-06
1.858000000000000000e+03, 2.425743411422482190e-02, 2.298694032752819985e-03, 1.071832089775645244e-02, 5.457691131673367063e-04, 9.007928574559539991e-02, 4.170815546420331144e-02, 2.383917624852809336e-01, 6.427835039334647838e-02, 3.482557999074818968e-06
1.859000000000000000e+03, 2.657619041813455429e-02, 2.429019854696620045e-03, 1.082389472024830428e-02, 6.057487100386293750e-04, 9.540587749503344484e-02, 4.284174992560337014e-02, 2.385450566683522400e-01, 6.807283275629019692e-02, 3.621028540537497374e-06
1.860000000000000000e+03, 2.885599852242534333e-02, 2.497185453825667006e-03, 1.134223298611406437e-02, 6.639171607167484827e-04, 1.003904137817216574e-01, 4.501198602820091765e-02, 2.394791557217153810e-01, 7.138835389831497957e-02, 3.608179011801719880e-06
1.861000000000000000e+03, 3.013595554631182810e-02, 2.366700307735151824e-03, 1.169173898244699368e-02, 6.843512289905197233e-04, 1.064435283417949074e-01, 4.698557456326068332e-02, 2.407621061065298995e-01, 7.490605943720718418e-02, 3.552547142119605698e-06
1.862000000000000000e+03, 3.169922616473368204e-02, 2.250426225426590404e-03, 1.191636693675050644e-02, 7.041144185696977158e-04, 1.124138073854552694e-01, 4.872639480655838184e-02, 2.420016851035338701e-01, 7.877327357911748096e-02, 3.566971755052657534e-06
1.863000000000000000e+03, 3.337769898641983202e-02, 2.148502588571933863e-03, 1.204829417797583825e-02, 7.228199303717293975e-04, 1.180179058476842069e-01, 5.029453237884076722e-02, 2.431489491313250650e-01, 8.243381891886988888e-02, 3.592832108273812865e-06
1.864000000000000000e+03, 3.487384968938114088e-02, 2.061742324895329045e-03, 1.226428389539343210e-02, 7.407318573345047195e-04, 1.232995639877952215e-01, 5.154062851447444027e-02, 2.442573660562606108e-01, 8.583405164596057124e-02, 3.585540169539613921e-06
1.865000000000000000e+03, 3.643211129896102574e-02, 1.987859682126852205e-03, 1.244887334962577544e-02, 7.583143642149965452e-04, 1.282649924407878728e-01, 5.267432947264717030e-02, 2.452837772948078809e-01, 8.901548524319548295e-02, 3.592880623057787187e-06
1.866000000000000000e+03, 3.780076856764465892e-02, 1.929617390692243322e-03, 1.260437839963844502e-02, 7.616620903385838085e-04, 1.329674443548983231e-01, 5.371928821554573102e-02, 2.463923112160540108e-01, 9.205362309589575076e-02, 3.599732948265661833e-06
1.867000000000000000e+03, 3.938138665672900884e-02, 1.888546805232534358e-03, 1.273173250897419173e-02, 7.653213184960028052e-04, 1.374683228322379491e-01, 5.490872348082793258e-02, 2.474036368634011107e-01, 9.496465743834962836e-02, 3.604743873664243017e-06
1.868000000000000000e+03, 4.115326093961099718e-02, 1.863308913008582517e-03, 1.292762686670537869e-02, 7.689652632361117625e-04, 1.418329031322076994e-01, 5.610848952148640018e-02, 2.483118791233147882e-01, 9.777232370704966313e-02, 3.651260806720225344e-06
1.869000000000000000e+03, 4.250585057592645016e-02, 1.854122529746280628e-03, 1.305257395142530447e-02, 7.724630437210338804e-04, 1.460038051947154247e-01, 5.724988594655517488e-02, 2.492115619584550912e-01, 1.004613486117933580e-01, 3.684568423962077559e-06
1.870000000000000000e+03, 4.381273322397474107e-02, 1.871894964614700431e-03, 1.267837009159865011e-02, 7.757589223036496671e-04, 1.500653827825205733e-01, 5.683662862501018265e-02, 2.495930137296947793e-01, 1.032331449018011743e-01, 3.961135891580375894e-06
1.871000000000000000e+03, 4.623859333426148105e-02, 2.137797809701119829e-03, 1.295782190267437926e-02, 8.108791832788602143e-04, 1.527481166363184872e-01, 5.763930639789300453e-02, 2.497853978581705547e-01, 1.053987255462364991e-01, 4.301171667668095787e-06
1.872000000000000000e+03, 4.861077164204724577e-02, 2.376516298297126541e-03, 1.305812256047699828e-02, 8.461828505049903389e-04, 1.562094202349395278e-01, 5.821857125248190018e-02, 2.503931558471433338e-01, 1.071562632423863071e-01, 4.563447717336026852e-06
1.873000000000000000e+03, 5.089880228782388272e-02, 2.593576900016386719e-03, 1.309601875774356328e-02, 8.816040302268080605e-04, 1.597218248925702244e-01, 5.910484128149843391e-02, 2.511676029326068149e-01, 1.092554687359590104e-01, 4.826917920423877414e-06
1.874000000000000000e+03, 5.312773443013304314e-02, 2.793645168694227840e-03, 1.321459329155116880e-02, 9.160048448795169275e-04, 1.632949017866051900e-01, 5.993949778391657185e-02, 2.519369023274956598e-01, 1.114162319782673188e-01, 5.158583967478509251e-06
1.875000000000000000e+03, 5.536850634526328113e-02, 2.966778959522181972e-03, 1.341671455021158262e-02, 9.506287893160863612e-04, 1.667280422546110752e-01, 6.058564540518702329e-02, 2.528816148514421713e-01, 1.136307202514635628e-01, 5.403364495825399162e-06
1.876000000000000000e+03, 5.753210025662009591e-02, 3.114733695388156084e-03, 1.357407799632163320e-02, 9.828183182332324037e-04, 1.701983823203186974e-01, 6.121755329669155421e-02, 2.538571818742899611e-01, 1.159019652073358247e-01, 5.669043243346829192e-06
1.877000000000000000e+03, 5.965972990872545761e-02, 3.236696919338736492e-03, 1.377205530678469493e-02, 1.014981529149248810e-03, 1.736856368187686961e-01, 6.199729274739994994e-02, 2.548040863147367774e-01, 1.182173724331859049e-01, 5.866645162704091062e-06
1.878000000000000000e+03, 6.167916992275161714e-02, 3.334933883599709454e-03, 1.404478931083286489e-02, 1.045549640863760064e-03, 1.771596252750778089e-01, 6.298472314948629081e-02, 2.558527276055752031e-01, 1.205709740390410872e-01, 5.869988041616650835e-06
1.879000000000000000e+03, 6.374375040235745471e-02, 3.410005313369461263e-03, 1.436805303643995217e-02, 1.075447148600600783e-03, 1.806305453787523940e-01, 6.401537231845053078e-02, 2.569562404584976867e-01, 1.229148465199878665e-01, 5.870950230199226675e-06
