year, ACCESS-ESM1-5, CNRM-ESM2-1, IPSL-CM6A-LR, EC-Earth3-Veg, CESM2-WACCM, MIROC-ES2L, MPI-ESM1-2-LR, CMCC-CM2-SR5, UKESM1-0-LL
1.880000000000000000e+03, 6.580073241635993331e-02, 3.444477528445656633e-03, 1.454493796039408975e-02, 1.104749261789730441e-03, 1.841201431040631331e-01, 6.482711373461462478e-02, 2.579134140043685131e-01, 1.253127335738154213e-01, 6.048911735942225600e-06
1.881000000000000000e+03, 6.813148215028969057e-02, 3.495974797607837199e-03, 1.538233320733532576e-02, 1.131827891403393771e-03, 1.872788438755182694e-01, 6.616143738437524346e-02, 2.592922038847776389e-01, 1.276083516758153569e-01, 6.376867448475473011e-06
1.882000000000000000e+03, 7.084588468374691805e-02, 3.540865455370692787e-03, 1.578570709193983373e-02, 1.158608072553718449e-03, 1.911397436506643566e-01, 6.739294900105936847e-02, 2.609380824372952712e-01, 1.300308612888274040e-01, 6.650384189335595327e-06
1.883000000000000000e+03, 7.302336436283295151e-02, 3.577278893529827961e-03, 1.615753357772979973e-02, 1.185306816513476092e-03, 1.948846641539227209e-01, 6.859372545528738541e-02, 2.624944707485762363e-01, 1.326536035654986567e-01, 6.721666887404250927e-06
1.884000000000000000e+03, 7.528301159200474768e-02, 3.610333040007885318e-03, 1.649022956120661104e-02, 1.212031054937560059e-03, 1.985246792731789889e-01, 6.961004294733784403e-02, 2.640441368161173807e-01, 1.352063128656782465e-01, 6.882187142257194026e-06
1.885000000000000000e+03, 7.748256288530017133e-02, 3.640091329524702910e-03, 1.685429311480123732e-02, 1.238979971970639903e-03, 2.020895373943869255e-01, 7.066228368798714576e-02, 2.655544015140467451e-01, 1.377147972428088285e-01, 7.120724991335741823e-06
1.886000000000000000e+03, 7.970179563754418994e-02, 3.664321075774214492e-03, 1.708737333250606727e-02, 1.267147188397693648e-03, 2.056168601876939006e-01, 7.158640495232594658e-02, 2.671832901763311341e-01, 1.401932234929696985e-01, 7.265762842009709174e-06
1.887000000000000000e+03, 8.183148460177057382e-02, 3.683683658696465524e-03, 1.732257270452495709e-02, 1.294538993937397473e-03, 2.091152274000415701e-01, 7.232048458099246679e-02, 2.687425497514842054e-01, 1.426010779327909761e-01, 7.363182559267919929e-06
1.888000000000000000e+03, 8.394348903763400316e-02, 3.698322164673363468e-03, 1.755235554809174772e-02, 1.321542042098298574e-03, 2.126069740917223283e-01, 7.298075307479828799e-02, 2.704387550029087595e-01, 1.448752671194168395e-01, 7.417137808781379032e-06
1.889000000000000000e+03, 8.610828067810219477e-02, 3.707981467456673581e-03, 1.771107246570959373e-02, 1.347749423264633060e-03, 2.158702700638521210e-01, 7.380091663603254026e-02, 2.720386623632845002e-01, 1.470780216073673541e-01, 7.501137016658754122e-06
1.890000000000000000e+03, 8.843663938170406857e-02, 3.710005494693753136e-03, 1.808630826165125507e-02, 1.373484458978637985e-03, 2.190918997084620179e-01, 7.515708662529085871e-02, 2.737011592692715767e-01, 1.491708845168962794e-01, 7.478557778444342267e-06
1.891000000000000000e+03, 8.996891873378388971e-02, 3.647626541507974045e-03, 1.888318516699779084e-02, 1.377426663973010208e-03, 2.223009331606595751e-01, 7.735885699805790383e-02, 2.761042499467644684e-01, 1.513989020163077348e-01, 7.375683507676083861e-06
1.892000000000000000e+03, 9.171353939244533682e-02, 3.592336834878429638e-03, 1.905501762628935072e-02, 1.380589484638158155e-03, 2.264257044467061497e-01, 7.890908635903279289e-02, 2.787628512407125392e-01, 1.540145898536008917e-01, 7.264409519067794584e-06
1.893000000000000000e+03, 9.362908024682996266e-02, 3.542933361188179905e-03, 1.937257157063513452e-02, 1.383523557641535163e-03, 2.304103373355063100e-01, 8.037211624730970783e-02, 2.813210025474837672e-01, 1.567608722713041691e-01, 7.261809695370246353e-06
1.894000000000000000e+03, 9.534281322465185116e-02, 3.499973941104066611e-03, 1.971551139219462206e-02, 1.386586436870140956e-03, 2.342894770031370977e-01, 8.169472295615662349e-02, 2.838536723834563791e-01, 1.594258029373998298e-01, 7.188275934618027013e-06
1.895000000000000000e+03, 9.729085798369549454e-02, 3.464631563556279468e-03, 2.003600189095212231e-02, 1.390009561632505903e-03, 2.380952941353291497e-01, 8.279168746541892832e-02, 2.863511421421613967e-01, 1.620207953199360451e-01, 7.170848491627687682e-06
1.896000000000000000e+03, 9.914138245897599622e-02, 3.456755359662886870e-03, 2.024983349006516387e-02, 1.393072893251802360e-03, 2.417492471629595907e-01, 8.389107180114026285e-02, 2.887876930863069735e-01, 1.645471924696532140e-01, 7.195222026260179102e-06
1.897000000000000000e+03, 1.008108507001217319e-01, 3.457569893131976109e-03, 2.056650956914813505e-02, 1.397141117834968960e-03, 2.453101257312294281e-01, 8.483807372995931517e-02, 2.910654639360194529e-01, 1.670154837030551898e-01, 7.182382302454341282e-06
1.898000000000000000e+03, 1.027321549916408033e-01, 3.462789226907975453e-03, 2.087159253824608443e-02, 1.401252377393329661e-03, 2.487776697582016472e-01, 8.577935243371530294e-02, 2.933993689115311221e-01, 1.694162398125612090e-01, 7.292588168816406486e-06
1.899000000000000000e+03, 1.043752691678376254e-01, 3.485242585111595400e-03, 2.132030423902977687e-02, 1.405589463163962318e-03, 2.521631961221219020e-01, 8.674024939205375595e-02, 2.957515322825651771e-01, 1.717610165390310584e-01, 7.357659607142163885e-06
1.900000000000000000e+03, 1.060250258108051541e-01, 3.517886990633313244e-03, 2.125066772578061008e-02, 1.409729051191578294e-03, 2.554767959321640469e-01, 8.753697197593436619e-02, 2.975143556926047039e-01, 1.748150954068306562e-01, 8.767985920258598644e-06
1.901000000000000000e+03, 1.136823806947140081e-01, 4.437579303144070265e-03, 2.720822648027795831e-02, 1.518648698190021252e-03, 2.601942702511495509e-01, 9.764646874746948924e-02, 3.032329007392288722e-01, 1.778729409590822097e-01, 1.076179853591533208e-05
1.902000000000000000e+03, 1.240027872337253895e-01, 5.519284867824443552e-03, 2.876053745136107620e-02, 1.639226987967232251e-03, 2.756341024549114893e-01, 1.039999899909402614e-01, 3.112649352936617819e-01, 1.841465691336695576e-01, 1.185268709078438851e-05
1.903000000000000000e+03, 1.336338373413202274e-01, 6.588557665866310968e-03, 3.035271160417461409e-02, 1.762320760393226412e-03, 2.893393215440759336e-01, 1.091422198979745267e-01, 3.182777656826270007e-01, 1.933914749083560092e-01, 1.256592985751440611e-05
1.904000000000000000e+03, 1.430496276845037440e-01, 7.533609238659810803e-03, 3.193926280939491519e-02, 1.890911055989158299e-03, 3.017602771493718694e-01, 1.137331547227008882e-01, 3.251015206223549225e-01, 2.015463760354440359e-01, 1.311630597449986460e-05
1.905000000000000000e+03, 1.517655715196127575e-01, 8.361385500043680766e-03, 3.351307996317762217e-02, 2.022336671142045163e-03, 3.134524792345187993e-01, 1.177273734885845025e-01, 3.319367959827217995e-01, 2.090053880818961984e-01, 1.368579910308833213e-05
1.906000000000000000e+03, 1.628973171495951000e-01, 9.073562778149718566e-03, 3.512536851253328374e-02, 2.157034449751364137e-03, 3.243000358103526604e-01, 1.213701306087414111e-01, 3.385755824799203673e-01, 2.160211546434811780e-01, 1.422559205724608943e-05
1.907000000000000000e+03, 1.712196953009398059e-01, 9.680155793830027069e-03, 3.654744366789501597e-02, 2.291476270091309317e-03, 3.344553884100412433e-01, 1.248153374102861785e-01, 3.450855496800157018e-01, 2.226406467242187104e-01, 1.468909786434254646e-05
1.908000000000000000e+03, 1.794183236477270571e-01, 1.018014199776301823e-02, 3.813965784608705500e-02, 2.429235476098070765e-03, 3.440697786394987245e-01, 1.281262051092174614e-01, 3.515882227103390156e-01, 2.287980602344037717e-01, 1.540341101597413238e-05
1.909000000000000000e+03, 1.874357445395379296e-01, 1.056882870526021367e-02, 3.967567128257436238e-02, 2.564511081372425946e-03, 3.532884251943316234e-01, 1.313829587387558562e-01, 3.579407329398718307e-01, 2.346157813755967159e-01, 1.602333107031416772e-05
1.910000000000000000e+03, 1.951703370118748615e-01, 1.078965471088674105e-02, 4.220408224748060239e-02, 2.700109306864835208e-03, 3.620617122963367684e-01, 1.353569483432502385e-01, 3.652159362581664515e-01, 2.392269339621905244e-01, 1.460919470633857166e-05
1.911000000000000000e+03, 1.956246310950794376e-01, 9.539167118235351503e-03, 4.368438247615778064e-02, 2.545801829281883494e-03, 3.692787986806534417e-01, 1.382450620299157107e-01, 3.727811948309701640e-01, 2.438056442243686506e-01, 1.217065062781564185e-05
1.912000000000000000e+03, 1.967369979857370998e-01, 8.382766059910578063e-03, 4.482960395503952922e-02, 2.401170357090710080e-03, 3.757393517932539062e-01, 1.399282597127788630e-01, 3.796331682108299299e-01, 2.490768782605072007e-01, 1.071258406600034574e-05
1.913000000000000000e+03, 1.979854349065926222e-01, 7.346933418950009169e-03, 4.593324107822282371e-02, 2.265432871900766379e-03, 3.813525364597203926e-01, 1.412105699830859262e-01, 3.857545229788871821e-01, 2.537417843550327512e-01, 9.648535110484558454e-06
1.914000000000000000e+03, 1.992835746118127582e-01, 6.415739590709149294e-03, 4.675490060537271231e-02, 2.138218978564629391e-03, 3.861689626709089440e-01, 1.420069983952404746e-01, 3.913198147955349593e-01, 2.577636760361032842e-01, 8.773441405081938466e-06
1.915000000000000000e+03, 2.005213847296259122e-01, 5.592736319825980865e-03, 4.756572847981981739e-02, 2.018912092666354501e-03, 3.903429419013206836e-01, 1.425184456061006355e-01, 3.963408981972321166e-01, 2.612129422989933336e-01, 8.036152563599388682e-06
1.916000000000000000e+03, 2.025626009915856285e-01, 4.878705315404087070e-03, 4.797179910663823543e-02, 1.907139999905586034e-03, 3.938731036202409164e-01, 1.429880169083058150e-01, 4.013750412910597198e-01, 2.641633279762343745e-01, 7.381474217571810276e-06
1.917000000000000000e+03, 2.035809704622848215e-01, 4.276512917945394718e-03, 4.790037428384369411e-02, 1.802214535745305006e-03, 3.987807572863151240e-01, 1.433020751151271310e-01, 4.064466590925339129e-01, 2.675947486163826605e-01, 6.796341534048352606e-06
1.918000000000000000e+03, 2.045796556363287666e-01, 3.789664570724895609e-03, 4.806636520897682174e-02, 1.704224562869422355e-03, 4.045690268315252358e-01, 1.430558740749430791e-01, 4.106082946914335063e-01, 2.721602290832998983e-01, 6.266584633722047214e-06
1.919000000000000000e+03, 2.052464453390730470e-01, 3.418385404233183298e-03, 4.830349174929676748e-02, 1.612393674384100372e-03, 4.094414401033212303e-01, 1.430263142645527841e-01, 4.143098221066622844e-01, 2.764317224064770651e-01, 5.799597164732807809e-06
1.920000000000000000e+03, 2.058106039588013247e-01, 3.285394353646821104e-03, 4.882250503970329142e-02, 1.526917149768630255e-03, 4.127483302721898228e-01, 1.432943364133988096e-01, 4.178565847743523354e-01, 2.800176388610072231e-01, 5.961124398692694410e-06
1.921000000000000000e+03, 2.071117393200969936e-01, 3.412642486995960504e-03, 4.911053787002950949e-02, 1.509028701310627775e-03, 4.171113422054596453e-01, 1.438561632179778671e-01, 4.214721112656636404e-01, 2.833040472933704423e-01, 6.383627417327133437e-06
1.922000000000000000e+03, 2.084087286379167347e-01, 3.520244587054389973e-03, 4.961725241743880632e-02, 1.491806355144678240e-03, 4.212276626272350999e-01, 1.446507154437083054e-01, 4.251620095018003864e-01, 2.858414196613769942e-01, 6.492554030077301710e-06
1.923000000000000000e+03, 2.099693720257685414e-01, 3.662202172499285507e-03, 5.009646107717190266e-02, 1.475503389916091789e-03, 4.248551576852752087e-01, 1.455946075408825757e-01, 4.288355685806474749e-01, 2.875336914388136322e-01, 6.531696823576991736e-06
1.924000000000000000e+03, 2.114723350253696343e-01, 3.786536042272398324e-03, 5.051842805108763823e-02, 1.459795066300753142e-03, 4.283457717884517346e-01, 1.467326106394797880e-01, 4.324929029929340252e-01, 2.887725703685506407e-01, 6.576867791330623459e-06
1.925000000000000000e+03, 2.131287594172701361e-01, 3.886524838785577595e-03, 5.054738331133950408e-02, 1.445869667510899436e-03, 4.316424848830360261e-01, 1.481206599183319539e-01, 4.362213782594924760e-01, 2.897883115858826408e-01, 6.557921138365873924e-06
1.926000000000000000e+03, 2.146597858873376119e-01, 3.960806332680931290e-03, 5.096028050869661624e-02, 1.419498175823903120e-03, 4.340030595067924102e-01, 1.491093381801135431e-01, 4.400082533963438625e-01, 2.912674038617689143e-01, 6.639528321234590275e-06
1.927000000000000000e+03, 2.162731231940283882e-01, 4.010545329952936409e-03, 5.127033545620287430e-02, 1.394039336405045876e-03, 4.360770400199515118e-01, 1.502515835963972868e-01, 4.436159465776348121e-01, 2.928681782398743771e-01, 6.759347427526718978e-06
1.928000000000000000e+03, 2.178001359979443441e-01, 4.036619393824708059e-03, 5.161791877044982768e-02, 1.369528250506355958e-03, 4.378737535170857953e-01, 1.517421026462930644e-01, 4.471376822310140775e-01, 2.933960841934482588e-01, 6.736784693376965112e-06
1.929000000000000000e+03, 2.194414692623487262e-01, 4.037929192461539758e-03, 5.203751560559636419e-02, 1.345465519966932040e-03, 4.390392847715571811e-01, 1.529417778713043352e-01, 4.503453608269016861e-01, 2.935785490576936496e-01, 6.721223229339565770e-06
1.930000000000000000e+03, 2.211764025530118805e-01, 3.993983152163495774e-03, 5.228303692990265983e-02, 1.322380665163935820e-03, 4.395019362152977060e-01, 1.566231325586588674e-01, 4.538870618952196012e-01, 2.949315831995843462e-01, 8.611837812592854259e-06
1.931000000000000000e+03, 2.329869928301722126e-01, 5.695234990720595379e-03, 5.298572037271855051e-02, 1.372464946536137119e-03, 4.447348067450545561e-01, 1.599376869323448358e-01, 4.578468907157288714e-01, 2.974090038276174242e-01, 1.162802212429707700e-05
1.932000000000000000e+03, 2.436533862600678002e-01, 7.222299811539720574e-03, 5.346818555007318979e-02, 1.422558387180076610e-03, 4.506606421715331212e-01, 1.628063116924934606e-01, 4.620018940236244043e-01, 3.007418892520505316e-01, 1.370896705320087574e-05
1.933000000000000000e+03, 2.534014061604244472e-01, 8.582495312097558615e-03, 5.385378946806367723e-02, 1.473668743369944620e-03, 4.565233194897541646e-01, 1.659668808977166621e-01, 4.661780050544641063e-01, 3.054086044497182351e-01, 1.516104484312207218e-05
1.934000000000000000e+03, 2.626491854761443534e-01, 9.785009011876273297e-03, 5.435805802521517099e-02, 1.525402011158130764e-03, 4.623700222803222570e-01, 1.688883331952536204e-01, 4.705726682618924239e-01, 3.086923911112267049e-01, 1.613469038533730295e-05
1.935000000000000000e+03, 2.715041279586726253e-01, 1.081813554992707913e-02, 5.492487625834732712e-02, 1.578632079693308328e-03, 4.683608252791907622e-01, 1.715725766169491628e-01, 4.750321214092489974e-01, 3.115999818127220267e-01, 1.693799952760467305e-05
1.936000000000000000e+03, 2.801572862606886427e-01, 1.170022366575884654e-02, 5.551115822298438585e-02, 1.667868058129591286e-03, 4.743868210024890231e-01, 1.741253199657524509e-01, 4.797226739053242484e-01, 3.146399765574623419e-01, 1.754398371902837644e-05
1.937000000000000000e+03, 2.897793586379378561e-01, 1.247461794517708104e-02, 5.594344920923471909e-02, 1.761566235646969602e-03, 4.804495658357947341e-01, 1.767153522575631852e-01, 4.844416208918386202e-01, 3.176980578373760356e-01, 1.823697727923528913e-05
1.938000000000000000e+03, 2.980885868881613665e-01, 1.344848773161448283e-02, 5.673644885892040884e-02, 1.864775274925758097e-03, 4.862729382865266792e-01, 1.792823252542214696e-01, 4.892313453452361571e-01, 3.207931186526208900e-01, 1.896689711066660089e-05
1.939000000000000000e+03, 3.062056197936155466e-01, 1.444821783365341471e-02, 5.749562081447789907e-02, 1.975150053731688973e-03, 4.922079156493499585e-01, 1.815356467331842860e-01, 4.940826668155406387e-01, 3.240361192148527580e-01, 1.956722673101485708e-05
1.940000000000000000e+03, 3.145383528692368702e-01, 1.513689044758193165e-02, 5.828263081264388468e-02, 2.099331717907315913e-03, 4.984181179071680012e-01, 1.813555363380760788e-01, 4.989259711818699872e-01, 3.259603727265578121e-01, 1.790230628917093881e-05
1.941000000000000000e+03, 3.120639006082306377e-01, 1.350886953604963150e-02, 5.895209215965477312e-02, 1.939631403001823790e-03, 4.989031082253655991e-01, 1.820321881326978919e-01, 5.036343630228724555e-01, 3.268639836124851428e-01, 1.515164260569660348e-05
1.942000000000000000e+03, 3.116652995242485957e-01, 1.196880466854516843e-02, 5.938485177218317396e-02, 1.794515068951161403e-03, 4.999131734844250441e-01, 1.826228914123622926e-01, 5.081511092538905094e-01, 3.281372885005196527e-01, 1.345616453263540992e-05
1.943000000000000000e+03, 3.109424427225801479e-01, 1.052320910884150737e-02, 5.989256728824368659e-02, 1.662874696548917669e-03, 5.009478057412263263e-01, 1.832409896777804637e-01, 5.122408869727491654e-01, 3.294864447383830663e-01, 1.222227362001536209e-05
1.944000000000000000e+03, 3.105739423876837102e-01, 9.205451315205406826e-03, 6.050020186362876917e-02, 1.543981364755417319e-03, 5.021158875255238296e-01, 1.838767812550597125e-01, 5.163188629452392098e-01, 3.307673770785204415e-01, 1.129748868410919427e-05
1.945000000000000000e+03, 3.103882960874271291e-01, 8.017417057201279076e-03, 6.094391410205898113e-02, 1.436768839565161476e-03, 5.032607607825924090e-01, 1.846213954813570868e-01, 5.200880540397153640e-01, 3.319510368452064375e-01, 1.048290374661721414e-05
1.946000000000000000e+03, 3.112587309202838881e-01, 6.966577198105391305e-03, 6.143319372466328476e-02, 1.340456837688362105e-03, 5.044318537682161985e-01, 1.852720168701764425e-01, 5.237842268283706693e-01, 3.330295685610473178e-01, 9.763332473895370293e-06
1.947000000000000000e+03, 3.122191014012425936e-01, 6.032034780602990587e-03, 6.182226065226414935e-02, 1.254156970972626932e-03, 5.055302935235927997e-01, 1.859857302842511384e-01, 5.272317420792528297e-01, 3.340540675954052907e-01, 9.106190022472904176e-06
1.948000000000000000e+03, 3.132486030328511251e-01, 5.249147881463538459e-03, 6.204288879251503019e-02, 1.176947925451557204e-03, 5.066347468813791055e-01, 1.864686455271577503e-01, 5.305247888254526201e-01, 3.350434422054585637e-01, 8.460063224624280337e-06
1.949000000000000000e+03, 3.141821350539794611e-01, 4.670128167518394942e-03, 6.684662586365237857e-02, 1.108407356650891818e-03, 5.077784082112716257e-01, 2.019261257643146512e-01, 5.384369667751700561e-01, 3.359813577449510813e-01, 7.926398342758953544e-06
1.950000000000000000e+03, 3.151192885462800186e-01, 4.525040374646929937e-03, 6.756851236301196495e-02, 1.224417783919951952e-03, 5.207510594953032035e-01, 2.088350835057298516e-01, 5.486604806873462969e-01, 3.428496470827256948e-01, 1.215676065030299342e-05
1.951000000000000000e+03, 3.154164119530173949e-01, 5.027127940937848628e-03, 7.004521797310656051e-02, 1.227519810387713581e-03, 5.301686559057802173e-01, 2.180959984458491485e-01, 5.582607207463937682e-01, 3.529253291933572290e-01, 1.781592294135823148e-05
1.952000000000000000e+03, 3.200465448143787750e-01, 5.428336424457666683e-03, 7.124584097880908018e-02, 1.240700571159868062e-03, 5.413776013819744382e-01, 2.224610550202111570e-01, 5.672806331031252647e-01, 3.596754016596003800e-01, 2.120146981795703912e-05
1.953000000000000000e+03, 3.222758694028217130e-01, 5.741124839619859976e-03, 7.261627114848494269e-02, 1.239055425293370373e-03, 5.508119819361348979e-01, 2.260742171539409373e-01, 5.753763215136624698e-01, 3.648002596042920209e-01, 2.449951612307712146e-05
1.954000000000000000e+03, 3.246418011742116527e-01, 5.952927594379732283e-03, 7.386243358793238845e-02, 1.247841051045755047e-03, 5.592290729754406664e-01, 2.292934678992544495e-01, 5.832946066597396451e-01, 3.690412197512823456e-01, 2.732252513244891204e-05
1.955000000000000000e+03, 3.271251838285526015e-01, 6.115744754329158379e-03, 7.504285343228656036e-02, 1.268481051130910826e-03, 5.670022312680541576e-01, 2.334805850558459017e-01, 5.913196437947095818e-01, 3.729290272605997880e-01, 2.982431133126434858e-05
