year, INM-CM4-8, CESM2-WACCM, IPSL-CM6A-LR, CanESM5, TaiESM1, ACCESS-ESM1-5, MPI-ESM1-2-LR, CMCC-CM2-SR5, EC-Earth3-Veg, NorESM2-LM, NorESM2-MM, UKESM1-0-LL, MIROC-ES2L, CNRM-ESM2-1, INM-CM5-0, GFDL-ESM4
1.850000000000000000e+03, 2.183698338416303619e-01, -2.142111812013939021e-01, -1.141164520153638562e-01, 2.021932208860033331e-02, -2.501478404288156460e-02, 1.094380677797962137e-01, -1.087415650907316983e-01, -2.189300909874433154e-01, -8.394089943339204038e-03, -2.824091640105232393e-01, 8.267686288375101361e-03, 1.998097774948286720e-01, -8.597433715639567209e-02, 3.632845006306981150e-02, 2.975766502189965412e-01, -1.538597299908538441e-01
1.851000000000000000e+03, 1.993059765402006855e-01, -5.841059294678315611e-02, -7.914110710965466255e-02, -1.196855472468251608e-01, 3.728671100304285779e-02, 7.587507978174624912e-02, 7.797338137486720111e-02, 9.744297627833396758e-02, -5.331765303295045444e-02, 5.480320924709046471e-02, 3.976319984987399664e-02, -2.375730588216714754e-04, 6.188980972988377544e-02, 9.295589973047566068e-02, 2.912644789685910895e-01, -1.096253580250445767e-02
1.852000000000000000e+03, 2.004011439774835701e-01, 1.423237002178232291e-01, -7.329968595248446961e-02, 7.038223946742430681e-02, -2.193869638059882735e-02, -1.614102497976923831e-02, -1.215998228236139511e-01, -2.288741172800161372e-02, -2.295678641092778749e-01, -3.618038445745773435e-02, 2.056858436629040998e-01, 1.004421270554730350e-01, 1.477268930997594210e-01, -5.697125680635023448e-02, 7.421091358800843696e-02, -1.274277684393636534e-01
1.853000000000000000e+03, 2.172370086153937174e-01, -1.663942954951249109e-01, -5.908057823927488628e-02, -2.900203342747932275e-02, 1.440337078705157276e-03, 6.019262081923378027e-02, 4.034163671292108344e-02, 4.029746308490285249e-03, -4.973824314576860695e-01, 2.350113547951333814e-02, 2.838684072558135263e-01, 4.934384366365394264e-02, 1.046351518029694228e-01, -9.179432159507882119e-03, 1.500134583910196773e-01, -6.164655711173851887e-02
1.854000000000000000e+03, 2.442586170996935424e-01, -3.211616095280610539e-01, -8.022313020931173821e-02, -1.321514930917220415e-02, -4.868662480323270904e-03, 5.577163873665511029e-02, -1.451051220469271215e-02, 1.166115385869272852e-02, -3.894536475439702716e-01, -2.259680278908014067e-02, 1.683213134616769746e-01, 9.953739871188070978e-03, -1.711354095590871538e-01, -1.030866895757394652e-01, 2.298497858898137791e-01, -2.397226299945495187e-01
1.855000000000000000e+03, 2.939345233279226921e-01, -1.618594328001619342e-01, -1.323012344262152092e-02, 3.033787865926200478e-02, -1.190169423348150061e-02, 2.675587021594420800e-02, -6.292644211451775549e-02, -3.564118895640002588e-02, -9.292286350101629233e-02, 8.908516716708528294e-02, 9.504054245546529611e-02, -1.491799730691680259e-01, -1.045903621663639080e-02, 1.765955728719370912e-02, 3.112711778857342737e-01, -9.395016371633189978e-02
1.856000000000000000e+03, 3.284909130363233287e-01, 1.092454656027484414e-02, -1.344496517994832850e-02, -8.535516730061880677e-03, -4.841909933634301610e-02, 8.960058348523347593e-02, -8.467487554377427228e-02, -1.317755702668667317e-01, -1.012623191890223567e-01, -1.038365470115570725e-02, -1.860819629316249058e-01, -2.179775816900107188e-01, 6.669188947035054049e-02, -1.357189139143706036e-01, 1.403319037230557620e-01, -1.173517917603645738e-01
1.857000000000000000e+03, 1.690825248616879134e-02, 2.073468393101148277e-01, -4.197972673256977760e-02, -8.143941209167351869e-02, -5.134805181516265138e-02, -1.050013324434309787e-02, -2.900384738511531044e-02, 1.738665120724467439e-01, -1.298390293881488411e-01, 1.868735186237062973e-01, -2.246788610529518726e-01, 8.113744902152206229e-02, -3.510627664818009586e-01, 1.236399296340219001e-01, 2.100353336427327466e-01, -6.648221189079898952e-02
1.858000000000000000e+03, 2.892625634784365962e-01, 1.960065510032470981e-01, -2.754755291461004688e-02, 2.565585198856450491e-02, 3.155174556184588575e-03, 3.040808618015246323e-02, -1.855098115608715126e-01, -4.068851607153118471e-02, -2.517248222996661400e-01, -3.724839793506980884e-02, 4.351522751119910049e-02, 2.170055282931510066e-01, -2.262949466023907452e-01, 2.918249172706341432e-02, 2.845811460861556452e-01, 1.362080491274018368e-01
1.859000000000000000e+03, 1.900532565909853755e-01, -1.626162630475952095e-02, -1.726252091224739910e-02, -3.856314764906835363e-02, 9.027353569870071037e-02, 3.760625049690896615e-02, 1.495280882003950373e-01, -1.411217818696940129e-01, -1.218229650535560538e-01, -1.756304534853388721e-01, 1.277810529722518962e-01, -1.106689706640787696e-01, -2.681587155468156958e-01, 1.077329882804557160e-01, 2.587280029914553192e-01, -2.524134691001184150e-02
1.860000000000000000e+03, 1.938764050241602310e-01, 8.528344354513879566e-02, -5.132817307145229324e-02, 5.937195313588049944e-02, -4.881026670751054813e-02, 8.072655434959540022e-02, 2.688525045164475227e-02, -7.475557142280887801e-02, -1.727221465678790702e-01, -2.279628889367368572e-01, -8.388618334605559002e-03, -3.953209256524818811e-03, 4.338545710861744370e-02, -1.316345210496009943e-01, 1.181389635052244036e-01, -7.297199861960990130e-02
1.861000000000000000e+03, 2.641346355343099916e-01, -1.431275124683393241e-01, -1.339689874139994227e-02, -7.185296132260876600e-02, -7.521303076011681688e-02, 9.255417032748775030e-02, 1.977575571395530918e-01, -5.071943999677778342e-02, -3.583766894515966195e-01, 1.013542459777035942e-01, -1.564401880500627673e-01, 1.381335827522636173e-01, 3.152715064755429730e-01, -1.105006799312629046e-01, 3.408265134100250671e-01, -4.105546083015369080e-02
1.862000000000000000e+03, 3.368992319811323077e-01, -1.730203002227768683e-01, -6.217262084011063172e-02, -2.034386483220271963e-02, 5.809157588305555175e-02, 7.584883441391154779e-02, -2.644969706544402985e-02, -1.929901406609860204e-01, 8.637033270869026724e-02, -6.905533434699050177e-02, -2.158596299881092861e-01, 9.694841725389523324e-02, 1.881108674593530428e-01, -7.372816124799244641e-02, 2.630969851758120925e-01, 9.680801230495642007e-02
1.863000000000000000e+03, 2.050218720712552456e-01, -1.340349462992616314e-01, -1.963630117276976908e-02, -2.152452240209097936e-02, -2.511761465417739619e-02, 6.683571331397701598e-02, -1.315238971627703465e-02, -3.058405826538874300e-02, -1.566120471697419747e-01, -2.175521338283685768e-01, 2.770344392521135318e-02, 1.027266987708302243e-01, -1.576993383042229468e-01, 5.170321941605205557e-02, 2.571198004052276387e-01, 6.509856082039199021e-02
1.864000000000000000e+03, 2.487815612456439340e-01, -2.132625159321423214e-02, 1.402921649006939235e-03, -8.082054968479586432e-02, -2.667357056416548577e-02, 9.416785513489278614e-02, -2.040735029577144533e-01, -5.220559465854635733e-02, -1.997643883510662743e-01, 1.454420408745276186e-02, -5.203388098040864773e-02, 6.337575594119007616e-02, -1.291095885841467006e-01, -8.600816558826863967e-02, 2.757115327433781182e-01, 5.809739170908494350e-03
