year, CNRM-ESM2-1, CMCC-CM2-SR5, TaiESM1, MIROC-ES2L, NorESM2-LM, GFDL-ESM4, IPSL-CM6A-LR, MPI-ESM1-2-LR, CanESM5, NorESM2-MM, CESM2-WACCM, ACCESS-ESM1-5, EC-Earth3-Veg
1.850000000000000000e+03, 5.791920984144342555e+01, 9.213696740492325787e+00, 1.408881018291852305e+00, 5.986990723903235079e+01, 6.637786240234209600e+00, 7.393745689910052477e+01, 8.842858518337775919e+00, 5.863112579394763912e+01, 1.136764754732177884e+01, 7.974118738024186470e+00, 8.294027474665051969e+00, 7.027681243246474807e+00, 1.432159702090976339e+01
1.851000000000000000e+03, 5.788586894480970102e+01, 9.049902787390438519e+00, 1.422933854716797564e+00, 5.981731897794131925e+01, 6.543516145242763926e+00, 7.392331993032921389e+01, 8.806401000738812712e+00, 5.864219153843993837e+01, 1.140039009532313408e+01, 7.935939961135221488e+00, 8.218552130073678796e+00, 7.040630427235888611e+00, 1.456749403670608523e+01
1.852000000000000000e+03, 5.798582888940198643e+01, 9.020778649374712188e+00, 1.435066057606782408e+00, 5.983908526724443533e+01, 6.482737373964144290e+00, 7.396652723214563707e+01, 8.784143403865366295e+00, 5.869247262016968136e+01, 1.138280860876010969e+01, 7.977227694817273118e+00, 8.192017776596538070e+00, 7.066816725447334413e+00, 1.454388559747805409e+01
1.853000000000000000e+03, 5.791840859469811420e+01, 9.071825926175160149e+00, 1.453556294770863788e+00, 5.992506751771524875e+01, 6.469280898493900978e+00, 7.396982627340375416e+01, 8.761862950441969389e+00, 5.863204551485797822e+01, 1.140851275199320014e+01, 8.122616359380026907e+00, 8.217219290358212191e+00, 7.068692209927757375e+00, 1.447543142839877639e+01
1.854000000000000000e+03, 5.793913408459112446e+01, 9.121248502438513484e+00, 1.484078501533950378e+00, 6.001712898784892758e+01, 6.413563782957351300e+00, 7.399878146091394626e+01, 8.759840190886736266e+00, 5.863001782485242330e+01, 1.147201281883920743e+01, 8.375618525262865433e+00, 8.321123413944807368e+00, 7.068853028217407797e+00, 1.407232820120620609e+01
1.855000000000000000e+03, 5.789911083753624865e+01, 9.244644261460674528e+00, 1.452926256786425840e+00, 6.009474243244738290e+01, 6.435466459596719702e+00, 7.402278664775573702e+01, 8.768031485460626939e+00, 5.862395133069383490e+01, 1.158932576720742347e+01, 8.484600724629707713e+00, 8.304260851282576184e+00, 7.083677821503246541e+00, 1.384841055208161364e+01
1.856000000000000000e+03, 5.787514073210549981e+01, 9.316133924248285680e+00, 1.432961813029706821e+00, 6.021837639440924050e+01, 6.526892416976551203e+00, 7.402415520420603912e+01, 8.768859316449303165e+00, 5.861397022007101754e+01, 1.163232202506855018e+01, 8.606446243377744665e+00, 8.075838410026845438e+00, 7.106198006356089003e+00, 1.385594513598939770e+01
1.857000000000000000e+03, 5.778964273539431673e+01, 9.271979568276551120e+00, 1.436156561678364252e+00, 6.031843389216103901e+01, 6.558146688516255374e+00, 7.396622211698378635e+01, 8.770154749043522102e+00, 5.863729355161887469e+01, 1.170554831850964561e+01, 8.584798730349856299e+00, 8.036371131701605108e+00, 7.099345838781721874e+00, 1.389077935179536105e+01
1.858000000000000000e+03, 5.779153042861487677e+01, 9.307662852248045127e+00, 1.406186501027468783e+00, 6.030136841389828817e+01, 6.609667953853587186e+00, 7.390715172748760153e+01, 8.781416233355498591e+00, 5.859532117576951293e+01, 1.172930693019897319e+01, 8.405434389298740427e+00, 8.276565474835473779e+00, 7.117431903769989354e+00, 1.399511798625350956e+01
1.859000000000000000e+03, 5.783467608490384038e+01, 9.430757360182166593e+00, 1.397567669181242422e+00, 6.024091294824582121e+01, 6.735925438485145023e+00, 7.392030378940967239e+01, 8.784513752058503044e+00, 5.851751551268552731e+01, 1.164689259711163238e+01, 8.282768099683371688e+00, 8.498288095045424484e+00, 7.120253418610426266e+00, 1.379247666173219322e+01
