year, GFDL-ESM4, INM-CM4-8, NorESM2-LM, MIROC-ES2L, UKESM1-0-LL, TaiESM1, NorESM2-MM, IPSL-CM6A-LR, INM-CM5-0, CanESM5, MPI-ESM1-2-LR, ACCESS-ESM1-5, CNRM-ESM2-1, EC-Earth3-Veg, CESM2-WACCM, CMCC-CM2-SR5
2.015000000000000000e+03, 7.659318318027479755e+00, 9.198105680646607496e+00, 5.855539053077367662e+00, 1.122483916051549713e+01, 1.020002755617847257e+01, 6.104000458228686199e+00, 7.095495971248173994e+00, 7.570159821999580707e+00, 9.543745272862011575e+00, 9.805259998623048645e+00, 1.074725450877022048e+01, 7.961189731841447959e+00, 8.896470022383024201e+00, 7.877241783524330465e+00, 6.272280218191459866e+00, 7.478654113727950303e+00
2.016000000000000000e+03, 8.917561706236114105e+00, 9.505343775324005762e+00, 6.542282157929998121e+00, 1.084231781680796658e+01, 1.011849788995777111e+01, 5.155263597771542194e+00, 6.496914780050968119e+00, 7.638895486701208881e+00, 9.379743249171310637e+00, 9.766590171489259120e+00, 1.120405617213520522e+01, 7.768545368621007974e+00, 9.322116459472074013e+00, 8.699929296623121644e+00, 7.012837996970976207e+00, 7.673499813052390373e+00
2.017000000000000000e+03, 8.492340046719073499e+00, 9.575351907496672865e+00, 6.647228239098642355e+00, 1.076282854718068904e+01, 1.035270286183930111e+01, 4.814079176715148733e+00, 6.473582629600651117e+00, 8.055235247746733052e+00, 9.708380761162942463e+00, 9.935514287798914879e+00, 1.127388599825579796e+01, 7.447142446266677318e+00, 8.801768340891944931e+00, 8.427257406022125252e+00, 6.565138287826957075e+00, 7.501462028625710765e+00
2.018000000000000000e+03, 8.782924629488764623e+00, 9.741557047769939359e+00, 6.570539831222454552e+00, 1.065532284650335981e+01, 1.039993116981016996e+01, 4.787692730250428852e+00, 6.864315874528831962e+00, 8.036044722900584247e+00, 9.885222206186403682e+00, 9.755272583376633833e+00, 1.143145619951869385e+01, 7.352116738935643880e+00, 9.668257558685377617e+00, 8.496311172996797723e+00, 6.583725495106516057e+00, 7.183142232155764084e+00
2.019000000000000000e+03, 8.571683600006894110e+00, 9.580772873635369891e+00, 6.477797357040841142e+00, 1.090474341363834654e+01, 1.072261527163055739e+01, 5.406755936797979167e+00, 6.990144857074286122e+00, 7.697531745762799638e+00, 9.727802743638523708e+00, 9.521288574934471782e+00, 1.150795919842279424e+01, 7.567582280622567659e+00, 9.765309616859109809e+00, 8.970459352997405489e+00, 6.782621414431205586e+00, 7.769912072218190247e+00
2.020000000000000000e+03, 8.676624782831975580e+00, 8.728680266286520606e+00, 6.256751891167687596e+00, 1.138667485265059476e+01, 9.970351875610418801e+00, 5.539893003136310057e+00, 6.564069138991595054e+00, 7.401384587783317315e+00, 9.719200869334162718e+00, 1.072118602997574932e+01, 1.115854484747672792e+01, 7.443474945041215207e+00, 9.951680033509006762e+00, 8.597279895928696902e+00, 6.399279887527461241e+00, 8.326128960765883491e+00
2.021000000000000000e+03, 8.778001005133070578e+00, 9.586704598098496177e+00, 6.394217441627588983e+00, 1.123837953253678457e+01, 9.946867127997085944e+00, 4.668057775502728823e+00, 6.490773230552156825e+00, 7.756233187952145336e+00, 8.921955987429868173e+00, 1.001627509108254088e+01, 1.124950384502434986e+01, 7.749716148233430246e+00, 8.794610405922684393e+00, 8.785637324116601476e+00, 6.466928129963197769e+00, 7.508617247170128906e+00
2.022000000000000000e+03, 9.206792975721702632e+00, 9.718910885608249117e+00, 6.695323337696871491e+00, 1.155090566263962515e+01, 9.284775623314860837e+00, 5.116698775040589453e+00, 6.573336913276402349e+00, 8.031089624230247637e+00, 1.002982410368618282e+01, 1.034745505485099137e+01, 1.157626462776529053e+01, 7.587489018216917458e+00, 9.202350052187854956e+00, 8.842446596618232846e+00, 6.566506612792543329e+00, 7.899989569358801589e+00
2.023000000000000000e+03, 8.910944150058375257e+00, 9.440770763386435505e+00, 6.288472955217405236e+00, 1.148901637930268649e+01, 9.596968117777315399e+00, 5.605961585945293812e+00, 6.979891500604022525e+00, 8.093009963817793917e+00, 9.777788191487660541e+00, 1.004342629331984504e+01, 1.117875050634451028e+01, 7.596304138809629514e+00, 9.458675286526982973e+00, 7.800319802158884208e+00, 6.910293730253208366e+00, 6.772528009764644530e+00
2.024000000000000000e+03, 9.093370170886544201e+00, 9.833881057097974221e+00, 5.680016781953349359e+00, 1.138037277072058906e+01, 1.033005446192004406e+01, 5.308932814674988343e+00, 6.797403483860327889e+00, 7.822840972859816056e+00, 9.936134400332802485e+00, 1.050092586828753660e+01, 1.210249592987864098e+01, 7.388049308222872646e+00, 9.135335224568649437e+00, 8.513855412835464875e+00, 7.196841012438763840e+00, 7.554142564552695838e+00
2.025000000000000000e+03, 9.026794247746865452e+00, 9.564863344878387963e+00, 5.906743981083787176e+00, 1.138899372973344626e+01, 1.008332305951494945e+01, 5.437559209044312780e+00, 7.019902864320790137e+00, 7.638180620483820071e+00, 9.932400963701731200e+00, 1.104437081291811218e+01, 1.228891480062327979e+01, 7.420352000277220306e+00, 9.694428699006724770e+00, 8.662053561531088519e+00, 6.878279193570673300e+00, 7.553334463837146906e+00
2.026000000000000000e+03, 9.319369196064307914e+00, 1.046932840604992698e+01, 6.439743904790648621e+00, 1.115092857358160749e+01, 1.026111322925088487e+01, 5.022442265848114040e+00, 6.811379273653732191e+00, 8.199080561271541612e+00, 9.622759550781841753e+00, 1.055793071598222355e+01, 1.161817977202456298e+01, 7.844615267556926952e+00, 9.682793800825068686e+00, 8.527272522036088986e+00, 6.878892027857325786e+00, 7.967636798080530269e+00
2.027000000000000000e+03, 8.955331452287582650e+00, 9.512978965556804667e+00, 6.966039090614914109e+00, 1.157279251066788639e+01, 1.066088615302768616e+01, 5.477135863440427244e+00, 7.070086893054899235e+00, 7.771156419157670747e+00, 9.556507456754152585e+00, 1.042197452231702925e+01, 1.118891269870222338e+01, 7.891217352648740579e+00, 1.015378802204258690e+01, 8.484350845721127854e+00, 7.154884317991784037e+00, 7.978604286832078785e+00
2.028000000000000000e+03, 8.762718092024003980e+00, 1.034351453541114374e+01, 7.042425770843355082e+00, 1.177715596468479831e+01, 1.059593651630373756e+01, 5.335087850984010061e+00, 7.196170559010849566e+00, 8.577492961292543683e+00, 9.175441499354290542e+00, 1.062720968212336636e+01, 1.211432025966985471e+01, 7.924386837597433342e+00, 1.008941299703373673e+01, 8.438121300447859241e+00, 7.380032372624672377e+00, 7.115668102612643153e+00
2.029000000000000000e+03, 9.359661475929936358e+00, 9.985722816375286470e+00, 6.214911346849072871e+00, 1.098072972957470128e+01, 1.013052112282043460e+01, 5.861108772304024939e+00, 7.238586744880038282e+00, 8.259085546943547129e+00, 1.002991239359073816e+01, 1.067838891486118769e+01, 1.169606346966227228e+01, 7.811325068734758403e+00, 9.548733492180341287e+00, 8.410469908347110390e+00, 7.336157877129241278e+00, 7.262033190054403953e+00
2.030000000000000000e+03, 9.297784250544378182e+00, 9.869104892046385302e+00, 6.527310235084587298e+00, 1.108999964920579728e+01, 1.001270345400252992e+01, 5.629944440727288502e+00, 6.919286220452862679e+00, 8.549701869778346008e+00, 9.742847578031904376e+00, 1.063885745253152670e+01, 1.084356157037257162e+01, 7.269958090903002379e+00, 1.006383415263569070e+01, 8.724243633682183585e+00, 6.566163875793113114e+00, 7.424535530955397533e+00
