year, GFDL-ESM4, INM-CM4-8, NorESM2-LM, MIROC-ES2L, UKESM1-0-LL, TaiESM1, NorESM2-MM, IPSL-CM6A-LR, INM-CM5-0, CanESM5, MPI-ESM1-2-LR, ACCESS-ESM1-5, CNRM-ESM2-1, EC-Earth3-Veg, CESM2-WACCM, CMCC-CM2-SR5
2.031000000000000000e+03, 9.438887585372107480e+00, 9.576448233000778743e+00, 6.771087464231420938e+00, 1.183997981296051805e+01, 1.118105877488388522e+01, 4.910672531761667514e+00, 7.007846746110385716e+00, 8.520611288035626174e+00, 1.015297966891932191e+01, 1.086150348662277842e+01, 1.144669535492296042e+01, 7.961370733574580250e+00, 9.746103845428857326e+00, 8.838791519013859954e+00, 7.753157970960905310e+00, 7.813920168554109758e+00
2.032000000000000000e+03, 9.162133405073067394e+00, 9.905068033483514611e+00, 6.561216009226684243e+00, 1.166339939108416424e+01, 1.094019010696976224e+01, 5.498992935531994419e+00, 7.368690616550995998e+00, 8.518751740960027519e+00, 9.796300095371492489e+00, 1.085749010744909526e+01, 1.188725006996010691e+01, 7.918953768314938024e+00, 8.919743766074761382e+00, 1.001277900078825844e+01, 7.425256784951227651e+00, 8.144371195423712351e+00
2.033000000000000000e+03, 9.416934708171693202e+00, 9.199625666758784348e+00, 6.813109908124358682e+00, 1.131384066917682141e+01, 1.037371056182866802e+01, 5.235445754511561134e+00, 7.054525344602752490e+00, 8.666245746886591661e+00, 9.908805044429287889e+00, 1.132811647517804765e+01, 1.186613535208860526e+01, 7.754461275696300504e+00, 1.013656738214901942e+01, 8.229579183917294927e+00, 6.954705388721615478e+00, 8.422447751220582646e+00
2.034000000000000000e+03, 9.711508069093264695e+00, 9.491016942621049779e+00, 7.252139544945769956e+00, 1.138227773028937584e+01, 1.069798754252940043e+01, 5.720373573483708896e+00, 6.625601749580038557e+00, 8.802736821579543403e+00, 1.014808407131388357e+01, 1.082280692718002513e+01, 1.156774338711347561e+01, 7.392610879191448880e+00, 1.025507932653032483e+01, 9.202135065117859725e+00, 6.829214369451401367e+00, 7.179302202315312798e+00
2.035000000000000000e+03, 9.541626145167814599e+00, 1.043153777418893391e+01, 6.471253739164438024e+00, 1.160511968103067204e+01, 1.073289407938625750e+01, 5.843441351433801501e+00, 6.739219319146951825e+00, 9.008573581906519578e+00, 1.014425438398517443e+01, 1.130228056689258231e+01, 1.100240566082994320e+01, 7.818149669120006529e+00, 9.950862404251806126e+00, 8.680491758255058699e+00, 7.009276244290283842e+00, 7.942017962429163802e+00
2.036000000000000000e+03, 1.005057256650601616e+01, 9.740270194548212856e+00, 7.137682621624292345e+00, 1.164360828263291303e+01, 1.049005714674685485e+01, 5.265654709793078148e+00, 7.288660618897117693e+00, 8.760234373188396262e+00, 1.004652989078191183e+01, 1.122922732760635078e+01, 1.210926787958286432e+01, 7.659062190363908229e+00, 9.840094375781088587e+00, 9.436948930650277845e+00, 7.176863935822997753e+00, 7.860915856746796493e+00
2.037000000000000000e+03, 1.010801228215235170e+01, 1.012111058613919212e+01, 7.279647147438462085e+00, 1.185472951126615904e+01, 1.092142444800804491e+01, 5.235474334598637647e+00, 7.325687913179343091e+00, 8.997998490894524082e+00, 1.036400365310860217e+01, 1.105978387748944947e+01, 1.180304773382620454e+01, 7.976461249341224580e+00, 1.006743629626306635e+01, 8.783272896776228578e+00, 7.490417788213538763e+00, 8.131153354529102373e+00
2.038000000000000000e+03, 9.726701526875945802e+00, 1.013991166515761577e+01, 6.865087034803105226e+00, 1.221291401562633894e+01, 1.128774409936513123e+01, 5.192548442654096874e+00, 7.118971803959267319e+00, 9.133629347899956841e+00, 1.042175271612385679e+01, 1.098576670445875969e+01, 1.103707397482143726e+01, 7.915285853386206938e+00, 1.017163667259415938e+01, 9.463738753855610142e+00, 7.631692514907632230e+00, 8.745236147933608706e+00
2.039000000000000000e+03, 9.638323333026553641e+00, 1.031029456306901615e+01, 6.829274318189180626e+00, 1.180127249841817871e+01, 1.074803580844808160e+01, 5.932657508204190577e+00, 7.220304809561328696e+00, 9.117635253430258047e+00, 1.032939651095996147e+01, 1.143347876625306725e+01, 1.226495418597171927e+01, 7.871516318147265601e+00, 9.713047579487538385e+00, 9.683631308099847956e+00, 7.307463451586584391e+00, 7.896766637394369681e+00
2.040000000000000000e+03, 9.807798872109499300e+00, 9.658125542529619523e+00, 6.869604919464549653e+00, 1.196672610811928195e+01, 1.112738894246930599e+01, 5.813209976095498277e+00, 7.137039218299877419e+00, 8.951115387721142014e+00, 1.003281258442945045e+01, 1.103570455874025846e+01, 1.135887234619969988e+01, 7.704707403422236034e+00, 1.027252848363541382e+01, 8.781806192810575951e+00, 7.886500234064307335e+00, 7.887863905882706916e+00
2.041000000000000000e+03, 9.566655972483296466e+00, 1.062811656834215235e+01, 7.088296464780491135e+00, 1.199140048105489953e+01, 1.049485721663738325e+01, 5.471648043998851740e+00, 7.263674839719866050e+00, 8.576174056641379551e+00, 1.016556539675295134e+01, 1.157585593321389617e+01, 1.157299154523865603e+01, 7.728531285037419707e+00, 1.037605350001410542e+01, 8.891288911025212016e+00, 7.868155464180909497e+00, 8.092648055523296691e+00
2.042000000000000000e+03, 1.040802032622711693e+01, 9.841518977739685425e+00, 7.550062550505512782e+00, 1.226411195086333272e+01, 1.101997486822999583e+01, 4.830595412194981897e+00, 7.437881781289289229e+00, 8.833673095805393061e+00, 1.031198753383094591e+01, 1.150679599995125457e+01, 1.255212074382241205e+01, 8.444280308029407323e+00, 1.048230207761805310e+01, 8.850427314601773787e+00, 7.479971101281315704e+00, 8.112055704195656247e+00
2.043000000000000000e+03, 9.746204101821053456e+00, 9.862906063515268329e+00, 7.461533217555078146e+00, 1.188418108349140034e+01, 1.142100093245771930e+01, 6.252988123228772288e+00, 7.682735888140711289e+00, 8.455434627067122122e+00, 1.019737866102051882e+01, 1.143435599043742812e+01, 1.166234677084840854e+01, 8.064619933544944885e+00, 1.117933680174838429e+01, 9.760007159422510625e+00, 7.766997978249627010e+00, 8.829791760755078656e+00
2.044000000000000000e+03, 9.798360650675723704e+00, 1.062716241485181001e+01, 7.041646256057659592e+00, 1.143522975111075013e+01, 1.152592354152170984e+01, 5.925493671166760734e+00, 7.200179721918058995e+00, 8.964283024356259233e+00, 1.011241458864963860e+01, 1.149039120069667952e+01, 1.245416146021957715e+01, 8.324575851112808067e+00, 1.097190422668677456e+01, 9.393806323729666730e+00, 7.322647244227395547e+00, 8.325966242733551681e+00
2.045000000000000000e+03, 1.044668769080510629e+01, 9.822458808945636832e+00, 7.175096726632147259e+00, 1.213476887126074466e+01, 1.092176963702935311e+01, 5.791305112096643448e+00, 7.278216280347816536e+00, 9.024699748490473183e+00, 1.037433068858860707e+01, 1.159116181976723148e+01, 1.252284952669447549e+01, 7.966102852147736613e+00, 1.023330505645549238e+01, 9.250983186555197690e+00, 7.721811377635797058e+00, 7.881085901618437362e+00
2.046000000000000000e+03, 9.894959451297811626e+00, 1.023427006572927667e+01, 6.796586643829141572e+00, 1.185007580263169658e+01, 1.117336147325646678e+01, 5.249618938452656813e+00, 7.461912014577802843e+00, 9.519870541593245861e+00, 1.118255475792634712e+01, 1.203999106856780976e+01, 1.241531454334283779e+01, 7.720971867611695849e+00, 1.058974009481526402e+01, 9.326461300729551596e+00, 7.965101600541570903e+00, 7.376650904145355625e+00
2.047000000000000000e+03, 1.024932791027467616e+01, 1.027557690844087013e+01, 7.332164601962311679e+00, 1.152999772226351105e+01, 1.112484559748660295e+01, 5.666933827450445271e+00, 7.666402822249875904e+00, 9.308265385968912398e+00, 1.086193114029998164e+01, 1.212490772590640553e+01, 1.203289984891087094e+01, 8.217278632632238455e+00, 1.111569669333757204e+01, 9.111158293805708297e+00, 7.436541069105048862e+00, 8.470102968353730333e+00
2.048000000000000000e+03, 1.003218882762293163e+01, 1.019789210334022833e+01, 7.335045680283662328e+00, 1.192689500012796877e+01, 1.094229072702298211e+01, 5.977086482957385094e+00, 7.354751923562719007e+00, 8.723954367888385519e+00, 1.073928253458686299e+01, 1.308369960333086546e+01, 1.233664343320277901e+01, 8.107781709896212163e+00, 1.031479944498314616e+01, 9.448579059667796542e+00, 7.422356723924520061e+00, 8.235788860869769579e+00
2.049000000000000000e+03, 1.049421905205659300e+01, 9.820285682041861364e+00, 7.606803035549646985e+00, 1.263030863140736137e+01, 1.128597115682914698e+01, 5.232668948626693073e+00, 7.060413248850860413e+00, 9.462752861855600273e+00, 1.063535558851762453e+01, 1.210834945093751713e+01, 1.272840111055483625e+01, 7.541888138420573817e+00, 1.149695052770669257e+01, 9.786403875269677144e+00, 7.863908696004928700e+00, 8.785484905622938712e+00
2.050000000000000000e+03, 9.934815815743665013e+00, 1.002544736712553863e+01, 7.637491790774360467e+00, 1.167179934603518632e+01, 1.135446623708994807e+01, 5.510983426032025179e+00, 7.301230952109265537e+00, 9.631257552775215558e+00, 1.091394202402095814e+01, 1.248417307810806953e+01, 1.189672507441306237e+01, 7.759730318063705390e+00, 1.091589512704843301e+01, 9.765259509896718981e+00, 7.652202967459953875e+00, 7.519673047546221234e+00
2.051000000000000000e+03, 1.017871888205595887e+01, 9.591574207537053809e+00, 7.176361527696068165e+00, 1.218539166225489012e+01, 1.123915851731583437e+01, 6.692252274399375089e+00, 8.156133563494936567e+00, 9.770729002266847374e+00, 1.063061568665819578e+01, 1.250800767586695628e+01, 1.240513555808355584e+01, 7.366645205545682806e+00, 1.067622040657248661e+01, 9.249330751354655433e+00, 8.074274314801145991e+00, 8.206981414279525211e+00
2.052000000000000000e+03, 1.009648298015334333e+01, 9.818380050188194375e+00, 7.169683489782229913e+00, 1.224851562131556904e+01, 1.200383153325979713e+01, 5.679289473443525971e+00, 8.053253941938210758e+00, 9.951817253953676001e+00, 1.099772982807450816e+01, 1.207006313823712063e+01, 1.186678296921716225e+01, 7.732209473102344077e+00, 1.136641525336945335e+01, 9.344993683491329861e+00, 8.057631418902536424e+00, 8.608494925598447978e+00
2.053000000000000000e+03, 1.097302216302712630e+01, 9.329126215055358884e+00, 7.518088296787969860e+00, 1.216255383999405559e+01, 1.190907006326647277e+01, 5.672327660646632630e+00, 7.876791115640721763e+00, 1.010769749070718149e+01, 1.083350077490812780e+01, 1.247315630144459497e+01, 1.199135815463692722e+01, 7.680141047666301901e+00, 1.099820718513944584e+01, 9.907471190182434384e+00, 7.360567390813219646e+00, 8.796700770166014038e+00
2.054000000000000000e+03, 1.050834145520107477e+01, 9.870758720641537920e+00, 7.725813857935272644e+00, 1.245405219726409918e+01, 1.116326320078143297e+01, 5.486406639255294593e+00, 7.980587669252421357e+00, 9.882683213389068300e+00, 1.110703015241237246e+01, 1.337634527919976613e+01, 1.210087561701607761e+01, 8.156909967726193145e+00, 1.076410941822134681e+01, 9.667846575485240734e+00, 7.578697593016619827e+00, 8.394217472941534197e+00
2.055000000000000000e+03, 1.049673491138437598e+01, 1.011676786705135633e+01, 7.512447264141365544e+00, 1.269796174584296011e+01, 1.159689603507447409e+01, 5.789949105327018231e+00, 8.184835116729187732e+00, 1.008531654172087322e+01, 1.107064169958596622e+01, 1.221945972493488597e+01, 1.296325904339612478e+01, 8.083413625828615778e+00, 1.067469081992453894e+01, 1.026206046893598334e+01, 8.189081641908265041e+00, 7.933630326617715056e+00
2.056000000000000000e+03, 1.050306698530457084e+01, 1.081498112313289717e+01, 7.921253716255570509e+00, 1.201406038732707771e+01, 1.131717416531946441e+01, 5.646049310074463534e+00, 8.482581934474527685e+00, 9.873544805024456750e+00, 1.063011649873961062e+01, 1.175265877610051746e+01, 1.316313257265666081e+01, 8.416224857784587954e+00, 1.116519223068096345e+01, 9.560151501461215062e+00, 8.364118746419785921e+00, 7.642248572688780328e+00
2.057000000000000000e+03, 1.103875847713734437e+01, 1.015128733087976087e+01, 7.311616719047369095e+00, 1.230595044849257214e+01, 1.164981820922910849e+01, 6.078938662712491059e+00, 8.372111976875949324e+00, 1.016024821749947193e+01, 1.099948188636042445e+01, 1.230183862253275429e+01, 1.282221410915830262e+01, 8.992550879616617365e+00, 1.108616582947659523e+01, 9.974708503438703744e+00, 8.334680006614423320e+00, 8.818445235796213311e+00
2.058000000000000000e+03, 1.064482285306049647e+01, 1.029025996291420242e+01, 7.693278676264241334e+00, 1.295269247111159494e+01, 1.214871899087584417e+01, 5.909471222673829516e+00, 7.969402925957644435e+00, 1.016359091913344947e+01, 1.093076475753724708e+01, 1.270221486108532716e+01, 1.267600003788204255e+01, 8.691954793471129648e+00, 1.158999911248873183e+01, 9.660507090523095641e+00, 8.099378221086924512e+00, 8.284574670858468437e+00
2.059000000000000000e+03, 1.093745592763371555e+01, 1.067500518037713597e+01, 7.449795559745233220e+00, 1.217619583467030608e+01, 1.166910678284817493e+01, 5.719393464167650265e+00, 7.772554055209622170e+00, 9.128282493033969658e+00, 1.123926675925943819e+01, 1.287780695644915774e+01, 1.197767917299631968e+01, 8.636698187810289085e+00, 1.120946755909756121e+01, 9.654621807881724749e+00, 8.443583683143490504e+00, 8.313843570131048466e+00
2.060000000000000000e+03, 1.068012135450504552e+01, 1.036946419262776864e+01, 7.851096708338991093e+00, 1.268985865390401457e+01, 1.081698157397107707e+01, 5.152436742196014663e+00, 8.550093790844858432e+00, 9.887841556167664692e+00, 1.050249793172861779e+01, 1.309456178239736346e+01, 1.201902344710412507e+01, 9.002727762694648916e+00, 1.166066785401510231e+01, 1.014959455213630335e+01, 7.950852822919421747e+00, 8.807180161036493260e+00
2.061000000000000000e+03, 1.017392912238337388e+01, 1.004756814232188944e+01, 8.050888884560244207e+00, 1.251200071214528364e+01, 1.105776123545302880e+01, 5.648919209776148698e+00, 8.211375538796151119e+00, 1.017109479861225019e+01, 1.070431243610178562e+01, 1.310551106821523426e+01, 1.303817204587593892e+01, 8.588636096023908095e+00, 1.086813126312805622e+01, 1.035032675728980145e+01, 8.542304369485906435e+00, 8.974183146087456819e+00
2.062000000000000000e+03, 1.104551760746145206e+01, 1.014130869951766734e+01, 7.964342258412088427e+00, 1.244549387117399952e+01, 1.149704646550853937e+01, 6.378323982526877600e+00, 8.174104803097876015e+00, 9.896048554377223638e+00, 1.103518429234094533e+01, 1.289513222927098646e+01, 1.300307884434510264e+01, 8.429434542611810244e+00, 1.140581685935156919e+01, 1.012076471812533107e+01, 8.394276634551662397e+00, 8.601939833734391527e+00
2.063000000000000000e+03, 1.033271965854433461e+01, 1.016593363291208441e+01, 7.667580103475295061e+00, 1.249524894780964068e+01, 1.172205722279700524e+01, 5.903152416781295209e+00, 7.640946733186748219e+00, 1.014843956499744237e+01, 1.178708527741995660e+01, 1.346656176896099488e+01, 1.262704938575738822e+01, 8.470683630501422812e+00, 1.188128465529180389e+01, 9.768258581479905445e+00, 8.375161828009185072e+00, 8.070552237722981914e+00
2.064000000000000000e+03, 1.122569445538111665e+01, 9.818166359310890101e+00, 7.469763597558205070e+00, 1.286569602818948610e+01, 1.255406336929850042e+01, 5.416697154219347610e+00, 7.907589110139227273e+00, 1.033488916565263693e+01, 1.128450587823561158e+01, 1.357962557875698550e+01, 1.282749851314127909e+01, 8.167711619096531095e+00, 1.215481879728056747e+01, 1.124729753920158259e+01, 8.514990344019283341e+00, 8.646493936825422111e+00
2.065000000000000000e+03, 1.133747998457672423e+01, 1.022889051306717612e+01, 8.027407977556572760e+00, 1.290295073931789105e+01, 1.194051018279682275e+01, 5.681445971888237523e+00, 8.402947392539742211e+00, 9.890873889106456929e+00, 1.111936325761061184e+01, 1.326694757610420616e+01, 1.307748121525628981e+01, 7.986141716736700147e+00, 1.165795580614648053e+01, 9.537039132917850992e+00, 8.293710353723323436e+00, 8.895555879090499829e+00
2.066000000000000000e+03, 1.077376187837459476e+01, 1.073030128100426417e+01, 8.368532653613010908e+00, 1.243551476507438913e+01, 1.191782605630362468e+01, 6.209586568185144984e+00, 8.578023023575342521e+00, 1.065424632429384566e+01, 1.097884817037688165e+01, 1.382885241217181260e+01, 1.228701373676995168e+01, 8.299086624075442842e+00, 1.121750599527649861e+01, 1.121343145117920237e+01, 8.688375426925313505e+00, 8.673698120871259576e+00
2.067000000000000000e+03, 1.047619869655997960e+01, 1.079876620622409078e+01, 8.033317188625316518e+00, 1.262043946855581922e+01, 1.207215189086301876e+01, 6.198432354449640691e+00, 7.764542235659727787e+00, 9.618027741486672610e+00, 1.147283856448631312e+01, 1.383730023449795077e+01, 1.256451744228637324e+01, 8.389151247667173905e+00, 1.135986998445720886e+01, 1.080654193945555619e+01, 8.993535934085644001e+00, 9.093262977978632478e+00
2.068000000000000000e+03, 1.030689132008178710e+01, 1.089185348566277156e+01, 7.532640218101724905e+00, 1.312493285702327128e+01, 1.174230633746658725e+01, 5.377183193620700408e+00, 8.350082788171265591e+00, 9.823796269050108165e+00, 1.166527066686527903e+01, 1.402998758034381765e+01, 1.243711860949221482e+01, 8.216941483418352732e+00, 1.183675310822229676e+01, 1.031585301019666190e+01, 8.482540925337920257e+00, 8.884857118260256925e+00
2.069000000000000000e+03, 1.144748483703384601e+01, 1.114027530540345801e+01, 8.325623196247033064e+00, 1.322880840874821473e+01, 1.214253267093154420e+01, 6.158683049056151049e+00, 8.007284886280487513e+00, 1.019804718367797136e+01, 1.160868559867034122e+01, 1.383480906205900496e+01, 1.312972302442263839e+01, 8.021683367830355849e+00, 1.203207356448382015e+01, 9.798680391800052902e+00, 8.932936691479895330e+00, 8.703310553398754479e+00
2.070000000000000000e+03, 1.068310408229610253e+01, 1.155335612875226659e+01, 8.513323402734528145e+00, 1.286745005787426344e+01, 1.230067628262175816e+01, 6.074357903425901206e+00, 8.317767993804899618e+00, 9.877195895880301890e+00, 1.083398073073009016e+01, 1.412347908341714486e+01, 1.314524253425124556e+01, 8.036041519020722390e+00, 1.176955503160613503e+01, 1.006428772908749636e+01, 8.234933132089993890e+00, 8.226219734221702495e+00
2.071000000000000000e+03, 1.057210045967000056e+01, 1.069908853962832573e+01, 8.321633216276493883e+00, 1.329537335215914240e+01, 1.210668338193277371e+01, 6.058540735563268775e+00, 8.331535587040971080e+00, 1.063453837171192973e+01, 1.086526778977732910e+01, 1.367788675314713664e+01, 1.375505465344370393e+01, 8.134046738173452695e+00, 1.245118050552411226e+01, 1.088385908599446239e+01, 8.739867272336910631e+00, 7.772715031129435737e+00
2.072000000000000000e+03, 1.162234342516161334e+01, 1.088301242045415052e+01, 8.843881303437564512e+00, 1.305229636597619702e+01, 1.216882105760689470e+01, 5.999949240282558272e+00, 8.913416535444648403e+00, 1.074721548818270023e+01, 1.116470836985055470e+01, 1.346499288526478821e+01, 1.234388557969167977e+01, 8.010574216644311463e+00, 1.212058152413746370e+01, 1.061367861405023660e+01, 8.743204086592237800e+00, 8.775299642912630205e+00
2.073000000000000000e+03, 1.196252877353567001e+01, 1.099431307137249902e+01, 8.244268860930837661e+00, 1.308150109305619146e+01, 1.248780972961560565e+01, 5.895666562614620965e+00, 8.484772650583169096e+00, 9.779181057445560654e+00, 1.083797872825066300e+01, 1.392323126225141472e+01, 1.309535994385773883e+01, 8.385257990558866226e+00, 1.194120275175552237e+01, 1.073144821946195826e+01, 8.717621972129924401e+00, 8.614569277884925214e+00
2.074000000000000000e+03, 1.223022567701468155e+01, 1.140339013042427219e+01, 8.150273438482669164e+00, 1.287731585520235278e+01, 1.216495696271761773e+01, 5.475701004394493587e+00, 8.487638338547039751e+00, 1.011108037258545522e+01, 1.117501391506378816e+01, 1.317722608929049777e+01, 1.395134754989903847e+01, 8.731403380095343891e+00, 1.208798036491844030e+01, 1.035386510149483108e+01, 8.655830920417807661e+00, 9.206131204710086280e+00
2.075000000000000000e+03, 1.198445838458342649e+01, 1.149310878694572047e+01, 8.533420112526300727e+00, 1.424761187568184440e+01, 1.159075094976246234e+01, 6.398135346753504926e+00, 8.757190587830619322e+00, 1.059109942999946696e+01, 1.187002027697304030e+01, 1.440433491150711909e+01, 1.284897733021464106e+01, 8.844242978305926428e+00, 1.188331473562655916e+01, 1.094450701957591576e+01, 9.077077150145019147e+00, 8.840630743675603753e+00
2.076000000000000000e+03, 1.060847443856042815e+01, 1.076168946375125834e+01, 8.275195012882550216e+00, 1.278579883623398139e+01, 1.216485673052484984e+01, 6.775082779327977534e+00, 9.008631696484401985e+00, 1.089067084273848529e+01, 1.079952672351477716e+01, 1.407993795546226323e+01, 1.259997785553245819e+01, 7.927994895428304822e+00, 1.202544177385230562e+01, 1.026323171874416573e+01, 8.791140459665628626e+00, 8.758795103630712120e+00
