year, TaiESM1, CNRM-ESM2-1, MIROC-ES2L, INM-CM5-0, EC-Earth3-Veg, UKESM1-0-LL, CESM2-WACCM, CMCC-CM2-SR5, IPSL-CM6A-LR, NorESM2-MM, CanESM5, GFDL-ESM4, ACCESS-ESM1-5, INM-CM4-8, NorESM2-LM, MPI-ESM1-2-LR
2.027000000000000000e+03, 2.072575082990782747e+00, 2.423561739728453901e+00, 2.451316928017438723e+00, 2.244322585117895841e+00, 2.176418507188364604e+00, 2.215428668175425386e+00, 2.054460793011791520e+00, 2.271026978845607225e+00, 2.597373587591747413e+00, 2.112736209417488187e+00, 2.343268239485336135e+00, 2.296604143180325242e+00, 2.405008853443697969e+00, 2.218131408478623001e+00, 2.111408695775988775e+00, 2.143536982562304072e+00
2.028000000000000000e+03, 1.974364882573077296e+00, 2.355130802784683119e+00, 2.288922483802964258e+00, 2.153156853302859108e+00, 2.342815872012609102e+00, 2.177707928594919018e+00, 2.118762701739572485e+00, 2.135248721365934799e+00, 2.666440598948105034e+00, 2.013036692969771391e+00, 2.216892796820629563e+00, 2.323445257611711501e+00, 2.378273806884500630e+00, 2.266165751264245909e+00, 2.024012593081059297e+00, 2.236084229112348165e+00
2.029000000000000000e+03, 2.202492722325735119e+00, 2.236102678325326831e+00, 2.322109048147481758e+00, 2.352854129899431435e+00, 2.133752618325630124e+00, 2.070345298920565291e+00, 2.108566533325697545e+00, 1.992671899836696792e+00, 2.753132384894378948e+00, 2.070083388077240460e+00, 2.287960580967288049e+00, 2.287491193064815409e+00, 2.529405778345986011e+00, 2.169442515718023046e+00, 1.883731468021623501e+00, 2.241921590526359864e+00
2.030000000000000000e+03, 2.175232594586623769e+00, 2.356237645431332073e+00, 2.347325612864100020e+00, 2.245530748610459870e+00, 2.184897912498231953e+00, 2.094933019816371367e+00, 2.083852657148877796e+00, 2.056531781955276639e+00, 2.567438494475805744e+00, 2.030245215825784211e+00, 2.178926055133376227e+00, 2.365845084580771474e+00, 2.408989890146383761e+00, 2.205937553659163441e+00, 2.054766751184508689e+00, 2.157478927269679492e+00
2.031000000000000000e+03, 2.024504597092508629e+00, 2.244347641760897183e+00, 2.373589714485754953e+00, 2.335527811159150424e+00, 2.160430962083993656e+00, 2.243566628884059000e+00, 2.238349116091096214e+00, 2.161212690058453401e+00, 2.583555823624774206e+00, 2.003950102435982483e+00, 2.257115322148799397e+00, 2.436060915612588751e+00, 2.495356288189314764e+00, 2.152194926811466402e+00, 1.898421157933691816e+00, 2.159857405129367525e+00
2.032000000000000000e+03, 2.023687101610619266e+00, 2.192772227729117507e+00, 2.357824736671489507e+00, 2.283160138505947234e+00, 2.266723158910339819e+00, 2.152280371964322647e+00, 2.031317008779878641e+00, 2.286932808625393498e+00, 2.715252620560486552e+00, 2.023886915328341640e+00, 2.285210205225324476e+00, 2.357721823939964434e+00, 2.493720807106652781e+00, 2.178123123103750114e+00, 2.138513182257822720e+00, 2.272826703399172921e+00
2.033000000000000000e+03, 2.025161358508325904e+00, 2.357021680313436285e+00, 2.245371193405014232e+00, 2.251662654835696387e+00, 2.226176521656127338e+00, 2.209290549650683388e+00, 2.083347197537376516e+00, 2.395397822501604601e+00, 2.612136072380389695e+00, 1.995899839282146315e+00, 2.349855222071304262e+00, 2.332155473484822661e+00, 2.302681265577998015e+00, 2.119849837556152305e+00, 2.092405454724410419e+00, 2.273464454079335173e+00
2.034000000000000000e+03, 2.117878588347667179e+00, 2.403737462724502283e+00, 2.358207450951466111e+00, 2.282898570081840273e+00, 2.194749459095750144e+00, 2.152595682102664387e+00, 2.036016518347458337e+00, 2.117098784436449499e+00, 2.518781536176828872e+00, 1.904304833966640409e+00, 2.355808044539836388e+00, 2.429097922286434841e+00, 2.357555576249962037e+00, 2.186085547040573118e+00, 2.109611876338163050e+00, 2.155499114582543729e+00
2.035000000000000000e+03, 2.143102082713912448e+00, 2.368600765875303882e+00, 2.252603253818365125e+00, 2.241654309224033970e+00, 2.191305217953606554e+00, 2.142110012091839710e+00, 2.055605137826005180e+00, 2.131706694285301573e+00, 2.733428041578927381e+00, 2.009361216558611218e+00, 2.310299928067927944e+00, 2.378244625128556500e+00, 2.453418159786039165e+00, 2.251125060966525648e+00, 2.071927055695569564e+00, 2.105749794346084780e+00
2.036000000000000000e+03, 2.132575458413358938e+00, 2.266444621120297320e+00, 2.331667113891196852e+00, 2.279471254350522003e+00, 2.230536807842880442e+00, 2.083025351361881938e+00, 1.964375861526370892e+00, 2.154381044021536962e+00, 2.628755848508011361e+00, 2.099057006825159721e+00, 2.331230034814543384e+00, 2.318158763852274706e+00, 2.483558544773305510e+00, 2.231331957377020281e+00, 2.066146044839058060e+00, 2.184274918719383951e+00
2.037000000000000000e+03, 1.982671853724919053e+00, 2.303357692154850866e+00, 2.357636455710453216e+00, 2.343184449831860583e+00, 2.301441832806977228e+00, 2.287548502913788084e+00, 2.115687742394390281e+00, 2.387785745404988891e+00, 2.633625634673734783e+00, 2.078974703647856970e+00, 2.311596460716214274e+00, 2.473802543722813940e+00, 2.401635337906164569e+00, 2.212947207593590537e+00, 2.134076433025643649e+00, 2.211164894458744534e+00
2.038000000000000000e+03, 1.973075618280075050e+00, 2.265102022495454115e+00, 2.414305851841276773e+00, 2.331712843599543561e+00, 2.215927585626682905e+00, 2.152388404269770295e+00, 2.072125713037913819e+00, 2.439841182457119562e+00, 2.686794373553131443e+00, 1.988343501434240546e+00, 2.454627816111082605e+00, 2.362754095235252372e+00, 2.417618487600638577e+00, 2.281952972809854874e+00, 2.148074867746795569e+00, 2.154383469663758710e+00
2.039000000000000000e+03, 2.148859701285490420e+00, 2.220652951767871475e+00, 2.257580800743780980e+00, 2.352158433819880212e+00, 2.333828209848268109e+00, 2.244528157408360425e+00, 2.086458349122122247e+00, 2.318888397272673263e+00, 2.760762874701420344e+00, 2.016890855350409240e+00, 2.253453114905630716e+00, 2.393274282905907935e+00, 2.432113927837719292e+00, 2.263117406099749651e+00, 1.995476803523291931e+00, 2.292679862690004011e+00
2.040000000000000000e+03, 2.287850830171676897e+00, 2.311104324193117510e+00, 2.302217793690170655e+00, 2.343739699465165138e+00, 2.177514369071959610e+00, 2.200896600864783004e+00, 2.073075141662049869e+00, 2.238875294732079801e+00, 2.744381630912781311e+00, 1.986513763819381495e+00, 2.253655458753728524e+00, 2.350168143758044614e+00, 2.344419469016805646e+00, 2.174919678491343156e+00, 2.097534514279800533e+00, 2.169854017130013357e+00
