year, GFDL-ESM4, EC-Earth3-Veg, MPI-ESM1-2-LR
2.015000000000000000e+03, 3.429403338203320341e-10, 3.121591193539137744e-10, 7.054784464340827472e-10
2.016000000000000000e+03, 2.924359139315858888e-10, 3.366413972757827776e-10, 7.162426796513271861e-10
2.017000000000000000e+03, 4.326228005408046506e-10, 3.821778654692235475e-10, 7.238356135253455855e-10
2.018000000000000000e+03, 4.131011013785681862e-10, 3.391612108767641535e-10, 7.489647954493289806e-10
2.019000000000000000e+03, 4.052147387468067526e-10, 3.748915504177267913e-10, 7.491410272508149805e-10
2.020000000000000000e+03, 4.322641317123316530e-10, 3.793900578339807046e-10, 7.150877185277891527e-10
2.021000000000000000e+03, 4.079312142920926188e-10, 3.860155131378815632e-10, 7.211769015073390009e-10
2.022000000000000000e+03, 4.079553308439722092e-10, 3.763883077916676974e-10, 7.422210507820829022e-10
2.023000000000000000e+03, 4.588598203429747556e-10, 3.717614008556929058e-10, 7.417802030212031116e-10
2.024000000000000000e+03, 4.299467821309953358e-10, 3.372458637711000885e-10, 7.728211473665946049e-10
2.025000000000000000e+03, 4.924310324324509037e-10, 3.628838368611758319e-10, 8.133141526757422728e-10
2.026000000000000000e+03, 3.778904215115601602e-10, 3.454518069769945524e-10, 7.645386194283925367e-10
2.027000000000000000e+03, 4.325532246067812545e-10, 3.730972702884148967e-10, 7.431472360917901594e-10
2.028000000000000000e+03, 4.106378879405758219e-10, 3.471676201688688164e-10, 7.877804120732369150e-10
2.029000000000000000e+03, 3.548290179574385002e-10, 3.824933554601893130e-10, 7.623111009583191036e-10
2.030000000000000000e+03, 4.612908834980426971e-10, 3.286820608488181285e-10, 7.255539099794224215e-10
2.031000000000000000e+03, 4.426473415209577303e-10, 3.780266503269542045e-10, 7.227794977862105357e-10
2.032000000000000000e+03, 4.771319613633822774e-10, 3.247074897424403536e-10, 7.624732459668896964e-10
2.033000000000000000e+03, 4.642636634407534274e-10, 4.076094078878117385e-10, 7.855722512320385810e-10
2.034000000000000000e+03, 4.634076262824366506e-10, 3.146757952869382287e-10, 7.297391959622491115e-10
2.035000000000000000e+03, 4.995510353637686552e-10, 3.956806826804389174e-10, 7.125947032536093355e-10
2.036000000000000000e+03, 4.928353934486154058e-10, 3.352080599825725095e-10, 7.690943242940406505e-10
2.037000000000000000e+03, 4.959453581958473655e-10, 4.137904146607089309e-10, 7.749276430581441758e-10
2.038000000000000000e+03, 5.743177380009201480e-10, 3.364781152837036552e-10, 7.109732331464270212e-10
2.039000000000000000e+03, 5.094909989869902371e-10, 3.858882433328795524e-10, 7.695868596687415637e-10
2.040000000000000000e+03, 4.978599207511206631e-10, 3.643610370493363799e-10, 7.264863594278122440e-10
2.041000000000000000e+03, 5.527710954953022703e-10, 3.626715647918041636e-10, 7.457550734241411091e-10
2.042000000000000000e+03, 5.062970875433633939e-10, 3.687085926109008778e-10, 8.087694639512434318e-10
2.043000000000000000e+03, 5.208622647173330046e-10, 3.637252009840291159e-10, 7.681814322437538703e-10
2.044000000000000000e+03, 5.254393715196418166e-10, 3.999094133236659596e-10, 8.084955268244454514e-10
2.045000000000000000e+03, 5.239486205748646657e-10, 3.564929315559525296e-10, 8.051053916221244073e-10
2.046000000000000000e+03, 5.097554627740292274e-10, 3.719918651191400743e-10, 8.077047167297606261e-10
2.047000000000000000e+03, 4.771638830773720793e-10, 3.718417951509213915e-10, 7.781801431274093178e-10
2.048000000000000000e+03, 5.841321214845878449e-10, 3.522254397551059799e-10, 7.919179988482344126e-10
2.049000000000000000e+03, 5.097074692392103414e-10, 3.665272971419092029e-10, 8.151244412981317610e-10
2.050000000000000000e+03, 5.197860977353137122e-10, 3.902994911272783156e-10, 7.671205571134540391e-10
2.051000000000000000e+03, 5.118271876573516857e-10, 3.801737641469256999e-10, 7.970425112173098887e-10
2.052000000000000000e+03, 4.698888148381615055e-10, 3.876791175512655495e-10, 7.782401340030782805e-10
2.053000000000000000e+03, 4.734729318086250772e-10, 3.716799410979878552e-10, 7.712498354602315968e-10
2.054000000000000000e+03, 5.971983676328628690e-10, 3.875384384697987573e-10, 7.818550160870598229e-10
2.055000000000000000e+03, 5.790953969083237225e-10, 3.788547431554377257e-10, 8.201853586023318896e-10
2.056000000000000000e+03, 5.267767155263369490e-10, 3.958492091015418848e-10, 8.645632397648895440e-10
2.057000000000000000e+03, 5.380276774205203468e-10, 3.881435291151474494e-10, 8.600159400972279487e-10
2.058000000000000000e+03, 5.440286779462889465e-10, 3.970350917930335593e-10, 8.147923776407951656e-10
2.059000000000000000e+03, 5.040250294549000257e-10, 3.870062879575021155e-10, 8.138003457583653982e-10
2.060000000000000000e+03, 5.745905031146958970e-10, 3.920197051686021933e-10, 7.637947242473342601e-10
2.061000000000000000e+03, 5.191346617647343350e-10, 3.808795827439750432e-10, 8.246373190537823191e-10
2.062000000000000000e+03, 4.657644092496427033e-10, 3.931532870978523887e-10, 8.227836622361670784e-10
2.063000000000000000e+03, 5.696036030704931801e-10, 3.692095896259316529e-10, 8.300959459252814286e-10
2.064000000000000000e+03, 4.837337200388397180e-10, 3.668749097170306626e-10, 8.217384168420668787e-10
2.065000000000000000e+03, 6.331284617856674927e-10, 4.308884911564770706e-10, 8.552816021027780694e-10
