year, CanESM5, CESM2-WACCM, INM-CM5-0, NorESM2-LM, CNRM-ESM2-1, EC-Earth3-Veg, GFDL-ESM4, TaiESM1, MPI-ESM1-2-LR, ACCESS-ESM1-5, UKESM1-0-LL, MIROC-ES2L, INM-CM4-8, NorESM2-MM, IPSL-CM6A-LR, CMCC-CM2-SR5
2.015000000000000000e+03, 1.758459174778890954e+01, 1.399387024019993575e+01, 1.943711913529642388e+01, 1.305718367375316724e+01, 1.628090369063845699e+01, 2.162848760447238305e+01, 1.490932252439355032e+01, 1.573575164740387322e+01, 2.154897223300621079e+01, 1.583830926296653452e+01, 1.874927554483595671e+01, 1.948892306956646792e+01, 1.856040907764403869e+01, 1.554819138552139002e+01, 1.736008036222960271e+01, 1.664655658740064936e+01
2.016000000000000000e+03, 1.755221318659608798e+01, 1.520094810707002431e+01, 1.901315666249403691e+01, 1.432772675823968456e+01, 1.686185151486777656e+01, 2.278303484259485145e+01, 1.723254659215464457e+01, 1.491197870727378572e+01, 2.224320235341486907e+01, 1.553532850901896190e+01, 1.849630243219385051e+01, 1.885174587324843287e+01, 1.913811335230802868e+01, 1.431174974769496977e+01, 1.735107016534759694e+01, 1.725463022910665956e+01
2.017000000000000000e+03, 1.763678959167836169e+01, 1.473880992189594785e+01, 1.972329364633025861e+01, 1.465959755295077827e+01, 1.615282802358444059e+01, 2.247540002987722119e+01, 1.652133536042216733e+01, 1.451556039046070268e+01, 2.273704741868732526e+01, 1.505875210935776387e+01, 1.887572921879865362e+01, 1.869694969241670535e+01, 1.926733065330277839e+01, 1.437750384217125976e+01, 1.824587696220232047e+01, 1.689654164049377627e+01
2.018000000000000000e+03, 1.742155810545326489e+01, 1.487374236423129226e+01, 2.012183512694255683e+01, 1.456980137875399883e+01, 1.751384908495859349e+01, 2.299405221982514647e+01, 1.692989427398784485e+01, 1.394690627661687898e+01, 2.302871279535867899e+01, 1.502205338730923678e+01, 1.918704288891539633e+01, 1.856010351512481193e+01, 1.949956866119286047e+01, 1.505614086296065501e+01, 1.831402979375230089e+01, 1.618337022703193284e+01
2.019000000000000000e+03, 1.714139994664111200e+01, 1.494789204099581426e+01, 1.964683443517212069e+01, 1.440890610523506865e+01, 1.795511421122017737e+01, 2.327734781329817082e+01, 1.642675015350693357e+01, 1.471262788107700459e+01, 2.314128797923153513e+01, 1.544438067109376966e+01, 1.973371769557557087e+01, 1.895634910255751748e+01, 1.929982471118994880e+01, 1.545699397454000312e+01, 1.763667534454483743e+01, 1.686683686455391040e+01
2.020000000000000000e+03, 1.871361913051108417e+01, 1.424836096967612953e+01, 1.967533809034249259e+01, 1.409735428282359671e+01, 1.794966465387603094e+01, 2.248132854388787649e+01, 1.664242901727284263e+01, 1.540832436004091832e+01, 2.228673534414250668e+01, 1.529367539399282627e+01, 1.840243471363309880e+01, 1.970904142021778327e+01, 1.814705942524874516e+01, 1.476508400159698908e+01, 1.700402323276165717e+01, 1.847933882291161822e+01
2.021000000000000000e+03, 1.784252550487586575e+01, 1.441260422657746254e+01, 1.851809878088646855e+01, 1.429146206296920951e+01, 1.622685078513712398e+01, 2.295611329134739620e+01, 1.679245607567271037e+01, 1.444192029727103410e+01, 2.253844420127980896e+01, 1.568918743717893882e+01, 1.846622686033713734e+01, 1.954697160733017824e+01, 1.923431555096921031e+01, 1.447809084082822473e+01, 1.779201015312738221e+01, 1.763332314759808739e+01
2.022000000000000000e+03, 1.825741489935082384e+01, 1.467286446279675971e+01, 2.034557310993485402e+01, 1.468481435649217914e+01, 1.695891980408152833e+01, 2.273419414459520738e+01, 1.759080067106769008e+01, 1.442383711536060176e+01, 2.311655324458452299e+01, 1.547168387858492089e+01, 1.719069749136618697e+01, 1.997052279781090789e+01, 1.974112295403215001e+01, 1.484306290592166278e+01, 1.819130517062013297e+01, 1.826209564143165309e+01
2.023000000000000000e+03, 1.797777554851738913e+01, 1.524671478708594385e+01, 1.974282263300117535e+01, 1.424698984922980927e+01, 1.745078052144448932e+01, 2.136695138534906135e+01, 1.708838657734743194e+01, 1.529452081876194214e+01, 2.276555301033167211e+01, 1.538668333698916513e+01, 1.742638742246662886e+01, 1.998806091195324086e+01, 1.929626366677538840e+01, 1.549137111294020919e+01, 1.823358966635744949e+01, 1.614469920247013235e+01
2.024000000000000000e+03, 1.866769118935200211e+01, 1.590878862215502387e+01, 2.000746435146149693e+01, 1.284810562565623648e+01, 1.678708156281023633e+01, 2.219741592374233008e+01, 1.745864770157367474e+01, 1.556321141011552989e+01, 2.429958022668150264e+01, 1.524589798682168329e+01, 1.911997341138682671e+01, 1.977687485656038291e+01, 1.980215364512952902e+01, 1.510887876526292040e+01, 1.771578822636045913e+01, 1.679470702984518482e+01
