year, MPI-ESM1-2-LR, CNRM-ESM2-1, EC-Earth3-Veg, UKESM1-0-LL, CMCC-ESM2, TaiESM1, NorESM2-LM, IPSL-CM6A-LR, NorESM2-MM, CESM2-WACCM
2.015000000000000000e+03, 6.594114860387888697e-11, 1.167788741947894205e-10, 1.119193629834520971e-10, 2.974232440829177534e-12, 2.358544746781027649e-10, 5.605245382866258526e-10, 5.369913399198351317e-10, 3.438526255307531928e-11, 5.430711192407607900e-10, 1.564040791016711278e-10
2.016000000000000000e+03, 6.886463111181602604e-11, 2.527620971202672307e-10, 1.448274025410167738e-10, 2.203117316689719149e-12, 2.426504342926373871e-10, 4.870230778479845938e-10, 7.009775495206573525e-10, 8.341088556736964426e-11, 6.011305202735598076e-10, 1.597174763901327653e-10
2.017000000000000000e+03, 6.964795967459633489e-11, 2.530535417836203153e-10, 1.614434725497225229e-10, 1.923489269275034413e-12, 2.468601918680303857e-10, 4.244110403380744200e-10, 8.031256561827123288e-10, 8.696422269315504240e-11, 6.255826603932485751e-10, 1.617260440342668722e-10
2.018000000000000000e+03, 7.008196931121127130e-11, 2.543491759992767293e-10, 1.658590805929035421e-10, 1.840027428154577983e-12, 2.508099239054231341e-10, 3.743106515038960101e-10, 7.894246514554455702e-10, 8.839651754125340599e-11, 6.798372252921386298e-10, 1.589646385422698714e-10
2.019000000000000000e+03, 6.879246110653467970e-11, 2.645616838523054847e-10, 1.504590757285489718e-10, 1.800927113810036825e-12, 2.530264442573514950e-10, 3.356002438516888637e-10, 7.574099426880976408e-10, 9.001484545929860716e-11, 6.672280685247432977e-10, 1.580299982361381525e-10
2.020000000000000000e+03, 6.152326139598129821e-11, 2.736912490164404773e-10, 1.608667325139920251e-10, 1.781689551205979045e-12, 2.348721327351917714e-10, 2.891245690396201677e-10, 7.146071266934157202e-10, 9.317906973386272989e-11, 6.530152382056935439e-10, 1.576803389012868381e-10
2.021000000000000000e+03, 5.651779609646201920e-11, 2.127935315396376120e-10, 1.360674733706437966e-10, 1.665345302391916011e-12, 2.364678787711477484e-10, 2.622407765787431188e-10, 6.571998410214034225e-10, 8.067413846131251611e-11, 6.220284897263029608e-10, 1.499461251561015594e-10
2.022000000000000000e+03, 5.571031894341347002e-11, 1.994562584973618857e-10, 1.502477413421516858e-10, 1.523864451852121889e-12, 2.376554851924554419e-10, 2.407659745773521653e-10, 7.058547293479258468e-10, 8.301065936892849074e-11, 6.442255512614843336e-10, 1.496086010352515953e-10
2.023000000000000000e+03, 5.621948934466737179e-11, 2.064576658602317188e-10, 1.504015055740473978e-10, 1.770045084772709898e-12, 2.391112393061632356e-10, 2.242301214863320487e-10, 7.127277628286339861e-10, 8.253735377864551587e-11, 6.875440416765077362e-10, 1.487476337452721807e-10
2.024000000000000000e+03, 5.525929614404539902e-11, 1.920914219819927556e-10, 1.564755572815386759e-10, 4.539641744056930686e-12, 2.404988357877289339e-10, 2.109706041344133429e-10, 6.000955526746906344e-10, 8.446199561388695376e-11, 7.418997122163414703e-10, 1.493072563121877264e-10
2.025000000000000000e+03, 5.349870926388038059e-11, 1.994203558827126586e-10, 1.306458224906201707e-10, 6.963112444805340896e-12, 2.288516275108883360e-10, 1.985475313182272433e-10, 6.120294629624110636e-10, 8.322320355794154848e-11, 7.528060033201773255e-10, 1.505972365923427017e-10
2.026000000000000000e+03, 5.187220813285116387e-11, 2.019237991244661396e-10, 1.377912125443143873e-10, 5.478889650005005586e-12, 2.285280575538655020e-10, 1.888832990265232581e-10, 7.394253958162920824e-10, 7.735790543570915851e-11, 7.410599014474441582e-10, 1.536548077399052223e-10
