year, CNRM-ESM2-1, TaiESM1, NorESM2-MM, CNRM-ESM2-1, TaiESM1, GFDL-ESM4, NorESM2-LM, NorESM2-MM, EC-Earth3-Veg, GFDL-ESM4, MPI-ESM1-2-LR, CESM2-WACCM
2.058000000000000000e+03, 7.316892485173467381e-10, 2.465826529536272109e-10, 2.082818885628240879e-10, 7.316892485173467381e-10, 2.465826529536272109e-10, 8.616029100760944534e-10, 1.424518623425574753e-10, 2.082818885628240879e-10, 4.660007162437232548e-10, 8.576969521779984047e-10, 6.333422072608535726e-10, 2.921705437380166891e-10
2.059000000000000000e+03, 9.271622710286043767e-10, 2.390943096067943887e-10, 1.843536937926725449e-10, 9.271622710286043767e-10, 2.390943096067943887e-10, 7.656917356479540913e-10, 1.247977507433138865e-10, 1.843536937926725449e-10, 5.478524922755604782e-10, 7.617319686197239359e-10, 7.690388253961964571e-10, 2.740364529261346896e-10
2.060000000000000000e+03, 7.645143198183243488e-10, 3.434779953527322491e-10, 1.193970922457328686e-10, 7.645143198183243488e-10, 3.434779953527322491e-10, 9.599365919635117121e-10, 1.314896584365846084e-10, 1.193970922457328686e-10, 6.533829341708493707e-10, 9.560230030514968848e-10, 6.728220150008951543e-10, 2.282224602675047944e-10
2.061000000000000000e+03, 8.922111277645362588e-10, 2.828316332403553180e-10, 2.266508212964441506e-10, 8.922111277645362588e-10, 2.828316332403553180e-10, 1.032514175570346690e-09, 1.217423712528265811e-10, 2.266508212964441506e-10, 5.023274910176389977e-10, 1.028656893864955962e-09, 7.857950465690343065e-10, 2.044761656365455481e-10
2.062000000000000000e+03, 1.011147859111766167e-09, 2.215465345239725985e-10, 1.943097289080598743e-10, 1.011147859111766167e-09, 2.215465345239725985e-10, 9.735305077929370019e-10, 1.200160828665953968e-10, 1.943097289080598743e-10, 4.839928943987440984e-10, 9.696294536285949727e-10, 6.174298076742278402e-10, 2.108341409201918211e-10
2.063000000000000000e+03, 1.016410280679899672e-09, 2.415032335536674413e-10, 2.813041481129465923e-10, 1.016410280679899672e-09, 2.415032335536674413e-10, 1.064282884546777505e-09, 1.338618678616753516e-10, 2.813041481129465923e-10, 5.070113975505611674e-10, 1.060562135879081651e-09, 7.411425560133316066e-10, 2.937309262952746902e-10
2.064000000000000000e+03, 8.010975606194531672e-10, 2.804719427081500576e-10, 1.928623648107564904e-10, 8.010975606194531672e-10, 2.804719427081500576e-10, 1.021374491721137349e-09, 1.502031470489043360e-10, 1.928623648107564904e-10, 4.312029607278639548e-10, 1.017601267306282151e-09, 7.291952120822835604e-10, 2.648281616915988565e-10
2.065000000000000000e+03, 9.836721961694773928e-10, 3.206060669882381924e-10, 1.298723245983695922e-10, 9.836721961694773928e-10, 3.206060669882381924e-10, 9.790021856019678116e-10, 9.913199504276375700e-11, 1.298723245983695922e-10, 6.134432280595569322e-10, 9.751886249278650904e-10, 8.616023405345461188e-10, 2.374759430987077542e-10
2.066000000000000000e+03, 7.893331143057028749e-10, 2.446851747975685578e-10, 1.895119269999070013e-10, 7.893331143057028749e-10, 2.446851747975685578e-10, 1.424525279761401103e-09, 1.347541238512254947e-10, 1.895119269999070013e-10, 5.371618549891639608e-10, 1.420766390238252928e-09, 6.299459321142511529e-10, 2.472854779728809033e-10
2.067000000000000000e+03, 8.701202779216827544e-10, 2.356446041957976012e-10, 2.557051645379681446e-10, 8.701202779216827544e-10, 2.356446041957976012e-10, 1.521548528343968542e-09, 1.860509965540933437e-10, 2.557051645379681446e-10, 5.349862312858898865e-10, 1.517822488491237622e-09, 9.011333827796939521e-10, 2.302792706118490174e-10
2.068000000000000000e+03, 7.707496685108043361e-10, 2.800984650280634788e-10, 1.915460384384926570e-10, 7.707496685108043361e-10, 2.800984650280634788e-10, 1.076619816210413652e-09, 2.162992625637708071e-10, 1.915460384384926570e-10, 5.245931555363311268e-10, 1.072982064517160973e-09, 8.179210504839250892e-10, 2.723155511885525832e-10
2.069000000000000000e+03, 8.044025839272622100e-10, 2.540410055717156653e-10, 2.757727198163361654e-10, 8.044025839272622100e-10, 2.540410055717156653e-10, 9.581011031951327360e-10, 7.976991768241990512e-11, 2.757727198163361654e-10, 7.401200599532092700e-10, 9.543552034853097127e-10, 8.789072178624580124e-10, 3.771217459029982861e-10
2.070000000000000000e+03, 9.754061929705437506e-10, 2.548246383079519562e-10, 2.307604881966461224e-10, 9.754061929705437506e-10, 2.548246383079519562e-10, 1.042890220893703565e-09, 1.416418961020051964e-10, 2.307604881966461224e-10, 6.277776444460203224e-10, 1.039222752092728799e-09, 5.605049179000437908e-10, 3.666896526266711874e-10
2.071000000000000000e+03, 6.599100463043879766e-10, 2.553627184582083407e-10, 2.009310700962334251e-10, 6.599100463043879766e-10, 2.553627184582083407e-10, 1.096310698593792263e-09, 8.271312495877515895e-11, 2.009310700962334251e-10, 3.933464866433200159e-10, 1.092651319300898620e-09, 8.453387851516248576e-10, 2.573922359259685250e-10
2.072000000000000000e+03, 1.035683294070109178e-09, 2.385854743290018457e-10, 1.265007060208668554e-10, 1.035683294070109178e-09, 2.385854743290018457e-10, 9.917628212298252981e-10, 1.618780831822168764e-10, 1.265007060208668554e-10, 5.188592748259545627e-10, 9.880704068119971647e-10, 7.378110571535833406e-10, 2.597619586465333583e-10
2.073000000000000000e+03, 1.065940561634696407e-09, 2.531209597133121105e-10, 1.956621805643468335e-10, 1.065940561634696407e-09, 2.531209597133121105e-10, 9.164339783510382536e-10, 1.585875400125196566e-10, 1.956621805643468335e-10, 4.855721842414693015e-10, 9.126494866338130539e-10, 1.049679235369692702e-09, 3.083412043916916192e-10
2.074000000000000000e+03, 8.409797214468560605e-10, 3.348551988814355453e-10, 2.092584327113718203e-10, 8.409797214468560605e-10, 3.348551988814355453e-10, 1.096708107036532902e-09, 1.261383989919521046e-10, 2.092584327113718203e-10, 5.784066638943421098e-10, 1.092907838140620609e-09, 6.799981943151392782e-10, 3.797205055987347136e-10
2.075000000000000000e+03, 9.446099510213905154e-10, 2.419265932540276341e-10, 2.048651893405753523e-10, 9.446099510213905154e-10, 2.419265932540276341e-10, 9.850825755985531314e-10, 1.196592190768045456e-10, 2.048651893405753523e-10, 4.583191420284768908e-10, 9.812143463782747915e-10, 5.813097912369697415e-10, 2.632350848102526128e-10
2.076000000000000000e+03, 7.849629876912640797e-10, 2.201168475524928858e-10, 2.076724487648036299e-10, 7.849629876912640797e-10, 2.201168475524928858e-10, 1.502111360190988720e-09, 1.495462129150751967e-10, 2.076724487648036299e-10, 8.750077406543692690e-10, 1.498213603902995730e-09, 8.089154775686446172e-10, 4.535046956333005021e-10
2.077000000000000000e+03, 8.429879751307437306e-10, 2.562479375081739748e-10, 2.353964370471700916e-10, 8.429879751307437306e-10, 2.562479375081739748e-10, 8.300619603826090527e-10, 1.303868140235887977e-10, 2.353964370471700916e-10, 6.682701599146625663e-10, 8.261184867488513175e-10, 9.645348874794256240e-10, 4.774375206904491802e-10
2.078000000000000000e+03, 9.039621103704534986e-10, 2.802889659279323607e-10, 2.058090389490408201e-10, 9.039621103704534986e-10, 2.802889659279323607e-10, 9.423500203144511009e-10, 2.263583047202794971e-10, 2.058090389490408201e-10, 5.177516214412172284e-10, 9.384673942073780046e-10, 7.322370573145038370e-10, 4.806092770472226276e-10
2.079000000000000000e+03, 1.171981663617111380e-09, 2.777175204672124073e-10, 1.128271013981738826e-10, 1.171981663617111380e-09, 2.777175204672124073e-10, 1.615428827546246709e-09, 1.443813767387059585e-10, 1.128271013981738826e-10, 4.516048804760911906e-10, 1.611481153905195624e-09, 7.528582834350696497e-10, 4.260072427931487560e-10
2.080000000000000000e+03, 8.628352868834065821e-10, 2.738767728968408649e-10, 2.342072164611336044e-10, 8.628352868834065821e-10, 2.738767728968408649e-10, 9.501062941004577077e-10, 1.511986776792670810e-10, 2.342072164611336044e-10, 6.115776297753418410e-10, 9.460735244587921738e-10, 9.403808753484956207e-10, 4.269423246872130178e-10
2.081000000000000000e+03, 1.055863205383552297e-09, 2.613418908375797120e-10, 2.721516197177038491e-10, 1.055863205383552297e-09, 2.613418908375797120e-10, 1.000273623871817480e-09, 1.885529678507266944e-10, 2.721516197177038491e-10, 6.423207848609768844e-10, 9.961993586140853282e-10, 8.375875822796182340e-10, 3.625925555788251589e-10
2.082000000000000000e+03, 8.314362866586875553e-10, 2.740132337054705668e-10, 2.978690267979297689e-10, 8.314362866586875553e-10, 2.740132337054705668e-10, 1.158189924564381549e-09, 1.965344569557300171e-10, 2.978690267979297689e-10, 7.306958146045189928e-10, 1.154040148247478000e-09, 7.332246168669926131e-10, 4.897078763221616678e-10
2.083000000000000000e+03, 1.010994659406728401e-09, 2.783956495741216663e-10, 2.348960606831790256e-10, 1.010994659406728401e-09, 2.783956495741216663e-10, 1.273566844022088970e-09, 1.615037683233298460e-10, 2.348960606831790256e-10, 7.334586880656352678e-10, 1.269249598397963959e-09, 8.551189890190873420e-10, 4.545741204139460074e-10
2.084000000000000000e+03, 1.746718166170777311e-09, 2.968567605864327328e-10, 1.909751471269448681e-10, 1.746718166170777311e-09, 2.968567605864327328e-10, 1.549550650388874450e-09, 1.379352544874909884e-10, 1.909751471269448681e-10, 4.729062822397218377e-10, 1.545216775290765536e-09, 1.083970958301307133e-09, 5.152062623593132973e-10
2.085000000000000000e+03, 8.535700375889601645e-10, 2.886516505708089991e-10, 2.140267584306894341e-10, 8.535700375889601645e-10, 2.886516505708089991e-10, 1.200031241990339225e-09, 2.317598202461299782e-10, 2.140267584306894341e-10, 8.092887791662771623e-10, 1.195735419737646554e-09, 9.098387570416860339e-10, 4.238267250316505812e-10
2.086000000000000000e+03, 9.925252965527932828e-10, 2.186835304230453394e-10, 2.010088151606075139e-10, 9.925252965527932828e-10, 2.186835304230453394e-10, 1.209516164212599490e-09, 1.791577579817556945e-10, 2.010088151606075139e-10, 6.461675748385764327e-10, 1.205305073455082141e-09, 6.497892086031821651e-10, 4.842215058311553114e-10
2.087000000000000000e+03, 7.486468484840382132e-10, 2.665107530500084003e-10, 1.605894330367314595e-10, 7.486468484840382132e-10, 2.665107530500084003e-10, 1.282373443670659679e-09, 1.745555702181802647e-10, 1.605894330367314595e-10, 4.995353167173203500e-10, 1.278088454414377759e-09, 8.441053995250741228e-10, 4.529515294956999965e-10
2.088000000000000000e+03, 1.051491087816648658e-09, 3.086139681754487795e-10, 1.836507364078996579e-10, 1.051491087816648658e-09, 3.086139681754487795e-10, 1.124761384437643348e-09, 1.617980882443942158e-10, 1.836507364078996579e-10, 5.221062532628153874e-10, 1.120323411368786430e-09, 9.706938217414802417e-10, 4.160739624936465943e-10
2.089000000000000000e+03, 1.428802622505787076e-09, 3.106607439188526057e-10, 1.870846678730745327e-10, 1.428802622505787076e-09, 3.106607439188526057e-10, 1.242537634093201230e-09, 1.665695707941930086e-10, 1.870846678730745327e-10, 8.434593041402405758e-10, 1.238045790040161834e-09, 9.383083720742447388e-10, 4.254001003482818431e-10
2.090000000000000000e+03, 1.049058979035726298e-09, 2.348911091052685458e-10, 1.897870218905647267e-10, 1.049058979035726298e-09, 2.348911091052685458e-10, 1.220316488190673578e-09, 1.416859216575730133e-10, 1.897870218905647267e-10, 7.122802879816309097e-10, 1.215767661239798309e-09, 6.875016987117937658e-10, 3.117495884305818149e-10
2.091000000000000000e+03, 9.714793921860983705e-10, 2.470856219463007168e-10, 2.323801018741341273e-10, 9.714793921860983705e-10, 2.470856219463007168e-10, 1.634001352231516322e-09, 1.939010318644418465e-10, 2.323801018741341273e-10, 9.199212944948049653e-10, 1.629519300039188672e-09, 6.752925346769371395e-10, 3.520361319880784887e-10
2.092000000000000000e+03, 6.993017130556163721e-10, 3.273666111580349931e-10, 2.384455944085075050e-10, 6.993017130556163721e-10, 3.273666111580349931e-10, 1.837487947654475811e-09, 2.316889200542268851e-10, 2.384455944085075050e-10, 7.112344996581579142e-10, 1.833043725799462264e-09, 7.547705309821993813e-10, 3.300312145901091880e-10
2.093000000000000000e+03, 1.291367513462902641e-09, 3.225420264033412008e-10, 1.614656616225504320e-10, 1.291367513462902641e-09, 3.225420264033412008e-10, 1.099316766311114407e-09, 2.086530459951969357e-10, 1.614656616225504320e-10, 5.058930741297552744e-10, 1.094891995513187841e-09, 8.326381521881804352e-10, 2.781434753049186307e-10
2.094000000000000000e+03, 1.132666060646638521e-09, 2.891084978734675738e-10, 2.326613493513029319e-10, 1.132666060646638521e-09, 2.891084978734675738e-10, 1.410269373446626504e-09, 1.623349626113028660e-10, 2.326613493513029319e-10, 4.919290508938148532e-10, 1.405761089057306106e-09, 7.099393377135132315e-10, 3.058158170465852539e-10
2.095000000000000000e+03, 1.032469462046565734e-09, 2.102622155800792991e-10, 2.751644844264717185e-10, 1.032469462046565734e-09, 2.102622155800792991e-10, 1.412748729733400345e-09, 1.944013420754165974e-10, 2.751644844264717185e-10, 5.559493703979070798e-10, 1.408176358885351076e-09, 1.183049462717471778e-09, 5.461214469948040507e-10
