year, CNRM-ESM2-1, MPI-ESM1-2-LR, ACCESS-ESM1-5, IPSL-CM6A-LR, GFDL-ESM4, CESM2-WACCM, EC-Earth3-Veg, CanESM5, NorESM2-LM, NorESM2-MM, TaiESM1, CMCC-CM2-SR5, MIROC-ES2L
2.028000000000000000e+03, 6.783665495857955818e+01, 5.838378146791359313e+01, 1.070596990090028022e+01, 1.985217954409549179e+01, 5.333998763710136615e+01, 7.277992782965279517e+00, 1.190502647208416498e+01, 1.787799514109363486e+01, 6.865023315995199660e+00, 7.463138193201467985e+00, 1.937528643593531053e+00, 1.080736095585616319e+01, 7.442755981290136447e+01
2.029000000000000000e+03, 6.816132506586562556e+01, 5.841620963162999658e+01, 1.077830899152535160e+01, 2.000326927512411501e+01, 5.333867308248819228e+01, 7.328647324368688487e+00, 1.206255181819734723e+01, 1.803321218947718307e+01, 7.164216168154061037e+00, 7.569306255366695879e+00, 1.768407606215821604e+00, 1.103418302868348810e+01, 7.468217273570986947e+01
2.030000000000000000e+03, 6.822010195992521631e+01, 5.854188536074899218e+01, 1.071173562107296462e+01, 2.010458108175724945e+01, 5.360247711187255959e+01, 7.527373205223955033e+00, 1.184810673591411856e+01, 1.824430359493294773e+01, 7.327434848645986598e+00, 7.543852457551144752e+00, 1.759735169689774281e+00, 1.062371583690535459e+01, 7.500663931755964597e+01
2.031000000000000000e+03, 6.826727225319542924e+01, 5.861714494121446961e+01, 1.069566452124666611e+01, 2.027350044036922583e+01, 5.380841969673531366e+01, 7.290419637777209694e+00, 1.172444458852691618e+01, 1.816427134133726895e+01, 7.326855759791119027e+00, 7.483112962419771641e+00, 2.272875045272190420e+00, 1.045596064971208428e+01, 7.528015179878660490e+01
2.032000000000000000e+03, 6.847580780925878230e+01, 5.861903559697843491e+01, 1.078186885816009521e+01, 2.038033982602636840e+01, 5.412732325986386428e+01, 7.279875159665957440e+00, 1.151685415986175443e+01, 1.830760528657214081e+01, 7.369207769591514356e+00, 7.473175964247150027e+00, 2.082001067826115381e+00, 1.034273741101124244e+01, 7.522336697203800782e+01
2.033000000000000000e+03, 6.828366753289525093e+01, 5.866335234422175660e+01, 1.080885906755159631e+01, 2.051681096158913675e+01, 5.419109707432799894e+01, 7.478040899907596462e+00, 1.161062463227368191e+01, 1.815200320031819103e+01, 7.369680344559965235e+00, 7.552216580602025608e+00, 1.970648988494075438e+00, 1.019446568194179115e+01, 7.514648981017165852e+01
2.034000000000000000e+03, 6.848457275969370528e+01, 5.883859990736753787e+01, 1.076866565204394099e+01, 2.061375204079232759e+01, 5.424987281925159976e+01, 7.543282013396554575e+00, 1.223710140493916398e+01, 1.814361370936926221e+01, 7.170153759286264084e+00, 7.709719273189472588e+00, 1.841162853997032833e+00, 1.119380890026597264e+01, 7.540823785638463050e+01
2.035000000000000000e+03, 6.849850291252761281e+01, 5.888760798400377183e+01, 1.073556482937221190e+01, 2.071552062380984793e+01, 5.444843354152622084e+01, 7.572364628842708889e+00, 1.221077933975807817e+01, 1.804395251155361635e+01, 7.281454891217401304e+00, 7.749257574400127524e+00, 1.630421589120064851e+00, 1.111215834139171399e+01, 7.553890177323734179e+01
2.036000000000000000e+03, 6.896765092559446941e+01, 5.883100976458111120e+01, 1.078683465424997046e+01, 2.087822376021417980e+01, 5.449149925223722590e+01, 7.458201633202581782e+00, 1.241632789583901086e+01, 1.808843879034503388e+01, 7.210928162998731850e+00, 7.733136409348665197e+00, 2.038527061873858237e+00, 1.089758753939018021e+01, 7.554173343515638805e+01
2.037000000000000000e+03, 6.914739494775854212e+01, 5.885730701259151232e+01, 1.076812403727702971e+01, 2.097399139564585013e+01, 5.472391850170806293e+01, 7.362975488497006893e+00, 1.217713155502460687e+01, 1.794607436728291816e+01, 7.114709276419780792e+00, 7.602053201614337397e+00, 2.114009007114814764e+00, 1.078230616634830952e+01, 7.557064525316530990e+01
