year, CMCC-ESM2, CanESM5, MPI-ESM1-2-LR, UKESM1-0-LL, MIROC-ES2L, CNRM-ESM2-1, CESM2-WACCM
2.015000000000000000e+03, 1.731928637502084872e-10, 3.716372895835779395e-10, 1.091094799904308472e-10, 7.564125499162093573e-10, 6.447423767470826099e-10, 8.176130259168962754e-10, 1.423283567934879392e-10
2.016000000000000000e+03, -6.289409282789712313e-10, 2.010198160302570177e-10, 7.062780976635111891e-10, 3.971957317576106712e-10, 4.353785498990655635e-10, 1.058116490932440524e-09, 8.902625785309115158e-10
2.017000000000000000e+03, -4.423117217420712242e-10, 2.689162388216289899e-10, 3.651157535603129659e-10, 4.164259400946373581e-10, 4.922179091919353016e-10, 2.038492363446282303e-10, 5.895258617284895262e-10
2.018000000000000000e+03, 5.123302365185286977e-10, 1.448379484228798471e-10, 5.928019714252633672e-10, 9.130352164576917630e-10, 2.612833972705679522e-10, 1.032506264849336696e-09, 3.996591278302214961e-10
2.019000000000000000e+03, 1.171832975421345944e-09, -3.769173589525042420e-11, 4.608164671130191613e-10, 9.001749389960697995e-10, 4.587058023275503443e-10, 1.192173647276733400e-09, 5.636638185605462467e-10
2.020000000000000000e+03, -5.486139345103995336e-10, 6.807793186063186142e-10, 4.166340733621301650e-10, 8.585826987130608007e-10, 9.679394212005659814e-10, 9.346462725064137148e-10, 4.309780409972741242e-10
2.021000000000000000e+03, -7.740909119921990363e-10, 4.767768914835664021e-10, 5.293528683803580287e-10, 3.816597579882173609e-10, 5.342417923148696174e-10, 2.261234696320413868e-10, 4.644737301016486270e-10
2.022000000000000000e+03, -4.606850711639048487e-10, 5.227811527673072855e-10, 7.534413069540008445e-10, -3.645096582410743575e-10, 9.733927034772885399e-10, 5.642448956482336287e-10, 6.696090846992390779e-10
2.023000000000000000e+03, -1.817286346614728149e-10, -9.028713241796318806e-11, 3.385892730083843069e-10, 5.578141303951104227e-10, 6.472446631940168050e-10, 8.802408824386699387e-10, 6.584309120619770028e-10
2.024000000000000000e+03, 8.965218017739531129e-10, 2.184991945164408919e-10, 3.697248914225698203e-10, 5.812468687605354566e-10, 7.011463301534045653e-10, 8.858454295977467288e-10, 1.113871091115889287e-09
2.025000000000000000e+03, 4.118257483455435492e-10, 5.074230259759714043e-10, 9.159145952208759289e-10, 2.291289374159943144e-10, 7.144089394350114985e-10, 1.194504171514827774e-09, 6.399985115911905204e-10
