year, CMCC-ESM2, CanESM5, MPI-ESM1-2-LR, UKESM1-0-LL, MIROC-ES2L, CNRM-ESM2-1, CESM2-WACCM
2.026000000000000000e+03, -5.637635824909184587e-11, 8.706201521205368345e-10, 3.578843367770098642e-10, 1.579485892783340374e-10, 6.724884559069609054e-10, 9.049284861511856762e-10, 7.487304319596290362e-10
2.027000000000000000e+03, -8.576601481486630413e-10, 5.561724321727824803e-11, 1.957783614748306217e-10, 6.035004792502295366e-10, 7.385349738542224678e-10, 9.909915125267503734e-10, 7.962951513328276789e-10
2.028000000000000000e+03, -9.162413968651471804e-12, 5.415851157428045114e-10, 6.930388747057847504e-10, 4.624807501240072682e-10, 8.748379332239470171e-10, 1.218895348247951811e-09, 1.020291125792258232e-09
2.029000000000000000e+03, 6.109214025288217519e-10, 5.475198324824729897e-10, 3.134924345205369182e-10, 1.733927568845662705e-11, 2.610535830359414110e-10, 1.056229765860330981e-09, 8.831183735435256536e-10
2.030000000000000000e+03, 3.167099942988495703e-10, 4.951939978064858186e-10, -1.216491990856402037e-10, 2.334666743337790630e-10, 6.109849451466270673e-10, 7.087291866448859547e-10, 1.716343257762125496e-10
2.031000000000000000e+03, -5.930950246785498751e-10, 4.498019997173087554e-10, 5.034000466317794349e-10, 2.744177336118133584e-10, 1.397883225747196310e-09, 1.046102748631394712e-09, 9.323666335035824605e-10
2.032000000000000000e+03, 3.149005337090430105e-11, 5.847497289415879840e-10, 4.848459545136133627e-10, 6.346618214452055048e-10, 3.583236020188655163e-10, 4.435000019979230089e-11, 9.280812481375634045e-10
2.033000000000000000e+03, -3.587986417448919891e-10, 6.246648645939882725e-10, 6.000527243029307113e-10, 2.002969593050775787e-10, 2.724884554786505436e-10, 1.512116616842232825e-09, 4.982805481987399037e-10
2.034000000000000000e+03, 3.467298872234722973e-10, 5.183363485521894606e-10, 1.696748255140576802e-10, 5.299278612811136851e-10, 5.303497179268473921e-10, 6.287861980812826928e-10, 7.250285397351502483e-10
2.035000000000000000e+03, -3.769857462993179107e-10, 9.264623826933081163e-10, -1.106786408669014793e-10, 2.602981402488362534e-10, 6.738747230199200999e-10, 1.210836260321011440e-09, 6.125753870383412420e-10
2.036000000000000000e+03, -1.048917781278050055e-09, 3.988498247323475862e-10, 5.062522598742727045e-10, 4.540398501136255815e-10, 1.143814849078457025e-10, 1.188035085223296464e-09, 7.450081616516123670e-10
2.037000000000000000e+03, 1.605029007087306319e-10, 6.283729481952601125e-10, 2.787840936476769362e-10, 2.741761302283910348e-10, 6.001342915318630735e-10, 1.505796155452869645e-09, 9.350513142352094413e-10
2.038000000000000000e+03, 8.608648793868426386e-10, 1.638077727652041124e-10, 3.410811750615644806e-11, 9.634259995476403776e-10, 1.273744432085093478e-09, 1.314858406740373300e-09, 8.179548675459676404e-10
2.039000000000000000e+03, 3.913759064348311916e-11, 1.144797026066814939e-09, 8.077516487759677385e-10, -1.152399317069985589e-10, 1.031578262757966751e-09, 8.000731496830437040e-10, 7.513201484807131224e-10
2.040000000000000000e+03, 1.046195617496879601e-09, 3.714721976182287987e-10, 3.039438006648556801e-10, 4.181312891357315455e-10, 1.016527489504526454e-09, 9.050970456020099277e-10, 1.031953251581514055e-09
2.041000000000000000e+03, -2.898628886002918992e-11, 5.119992980832778409e-10, 2.163097264586444924e-10, 1.611375858056169645e-10, 7.371433064456399189e-10, 1.231387752517996650e-09, 8.003772500188494124e-10
2.042000000000000000e+03, -3.566670885860154396e-11, 6.402291511446457164e-10, 1.022737563859546791e-09, 2.600428340491710621e-10, 1.030464340297006100e-09, 1.419510872139970157e-09, 7.430766902929230822e-10
2.043000000000000000e+03, 5.495661266472502774e-11, 6.504722688573518391e-10, -7.687405618617808089e-11, 5.013393116358741261e-10, 5.387573532543385217e-10, 1.552975317609641160e-09, 7.153915099897812726e-10
2.044000000000000000e+03, -1.128006941566301782e-10, 7.899797754158547404e-10, 7.193211029969169176e-10, 4.972920470976024994e-10, 2.813579097557379533e-10, 1.811051029097266679e-09, 6.465905162088603136e-10
2.045000000000000000e+03, 9.962847854945480878e-11, 1.990860131094898909e-10, 4.928177518327840485e-10, 3.287220091256103420e-11, 7.297860792200663219e-10, 7.383872462537029588e-10, 5.882424131769455584e-10
2.046000000000000000e+03, 1.070781974078047347e-09, 8.848099500238486020e-10, 4.618536382613700030e-10, 4.045747815865613905e-10, 2.643088073886099486e-10, 1.048496084794884728e-09, 9.460349574057587936e-10
2.047000000000000000e+03, 4.247509210448508851e-10, 8.369190271833436821e-10, 3.421619234409345607e-10, 3.229915729081121094e-10, 2.017445340151104309e-10, 1.865841951490061278e-09, 8.047917675360109296e-10
2.048000000000000000e+03, -8.297101982387966979e-10, 1.362947292461188911e-09, 3.092158413494989721e-10, 2.445499989947059965e-10, 8.779576683706160079e-10, 1.144836618395773144e-09, 4.690715287599444953e-10
2.049000000000000000e+03, -8.539319849728750096e-10, 8.650561226157050454e-10, 9.217849162369443511e-10, 7.665591822677221686e-11, 1.304320621954263178e-09, 1.743247499434931192e-09, 6.863903961404980650e-10
2.050000000000000000e+03, -6.963306693153443647e-10, 6.224708733996428037e-10, 1.752218633145145800e-10, 2.408636203088333924e-10, -7.842390134455632829e-11, 1.551826311013514532e-09, 7.604340172102327253e-10
2.051000000000000000e+03, 8.460455749446365174e-10, 1.330132617069436324e-09, 1.062892949838238004e-10, 3.897838644177438691e-10, 6.183704664385767995e-10, 1.378835656579062713e-09, 1.074569292157363638e-09
2.052000000000000000e+03, 2.065566257414102938e-09, 4.443572154625512873e-10, 8.065141979656134512e-11, 1.073217468827756075e-09, 1.003943270426496223e-09, 1.855781111662049619e-09, 7.033364787469465945e-10
2.053000000000000000e+03, -1.353555705032436878e-09, 3.737169756777119144e-10, 2.864768192737345711e-10, 4.042133937054434917e-10, 7.214973728394472855e-10, 1.471862670605287578e-09, 6.575657595800484346e-10
2.054000000000000000e+03, -1.399995758637514269e-09, 1.434678834358577201e-09, 3.380900165310849810e-10, 8.463824667815685207e-11, 8.527402773903823764e-10, 1.062125371776417499e-09, 6.432210794603342687e-10
2.055000000000000000e+03, 2.931345153279591237e-10, 6.504722832976158460e-10, 1.127594201620884529e-09, 2.224025793165041678e-10, 6.317715424558990482e-10, 1.016976260664620002e-09, 8.526826157648148778e-10
2.056000000000000000e+03, 1.499538530839533240e-11, 2.521508116252554717e-10, 9.206909364727917516e-10, 3.706619876114798062e-10, 2.585921110695019052e-10, 1.649459980639720313e-09, 9.098644602461775471e-10
2.057000000000000000e+03, 1.055201683970097267e-09, 2.801493764422351170e-10, 7.265003881516625471e-10, 7.402877602214713886e-10, 8.836527847110821927e-10, 1.393459077160154231e-09, 1.126489760878825914e-09
2.058000000000000000e+03, 1.018438233058958470e-10, 9.570676228559771680e-10, 9.481480759885876261e-10, 6.133829977171038601e-10, 1.175656993581016125e-09, 1.907467946340284962e-09, 7.088568480143570749e-10
2.059000000000000000e+03, -3.905778775285217719e-10, 6.951380633791899483e-10, -2.232833238821017240e-10, 3.399668780732752104e-10, -1.531860738380702816e-10, 1.256230866044002787e-09, 1.003132384871941072e-09
2.060000000000000000e+03, 1.873342523217051061e-10, 1.159011037846156508e-09, -6.824696591752788610e-12, -1.587293279544637951e-11, 9.960055484361441053e-10, 1.784937540143486929e-09, 6.570458981920806109e-10
2.061000000000000000e+03, 5.387043544946913630e-10, 1.082084333877333129e-09, 4.497557707911495885e-10, -2.504849361629935455e-11, 7.430130449281342592e-10, 1.080347561049633245e-09, 1.214641978109668326e-09
2.062000000000000000e+03, 1.197593487391763905e-09, 5.351023251628882611e-10, 1.481458454612716326e-10, 3.615886974539489195e-10, 5.632550666900289588e-10, 1.309948600449741592e-09, 9.393259635154054132e-10
2.063000000000000000e+03, -7.560067234032536090e-10, 1.228827046618846178e-09, 5.649888894984969877e-10, 2.055431337759130319e-10, 2.832716135324922608e-10, 1.247374374798761385e-09, 7.893575173624273596e-10
2.064000000000000000e+03, -9.786042614536506730e-10, 1.158030707283911141e-09, 7.473951985813898445e-10, 9.361348228256995531e-10, 1.086626507722850732e-09, 1.818373682753235775e-09, 7.990129737936170799e-10
2.065000000000000000e+03, 2.551437758456259686e-09, 7.114749497746708839e-10, 5.267266378670485375e-10, 1.540989189772679322e-10, 1.447878716981090052e-09, 1.404912091646027241e-09, 5.662092670209987802e-10
2.066000000000000000e+03, -4.507705373312927930e-10, 1.743913647675423081e-09, -1.757050871825112443e-10, -2.618400893364606679e-11, 5.236097630095006741e-11, 1.386745019685758985e-09, 8.754189768311007152e-10
2.067000000000000000e+03, 5.755136277501378552e-10, 1.208324416916891954e-09, 5.811399245280549946e-10, 3.575743213048776734e-10, 5.804199540858672509e-10, 1.758960759627983551e-09, 1.304397394131417179e-09
2.068000000000000000e+03, -2.124562533788357806e-10, 1.826725078224294441e-09, 5.123141934511323732e-11, 1.059315881436506169e-10, 6.970406793184434318e-10, 1.464430438643895054e-09, 5.758730444545318921e-10
2.069000000000000000e+03, -1.199035440540964521e-09, 1.119867339054740514e-09, 1.130394874916195969e-10, 5.139667582881790620e-10, 1.178894070532571329e-09, 1.211327893503234491e-09, 8.686148977034354680e-10
2.070000000000000000e+03, -6.918303121991225387e-10, 1.031956497036883270e-09, 4.083109552308642207e-10, 2.490780918296028017e-10, 7.273419806333924850e-10, 1.586462558874496026e-09, 5.845259973940389420e-10
2.071000000000000000e+03, 9.714879125139810883e-10, 9.562399150895997202e-10, 1.169896673795532836e-09, 4.802655493116572874e-11, 5.740076925677980748e-10, 2.321865235879984863e-09, 7.223709932941144651e-10
2.072000000000000000e+03, 2.174084193900752616e-12, 4.948744091899818009e-10, -2.652824324423882331e-10, 2.310269586162919019e-11, 5.928882598008014776e-10, 1.513070324685197318e-09, 1.080378580312213561e-09
2.073000000000000000e+03, -5.552555111929436039e-10, 9.667958473149032118e-10, 1.063899310738763529e-10, 4.905818586676637949e-10, 7.490992582066268751e-10, 9.174531672853780303e-10, 6.544900035402663108e-10
2.074000000000000000e+03, 1.220495651669118264e-09, 3.201938423620801567e-10, 5.054955483914991051e-10, 2.416188230627354851e-10, 2.955948774888041864e-10, 1.537059842707781913e-09, 8.814967807514870035e-10
2.075000000000000000e+03, 8.544809995178548656e-10, 1.716311413141709221e-09, 1.303138045345944858e-10, -2.111363107157702762e-10, 1.367190950592486936e-09, 1.450870430172650200e-09, 7.894806516298258567e-10
2.076000000000000000e+03, 1.583989985839247794e-09, 1.144506165179581312e-09, 1.519492943511472130e-10, 1.484089789033950689e-10, -1.493932581522038120e-10, 1.445555568189221645e-09, 7.338752641062763811e-10
2.077000000000000000e+03, -5.405749057447112823e-10, 1.102265085599517227e-09, 3.424811581654197332e-10, -1.902833425962634426e-10, 6.419221653336220204e-10, 1.940965700329535152e-09, 6.055564723217576514e-10
2.078000000000000000e+03, -1.541287028720007034e-09, 6.474678666363100146e-10, 2.975416705503919518e-10, 6.580226900059438693e-10, 7.197412945529993699e-10, 1.659913695854298207e-09, 1.776159426741731887e-10
2.079000000000000000e+03, -4.857588337780453375e-10, 6.903140509769137618e-10, 1.724609725461149643e-10, 8.107389344625011357e-11, 1.135296385921588312e-09, 8.121584435421593276e-10, 3.117952642155710789e-10
2.080000000000000000e+03, 2.303171484612845886e-09, 8.342754842602866914e-10, 5.410146084396372402e-10, 2.441388314666074010e-11, 8.513444103528934249e-10, 1.935555681511733441e-09, 3.840505343113286999e-10
2.081000000000000000e+03, -1.313957908982430199e-10, 9.004162214433929390e-10, 2.178490258751243905e-10, 2.800838028037648174e-11, 6.696831574993811767e-11, 1.102155499728625057e-09, 8.368104800985188614e-10
2.082000000000000000e+03, -1.292805917889098384e-09, 1.220759382012210890e-09, 1.778602377863162050e-10, 1.279631209008314379e-10, 1.287363596523000991e-09, 1.964279897450590612e-09, 5.842508218044356281e-10
2.083000000000000000e+03, -1.487073756502556617e-09, 3.398828206972406385e-10, 1.333099139594028723e-10, 1.313391133368844076e-10, 4.226027957512788921e-10, 1.344041640087410563e-09, 5.956107171318241996e-10
2.084000000000000000e+03, -3.046240211706568650e-10, 5.773592384779735958e-10, -1.142952718245575963e-10, 1.252164624248058621e-10, 5.255810640872806889e-10, 8.920482956704921733e-11, 8.764388246517574405e-10
2.085000000000000000e+03, 8.786203795846281005e-10, 1.631407864153676108e-09, -3.186598494580731180e-11, 7.129202689584554472e-10, 5.248823796281210048e-11, 1.532819088777830063e-09, 1.321826228732825458e-10
2.086000000000000000e+03, -2.024105320941902798e-11, 1.095644076294500445e-09, 3.841119721305778073e-10, -6.114779856026817890e-10, 8.549781281433550876e-10, 1.931170821423895466e-09, 1.019991915516815685e-09
2.087000000000000000e+03, 4.033041683121347896e-11, 1.947763240824466904e-09, 1.048584077822695285e-09, 2.424753060171696753e-10, -3.154145121177216240e-11, 1.444156331091955433e-09, 5.735158422200484133e-10
2.088000000000000000e+03, -9.121084215082357991e-10, 1.265900756454789318e-09, 2.191006830922323039e-10, -4.105211016154957657e-10, 3.772778177811465008e-10, 1.480109850993318726e-09, 4.842388947885287060e-10
2.089000000000000000e+03, 6.689180585600991459e-11, 1.968114558611872837e-09, 7.066833765798838208e-11, 4.401662283498679412e-10, 3.944367875912199211e-10, 8.257230219600417149e-10, 1.041643030321702314e-10
2.090000000000000000e+03, 1.654037085952248873e-10, 5.541103830385593680e-10, 2.213588248542396985e-10, 6.366103289511516909e-10, 7.632773617687312501e-10, 1.592178246804824877e-09, 6.042757355599814544e-10
2.091000000000000000e+03, 7.418874221665325323e-10, 1.019127787425192363e-09, 1.901651236715498728e-10, 8.751318995890784803e-11, 2.068214059548399222e-09, 1.421335715957085413e-09, 1.108731656785904228e-09
2.092000000000000000e+03, -1.393268569503680648e-10, 1.536820995788399552e-09, 4.685856168207721956e-11, 7.760271317005811748e-10, 1.250391859564492173e-09, 1.846315625456803401e-09, 7.592169895406676630e-10
2.093000000000000000e+03, -7.511730382390644107e-10, 1.440844522151588004e-09, 3.662319803287944876e-10, -2.533764479132928858e-10, -3.676303207332243513e-10, 7.741032124603684690e-10, 1.074758351441644503e-09
2.094000000000000000e+03, 1.558997362435223362e-09, 9.094869088321450696e-10, 5.623351654390153705e-10, 1.759439423618605532e-10, 3.696906390496337374e-10, 1.498237842685715120e-09, 1.097506888230549071e-09
2.095000000000000000e+03, -3.815567283506053850e-11, 1.334065463974775689e-09, -2.447955756669570095e-11, -3.512955485979520174e-10, 4.648666176901369202e-10, 1.195589010849646775e-09, 1.118910406482481222e-09
2.096000000000000000e+03, 2.157714537165308596e-10, 1.118978213358632135e-09, 5.867537825286595454e-10, -4.176777436957176717e-10, 7.800869671255617308e-10, 1.557089253902182783e-09, 5.949058211220549473e-10
2.097000000000000000e+03, 5.391833705126736316e-10, 1.187951364448653721e-09, -3.773457504031087228e-10, -4.579115172667928784e-10, 5.844035873263646298e-10, 7.767424812983501676e-10, 6.649422509239136724e-10
2.098000000000000000e+03, -1.663223124133364666e-09, 1.381807714442743170e-09, 4.993948368351934533e-10, 2.925148183092034563e-10, -1.008527254911168872e-10, 1.130916234847105113e-09, 6.338838004986412842e-10
2.099000000000000000e+03, 2.664460601428563877e-10, 1.422729255354078174e-09, -6.834163011069613107e-11, 4.419851473049481076e-10, 2.968324511068872808e-11, 9.124264739235020171e-10, 7.858748042612783900e-10
2.100000000000000000e+03, 7.628698075404150044e-10, 1.305572417333908064e-09, 1.003100102770531018e-10, 8.312434229814645194e-10, 1.240292281429514186e-09, 1.057541802014590736e-09, 7.997062228750517522e-10
