year, MIROC-ES2L, UKESM1-0-LL, CESM2-WACCM, MPI-ESM1-2-LR, CNRM-ESM2-1, ACCESS-ESM1-5, CMCC-CM2-SR5, EC-Earth3-Veg, IPSL-CM6A-LR
2.059000000000000000e+03, 2.761786175621410155e+00, 1.136957913599988129e-01, 1.550620664282552630e+00, 2.422778605968340937e+00, 1.815503486513140863e-01, 3.143796996244735187e+00, 1.635370814598469780e+00, 9.581964622139400867e-02, 7.702793527603088997e-01
2.060000000000000000e+03, 2.760699305961240579e+00, 1.123178535710867287e-01, 1.548822044776752227e+00, 2.407485724312275810e+00, 1.832653468460560542e-01, 3.147428743529893325e+00, 1.634749126390161234e+00, 9.617370270688514744e-02, 7.729943007877799754e-01
2.061000000000000000e+03, 2.761874767837586564e+00, 1.085840181635183699e-01, 1.575643250880994994e+00, 2.401856984925992311e+00, 1.791064562870967880e-01, 3.144345404652082898e+00, 1.634133774954734664e+00, 9.636794045217163263e-02, 7.748511290990953704e-01
2.062000000000000000e+03, 2.764571304579616307e+00, 1.066990805486578847e-01, 1.600318737984962603e+00, 2.401598183936215936e+00, 1.747252555797003393e-01, 3.142755636154303200e+00, 1.633610636820248541e+00, 9.635694229554335466e-02, 7.772881593955887070e-01
2.063000000000000000e+03, 2.769543651116793015e+00, 1.057941486335847586e-01, 1.601501832570913830e+00, 2.399848863831370416e+00, 1.701994148327813927e-01, 3.139910116741958301e+00, 1.632874467489227044e+00, 9.691640879094637340e-02, 7.797757156501327058e-01
2.064000000000000000e+03, 2.775572992673189798e+00, 1.048627212529881503e-01, 1.613010232834879210e+00, 2.391614646299516700e+00, 1.669966836224476281e-01, 3.137948752387589746e+00, 1.632162143935604437e+00, 9.748910638202959444e-02, 7.828609094280380987e-01
2.065000000000000000e+03, 2.788612206610823208e+00, 1.052176302554602705e-01, 1.627962677441871842e+00, 2.401455507487896046e+00, 1.634086137260978844e-01, 3.136851899126591903e+00, 1.630558083841317840e+00, 9.837282384113509026e-02, 7.854268372572280610e-01
2.066000000000000000e+03, 2.801690856012670316e+00, 1.064577181473197742e-01, 1.612227399021050056e+00, 2.393384975684311300e+00, 1.581527929683953226e-01, 3.145584624202362622e+00, 1.628170057801372250e+00, 9.782601107487794156e-02, 7.832818953215902047e-01
2.067000000000000000e+03, 2.806173800668999796e+00, 1.078685663923229093e-01, 1.620319787873267803e+00, 2.383376190260622085e+00, 1.532683225064209176e-01, 3.153846105132483313e+00, 1.625727608112082834e+00, 9.745365497333005611e-02, 7.818256239786908202e-01
2.068000000000000000e+03, 2.808043634672602096e+00, 1.100047366146934824e-01, 1.626931795183218732e+00, 2.382715802763462065e+00, 1.487460603381546564e-01, 3.160911988670783046e+00, 1.622923525021112257e+00, 9.773193130290837305e-02, 7.799779261804987707e-01
2.069000000000000000e+03, 2.813558350660831486e+00, 1.119739656811471751e-01, 1.621635138043013180e+00, 2.381048490306538312e+00, 1.446485808055713029e-01, 3.167735820384243173e+00, 1.619775406815310514e+00, 9.776711907656504552e-02, 7.793269387707046914e-01
