year, GFDL-ESM4, UKESM1-0-LL, IPSL-CM6A-LR, NorESM2-MM, INM-CM4-8, ACCESS-ESM1-5, EC-Earth3-Veg, INM-CM5-0, NorESM2-LM, TaiESM1, MIROC-ES2L, CNRM-ESM2-1, CanESM5, CMCC-ESM2, CESM2-WACCM, MPI-ESM1-2-LR
2.025000000000000000e+03, 2.049363807443768337e+00, 2.348108476795281341e+00, 1.459668904481208118e+00, 1.316527137616928522e+00, 1.542406509643685641e+00, 1.191592558424563242e+00, 1.637083050477456059e+00, 1.573441943986135572e+00, 1.205942884721488140e+00, 1.727479884602372229e+00, 1.153371919151396030e+00, 1.229134518201523418e+00, 1.215369067472699793e+00, 2.089020381536027315e+00, 1.356531660446131049e+00, 1.407930915759281199e+00
2.026000000000000000e+03, 2.096532508084412605e+00, 2.344052921618826169e+00, 1.489033473739415969e+00, 1.297968378853843419e+00, 1.655364968628660671e+00, 1.229566905745612004e+00, 1.636284551961415312e+00, 1.568524620414141646e+00, 1.238510624184352205e+00, 1.661156269065674485e+00, 1.133388435094484059e+00, 1.248305307407421516e+00, 1.201677373917088731e+00, 2.038376831769677988e+00, 1.358092102948226465e+00, 1.385624071656935463e+00
2.027000000000000000e+03, 2.023577002281994552e+00, 2.349132691158630326e+00, 1.456250806920249552e+00, 1.293086138665353380e+00, 1.601058892884264173e+00, 1.256528908968617353e+00, 1.638394108659250836e+00, 1.592081997955431039e+00, 1.269361674534840834e+00, 1.601361016148188376e+00, 1.146905296065544810e+00, 1.297779169755462148e+00, 1.189369821881247846e+00, 2.132904529378463199e+00, 1.368341246336447270e+00, 1.372035973009090082e+00
2.028000000000000000e+03, 2.001894078625415574e+00, 2.349550986601660174e+00, 1.490222214247704180e+00, 1.320078111258135900e+00, 1.647987886151428327e+00, 1.253244368022580879e+00, 1.637369790659995550e+00, 1.580125938547980891e+00, 1.334465651915738960e+00, 1.648167737546331946e+00, 1.177575129222329764e+00, 1.282197347260203069e+00, 1.189515634007851430e+00, 2.303456322688447688e+00, 1.389620266493311496e+00, 1.398132964422784008e+00
2.029000000000000000e+03, 2.089578967331167991e+00, 2.324269911025514723e+00, 1.500268582085489522e+00, 1.331467620514331429e+00, 1.647260363187343923e+00, 1.250132341018119986e+00, 1.620055831401559843e+00, 1.597192863322147049e+00, 1.287485031428602600e+00, 1.665482924548965515e+00, 1.139191077673798125e+00, 1.227719650815614960e+00, 1.201416457216537559e+00, 2.218051573888985217e+00, 1.410043857836159154e+00, 1.384733394601899148e+00
2.030000000000000000e+03, 2.072689248625037894e+00, 2.316762943379632400e+00, 1.521627049272481491e+00, 1.341007154700954107e+00, 1.650522112422579735e+00, 1.196169064762831358e+00, 1.612333459190471885e+00, 1.604733986103969778e+00, 1.287720776683890955e+00, 1.817441108096428781e+00, 1.146085569963756878e+00, 1.265602902486314907e+00, 1.211718337342381657e+00, 2.143770852645311642e+00, 1.375241974599062722e+00, 1.358406694118129421e+00
2.031000000000000000e+03, 2.115644740717682382e+00, 2.374926543187470429e+00, 1.528062418872421224e+00, 1.318607877717518306e+00, 1.620347788441569792e+00, 1.237089050825295855e+00, 1.626021024695575745e+00, 1.611385415701058088e+00, 1.300584176790238633e+00, 1.752563380524145842e+00, 1.153228662381771574e+00, 1.255148073452583724e+00, 1.216360377089216405e+00, 2.161384446711703600e+00, 1.404999895039834579e+00, 1.373148806392434862e+00
2.032000000000000000e+03, 2.053538157174362944e+00, 2.368684264695808395e+00, 1.531544221101576841e+00, 1.336994546189284705e+00, 1.628699149729178508e+00, 1.258449737070307828e+00, 1.679917550765084533e+00, 1.622023016721845234e+00, 1.296125140628177963e+00, 1.594111260885114456e+00, 1.161999373353189702e+00, 1.172924851264869117e+00, 1.212778523585293922e+00, 2.163929511805476658e+00, 1.429209150522970484e+00, 1.383857652828408114e+00
2.033000000000000000e+03, 2.082029629008700589e+00, 2.338548302089366704e+00, 1.555014749802669627e+00, 1.342426586455280679e+00, 1.592210105620265548e+00, 1.244754567484905428e+00, 1.751265563559438299e+00, 1.631587104714878000e+00, 1.331194622120100313e+00, 1.614749439734017189e+00, 1.165762186020062208e+00, 1.271998332013679844e+00, 1.241099046286048946e+00, 2.171674696328582677e+00, 1.433920535834108723e+00, 1.391731187499029687e+00
2.034000000000000000e+03, 2.119343230953905977e+00, 2.367052676541638867e+00, 1.567444449365782200e+00, 1.322755557300747453e+00, 1.601357944779747022e+00, 1.212146297582033849e+00, 1.626604418954867848e+00, 1.657578166283174559e+00, 1.354512420158335617e+00, 1.680202653975358063e+00, 1.133911140302767961e+00, 1.274754576055152855e+00, 1.226429012616649938e+00, 2.174006000330370281e+00, 1.380798576883112139e+00, 1.369095605366123625e+00
