year, CESM2-WACCM, UKESM1-0-LL, CMCC-ESM2, ACCESS-ESM1-5, MPI-ESM1-2-LR, MIROC-ES2L, CNRM-ESM2-1, IPSL-CM6A-LR
2.040000000000000000e+03, 6.446479074945682946e-10, 3.402234972125264016e-11, 1.621450323118512318e-10, 1.285605421474250233e-10, 7.349019705518654394e-10, 1.053129681238743792e-09, 6.420660844332563706e-11, 1.581630978904728361e-09
2.041000000000000000e+03, 6.795967350458898542e-10, 2.830794061863620531e-11, 1.631530392478087097e-10, 1.282192485904928612e-10, 7.311343349922700113e-10, 1.056278885731703800e-09, 6.313666337238427236e-11, 1.466477383896709518e-09
2.042000000000000000e+03, 7.250267955439008446e-10, 2.726949142563077002e-11, 1.638821028704836393e-10, 1.281426495554668068e-10, 7.353210040021388675e-10, 1.066070756167318494e-09, 6.286325341717472591e-11, 1.532161806831929282e-09
2.043000000000000000e+03, 6.981782659259123604e-10, 2.834103483121436037e-11, 1.643678411040105799e-10, 1.281192729764117619e-10, 7.342058770591957410e-10, 1.073913195392309773e-09, 6.219576445402695279e-11, 1.584118852340333371e-09
2.044000000000000000e+03, 6.177661612194090663e-10, 2.960574442606907597e-11, 1.646803902677681604e-10, 1.280276984726822267e-10, 7.431866333697030073e-10, 1.073950872340138565e-09, 6.188427320031516414e-11, 1.638890796315336741e-09
2.045000000000000000e+03, 6.354603690911076842e-10, 2.951145805193992274e-11, 1.646821128783945677e-10, 1.281104706851975523e-10, 7.506355394365607456e-10, 1.071041699562364979e-09, 6.147139664751008181e-11, 1.572587844361914799e-09
2.046000000000000000e+03, 6.403083043202833898e-10, 2.560583837921969240e-11, 1.644426828400673758e-10, 1.224529683105610402e-10, 7.468064380345827698e-10, 1.071736266817631242e-09, 6.267023842029946180e-11, 1.737302530333416950e-09
2.047000000000000000e+03, 6.391629778654362674e-10, 2.392138379750945992e-11, 1.641074088939214660e-10, 1.199606323252866771e-10, 7.424778595256296871e-10, 1.063444300551036422e-09, 6.234434626759741578e-11, 1.732214126267898544e-09
2.048000000000000000e+03, 6.329684218586622528e-10, 2.311397130924769815e-11, 1.636757673520655070e-10, 1.186183500748481524e-10, 7.437206432389079407e-10, 1.059458402544177904e-09, 6.230348917530183958e-11, 1.634923883614769239e-09
2.049000000000000000e+03, 6.058918910494473582e-10, 2.277263390206788156e-11, 1.632885180646809452e-10, 1.178862123515583813e-10, 7.525373708599312137e-10, 1.066957079808666325e-09, 6.299208695878151568e-11, 1.731164202044901669e-09
2.050000000000000000e+03, 6.668169882087955058e-10, 2.189805260456899700e-11, 1.637077932024020309e-10, 1.157758160312372753e-10, 7.679742117908681782e-10, 1.089502388862163135e-09, 6.384096751035850060e-11, 1.740851111250887568e-09
2.051000000000000000e+03, 7.355311553143787998e-10, 1.769565457707058559e-11, 1.649802442737262338e-10, 1.292366897179878919e-10, 7.621892139802362823e-10, 1.094243624327955721e-09, 6.404952632404890862e-11, 1.814649612487864035e-09
2.052000000000000000e+03, 6.700816194214820862e-10, 1.526458253572220491e-11, 1.662208018776190483e-10, 1.367085601757378117e-10, 7.651129984380851859e-10, 1.091864981352991252e-09, 6.356711350726597807e-11, 1.831354436931805146e-09
2.053000000000000000e+03, 5.384740274209761318e-10, 1.425307267576115308e-11, 1.670611273220346737e-10, 1.367423926637027841e-10, 7.595404543109096485e-10, 1.087329150489864161e-09, 6.506947908211339642e-11, 1.889592352424022811e-09
2.054000000000000000e+03, 5.799329156675337626e-10, 1.447217072909718848e-11, 1.676744686608742655e-10, 1.351077095410305868e-10, 7.622083745966099643e-10, 1.091802361102970550e-09, 6.495012932398905165e-11, 1.798736848444933705e-09
2.055000000000000000e+03, 6.616569568071159962e-10, 1.633578847454972752e-11, 1.677122003484799591e-10, 1.347518150804679692e-10, 7.660285035263827532e-10, 1.104385267058970882e-09, 6.656044607038403546e-11, 1.872130971292947616e-09
2.056000000000000000e+03, 7.283636096524687597e-10, 1.429818908374463916e-11, 1.672192635986843112e-10, 1.305894358076808653e-10, 7.893797082212371886e-10, 1.104740741745723159e-09, 6.806623846277834637e-11, 1.798744657870725446e-09
2.057000000000000000e+03, 7.100829667724536307e-10, 1.282423481039305034e-11, 1.667933656420040547e-10, 1.273623861041779773e-10, 8.025950352870339564e-10, 1.100348919206945320e-09, 6.951266406142600645e-11, 1.894818480128618861e-09
