year, CNRM-ESM2-1, TaiESM1, UKESM1-0-LL, CMCC-CM2-SR5, EC-Earth3-Veg, CESM2-WACCM, GFDL-ESM4, NorESM2-LM, MPI-ESM1-2-LR, MIROC-ES2L, CanESM5, IPSL-CM6A-LR, NorESM2-MM, ACCESS-ESM1-5
2.015000000000000000e+03, 7.718784492405140973e+00, 5.215403254580045278e+00, 9.230968305869685864e+00, 7.018112013749777667e+00, 5.983479401222755456e+00, 5.658154523109696576e+00, 6.533536984005461790e+00, 5.205564177345605614e+00, 9.704013175846959882e+00, 9.883299274413646529e+00, 9.520167087510367665e+00, 6.016539258677305213e+00, 5.998106118422865229e+00, 7.298681458343609485e+00
2.016000000000000000e+03, 7.887029031128482082e+00, 4.905363563522061376e+00, 9.423035240404605162e+00, 6.953550324335990851e+00, 5.982663634568109678e+00, 5.827252504280892254e+00, 6.881519196390118331e+00, 5.643222346538223633e+00, 9.795316383581235797e+00, 9.642781007930055992e+00, 9.587496569765690424e+00, 6.011316458367883087e+00, 5.625532447986150153e+00, 7.442128634786365993e+00
2.017000000000000000e+03, 7.994596466709036342e+00, 4.973666360807003528e+00, 9.640445786166374376e+00, 6.917409381966911575e+00, 6.251030131053160410e+00, 5.586627846804565145e+00, 6.892936752527708322e+00, 5.699788435531137232e+00, 1.007511054295787822e+01, 9.529491411881673812e+00, 9.707455772234055758e+00, 6.163986983970933586e+00, 5.593409947834087070e+00, 7.249464773141046869e+00
2.018000000000000000e+03, 8.220615229623598808e+00, 5.131162435346129591e+00, 9.314946936721117510e+00, 6.914301891373065168e+00, 6.125692117722277175e+00, 5.730488378060084820e+00, 7.095406315166713718e+00, 5.562844688300401685e+00, 1.011195714463750228e+01, 9.611601605410902138e+00, 9.621852056451752233e+00, 6.347036996543404364e+00, 5.940371608659440916e+00, 7.225550740742592737e+00
2.019000000000000000e+03, 8.134314831957489389e+00, 4.993200900630879957e+00, 9.621503862541237240e+00, 6.946280647946386999e+00, 6.055925210640491940e+00, 5.824556045355203437e+00, 6.833978116093907929e+00, 5.652165925554723636e+00, 1.029524166233773386e+01, 9.717290545344106079e+00, 9.527192466863301235e+00, 6.215742794843969854e+00, 6.025025660892032953e+00, 7.259757223264508674e+00
2.020000000000000000e+03, 8.608600020182432644e+00, 4.774721113298627806e+00, 8.942654055043098182e+00, 7.030642599786514069e+00, 5.923368340513877506e+00, 5.557605505391432388e+00, 7.044247527238089113e+00, 5.440626552778462965e+00, 9.969291059374244313e+00, 9.827024699518748463e+00, 1.017821416778723354e+01, 6.005774181784606647e+00, 5.647227522657642496e+00, 7.287569456586536987e+00
2.021000000000000000e+03, 7.814267268246220866e+00, 5.039296086558350041e+00, 9.264290595648876803e+00, 7.008412214863251499e+00, 6.520684760582295070e+00, 5.677069108916485085e+00, 7.076255278905247081e+00, 5.577039444257832379e+00, 9.904955833614133454e+00, 1.001305526550006775e+01, 9.633249014877433680e+00, 6.192448672964311562e+00, 5.597648510467985616e+00, 7.180119146694979193e+00
2.022000000000000000e+03, 8.204620604592943067e+00, 5.311107377183045486e+00, 9.210801605336373044e+00, 7.098197042445522520e+00, 6.246710239600823833e+00, 5.560270436237563452e+00, 7.080989456100056145e+00, 5.597719882657601786e+00, 1.014165383326625935e+01, 9.993156561609067623e+00, 9.929274070667906571e+00, 6.217189099826919474e+00, 5.415862409430850732e+00, 7.286237547582720353e+00
2.023000000000000000e+03, 8.134458130682384436e+00, 4.730018397477503633e+00, 8.816605866723635998e+00, 6.891940081842308885e+00, 5.816356097538379011e+00, 5.892988710964450760e+00, 7.052897302640178445e+00, 5.507336019275993699e+00, 1.003031542758149364e+01, 1.017977112072679802e+01, 1.009334810488189405e+01, 6.195222455237711756e+00, 6.053031283546093988e+00, 7.234750148946172743e+00
2.024000000000000000e+03, 7.765623647493006487e+00, 5.060899345112148673e+00, 9.497303574747718358e+00, 7.116319432139951218e+00, 5.999546976306551649e+00, 5.850130388192394726e+00, 7.144658023643797762e+00, 5.110548289032717406e+00, 1.093363574400249760e+01, 1.003776095916556166e+01, 1.031483844057047783e+01, 6.231613579004820380e+00, 5.781096988441018603e+00, 7.389624566738134170e+00
2.025000000000000000e+03, 8.197483067489976349e+00, 5.028790456421473820e+00, 9.521950898649109263e+00, 6.986205059292933228e+00, 6.798337312887758443e+00, 5.868627803766228723e+00, 7.391683663576758434e+00, 5.153113733211743153e+00, 1.064007405869355694e+01, 1.004757574651071828e+01, 1.063745243876567237e+01, 6.254240982587983666e+00, 5.952542851281883429e+00, 7.234117616412268248e+00
2.026000000000000000e+03, 8.404946701519381946e+00, 5.349711242918580467e+00, 9.729578996891305565e+00, 7.136650218026998616e+00, 6.171672383489570812e+00, 5.773178188396066446e+00, 7.247078490340482126e+00, 5.313658020341141430e+00, 1.044141279522697197e+01, 9.843853932331839474e+00, 9.875361802809853984e+00, 6.424126338298683514e+00, 5.911161568255981713e+00, 7.309551283829605950e+00
2.027000000000000000e+03, 8.762100115872112127e+00, 5.018998926692934681e+00, 9.765865308621421548e+00, 7.069330849569491981e+00, 6.580113378504568011e+00, 5.985484328896832018e+00, 7.083710067136494537e+00, 6.032600952051068610e+00, 1.013627027078401177e+01, 1.021644757845564122e+01, 1.036192906290075477e+01, 6.281175014116126221e+00, 5.987429541614301520e+00, 7.319639383260010845e+00
2.028000000000000000e+03, 8.441077383470554807e+00, 5.151341123560279733e+00, 9.806809838331108864e+00, 6.804503350346259971e+00, 5.919903642240659458e+00, 6.010596283020920083e+00, 7.237216750557360356e+00, 5.769807282872517540e+00, 1.062462370714842308e+01, 1.031366384440253547e+01, 1.019588230522007599e+01, 6.444379332579626585e+00, 5.876204947219713759e+00, 7.359487862130305480e+00
2.029000000000000000e+03, 8.069926212716909575e+00, 5.123184697308223789e+00, 9.696589483560480005e+00, 7.052002744284755487e+00, 6.628382348947821967e+00, 6.085366115372411677e+00, 7.183984103844301750e+00, 5.207759645619575828e+00, 1.056775262654983827e+01, 9.984075778159533954e+00, 1.024237516081101163e+01, 6.556864685158766193e+00, 6.211434524436961979e+00, 7.425717203783979592e+00
2.030000000000000000e+03, 8.538235640528734294e+00, 5.054399155513367603e+00, 9.438585194334601525e+00, 6.961473214896475525e+00, 6.303797081158226234e+00, 5.848186506015426112e+00, 7.203258580932810240e+00, 5.545121262048374966e+00, 1.001000546683010839e+01, 9.837764149558593019e+00, 1.024268613788936122e+01, 6.467734899136254434e+00, 6.129676244806331553e+00, 7.624692191498412264e+00
2.031000000000000000e+03, 8.229154182838067655e+00, 5.340516010033576677e+00, 1.051803020621061791e+01, 6.991168923830346493e+00, 6.773141758384670474e+00, 6.476587646700746603e+00, 7.271617003865092244e+00, 5.572988490269609407e+00, 1.018400094142685575e+01, 9.985061176166977859e+00, 1.050490094755343762e+01, 6.556317995688274891e+00, 6.043957441547067155e+00, 7.230140727048358862e+00
2.032000000000000000e+03, 7.935896606300032019e+00, 5.279197630641424333e+00, 9.996692937553428138e+00, 7.071207329062840330e+00, 6.649464166100121254e+00, 6.139035315473127419e+00, 7.286719953326040056e+00, 5.587576148722662062e+00, 1.062070605549032010e+01, 1.059788225387724658e+01, 1.039795295009043485e+01, 6.599171990566776280e+00, 6.107622903397013303e+00, 7.483739474729943275e+00
2.033000000000000000e+03, 8.422643493064427389e+00, 5.003430994880532445e+00, 9.810432081243794400e+00, 7.277074231610475508e+00, 6.045706756665496506e+00, 6.009768909693023353e+00, 7.458878633393777768e+00, 5.835454338506296246e+00, 1.052102517607787036e+01, 1.031417266644623254e+01, 1.083796469549597141e+01, 6.687909699905739025e+00, 5.964353408224594588e+00, 7.409780842284463098e+00
2.034000000000000000e+03, 9.092719902728221726e+00, 5.264976479745975269e+00, 9.860018164136016949e+00, 7.123012719303434714e+00, 6.205139945080835773e+00, 5.689298253151028995e+00, 7.445215246220569405e+00, 6.235112609068275802e+00, 1.036637782971740940e+01, 1.018477860568086690e+01, 1.041375083982506666e+01, 6.738107945358932760e+00, 5.727441113893643632e+00, 7.527571746154793964e+00
2.035000000000000000e+03, 8.394513301561900676e+00, 4.925743280181127837e+00, 1.007626255922423830e+01, 7.422101635642756712e+00, 6.242808896985692968e+00, 6.016958878189876181e+00, 7.484427464254236995e+00, 5.617691325793598978e+00, 1.000186705282805910e+01, 1.030320740553303338e+01, 1.058135860793825067e+01, 6.848490235922708003e+00, 5.760149112699505025e+00, 7.347925125113846434e+00
2.036000000000000000e+03, 8.317351183813258331e+00, 5.356583031703823217e+00, 9.727620018180671124e+00, 7.187749165339043067e+00, 6.356477625619457505e+00, 6.058365845725175447e+00, 7.724437191731892582e+00, 6.068136675664672630e+00, 1.075971462357766306e+01, 1.076717345246731306e+01, 1.091205712761396995e+01, 6.857888732643180774e+00, 6.223246542003770365e+00, 7.465818831084729545e+00
2.037000000000000000e+03, 8.349158481615258864e+00, 5.381870087570113981e+00, 1.027698940193487154e+01, 7.544319989823806694e+00, 6.701684442311285572e+00, 6.184120726790100164e+00, 7.695363301624375651e+00, 6.089311539128697603e+00, 1.063089746141251268e+01, 1.061158428791389774e+01, 1.056725541601076834e+01, 6.951806961620002667e+00, 6.132949220604760221e+00, 7.606471788128470912e+00
2.038000000000000000e+03, 8.478309513370643202e+00, 5.414563573958423248e+00, 1.007320017437177739e+01, 7.638326296802671500e+00, 6.887074682993326036e+00, 6.397149133489216766e+00, 7.666847362169741942e+00, 5.678649062794056235e+00, 1.000039229655659767e+01, 1.045144618589201002e+01, 1.084798163213853073e+01, 6.914893996660936182e+00, 5.940683692026945018e+00, 7.710290593486595512e+00
2.039000000000000000e+03, 8.411026433676303427e+00, 4.952916720430157405e+00, 1.037475263896051381e+01, 7.251929546148341288e+00, 6.455820843822727362e+00, 6.115711739926719126e+00, 7.537639595235866352e+00, 5.827717138153871268e+00, 1.069872223386719590e+01, 1.021877656930715439e+01, 1.054628073889987228e+01, 7.108728172248039989e+00, 6.291439388240669395e+00, 7.617174386370996864e+00
2.040000000000000000e+03, 8.857224124247910169e+00, 5.237501251974892469e+00, 1.034323066014589543e+01, 7.478486891820005589e+00, 6.779294851009001199e+00, 6.509123373165143001e+00, 7.566781281984304108e+00, 6.022856766645258375e+00, 1.017355504061554861e+01, 1.039476371691644552e+01, 1.073911884253535831e+01, 7.039980481023174086e+00, 5.964913431218151096e+00, 7.576433509293129198e+00
2.041000000000000000e+03, 8.539117346895286786e+00, 5.172150087115407580e+00, 9.941583831867728094e+00, 7.502822232796168223e+00, 6.619548726665838601e+00, 6.616027359942235897e+00, 7.518468541386467585e+00, 6.126084419946158377e+00, 1.035131762815867340e+01, 1.062924208678514582e+01, 1.116885246726265457e+01, 6.950982952402378956e+00, 5.970647083900766816e+00, 7.519769776504001690e+00
2.042000000000000000e+03, 8.840908036229585321e+00, 5.468966953329098324e+00, 1.034790576218361835e+01, 7.761852334854908442e+00, 6.783048849953105197e+00, 6.224786532110639037e+00, 7.772550355857370086e+00, 6.163958427744494095e+00, 1.083743359352447655e+01, 1.067173541148448912e+01, 1.100158158183168133e+01, 6.989617944054994148e+00, 6.125316890198176267e+00, 7.434100796160544533e+00
2.043000000000000000e+03, 9.224384316021691177e+00, 5.265476268794313519e+00, 1.054089058955533709e+01, 7.480054484868223774e+00, 6.718122019127247491e+00, 6.531250980933990924e+00, 7.736563901670003851e+00, 6.318353006912176717e+00, 1.067414342544785555e+01, 1.065930928255601806e+01, 1.092118341692840211e+01, 6.875314148663342451e+00, 6.501546733031111636e+00, 7.794696519849455107e+00
2.044000000000000000e+03, 8.990620186285314119e+00, 5.129028788156086982e+00, 1.063591291643098913e+01, 7.617898531902314474e+00, 6.701145797384101321e+00, 6.149345497913367709e+00, 7.534621969432946820e+00, 5.931261524465898383e+00, 1.099184190082418233e+01, 1.040584394846348637e+01, 1.087055467404817399e+01, 6.863219775095386055e+00, 6.196480382952633370e+00, 7.759537056267823196e+00
2.045000000000000000e+03, 8.945172581547289781e+00, 5.099940696549738028e+00, 1.041779646650022073e+01, 7.342041998247052170e+00, 6.668229763649431874e+00, 6.660204057834967273e+00, 7.999386679040693338e+00, 6.271869082322771405e+00, 1.118285286115033905e+01, 1.076698360929409581e+01, 1.142256926339429413e+01, 7.092825564811473527e+00, 6.160431796982507535e+00, 7.628801519553038979e+00
2.046000000000000000e+03, 9.137078728376234693e+00, 5.626613865496921107e+00, 1.041915804825555547e+01, 7.563030022424190868e+00, 6.430685774816058853e+00, 6.595023800199073527e+00, 7.745299489465033993e+00, 5.884248225665399623e+00, 1.110232354426331192e+01, 1.083532466676123818e+01, 1.135062921785566736e+01, 7.190564707468277916e+00, 6.195840080160563090e+00, 7.834956758317852987e+00
2.047000000000000000e+03, 9.069404678278633725e+00, 5.542478449770886328e+00, 1.040186905713059495e+01, 7.605483574074776598e+00, 6.699558369188104656e+00, 6.152022795198468508e+00, 7.865238480691902012e+00, 6.077863629702395798e+00, 1.077982030525748591e+01, 1.056905463296010339e+01, 1.147216864834208216e+01, 7.340555042058428015e+00, 6.453953876879217511e+00, 7.732337365276018559e+00
2.048000000000000000e+03, 8.617231849299242796e+00, 5.256678659275761945e+00, 1.029085816154395872e+01, 7.532854976551004000e+00, 7.274265046197762707e+00, 6.413767942436901848e+00, 7.919161597388949758e+00, 6.302121574584710118e+00, 1.106057883926419194e+01, 1.045536271375581450e+01, 1.202903026579859613e+01, 7.185190970261308152e+00, 6.294159635454996682e+00, 7.785601085614858974e+00
2.049000000000000000e+03, 9.563174480529999855e+00, 5.653886658330445236e+00, 1.073813580975633997e+01, 7.574373749991164750e+00, 6.409802681476656439e+00, 6.677250673657283642e+00, 7.772489900718236200e+00, 6.355968622582620853e+00, 1.111372930131284775e+01, 1.082924791217348393e+01, 1.143386760438769301e+01, 7.221150353891233387e+00, 5.858241283367292773e+00, 7.708184605128070466e+00
2.050000000000000000e+03, 9.105230329777828757e+00, 5.704451293393065114e+00, 1.067462656870876181e+01, 7.326876659451652785e+00, 6.976355445627967278e+00, 6.400685180645875327e+00, 7.751252689270589968e+00, 6.125466213874836363e+00, 1.066395583943271319e+01, 1.090385295824666834e+01, 1.199490604840797836e+01, 7.392647636327215110e+00, 6.362076311826251995e+00, 7.836602505108467120e+00
2.051000000000000000e+03, 8.949693648852280248e+00, 4.983791844709140939e+00, 1.045724962925978652e+01, 7.753815863863463775e+00, 6.700063843600363001e+00, 6.583464215453760815e+00, 7.836463067360365464e+00, 6.102943355623141386e+00, 1.124532074791675029e+01, 1.088462202290403980e+01, 1.147127457927673611e+01, 7.564847919353344885e+00, 6.636536276524267031e+00, 7.764886114721559984e+00
2.052000000000000000e+03, 9.244312530414346085e+00, 5.164678443805065911e+00, 1.069982789619629671e+01, 7.471091667830028094e+00, 6.691029055042723606e+00, 6.837691109828871738e+00, 7.831711745922708801e+00, 6.087289943762570488e+00, 1.084195092217198386e+01, 1.065669903683285291e+01, 1.170955889660384486e+01, 7.461736303489963085e+00, 6.397840678742554132e+00, 7.471585164159800563e+00
2.053000000000000000e+03, 9.070185950744470205e+00, 5.662556376353332865e+00, 1.110906917368276758e+01, 7.751570280392201084e+00, 7.274505568944173106e+00, 6.117231572287837871e+00, 8.032940848742782691e+00, 6.529764201397046719e+00, 1.074117400911705111e+01, 1.078869716628201303e+01, 1.216657946313861238e+01, 7.747508098028784929e+00, 6.435701537541465456e+00, 7.711716084355489720e+00
2.054000000000000000e+03, 9.134543538954742914e+00, 5.677793957761684496e+00, 1.062900357771215987e+01, 7.768773260848514717e+00, 7.163085763423154617e+00, 6.409101214895682297e+00, 8.016103037803436138e+00, 6.333398343403168873e+00, 1.086505312801127232e+01, 1.097711642184768976e+01, 1.225922287677040678e+01, 7.672313860139504449e+00, 6.976983679792002846e+00, 7.677898086277915368e+00
2.055000000000000000e+03, 9.010131816966353568e+00, 5.745939393918710003e+00, 1.094899054548320727e+01, 7.739086589404411853e+00, 7.185782428986336789e+00, 6.867647023122644967e+00, 8.151993512255216956e+00, 6.351508503331295685e+00, 1.107892905080411161e+01, 1.137928435744828981e+01, 1.170119946576279801e+01, 7.705695944371990791e+00, 6.736360975344486413e+00, 7.789081970806995159e+00
2.056000000000000000e+03, 9.242769951069091050e+00, 5.216397570486573265e+00, 1.055833310992300511e+01, 7.454623827281824155e+00, 6.199993219731824823e+00, 6.921961753472367640e+00, 8.073595161027572686e+00, 6.540715570770978537e+00, 1.155039453788522863e+01, 1.097857524566997256e+01, 1.154269532293606737e+01, 7.701309167413675993e+00, 6.862609892169501791e+00, 7.836661830897158509e+00
