year, CanESM5, MIROC-ES2L, UKESM1-0-LL, CMCC-CM2-SR5, GFDL-ESM4, NorESM2-MM, NorESM2-LM, EC-Earth3-Veg, IPSL-CM6A-LR, CNRM-ESM2-1, CESM2-WACCM, MPI-ESM1-2-LR, ACCESS-ESM1-5, INM-CM4-8, TaiESM1, INM-CM5-0
2.015000000000000000e+03, 7.709959331017225281e+01, 8.749230653928853485e+01, 6.995084436141426920e+01, 5.628943067408881262e+01, 7.225095263731188311e+01, 6.448016072138226207e+01, 6.163229621921380641e+01, 4.688058023124671791e+01, 4.805652272812407233e+01, 9.745462995417570085e+01, 6.605202407343249149e+01, 3.700310638908592153e+01, 1.075526599414440767e+02, 1.222436031602133824e+02, 3.383151781116732337e+01, 1.263158082875086023e+02
2.016000000000000000e+03, 7.720887973936389415e+01, 8.770316368621493552e+01, 7.018899389238444542e+01, 5.643544149253916231e+01, 7.259199103297461875e+01, 6.445270467630598432e+01, 6.175306989526696810e+01, 4.708726311783013330e+01, 4.842725490717666048e+01, 9.766697778907162331e+01, 6.655370657438417936e+01, 3.713365030568508018e+01, 1.069940708810110124e+02, 1.225643479195189656e+02, 3.457801125924736851e+01, 1.264148580721041952e+02
2.017000000000000000e+03, 7.738173749145441604e+01, 8.776597532683695135e+01, 7.042541495216779879e+01, 5.621094899700018743e+01, 7.267429103100685950e+01, 6.464984070676626970e+01, 6.205735069006352944e+01, 4.767225743728338472e+01, 4.900028634985824993e+01, 9.763473635393266647e+01, 6.699847808566039475e+01, 3.743914880920494426e+01, 1.071168339853327609e+02, 1.228892131588440861e+02, 3.446872098845589250e+01, 1.265016342419032753e+02
2.018000000000000000e+03, 7.745899434359078839e+01, 8.790735740355988526e+01, 7.081649612630309321e+01, 5.589024623143121318e+01, 7.269784202766594206e+01, 6.483458034444890927e+01, 6.225090032356074943e+01, 4.792763071537940789e+01, 4.950984374831202928e+01, 9.796772982429554588e+01, 6.707553579325323767e+01, 3.771337099267184101e+01, 1.071756222424595251e+02, 1.233939097308041823e+02, 3.364256937845036077e+01, 1.268157972593956657e+02
2.019000000000000000e+03, 7.748978470441414856e+01, 8.796136028334176160e+01, 7.121548175391718871e+01, 5.598675237678303773e+01, 7.278045789502618845e+01, 6.510620966985069913e+01, 6.238594149454188198e+01, 4.834764247284783067e+01, 4.979145750123608138e+01, 9.835054297263997114e+01, 6.733143742056581971e+01, 3.794547065648791317e+01, 1.072810991823300668e+02, 1.238397320352719220e+02, 3.378933071484603801e+01, 1.270497301419239875e+02
2.020000000000000000e+03, 7.784414383584217489e+01, 8.845591177328546451e+01, 7.144562598305950019e+01, 5.740289184415500046e+01, 7.279128736356398122e+01, 6.529584797820011488e+01, 6.243589326227426994e+01, 4.893440562063587862e+01, 4.999468920068292732e+01, 9.848903415133098349e+01, 6.757639175440139923e+01, 3.801385863323404379e+01, 1.074508424200660812e+02, 1.238895088693935378e+02, 3.470790203635623072e+01, 1.271754564913829881e+02
2.021000000000000000e+03, 7.836585142384038249e+01, 8.891937146935826775e+01, 7.147388736906903262e+01, 5.770371771269763883e+01, 7.304351641337346734e+01, 6.536423952703458440e+01, 6.239482124908687410e+01, 4.928932693031701007e+01, 5.031619546794605213e+01, 9.847726199668802849e+01, 6.775274026017406470e+01, 3.818206881710432299e+01, 1.076097232649182303e+02, 1.238245780600502570e+02, 3.447149672467932646e+01, 1.270338344811917750e+02
2.022000000000000000e+03, 7.868722969086462626e+01, 8.941465524697389355e+01, 7.146350608904907631e+01, 5.731345053899558906e+01, 7.344705431632003467e+01, 6.547070407952544713e+01, 6.267008941761297791e+01, 4.966616781315994444e+01, 5.081434729916262683e+01, 9.865905223288228854e+01, 6.808932570757303893e+01, 3.841316731880254309e+01, 1.078933824718505861e+02, 1.244811652320958899e+02, 3.347208882325283241e+01, 1.271949604978369877e+02
2.023000000000000000e+03, 7.891469615018084482e+01, 9.007138302973328337e+01, 7.152026813946142170e+01, 5.636432338264229003e+01, 7.367151138292823020e+01, 6.557279594677342516e+01, 6.282778729903316162e+01, 4.995629884025010625e+01, 5.133456866992962375e+01, 9.906576245341960885e+01, 6.845528259385481817e+01, 3.853014611389709643e+01, 1.080955846057763949e+02, 1.247327110644500578e+02, 3.431562409028884275e+01, 1.274694600771460813e+02
2.024000000000000000e+03, 7.927606886785424933e+01, 9.045309864382871012e+01, 7.169551373131673699e+01, 5.563386886291586109e+01, 7.382847445556990351e+01, 6.593725830673454880e+01, 6.257887517220871842e+01, 4.963092314538327088e+01, 5.165454199715681227e+01, 9.926657032253102386e+01, 6.913415028496133630e+01, 3.889665271298048310e+01, 1.082011790371850708e+02, 1.250511110132577386e+02, 3.463680082077225109e+01, 1.277668726126313032e+02
