year, NorESM2-LM, CMCC-CM2-SR5, MIROC-ES2L, TaiESM1, ACCESS-ESM1-5, EC-Earth3-Veg, CESM2-WACCM, NorESM2-MM, MPI-ESM1-2-LR, CanESM5, UKESM1-0-LL, IPSL-CM6A-LR, CNRM-ESM2-1
2.015000000000000000e+03, 6.701193219377843207e+02, 7.683781436676155181e+02, 2.773915003853591088e+02, 8.173978470619020698e+01, 1.766147856650557060e+02, 2.637949881562447558e+02, 5.309124520291957197e+02, 3.233694212499957530e+02, 1.613947551514170016e+02, 2.082702228469940167e+02, 3.821902061921553582e+02, 9.224965645193488228e+01, 3.627435962365037199e+02
2.016000000000000000e+03, 6.701877452306833902e+02, 7.683571728797135165e+02, 2.773880942305068515e+02, 8.155436763156649249e+01, 1.767399611968276076e+02, 2.637722695129511408e+02, 5.309808835638522169e+02, 3.234589015246042436e+02, 1.614862151364583269e+02, 2.081849639550248696e+02, 3.824439000546219063e+02, 9.234665253741412982e+01, 3.630075089272965556e+02
2.017000000000000000e+03, 6.702168612663570002e+02, 7.683435308147048772e+02, 2.773438926934933875e+02, 8.157099469320975516e+01, 1.768039053335974700e+02, 2.637547433413329827e+02, 5.310101164249111889e+02, 3.235467351454108780e+02, 1.616384963035380053e+02, 2.081283837519210635e+02, 3.824859808366804259e+02, 9.245300055429721908e+01, 3.633029182595503244e+02
2.018000000000000000e+03, 6.702643515885561101e+02, 7.683264470579362069e+02, 2.773645751150182832e+02, 8.176813492134213845e+01, 1.768457867492696209e+02, 2.637231674965076422e+02, 5.311273361775599824e+02, 3.236359213662945535e+02, 1.616729090808551632e+02, 2.081117207649892009e+02, 3.826187778334920040e+02, 9.257524815226240378e+01, 3.635482018689436359e+02
2.019000000000000000e+03, 6.703383090381647662e+02, 7.683079938953402461e+02, 2.773995679931120435e+02, 8.178033843838619532e+01, 1.768629495767292781e+02, 2.637002239055452719e+02, 5.312368055807261271e+02, 3.237275295921892848e+02, 1.617382325958591593e+02, 2.080994093031731325e+02, 3.829387083956583524e+02, 9.269270668108180189e+01, 3.637883111763293300e+02
2.020000000000000000e+03, 6.704356187681460142e+02, 7.681501608860348824e+02, 2.774971981531400047e+02, 8.157628724292584366e+01, 1.768675289458011832e+02, 2.637146317225069083e+02, 5.313348202010882915e+02, 3.237983543876838439e+02, 1.618528254353515479e+02, 2.081066637174448317e+02, 3.832789123589453197e+02, 9.280381219422703509e+01, 3.641262790876339750e+02
2.021000000000000000e+03, 6.705695896167197816e+02, 7.679834034081518439e+02, 2.776256191423167365e+02, 8.158817247994939237e+01, 1.768714662724121638e+02, 2.637749955230056003e+02, 5.314426070324982447e+02, 3.239146070057933002e+02, 1.619773092935196530e+02, 2.080657646506381582e+02, 3.836678515898597652e+02, 9.289427382730237071e+01, 3.643867556913671706e+02
2.022000000000000000e+03, 6.706514534327526462e+02, 7.679324223663536486e+02, 2.777544217600121215e+02, 8.186051732336457576e+01, 1.769181684491293538e+02, 2.637954074393403516e+02, 5.315336544694631584e+02, 3.240481702748351154e+02, 1.621035811093760515e+02, 2.080322765834364418e+02, 3.838030855433584065e+02, 9.299917204499215018e+01, 3.646919974354059377e+02
2.023000000000000000e+03, 6.707247390291871625e+02, 7.679639668094857825e+02, 2.778206806492602254e+02, 8.174879929741334195e+01, 1.769400595885433631e+02, 2.638505146496620455e+02, 5.316371165584439495e+02, 3.242195174820350303e+02, 1.622666098251397102e+02, 2.080040303119013743e+02, 3.838126690455748076e+02, 9.312414434050222667e+01, 3.649298496831574994e+02
2.024000000000000000e+03, 6.708650733951042184e+02, 7.681290194837142735e+02, 2.778578151451462190e+02, 8.166069842133093459e+01, 1.769530091323594263e+02, 2.639429919702445204e+02, 5.316979301792997603e+02, 3.243235462461846055e+02, 1.622506550323457191e+02, 2.079686680222149846e+02, 3.839591806864160048e+02, 9.328569439415727516e+01, 3.651751463556996100e+02
